"View Credit Memo","Zobrazit dobropis"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. E-mail s potvrzením (trvalý nosič — čl. 11a odst. 4)"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Zákonem požadované potvrzení na trvalém nosiči. Nelze zcela zakázat (čl. 11a odst. 4 směrnice 2011/83/EU). Zakázání zde pouze zastaví odesílatele — potvrzení je stále generováno a ukládáno."
"Send Email","Odeslat e-mail"
"Comma-separated.","Oddělené čárkou."
"Delivery Retry Attempts","Pokusy o opětovné doručení"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","Příjemce upozornění DLQ"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Upozorněn při trvalém selhání potvrzení. V záloze se použije E-mailové adresy obchodu → Obecný kontakt."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. E-mail o potvrzení digitálního souhlasu (čl. 11a odst. 4)"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Kopie zákazníkova souhlasu podle čl. 16 písm. m) na trvalém nosiči, odesílaná okamžitě po placení, je-li v košíku digitální položka. Vyžaduje čl. 11a odst. 4 směrnice 2011/83/EU — uchovává záznam s ochranou proti neoprávněné manipulaci o právním textu, který zákazník přijal, plus SHA-256 hash pro ověření řetězce hashů."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Oddělené čárkou. Pro účely auditu přijímá kopii každého potvrzení."
"Branding (Shared by All Emails Above)","Branding (sdílený všemi výše uvedenými e-maily)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Volitelná úprava zákaznických e-mailů. Prázdná pole skryjí příslušné řádky. Slovní logo značky, logo, podpůrný e-mail a adresa obchodu se čtou ze standardního konfiguračního stromu Magenta (Obchody → Konfigurace → Obecné + Design → Transakční e-maily)."
"USP Strip — Item 1","USP pruh — položka 1"
"Icon","Ikona"
"Title","Název"
"Subtitle","Podtitulek"
"USP Strip — Item 2","USP pruh — položka 2"
"USP Strip — Item 3","USP pruh — položka 3"
"Social Links","Odkazy na sociální sítě"
"Instagram URL","URL Instagramu"
"X / Twitter URL","URL X / Twitteru"
"Facebook URL","URL Facebooku"
"YouTube URL","URL YouTube"
"Order #","Č. obj."
"Contract","Smlouva"
"Submitter","Odesílatel"
"Withdrawal submitted","Odstoupení odesláno"
"Right of Withdrawal — Required Information","Právo na odstoupení — Povinné informace"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract.","Před zadáním objednávky si prosím prostudujte podmínky, lhůtu a postupy pro uplatnění vašeho 14denního práva na odstoupení od smlouvy. Tyto informace jsou součástí vaší smlouvy."
"Conditions, Time Limit and Procedures for Withdrawal","Podmínky, lhůta a postupy pro odstoupení od smlouvy"
"Start Online Return","Zahájit online vrácení"
"Download Model Withdrawal Form (Annex I(B))","Stáhnout vzorový formulář pro odstoupení od smlouvy (Příloha I(B))"
"Withdrawal Information v%1 — Issued %2","Informace o odstoupení v%1 — vydáno %2"
"You'll receive a prepaid shipping label in the confirmation email.","V potvrzovacím e-mailu obdržíte předplacený přepravní štítek."
"← Back to order search","← Zpět na vyhledávání objednávky"
"← Back to items","← Zpět k položkám"
"Find order","Najít objednávku"
"Enter your order number and email","Zadejte číslo objednávky a e-mail"
"Select items","Vybrat položky"
"Choose items to return (partial withdrawal)","Zvolte položky k vrácení (částečné odstoupení)"
"Review & confirm","Zkontrolovat a potvrdit"
"Review your return details and confirm","Zkontrolujte podrobnosti vrácení a potvrďte"
"Request submitted","Žádost odeslána"
"We'll confirm your request by email","Vaši žádost potvrdíme e-mailem"
"I expressly consent to begin performance of the digital content before the withdrawal period expires.","Výslovně souhlasím se zahájením plnění digitálního obsahu před uplynutím lhůty pro odstoupení od smlouvy."
"I acknowledge that by giving this consent I lose my right of withdrawal once performance has begun (Art. 16(m) CRD).","Beru na vědomí, že tímto souhlasem ztrácím právo na odstoupení od smlouvy od okamžiku zahájení plnění (čl. 16 písm. m) směrnice o spotřebitelských právech)."
"Withdrawals","Odstoupení"
"Minimum %1 characters required.","Vyžaduje se minimálně %1 znaků."
"Failed to add note.","Nepodařilo se přidat poznámku."
"Network error while adding note.","Chyba sítě při přidávání poznámky."
"Exported Evidence","Exportováno"
"Pending Confirm","Čeká na potvrzení"
"Sent","Odesláno"
"Failed Permanent","Trvalé selhání"
"Failed Retry","Dočasné selhání"
"Eligible","Způsobilé"
"Excluded","Vyloučeno"
"Action","Akce"
"From","Z"
"To","Na"
"Admin Id","ID administrátora"
"Order Id","ID objednávky"
"Request Id","ID požadavku"
"Item Count","Počet položek"
"Rules Fired","Aplikovaná pravidla"
"Topic","Téma"
"Message Id","ID zprávy"
"Email To Hash","Hash e-mailu"
"Attempts","Pokusy"
"Viewed At","Zobrazeno"
"Referrer Host","Odkazující host"
"Enable \Other\"" with Free Text""","Povolit „Jiné“ s volným textem"
"Optional legal template — not required to use; you can also exercise the right of withdrawal by any unequivocal statement.","Nepovinná právní šablona — její použití není nutné; právo na odstoupení od smlouvy lze uplatnit také jakýmkoliv jednoznačným prohlášením."
"Right of withdrawal","Právo na odstoupení"
"You have 14 days from the day you receive your order to withdraw without giving any reason — full refund to your original payment method.","Od okamžiku obdržení objednávky máte 14 dní na odstoupení bez udání důvodu — plné vrácení peněz na původní způsob platby."
"Some items may be excluded by law (perishable goods, custom-made items, sealed hygiene or audio/video products). We'll show you exactly what's eligible on the next page.","Některé položky mohou být ze zákona vyloučeny (rychle se kazící zboží, zboží vyrobené na míru, zapečetěné hygienické nebo audio/video produkty). Na další stránce vám přesně ukážeme, co je způsobilé."
"Direct link — no login or account password required.","Přímý odkaz — není vyžadováno přihlášení ani heslo k účtu."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those."
"Customer-facing UX for the withdrawal flow. Subgroups: <em>Buttons</em> (legal-critical labels), <em>Placements</em> (where to surface the link), <em>Return Reasons</em> (per-item dropdown), <em>Review Step</em> (content on step 3 of the flow).","Zákaznicky orientované UX pro proces odstoupení. Podskupiny: <em>Tlačítka</em> (právně významné popisky), <em>Umístění</em> (kde zobrazit odkaz), <em>Důvody vrácení</em> (rozevírací seznam u jednotlivých položek), <em>Krok kontroly</em> (obsah 3. kroku procesu)."
"Disable only if you deliver the durable-medium confirmation through a different channel.","Vypněte pouze v případě, že potvrzení na trvalém nosiči doručujete jiným kanálem."
"Disable only if you deliver the receipt through a different durable medium (postal mail, customer account download, etc.).","Vypněte pouze v případě, že potvrzení doručujete jiným trvalým nosičem (poštou, stažením z účtu zákazníka apod.)."
"Empty fields fall through to the locale baseline. Any override value becomes part of the SHA-256 hash stored per consent event — changing a field after customers have consented does <strong>not</strong> retroactively invalidate prior consents.","Prázdná pole se použijí jako výchozí hodnoty z the locale baseline pro daný jazyk/jurisdikci. Jakákoli přepsaná hodnota se stává součástí hashe SHA-256 ukládaného u každé události souhlasu — změna pole poté, co zákazníci souhlas udělili, <strong>ne</strong>vede ke zpětnému zneplatnění předchozích souhlasů."
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Povinné předsmluvní poučení o právu na odstoupení. Zobrazuje se v kroku platby v pokladně. Každé zobrazení je forenzně zaznamenáno (obhajoba podle čl. 10). Snímek vykresleného textu je ukládán nezměnitelně (čl. 6 odst. 5). <strong>Před úpravou jakéhokoli textu Přílohy I doporučujeme právní revizi.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Vypnuto = blok skryt, ale události zobrazení se i nadále zaznamenávají na straně serveru přes predispatch zálohu. Používejte pouze pro testování v sandboxu. Výchozí: zapnuto."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","Volitelné URL adresy zobrazované jako kulaté monogramové odznaky v patičce e-mailu. Pokud chcete skrýt, ponechte prázdné."
"Sent when a customer cancels their own pending withdrawal.","Odesílá se, když zákazník zruší své vlastní čekající odstoupení."
"Sent when a customer completes the withdrawal form.","Odesílá se, když zákazník vyplní formulář pro odstoupení."
"Sent when an admin approves a withdrawal request.","Odesílá se, když administrátor schválí žádost o odstoupení."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Odesílá se, když administrátor zruší žádost o odstoupení jménem zákazníka."
"Sent when an admin denies a withdrawal request.","Odesílá se, když administrátor zamítne žádost o odstoupení."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Tyto předvolby vyjímají určité kategorie produktů ze 14denního práva na odstoupení podle čl. 16 směrnice CRD. Každé pravidlo je ve výchozím stavu VYPNUTO — aktivujte je až poté, co ověříte, že odpovídající atribut produktu je v katalogu nastaven správně."
"e.g. ""EU orders above €50""","např. „Objednávky z EU nad 50 €“"
"e.g. ""Free delivery""","např. „Doprava zdarma“"
"Qty: ","Množství: "
"Submission failed. Please try again.","Odeslání selhalo. Zkuste to prosím znovu."
"Network error. Please try again.","Chyba sítě. Zkuste to prosím znovu."
"Invalid server response.","Neplatná odpověď serveru."
"Admin Notifications","Oznámení pro administrátora"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Interní upozornění pro váš tým. Nezávislá na zaškrtávacích polích <em>BCC obchodníkovi</em> v sekci <em>Oznámení pro zákazníky</em> níže — pokud zapnete obojí, dostanete dva e-maily na žádost."
"1. New Request Alert","1. Upozornění na novou žádost"
"Sent the moment a customer completes the two-step withdrawal flow.","Odesláno v okamžiku, kdy zákazník dokončí dvoukrokový proces odstoupení."
"Recipient Email(s)","E-mail(y) příjemce"
"BCC","Skrytá kopie"
"New Withdrawal Request","Nová žádost o odstoupení"
"A new withdrawal request was just submitted.","Byla právě podána nová žádost o odstoupení."
"Request:","Žádost:"
"Order:","Objednávka:"
"Customer:","Zákazník:"
"Refund Total:","Celková částka k vrácení:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Odstoupení] Nová žádost %request_increment_id · Objednávka #%order_increment_id · %refund_total"
"Anonymised","Anonymizováno"
"Audit","Audit"
"Cancel Order","Zrušit objednávku"
"Confirmation Email (Art. 11a(4))","Potvrzovací e-mail (čl. 11a(4))"
"Detection (Art. 16(m))","Detekce (čl. 16(m))"
"Digital Waiver (Art. 16(m))","Vzdání se práva u digitálního obsahu (čl. 16(m))"
"Email Identity","Identita odesílatele e-mailu"
"ID","ID"
"Integrity hash","Hash integrity"
"Pre-Contract Proof","Předsmluvní důkaz"
"Verify this receipt","Ověřit toto potvrzení"
"Withdrawal Window","Lhůta pro odstoupení"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Tento hash SHA-256 jednoznačně identifikuje váš záznam o odstoupení. Můžete ho kdykoli ověřit pomocí tlačítka výše."
"Digital content waiver confirmation — Order %increment_id","Potvrzení vzdání se práva u digitálního obsahu — Objednávka %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Oddělené čárkou. Každý příjemce dostane samostatný e-mail vykreslený v jeho administračním jazyce (interface_locale administrátora; záloha — general/locale/code). Neplatné adresy jsou tiše ignorovány."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Detekce digitálního obsahu dle čl. 16(m) směrnice o právech spotřebitelů. Určuje, co se počítá jako digitální obsah pro účely upravičenosti. Skutečné UI vzdání se práva v košíku a e-mail jsou v následující sekci „Vzdání se práva u digitálního obsahu“."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Výjimka dle čl. 16(m) směrnice o právech spotřebitelů — digitální obsah, u nějž zákazník (1) výslovně souhlasil se zahájením plnění a (2) potvrdil ztrátu práva na odstoupení. Funkci řídí dva přepínače: podskupina <em>Detekce</em> v <em>Pravidlech upravičenosti</em> rozhoduje, co je digitální (hlavní vypínač); tato sekce zobrazí UI se 2 zaškrtávacími poli v košíku a odešle potvrzovací e-mail dle čl. 11a(4). Oba musejí být ZAPNUTÉ. Překlady textu dle lokality níže. Používejte pouze pro <strong>jednorázové digitální nákupy</strong> (e-knihy, instalátory, hudební soubory, hry). <strong>Ne</strong> pro průběžné digitální <strong>předplatné nebo služby</strong> (SaaS, streaming, hostované služby) — judikatura EU (CJEU Sky, C-641/19) vyžaduje jiný postup souhlasu."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Definuje, <strong>kdy</strong> začíná 14-denní právo na odstoupení (spouštěč dodání, čl. 9(2)(b)) a <strong>jak dlouho</strong> trvá ve dnech (čl. 9(2)). Společně určují, jak dlouho je odstoupení od každé objednávky otevřené."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Výchozí hodnota 14 dní dle čl. 9(2). Prodloužení povoleno (např. 30, 100). Zkrácení pod 14 je nezákonné — pole validuje pouze 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Když je zapnuto, košíky obsahující detekovanou digitální položku zobrazí krok vzdání se práva se 2 zaškrtávacími poli v košíku. Nemá účinek, pokud není zapnuto také <em>Pravidla upravičenosti → Detekce → Povolit detekci digitálního obsahu</em>."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Volitelné. Oddělené čárkou. Pošle skrytou kopii potvrzovacího e-mailu vzdání se práva na auditní adresu obchodníka. Nechte prázdné pro přeskočení."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Právní upozornění.</strong> Čl. 11a(2) směrnice o právech spotřebitelů vyžaduje doslovné znění „zde odstupte od smlouvy“ <em>nebo odpovídající jednoznačnou formulaci</em>. Výchozí hodnota („Odstupte od smlouvy zde“) je doslovná fráze Směrnice; Překlady dle lokality jsou podepsané právníkem. <strong>Nepřepisujte, pokud jste neobdrželi písemné stanovisko od kvalifikovaného advokáta na spotřebitelské právo v cílové jurisdikci.</strong> Každé přepsání je zaznamenáno v auditním deníku."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Právní upozornění.</strong> Toto je popisek finálního potvrzovacího tlačítka. Výchozí hodnota („Potvrdit odstoupení“) je podepsaná právníkem; Překlady dle lokality jsou podepsané právníkem. Přepisujte pouze s písemným právním stanoviskem; přepisy jsou zaznamenány v auditním deníku."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Zrušit propojenou objednávku? Nebyla zachycena žádná platba, takže není co vrátit — objednávka bude zrušena v Magentu."
"Scope & Applicability","Rozsah a použitelnost"
"Controls in which markets the self-service withdrawal flow is offered. These are merchant business decisions, not legal exclusions — an EU consumer's statutory right of withdrawal does not depend on them, and declarations received by other means (email, letter) must still be honoured manually.","Určuje, ve kterých zemích se nabízí samoobslužný proces odstoupení. Jde o obchodní rozhodnutí prodejce, nikoli o právní výjimky — zákonné právo spotřebitele z EU na odstoupení na nich nezávisí a odstoupení doručená jinými způsoby (e-mailem, dopisem) je nutné i nadále vyřídit ručně."
"Restrict by Country","Omezit podle země"
"Offers the self-service withdrawal flow only for orders whose billing <strong>or</strong> shipping address is in the selected countries. <strong>Legal note:</strong> this restricts the storefront flow only — an EU consumer's statutory right of withdrawal does not depend on the address, and withdrawal declarations received by other means (email, letter) must still be honoured manually. Default: disabled.","Nabízí samoobslužný proces odstoupení pouze pro objednávky, jejichž fakturační <strong>nebo</strong> dodací adresa je ve vybraných zemích. <strong>Právní poznámka:</strong> toto omezuje pouze proces ve výloze — zákonné právo spotřebitele z EU na odstoupení na adrese nezávisí a odstoupení doručená jinými způsoby (e-mailem, dopisem) je nutné i nadále vyřídit ručně. Výchozí stav: vypnuto."
"Offer Withdrawal For Countries","Nabízet odstoupení pro země"
"Preselected: EU-27 plus EEA (Norway, Iceland, Liechtenstein). Add the United Kingdom manually if you target UK consumers (separate national regime with a comparable 14-day right). If you clear this list, the restriction has no effect and the flow stays available to every customer.","Předvybráno: EU-27 plus EHP (Norsko, Island, Lichtenštejnsko). Spojené království přidejte ručně, pokud cílíte na spotřebitele ve Spojeném království (samostatný národní režim se srovnatelným 14denním právem). Pokud tento seznam vymažete, omezení nemá žádný účinek a postup zůstává dostupný všem zákazníkům."
"Restrict by Customer Group","Omezit podle skupiny zákazníků"
"Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled.","Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled."
"Exclude Customer Groups","Vyloučit skupiny zákazníků"
"Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer.","Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer."
"Custom-made to your specifications","Vyrobeno podle vašich specifikací"
"Perishable goods","Zboží podléhající rychlé zkáze"
"Sealed hygiene item — seal broken","Zapečetěné hygienické zboží — pečeť porušena"
"Sealed audio/video — seal broken","Zapečetěné audio/video — pečeť porušena"
"Newspapers, periodicals, magazines","Noviny, periodika, časopisy"
"Accommodation / event on specific date","Ubytování / akce v konkrétním termínu"
"Digital content — right waived at purchase","Digitální obsah — vzdání se práva při nákupu"
"Withdrawal period has expired","Lhůta pro odstoupení uplynula"
"Already withdrawn in a prior request","Již odstoupeno v předchozí žádosti"
"A draft withdrawal is holding this item. Confirm it via the email we sent, or cancel it in the 'Existing withdrawals' section above.","Tuto položku blokuje rozpracované odstoupení. Potvrďte je prostřednictvím e-mailu, který jsme vám zaslali, nebo je zrušte v sekci „Stávající odstoupení“ výše."
"EU withdrawal request %1 was approved.","Žádost o odstoupení EU %1 byla schválena."
"EU withdrawal request %1 was approved. Refund: %2.","Žádost o odstoupení EU %1 byla schválena. Refundace: %2."
"EU withdrawal request %1 was denied.","Žádost o odstoupení EU %1 byla zamítnuta."
"EU withdrawal request %1 was denied. Reason: %2","Žádost o odstoupení EU %1 byla zamítnuta. Důvod: %2"
"EU withdrawal request %1 was cancelled by the customer.","Žádost o odstoupení EU %1 byla zrušena zákazníkem."
"EU withdrawal request %1 was cancelled by an administrator.","Žádost o odstoupení EU %1 byla zrušena administrátorem."
"If Delivery Is Never Confirmed","Pokud doručení není nikdy potvrzeno"
"When an order is already in a Delivery Confirmation Status but has no recorded transition into it (no delivery timestamp), choose whether its withdrawal stays open or it is treated as not eligible. Default: not eligible.","Když objednávka již má stav potvrzení doručení, ale není zaznamenán přechod do tohoto stavu (žádné datum doručení), zvolte, zda odstoupení zůstane otevřené, nebo se bude považovat za nezpůsobilé. Výchozí: nezpůsobilé."
"Statuses Excluded From Withdrawal","Stavy vyloučené z odstoupení"
"Orders whose current status is selected here are never offered for withdrawal (e.g. a legacy migration status such as <code>imported</code>). Do not select a status used by active, deliverable orders — that withholds a valid withdrawal.","Objednávky, jejichž aktuální stav je zde vybrán, nejsou nikdy nabízeny k odstoupení (např. migrační stav jako <code>imported</code>). Nevybírejte stav používaný aktivními, doručitelnými objednávkami — tím by bylo odepřeno platné odstoupení."
"Treat as not eligible","Považovat za nezpůsobilé"
"Keep withdrawal open","Ponechat odstoupení otevřené"
"Withdrawal not available for this order","Odstoupení není pro tuto objednávku k dispozici"
"This order is not eligible for withdrawal.","Tato objednávka není způsobilá k odstoupení."
"EU withdrawal request %1 submitted.","Žádost o odstoupení EU %1 byla odeslána."
"EU withdrawal request %1 submitted. Requested refund: %2.","Žádost o odstoupení EU %1 byla odeslána. Požadovaná refundace: %2."
"Show more orders","Zobrazit více objednávek"
"Item Selection","Výběr položek"
"Per item (customer selects items and quantities)","Po položkách (zákazník vybírá položky a množství)"
"Full order (all returnable items, no selection)","Celá objednávka (všechny vratné položky, bez výběru)"
"<em>Per item</em>: the customer chooses lines and quantities. <em>Full order</em>: the request always covers all returnable items; items excluded by law (opened seal, expired period) are still removed automatically, and the form shows a note that partial returns can be requested via your contact page.<br/><strong>⚠ Legal warning.</strong> The explanatory materials to the German implementation law expect the withdrawal function to support selecting parts of the order. Consult your counsel before switching to Full order.","<em>Po položkách</em>: zákazník vybírá řádky a množství. <em>Celá objednávka</em>: žádost vždy zahrnuje všechny vratné položky; položky vyloučené ze zákona (porušená pečeť, uplynulá lhůta) jsou přesto automaticky odstraněny a formulář zobrazuje upozornění, že o částečné vrácení lze požádat prostřednictvím vaší kontaktní stránky.<br/><strong>⚠ Právní upozornění.</strong> Důvodová zpráva k německému prováděcímu zákonu předpokládá, že funkce odstoupení od smlouvy umožní výběr částí objednávky. Před přepnutím na Celou objednávku se poraďte se svým právním zástupcem."
"This request covers all returnable items of the order.","Tato žádost zahrnuje všechny vratné položky objednávky."
"Contact us for a partial return.","Pro částečné vrácení nás kontaktujte."
"Review the items included in your return.","Zkontrolujte položky zahrnuté do vašeho vrácení."
"Review the items to return","Zkontrolujte položky k vrácení"
"Self-service withdrawal is not available for this order.","Samoobslužné odstoupení od smlouvy není pro tuto objednávku k dispozici."
