"View Credit Memo","Vis kreditnota"
"Issue Credit Memo","Udsted kreditnota"
"Approve","Godkend"
"Approve this withdrawal request?","Godkend denne fortrydelsesanmodning?"
"Deny","Afvis"
"Legal reason for denial (min 10 chars):","Retsgrundlag for afvisning (min. 10 tegn):"
"Cancel Request","Annullér anmodning"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Annullér denne fortrydelse? Tilføj en valgfri note til kunden (vises i annulleringsmailen):"
"Resend Receipt","Send kvittering igen"
"Send the receipt email again? The customer will receive another copy.","Send kvitteringsmailen igen? Kunden modtager endnu en kopi."
"Withdrawal Request #%1","Fortrydelsesanmodning #%1"
"Request Details","Anmodningsdetaljer"
"Information","Oplysninger"
"Reason for Denial","Begrundelse for afvisning"
"Customer Cancellation Note","Note ved kundens annullering"
"Cancellation Note","Annulleringsnote"
"Status-Change Note","Note ved statusændring"
"Code","Kode"
"Label","Etiket"
"Add Reason","Tilføj begrundelse"
"In progress","I gang"
"Refund issued","Refusion udstedt"
"Denied","Afvist"
"Cancelled","Annulleret"
"Pending","Afventer"
"This is a transactional email about your order.","Dette er en transaktionsmail om din ordre."
"Reason for denial","Begrundelse for afvisning"
"Your cancellation note","Din annulleringsnote"
"Note from our team","Besked fra vores team"
"EU right of withdrawal","EU's fortrydelsesret"
"Withdrawal right pending delivery","Fortrydelsesret afventer levering"
"Withdrawal window has ended","Fortrydelsesfrist er udløbet"
"Not eligible for withdrawal","Ikke berettiget til fortrydelse"
"Withdrawal already requested","Anmodning om fortrydelse allerede indsendt"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","Du kan fortryde denne aftale når som helst — 14-dages fristen begynder først at løbe, når ordren er leveret."
"Your 14-day withdrawal window will begin once this order is delivered.","Din 14-dages fortrydelsesfrist begynder, når denne ordre er leveret."
"The 14-day window for withdrawing from this contract has ended.","14-dages fristen for at fortryde denne aftale er udløbet."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Denne ordre er ikke berettiget til fortrydelse i henhold til EU's forbrugerret (art. 16 i direktiv 2011/83/EU)."
"A withdrawal request for this order has been submitted. See the request details below.","Der er indsendt en anmodning om fortrydelse for denne ordre. Se anmodningsdetaljerne nedenfor."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Denne ordre indeholder en letfordærvelig vare, der ikke kan returneres (fødevarer med kort holdbarhed, friske blomster osv.)."
"This order contains a custom-made or personalised item that cannot be returned.","Denne ordre indeholder en specialfremstillet eller personliggjort vare, der ikke kan returneres."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Denne ordre indeholder en forseglet hygiejnevare. Du beholder kun fortrydelsesretten, så længe forseglingen er intakt — når forseglingen brydes efter levering, mistes retten."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Denne ordre indeholder en forseglet lyd-/video-/softwarevare. Du beholder kun fortrydelsesretten, så længe forseglingen er intakt — når forseglingen brydes efter levering, mistes retten."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Denne ordre indeholder digitalt indhold. Når du begynder at bruge eller downloade indholdet, mister du fortrydelsesretten (du gav samtykke til dette ved bestillingen)."
"%1 item(s) · Refund %2","%1 vare(r) · Refusion %2"
"Awaiting confirmation","Afventer bekræftelse"
"Cancel withdrawal %1? Your refund will not be processed.","Annullér fortrydelse %1? Din refundering vil ikke blive behandlet."
"Submitted","Indsendt"
"Approved","Godkendt"
"Fully returned","Fuldt returneret"
"Return requested","Returnering anmodet"
"Not eligible","Ikke berettiget"
"Partially requested","Delvist anmodet"
"— Select a reason —","— Vælg en begrundelse —"
"Other","Andet"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Refunderingen vil blive foretaget via din oprindelige betalingsmetode inden for 5-7 hverdage efter, vi har modtaget din returnering."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Fortrydelsesret mistet (art. 16(m) CRD) — digital levering påbegyndt den %1."
"Request #%1 not found.","Anmodning #%1 ikke fundet."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","Kvitteringsmail sat i kø igen for anmodning #%1. Leveringen forsøges asynkront."
"Failed to queue receipt resend: %1","Kunne ikke sætte gensendelse af kvittering i kø: %1"
"Note text is empty.","Notetekst er tom."
"Note added to request #%1.","Note tilføjet til anmodning #%1."
"Request #%1 approved.","Anmodning #%1 godkendt."
"Request #%1 cancelled.","Anmodning #%1 annulleret."
"Request #%1 denied.","Anmodning #%1 afvist."
"Invalid request id.","Ugyldigt anmodnings-ID."
"Unable to open temporary file for CSV export.","Kan ikke åbne midlertidig fil til CSV-eksport."
"Withdrawal Requests","Fortrydelsesanmodninger"
"%1 requests queued for acceptance.","%1 anmodninger sat i kø til godkendelse."
"%1 request(s) approved.","%1 anmodning(er) godkendt."
"%1 request(s) failed. First errors: %2","%1 anmodning(er) mislykkedes. Første fejl: %2"
"Note added to %1 request(s).","Note tilføjet til %1 anmodning(er)."
"Underlying order #%1 not found.","Underliggende ordre #%1 ikke fundet."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Ordre #%1 har endnu ingen faktura — Magento kræver en faktura, før en kreditnota kan oprettes. Opret først en faktura (Sales → Orders → #%1 → Invoice-knappen), og vend tilbage hertil for at refundere."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","Ingen varer er registreret på denne fortrydelsesanmodning — kreditnotaen åbnes med standard fakturamængder; tilret venligst manuelt."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Forudfyldt kreditnota for fortrydelse #%1 — gennemgå mængderne og forsendelsesrefunderingen nedenfor, og klik derefter på Refund Online eller Refund Offline."
"Some items are no longer eligible. Please reload and try again.","Visse varer er ikke længere berettigede. Genindlæs siden, og prøv igen."
"We could not process your request. Please try again.","Vi kunne ikke behandle din anmodning. Prøv igen."
"Item","Vare"
"We could not find a matching order for that email.","Vi kunne ikke finde en ordre, der matcher denne e-mailadresse."
"Withdraw from a contract","Fortryd kontrakten"
"Withdrawal not found.","Fortrydelse ikke fundet."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Denne fortrydelse kan ikke længere annulleres online. Kontakt os, hvis du har brug for hjælp."
"Withdrawal #%1 cancelled.","Fortrydelse #%1 annulleret."
"Please fill in all required fields.","Udfyld venligst alle påkrævede felter."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 vare(r) blev udelukket fra fortrydelsen, fordi forseglingen er brudt (art. 16, litra e/i, i direktiv 2011/83/EU)."
"Please select at least one item to withdraw.","Vælg mindst én vare til fortrydelse."
"One or more items are no longer available for withdrawal. Please refresh and try again.","En eller flere varer er ikke længere tilgængelige for fortrydelse. Opdater siden, og prøv igen."
"None of the selected items are eligible for withdrawal.","Ingen af de valgte varer er berettigede til fortrydelse."
"Hash mismatch for quote item %1","Hash-mismatch for tilbudslinje %1"
"Requested qty %1 exceeds remaining %2 for order item %3","Den ønskede mængde %1 overstiger den resterende mængde %2 for ordrelinje %3"
"No delivery confirmation recorded for this order yet.","Der er endnu ikke registreret nogen leveringsbekræftelse for denne ordre."
"No eligible items selected for withdrawal","Der er ikke valgt nogen berettigede varer til fortrydelse"
"Physical goods","Fysiske varer"
"Digital content (non-tangible)","Digitalt indhold (ikke-fysisk)"
"Digital service (SaaS / subscription)","Digital tjeneste (SaaS/abonnement)"
"Financial services (not supported)","Finansielle tjenester (understøttes ikke)"
"Downloadable products","Downloadbare produkter"
"Virtual products","Virtuelle produkter"
"Bundles containing digital children","Pakker, der indeholder digitale underprodukter"
"Custom attribute flag","Brugerdefineret attributflag"
"locale_inheritance.xml missing at %1","locale_inheritance.xml mangler ved %1"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml kan ikke læses ved %1"
"locale_inheritance.xml failed XSD validation: %1","locale_inheritance.xml bestod ikke XSD-valideringen: %1"
"Original payment method","Oprindelig betalingsmetode"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","Dette er din kvittering på et varigt medium for fortrydelsen (art. 11a, stk. 4, i direktiv 2011/83/EU)."
"This email is a notification about your withdrawal request.","Denne e-mail er en meddelelse om din fortrydelsesanmodning."
"5–7 business days","5–7 hverdage"
"This is a confirmation that your withdrawal request has been recorded.","Dette er en bekræftelse på, at din fortrydelsesanmodning er registreret."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","MageMe EU Withdrawal er installeret, men ikke aktiveret. Gennemgå compliance-tjeklisten, og konfigurer modulet, før det aktiveres: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","Status for leveringsbekræftelse er ikke konfigureret. Konfigurer den under Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses."
"No Annex I source found for locale %1 along chain %2","Ingen kilde til bilag I fundet for sprog %1 i kæde %2"
"Annex I source for locale %1 is malformed","Kilden til bilag I for sprog %1 er ugyldig"
"Missing merchant variables for Annex I rendering: %1","Manglende forhandlervariabler ved gengivelse af bilag I: %1"
"Receipt hash mismatch for request %1","Hash-uoverensstemmelse for kvittering ved anmodning %1"
"Request %1 not found.","Anmodning %1 ikke fundet."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Afvisning af en fortrydelsesanmodning kræver et retsgrundlag på mindst 10 tegn."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Fortrydelsesanmodningen kan ikke skifte fra ""%1"" til ""%2""."
"Request %1 is not in pending_confirm state.","Anmodning %1 er ikke i tilstanden pending_confirm."
"Withdrawal request #%1 does not exist.","Fortrydelsesanmodning #%1 findes ikke."
"No digital items on order %1","Ingen digitale varer på ordre %1"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","Dette er din kopi på et varigt medium af det samtykke, du afgav ved bestillingen (art. 11a, stk. 4, i direktiv 2011/83/EU)."
"Waived","Frafaldet"
"Waiver email render failed: %1","Rendering af frafalds-email mislykkedes: %1"
"Digital content waiver text has changed — please reload checkout.","Teksten i frafaldet af digitalt indhold er ændret — genindlæs checkout."
"Digital content waiver is incomplete for item %1.","Frafald af digitalt indhold er ufuldstændigt for linje %1."
"bad","dårlig"
"smtp down","smtp down"
"smtp","smtp"
"down","nede"
"No shipment found for order 42.","Ingen forsendelse fundet for ordre 42."
"View","Vis"
"Withdrawal & Customer Information","Fortrydelses- og kundeoplysninger"
"Request # %1","Anmodning # %1"
"Request Status","Anmodningsstatus"
"Submitted At","Indsendt"
"Related Order","Relateret ordre"
"Jurisdiction","Jurisdiktion"
"Contract Type","Kontrakttype"
"Receipt Status","Kvitteringsstatus"
"%1 attempt(s)","%1 forsøg"
"Receipt Error","Kvitteringsfejl"
"Customer Information","Kundeoplysninger"
"Customer Name","Kundenavn"
"Email","E-mail"
"Locale","Sprog"
"Items Selected for Withdrawal","Varer valgt til fortrydelse"
"Product","Produkt"
"Price","Pris"
"Qty","Antal"
"Subtotal","Subtotal"
"Refund","Refusion"
"Reason","Årsag"
"Eligibility","Berettigelse"
"No items associated with this request.","Ingen varer er knyttet til denne anmodning."
"SKU","SKU"
"Ordered","Bestilt"
"Withdrawing","Fortryder"
"Refund Total","Refusion i alt"
"Notes for this Request","Noter til denne anmodning"
"Internal notes — visible to admin staff only. Not sent to the customer.","Interne noter — kun synlige for administratorer. Sendes ikke til kunden."
"Comment","Kommentar"
"Add internal note (max 2000 chars)","Tilføj intern note (maks. 2000 tegn)"
"Submit Comment","Indsend kommentar"
"No comments added yet.","Der er endnu ikke tilføjet kommentarer."
" by %1"," af %1"
"Refund Totals","Refusionssummer"
"Items Subtotal","Varer i alt"
"Shipping Refund","Refusion af forsendelse"
"Total Refund","Samlet refusion"
"Changes have been made to this section that have not been saved.","Der er foretaget ændringer i dette afsnit, som ikke er gemt."
"This tab contains invalid data. Please resolve this before saving.","Denne fane indeholder ugyldige data. Ret det, før du gemmer."
"Contact us","Kontakt os"
"Returns","Returneringer"
"FAQs","Ofte stillede spørgsmål"
"All rights reserved.","Alle rettigheder forbeholdt."
"Returned items","Returnerede varer"
"No image","Intet billede"
"Item status","Varens status"
"Withdrawal options for this order","Fortrydelsesmuligheder for denne ordre"
"You can return this order until %1.","Du kan returnere denne ordre frem til %1."
"(Art. 11a Directive 2011/83/EU)","(art. 11a i direktiv 2011/83/EU)"
"Submit a withdrawal request to start the refund process.","Indsend en fortrydelsesanmodning for at starte refunderingsprocessen."
"(Art. 9(2)(b) Directive 2011/83/EU)","(art. 9, stk. 2, litra b, i direktiv 2011/83/EU)"
"Start withdrawal","Start fortrydelse"
"Your withdrawal requests","Dine fortrydelsesanmodninger"
"Submitted %1","Indsendt %1"
"Show items","Vis varer"
"Cancel withdrawal","Annullér fortrydelse"
"Qty %1","Antal %1"
"Receipt details","Kvitteringsdetaljer"
"Receipt number","Kvitteringsnummer"
"Order number","Ordrenummer"
"Consumer","Forbruger"
"Refund total","Samlet refusion"
"Merchant","Sælger"
"Legal basis","Retsgrundlag"
"SKU %1","SKU %1"
"Shipping refund","Refusion af forsendelse"
"Tax refund","Refusion af moms"
"Total refund","Samlet refundering"
"Digital content — Art. 16(m) notice","Digitalt indhold — Art. 16(m)-meddelelse"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Ved at afgive ordren har du accepteret påbegyndelse af leveringen af det digitale indhold før udløbet af fortrydelsesfristen og anerkendt, at fortrydelsesretten ikke længere gælder, når leveringen først er påbegyndt. Denne meddelelse vises til dine registre."
"Existing withdrawals for this order","Eksisterende fortrydelser for denne ordre"
"You can cancel a withdrawal here until it is approved.","Du kan annullere en fortrydelse her, indtil den er godkendt."
"Request #%1","Anmodning #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Estimeret refusion: %1 %2"
"Cancel this withdrawal","Annullér denne fortrydelse"
"Are you sure? This cannot be undone.","Er du sikker? Dette kan ikke fortrydes."
"Yes, cancel","Ja, annullér"
"Keep it","Behold"
"Select items to return","Vælg varer til returnering"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Vælg alle varer eller kun nogle af dem. Angiv returmængden for hver vare, du ønsker at fortryde."
"You have 14 days from the day you received your order to withdraw from the contract without giving a reason.","Du har 14 dage fra den dag, du modtog din ordre, til at fortryde aftalen uden at angive nogen grund."
"Back to order search","Tilbage til ordresøgning"
"Cancel","Annuller"
"Continue to review","Fortsæt til gennemgang"
"Review and confirm","Gennemgå og bekræft"
"Order #%1","Ordre #%1"
"Placed on %1","Bestilt den %1"
"Awaiting delivery","Afventer levering"
"Delivered on %1","Leveret den %1"
"Total","I alt"
"Return shipping","Returforsendelse"
"View return policy","Se returpolitik"
"Refund method","Refunderingsmetode"
"Refund will be issued to your original payment method.","Refunderingen vil blive udstedt til din oprindelige betalingsmetode."
"Return summary","Returoversigt"
"Shipping & Handling","Forsendelse og håndtering"
"Tax","Moms"
"Back to items","Tilbage til varer"
"Submit return request","Send returanmodning"
"Your return request has been submitted!","Din returanmodning er indsendt!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","Vi har sendt dig en e-mail med dine returoplysninger og en forudbetalt returetiket (hvis relevant). Du har 14 dage fra leveringsdatoen til at sende dine varer tilbage."
"Return request number","Returanmodningsnummer"
"Copy request number","Kopiér anmodningsnummer"
"Copied!","Kopieret!"
"Confirmation email sent","Bekræftelsesmail sendt"
"We've sent the details to","Vi har sendt detaljerne til"
"What happens next?","Hvad sker der nu?"
"Pack your items securely","Pak dine varer sikkert"
"Send them back using the provided instructions","Send dem tilbage efter de medfølgende instruktioner"
"We'll inspect your return","Vi inspicerer din returnering"
"Your refund will be issued to your original payment method","Din refundering sendes til din oprindelige betalingsmetode"
"Need more help?","Brug for mere hjælp?"
"View my returns","Se mine returneringer"
"Contact support","Kontakt support"
"Purchased","Købt"
"Returned","Returneret"
"Decrease quantity","Reducer antal"
"Increase quantity","Øg antal"
"Is the hygiene seal still intact?","Er hygiejneforseglingen stadig intakt?"
"Is the original software / media seal still intact?","Er den originale software-/medieforsegling stadig intakt?"
"Yes — it's still sealed","Ja — den er stadig forseglet"
"Refund possible — return the unopened package.","Refundering er mulig — returnér den uåbnede pakke."
"No — I've opened it","Nej — jeg har åbnet den"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Denne vare kan ikke returneres (art. 16, litra e, i direktiv 2011/83/EU)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Denne vare kan ikke returneres (art. 16, litra i, i direktiv 2011/83/EU)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Når du bekræfter, at forseglingen er brudt, udelukkes denne vare fra fortrydelsesanmodningen, og mængden nulstilles."
"Reason for return (optional)","Returbegrundelse (valgfri)"
"Tell us more (optional, max 500 chars)","Fortæl os mere (valgfri, maks. 500 tegn)"
"Already returned.","Allerede returneret."
"awaiting admin review","afventer administrativ gennemgang"
"awaiting confirmation","afventer bekræftelse"
"Request %1 %2 (%3 item%4).","Anmodning %1 %2 (%3 vare%4)."
"Return request awaiting review.","Returanmodning afventer gennemgang."
"Cancel request","Annullér anmodning"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","I henhold til EU's forbrugerret kan du fortryde de fleste aftaler inden for 14 dage uden at angive nogen grund."
"Read your full pre-contract rights (Art. 6)","Læs dine fulde rettigheder før aftaleindgåelse (art. 6)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","I henhold til art. 6 i direktiv 2011/83/EU (som ændret ved direktiv (EU) 2023/2673) har sælgeren, inden du afgav denne ordre, oplyst dig om — eller stillet til rådighed — følgende oplysninger:"
"The main characteristics of the goods or services.","Varernes eller tjenesteydelsernes vigtigste egenskaber."
"The identity and contact details of the trader.","Den erhvervsdrivendes identitet og kontaktoplysninger."
"The total price including all taxes and any delivery costs.","Den samlede pris inklusive alle skatter og afgifter samt eventuelle leveringsomkostninger."
"The arrangements for payment, delivery and performance, and complaint-handling.","Vilkårene for betaling, levering og opfyldelse samt klagebehandling."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Din fortrydelsesret: I henhold til art. 9 har du 14 dage til at fortryde denne aftale om fjernsalg uden at angive nogen grund. For fysiske varer løber 14-dages fristen fra den dag, du (eller en af dig udpeget tredjepart) får varerne i fysisk besiddelse. For tjenesteydelser og digitalt indhold gælder andre starttidspunkter (art. 9, stk. 2, litra a/c)."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Undtagelser: Retten gælder ikke for visse varer og tjenesteydelser nævnt i art. 16 (f.eks. specialfremstillede varer, forseglede hygiejnevarer, hvor forseglingen er brudt, samt digitalt indhold, hvis levering er påbegyndt med dit forudgående udtrykkelige samtykke og din anerkendelse af, at du dermed mister fortrydelsesretten)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","Den lovbestemte garanti for varers overensstemmelse i henhold til art. 5 i direktiv 2019/771 gælder ud over fortrydelsesretten."
"Delivery: %1","Levering: %1"
"Total paid","Betalt i alt"
"Pick an order to withdraw from","Vælg en ordre, du vil fortryde"
"Select a recent order to start your withdrawal.","Vælg en nylig ordre for at starte din fortrydelse."
"Select","Vælg"
"Withdrawal progress","Fortrydelsesforløb"
"title","titel"
"subtitle","undertitel"
"Items to return","Varer til returnering"
"0 items","0 varer"
"Refund summary","Refusionsoversigt"
"No items in this order are currently eligible for withdrawal.","Ingen varer i denne ordre er på nuværende tidspunkt berettigede til fortrydelse."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Hver linje er enten allerede under behandling, afventer bekræftelse eller er fuldt fortrudt. Se afsnittet med eksisterende anmodninger ovenfor for status eller for at annullere."
"No items selected yet. Use the + button next to an item to add it to your return.","Der er endnu ikke valgt nogen varer. Brug + knappen ved siden af en vare for at føje den til din returnering."
"Find your order","Find din ordre"
"Enter the details you used during checkout to start a return or withdrawal.","Indtast de oplysninger, du brugte ved betalingen, for at starte en returnering eller fortrydelse."
"We could not find an order matching that email. Double-check your order number and email address.","Vi kunne ikke finde en ordre, der matcher denne e-mailadresse. Tjek dit ordrenummer og din e-mailadresse igen."
"e.g. 12345","f.eks. 12345"
"You can find this in your order confirmation email.","Du kan finde dette i din ordrebekræftelses-e-mail."
"Email address","E-mailadresse"
"you@example.com","you@example.com"
"Must match the email used for the order.","Skal matche den e-mail, der blev brugt til ordren."
"Find my order","Find min ordre"
"You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason.","Du har ret til at fortryde dit køb inden for 14 dage efter modtagelsen af din ordre uden at angive nogen grund."
"Need help finding your order?","Brug for hjælp til at finde din ordre?"
"Select an order","Vælg en ordre"
"Choose an order from your history to start a return or withdrawal.","Vælg en ordre fra din historik for at starte en returnering eller fortrydelse."
"You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order.","Du har ingen ordrer, der er berettigede til fortrydelse. 14-dages fortrydelsesfristen løber fra den dag, du modtog din ordre."
"View all my orders","Se alle mine ordrer"
"items","varer"
"Select order","Vælg ordre"
"No recent withdrawal","Ingen nylige fortrydelser"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","Vi kunne ikke finde en nylig fortrydelse i denne session. Hvis du lige har indsendt en, så tjek din indbakke for bekræftelsesmailen."
"Start a new withdrawal","Start en ny fortrydelse"
"Withdrawal #%1 submitted","Fortrydelse #%1 indsendt"
"Related order:","Relateret ordre:"
"Items","Varer"
"Items included in this withdrawal","Varer i denne fortrydelse"
"Line Total","Linjesum"
"What happens next","Hvad sker der nu"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","Du modtager en kvitteringsmail med den fulde fortrydelseserklæring og integritetshashen inden for få minutter."
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","14-dages fristen i henhold til art. 9 i forbrugerrettighedsdirektivet er fastlåst til det tidspunkt, hvor du bekræftede fortrydelsen — der kræves ikke yderligere af dig for at bevare retten."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","Den endelige refundering opgøres, når vi har modtaget de returnerede varer (art. 14, stk. 2), og udbetales til den oprindelige betalingsmetode. Forvent beløbet inden for 14 dage efter modtagelsen."
"Back to Withdrawals","Tilbage til fortrydelser"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Bekræftelse på samtykke til digitalt indhold — Ordre %increment_id"
"Sehr geehrte/r %name,","Kære %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Dette er bekræftelsen på et varigt medium af dit udtrykkelige samtykke til, at leveringen af følgende digitale indhold påbegyndes, samt af din anerkendelse af, at du derved mister din fortrydelsesret (art. 16, litra m, i forbrugerrettighedsdirektivet)."
"Durch den Verzicht abgedeckte digitale Inhalte","Digitalt indhold omfattet af samtykket"
"Ihre ausdrückliche Einwilligung","Dit udtrykkelige samtykke"
"Eingewilligt am:","Samtykket den:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Din anerkendelse af mistet fortrydelsesret"
"Bestätigt am:","Bekræftet den:"
"Verzichtsreferenz:","Samtykkereference:"
