"View Credit Memo","Vis kreditnota"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Retsgrundlag: art. 16, litra m, i forbrugerrettighedsdirektivet 2011/83/EU."
"Digital content waiver confirmation — Order %1","Bekræftelse på samtykke til digitalt indhold — Ordre %1"
"Dear %name,","Kære %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Dette er bekræftelsen på et varigt medium af dit udtrykkelige samtykke til, at leveringen af følgende digitale produkter påbegyndes, samt af din anerkendelse af, at du derved mister din fortrydelsesret (art. 16, litra m, i forbrugerrettighedsdirektivet)."
"Digital items covered by this waiver","Digitale produkter omfattet af dette samtykke"
"Your express consent","Dit udtrykkelige samtykke"
"Consented at:","Samtykket den:"
"Your acknowledgment of loss of withdrawal right","Din anerkendelse af mistet fortrydelsesret"
"Acknowledged at:","Anerkendt den:"
"Waiver reference:","Samtykkereference:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Retsgrundlag: Art. 16(m) forbrugerrettighedsdirektivet 2011/83/EU."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Bekræftelse på samtykke til digitalt indhold — Ordre %increment_id"
"Hyvä %name,","Kære %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Dette er bekræftelsen på et varigt medium af dit udtrykkelige samtykke til, at leveringen af følgende digitale indhold påbegyndes, samt af din anerkendelse af, at du derved mister din fortrydelsesret (art. 16, litra m, i forbrugerrettighedsdirektivet)."
"Luopumisen kattamat digitaaliset sisällöt","Digitalt indhold omfattet af samtykket"
"Nimenomainen suostumuksesi","Dit udtrykkelige samtykke"
"Suostuttu:","Samtykket den:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Din anerkendelse af mistet fortrydelsesret"
"Vahvistettu:","Bekræftet den:"
"Luopumisen viite:","Samtykkereference:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Retsgrundlag: art. 16, litra m, i forbrugerrettighedsdirektivet 2011/83/EU."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Bekræftelse på samtykke til digitalt indhold — Ordre %increment_id"
"Cher/Chère %name,","Kære %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Dette er bekræftelsen på et varigt medium af dit udtrykkelige samtykke til, at leveringen af følgende digitale indhold påbegyndes, samt af din anerkendelse af, at du derved mister din fortrydelsesret (art. 16, litra m, i forbrugerrettighedsdirektivet)."
"Contenus numériques couverts par la présente renonciation","Digitalt indhold omfattet af samtykket"
"Votre consentement exprès","Dit udtrykkelige samtykke"
"Consenti le :","Samtykket den:"
"Votre reconnaissance de la perte du droit de rétractation","Din anerkendelse af mistet fortrydelsesret"
"Reconnu le :","Anerkendt den:"
"Référence de renonciation :","Samtykkereference:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Retsgrundlag: art. 16, litra m, i forbrugerrettighedsdirektivet 2011/83/EU."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Bekræftelse på samtykke til digitalt indhold — Ordre %increment_id"
"Beste %name,","Kære %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Dette er bekræftelsen på et varigt medium af dit udtrykkelige samtykke til, at leveringen af følgende digitale indhold påbegyndes, samt af din anerkendelse af, at du derved mister din fortrydelsesret (art. 16, litra m, i forbrugerrettighedsdirektivet)."
"Onder deze afstand vallende digitale items","Digitalt indhold omfattet af samtykket"
"Uw uitdrukkelijke toestemming","Dit udtrykkelige samtykke"
"Toestemming verleend op:","Samtykket den:"
"Uw erkenning van verlies van herroepingsrecht","Din anerkendelse af mistet fortrydelsesret"
"Erkend op:","Anerkendt den:"
"Afstandreferentie:","Samtykkereference:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Retsgrundlag: art. 16, litra m, i direktiv 2011/83/EU."
"[EU Withdrawal] Receipt send failed — request #%request_id","[EU Withdrawal] Afsendelse af kvittering mislykkedes — anmodning #%request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","Kvitteringsmailen for fortrydelsesanmodning #%request_id kunne ikke sendes og er permanent mislykket."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Tjek kolonnen <code>mm_eu_withdrawal_request.receipt_last_error</code> for den seneste fejlmeddelelse og kolonnen <code>mm_eu_withdrawal_request.receipt_send_attempts</code> for antallet af forsøg."
"You can requeue the send from the admin grid after resolving the underlying issue.","Du kan sætte afsendelsen i kø igen fra administrationsoversigten, når den underliggende fejl er løst."
"Your refund is on its way — Withdrawal #%1","Din refundering er på vej — Fortrydelse #%1"
"Your refund is on its way","Din refusion er på vej"
"Hi %name, we've approved your withdrawal request and started the refund process.","Hej %name, vi har godkendt din fortrydelse og sat refunderingen i gang."
"View refund details","Vis refusionsdetaljer"
"Withdrawal number","Fortrydelsesnummer"
"Approved on","Godkendt den"
"Estimated arrival","Forventet ankomst"
"Status","Status"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Din refundering sendes til din oprindelige betalingsmetode inden for 5–7 hverdage. Du kan se den på dit kort- eller kontoudtog, så snart den er gået ind."
"Need help?","Brug for hjælp?"
"Reply to this email or contact us at","Svar på denne mail eller kontakt os på"
"Your withdrawal was cancelled — Withdrawal #%1","Din fortrydelse blev annulleret — Fortrydelse #%1"
"Your withdrawal was cancelled","Din fortrydelse blev annulleret"
"Hi %name, we've cancelled your withdrawal request.","Hej %name, vi har annulleret din fortrydelsesanmodning."
"Submit a new request","Indsend en ny anmodning"
"Cancelled request","Annulleret anmodning"
"Cancelled on","Annulleret den"
"Refund requested","Refusion anmodet"
"If this was unexpected, you can submit a new withdrawal request as long as your 14-day window is still open. Reach out if you need help — we're happy to clarify.","Hvis det her var uventet, kan du indsende en ny fortrydelsesanmodning, så længe din 14-dages frist stadig løber. Skriv til os, hvis du har brug for hjælp — vi forklarer gerne."
"Cancellation confirmed — Withdrawal #%1","Annullering bekræftet — Fortrydelse #%1"
"Cancellation confirmed","Annullering bekræftet"
"Hi %name, your withdrawal request has been cancelled as you asked.","Hej %name, din fortrydelsesanmodning er blevet annulleret, som du bad om."
"Back to my orders","Tilbage til mine ordrer"
"Cancelled by","Annulleret af"
"You","Du"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your 14-day window.","Din ordre er stadig aktiv, og du behøver ikke gøre mere. Hvis du skifter mening, kan du når som helst indsende en ny fortrydelsesanmodning inden for din 14-dages frist."
"Update on your withdrawal request — Withdrawal #%1","Opdatering om din fortrydelsesanmodning — Fortrydelse #%1"
"We can't process this withdrawal","Vi kan ikke behandle denne fortrydelse"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Hej %name, efter at have gennemgået din fortrydelsesanmodning kan vi desværre ikke godkende den."
"Request details","Anmodningsdetaljer"
"Reviewed on","Gennemset den"
"Decision","Beslutning"
"Reason from our team","Begrundelse fra vores team"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Vil du drøfte afgørelsen, er vores team klar til at hjælpe. Svar på denne e-mail, eller brug knappen ovenfor."
"Your withdrawal request has been submitted — Order #%1","Din fortrydelsesanmodning er indsendt — Ordre #%1"
"Your return request has been submitted","Din returanmodning er indsendt"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Hej %name, vi har modtaget din returanmodning og er ved at gennemgå den. Du hører fra os, når vi har inspiceret din retur og behandlet din refundering."
"Return number","Returnummer"
"Requested on","Anmodet den"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Vi inspicerer din retur og giver dig besked, når den er godkendt. Refunderinger sendes til din oprindelige betalingsmetode inden for 5–7 hverdage efter godkendelse."
"If you have any questions, our customer service team is here to help.","Har du spørgsmål, står vores kundeservice klar til at hjælpe."
"Visit our help center","Besøg vores hjælpecenter"
"If you did not initiate this request, contact us immediately at","Hvis det ikke var dig, der sendte denne anmodning, så kontakt os straks på"
"Withdrawal receipt — Order #%1","Fortrydelseskvittering — Ordre #%1"
"Withdrawal receipt","Fortrydelseskvittering"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Hej %name, denne e-mail er din fortrydelsesdokumentation på et varigt medium i henhold til Art. 11a direktiv 2011/83/EU. Gem den til dine optegnelser."
"Submitted on","Indsendt den"
"Your %store_name order confirmation","Din ordrebekræftelse fra %store_name"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Tak for din ordre hos %store_name."
"Once your package ships we will send you a tracking number.","Når din pakke er afsendt, sender vi dig et sporingsnummer."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Du kan tjekke status på din ordre ved at <a href=""%account_url"">logge ind på din konto</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Har du spørgsmål til din ordre, kan du skrive til os på <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","eller ringe til os på <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Vores åbningstider er <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Din ordre <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Bestilt den <span class=""no-link"">%created_at</span>"
"Billing Info","Faktureringsoplysninger"
"Shipping Info","Forsendelsesoplysninger"
"Payment Method","Betalingsmetode"
"Shipping Method","Forsendelsesmetode"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Når din pakke er afsendt, sender vi en e-mail med et link til at spore din ordre."
"Your %store_name order has shipped","Din ordre fra %store_name er afsendt"
"Your shipping confirmation is below. Thank you again for your business.","Din forsendelsesbekræftelse vises nedenfor. Tak igen for din ordre."
"Your Shipment #%shipment_id for Order #%order_id","Din forsendelse #%shipment_id for ordre #%order_id"
"Your digital content waiver is on file","Dit samtykke til digitalt indhold er registreret"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Hej %name, du har givet samtykke til straks digital levering af nedenstående produkter — dette er din kopi af samtykket på et varigt medium (Art. 11a(4) CRD)."
"View order","Vis ordre"
"Consented at","Samtykket den"
"Acknowledged at","Anerkendt den"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Gem denne e-mail som din dokumentation på et varigt medium. Forhandleren har gemt SHA-256-hashen af den juridiske tekst, du accepterede:"
"Digital content waiver","Frafald af ret for digitalt indhold"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Vi skal bruge dit udtrykkelige samtykke, før du kan købe denne digitale vare — læs venligst begge punkter grundigt."
"We log this consent with your IP and timestamp for our audit record.","Vi logger dette samtykke med din IP-adresse og tidsstempel til vores revisionslog."
"Continue","Fortsæt"
"Waiver could not be saved. Please retry.","Samtykket kunne ikke gemmes. Prøv igen."
"Enable for EU Withdrawal Lookup Form","Aktivér til søgeformularen for EU-fortrydelsesret"
"MageMe Extensions","MageMe-udvidelser"
"EU Withdrawal","EU-fortrydelsesret"
"General","Generelt"
"Enable Module","Aktivér modul"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Aktiverer frontend og cronjobs. Standard: deaktiveret. Gennemgå opsætningstjeklisten manuelt, før modulet aktiveres."
"Request Number Prefix","Præfiks til anmodningsnummer"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Valgfrit præfiks, der tilføjes foran fortrydelsesanmodningens increment-ID i kundens grænseflade (f.eks. vises ""RR-"" som ""RR-000000022""). Lad være tom for kun at vise det udfyldte nummer."
"Default Contract Type","Standardkontrakttype"
"Frontend Route","Butiksrute"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","URL-præfiks, der bruges af kundens fortrydelsesflow (f.eks. vises <code>withdraw-contract</code> som <code>/withdraw-contract/...</code>)."
"Withdrawal Period","Fortrydelsesfrist"
"Delivery Confirmation Statuses","Statusser for leveringsbekræftelse"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Vælg en eller flere ordrestatusser, hvis <em>overgang</em> betyder, at kunden har modtaget varerne i dit forsendelsesflow. 14-dages fortrydelsesfristen starter på tidspunktet for ordrens <em>tidligste</em> overgang til <em>en hvilken som helst</em> af de valgte statusser (art. 9, stk. 2, litra b, i direktiv 2011/83/EU). Multivalg understøtter forhandlere, der bruger flere ""leveret""-lignende statusser (f.eks. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Indtil ordren når en af dem, er fortrydelsesretten åben uden en fast frist."
"Eligibility Rules (Art. 16 CRD Presets)","Berettigelsesregler (forudindstillinger iht. art. 16 CRD)"
"Art. 16(c) Custom-Made Goods","Art. 16(c) Specialfremstillede varer"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Udelukker produkter fremstillet efter kundens specifikationer eller tydeligt personliggjorte (f.eks. graveret smykke, skræddersyet tøj). <strong>Kræver</strong> produktattributten <code>is_custom_made = true</code>. Hvis aktiveret, kan ordrer, der indeholder sådanne varer, ikke fortrydes — kunderne ser dette, når de forsøger at starte fortrydelse."
"Art. 16(d) Perishable Goods","Art. 16(d) Letfordærvelige varer"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Udelukker varer, der hurtigt kan forringes eller udløbe (friske fødevarer, afskårne blomster, lægemidler med kort holdbarhed). <strong>Kræver</strong> produktattributten <code>is_perishable = true</code>. Aktivér den ikke for alle kategorier — anvend den kun for SKU'er, der reelt er letfordærvelige, ellers afviser du gyldige fortrydelser ulovligt."
"Art. 16(e) Sealed Hygiene / Health","Art. 16(e) Forseglede hygiejne-/sundhedsvarer"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Udelukker forseglede hygiejne- eller sundhedsvarer, <strong>kun hvis forseglingen er brudt efter levering</strong> (kosmetik, undertøj, forseglede medicinske artikler). <strong>Kræver</strong> produktattributten <code>is_sealed_hygiene = true</code>. Udelukkelsen afhænger af et forseglingstjek på fortrydelsestidspunktet (workflow i phase-04) — en forseglet, uåbnet returnering forbliver berettiget."
"Art. 16(i) Sealed Audio / Video / Software","Art. 16(i) Forseglet lyd/video/software"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Udelukker forseglede lydoptagelser, videooptagelser eller forseglet computersoftware, <strong>kun hvis forseglingen er brudt efter levering</strong>. <strong>Kræver</strong> produktattributten <code>is_sealed_av = true</code>. Samme forseglingstjek-logik som art. 16, litra e. Gælder ikke for streaming-/digitalt downloadbart indhold — brug art. 16, litra m, til disse."
"Digital Content (Art. 16(m))","Digitalt indhold (art. 16(m))"
"Detection","Registrering"
"Enable Digital Content Detection","Aktivér registrering af digitalt indhold"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Hovedafbryder for registrering af digitalt indhold iht. art. 16, litra m. Når den er slået fra, registreres ingen produkter som digitale, samtykketrinnet i kassen er ikke påkrævet, og forudindstillingen tillader altid fortrydelse."
"Detection Strategies","Registreringsstrategier"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Hvilke produkttype-heuristikker, der udløser samtykkespærren for digitalt indhold. Downloadable + virtual er sikre standarder; bundle_contains_digital undersøger underprodukter i pakker; custom_attribute læser det EAV-flag, der er konfigureret nedenfor."
"Custom Attribute Code","Kode for tilpasset attribut"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","EAV-attributkode, der <strong>kun</strong> bruges, når <em>Brugerdefineret attributflag</em> er valgt i <em>Registreringsstrategier</em> ovenfor. Standard: <code>is_digital_content</code> (boolesk attribut, 1 = digital). Ignoreres ellers."
"Checkout Step + Email","Kassetrin + mail"
"Enable Checkout Waiver Step","Aktivér afkaldstrin i kassen"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Når aktiveret, viser kurve, der indeholder en registreret digital vare, samtykketrinnet med 2 afkrydsningsfelter i kassen. Har ingen effekt, medmindre <em>Registrering → Aktivér registrering af digitalt indhold</em> også er aktiveret."
"Merchant BCC Address for Confirmation Emails","Forhandlerens skjult kopi-adresse til bekræftelsesmails"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Valgfri. Sender en skjult kopi af bekræftelsesmailen for samtykket til en revisionsadresse hos forhandleren. Lad være tom for at springe over."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Markér rent virtuelle varer som ydelsespåbegyndte ved bekræftelse"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Virtuelle produkter har ingen downloadtrigger. Når aktiveret, betragtes afsendelsen af bekræftelsesmailen for samtykket som påbegyndelse af leveringen for varer, der udelukkende er virtuelle (I-6-grænsen)."
"Confirmation Email Identity","Afsenderidentitet for bekræftelsesmail"
"Per-Locale Waiver Text Overrides","Tilsidesættelser af afkaldstekst pr. sprog"
"English (en_US)","Engelsk (en_US)"
"Consent Text","Samtykketekst"
"Right-Loss Acknowledgment Text","Tekst om anerkendelse af mistet ret"
"German (de_DE)","Tysk (de_DE)"
"Finnish (fi_FI)","Finsk (fi_FI)"
"Dutch (nl_NL)","Hollandsk (nl_NL)"
"French (fr_FR)","Fransk (fr_FR)"
"Italian (it_IT)","Italiensk (it_IT)"
"Spanish (es_ES)","Spansk (es_ES)"
"Polish (pl_PL)","Polsk (pl_PL)"
"Portuguese (pt_PT)","Portugisisk (pt_PT)"
"Danish (da_DK)","Dansk (da_DK)"
"Swedish (sv_SE)","Svensk (sv_SE)"
"German — Austria (de_AT)","Tysk — Østrig (de_AT)"
"Swedish — Finland (sv_FI)","Svensk — Finland (sv_FI)"
"Dutch — Belgium (nl_BE)","Hollandsk — Belgien (nl_BE)"
"French — Belgium (fr_BE)","Fransk — Belgien (fr_BE)"
"German — Belgium (de_BE)","Tysk — Belgien (de_BE)"
"French — Luxembourg (fr_LU)","Fransk — Luxembourg (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Oplysninger før aftaleindgåelse (art. 6(1)(h))"
"Enable Pre-Contract Disclosure","Aktivér oplysninger før aftaleindgåelse"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Hovedafbryder. Deaktiveret = blokken vises ikke, og ingen visningshændelser registreres. Deaktivering udsætter forhandleren for art. 10 (forlænget fortrydelsesfrist på 12 måneder + 14 dage). Standard: aktiveret."
"Withdrawal Period (Days)","Fortrydelsesfrist (dage)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Standard 14 dage iht. art. 9, stk. 2. Forlængelse er tilladt (f.eks. 30, 100). Forkortelse under 14 dage er ulovlig — feltet validerer kun >=14, når modulet er aktiveret."
"Return Address","Returadresse"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Hvor forbrugere sender varer tilbage. Lad være tom for at falde tilbage til adressen i Butikker → Konfiguration → Generelt → Generelt → Butiksinformation."
"Display In Checkout","Vis i kassen"
"Annex I Overrides Per Locale","Tilsidesættelser af bilag I pr. sprog"
"Bulgarian (bg_BG)","Bulgarsk (bg_BG)"
"Czech (cs_CZ)","Tjekkisk (cs_CZ)"
"Greek (el_GR)","Græsk (el_GR)"
"Estonian (et_EE)","Estisk (et_EE)"
"Croatian (hr_HR)","Kroatisk (hr_HR)"
"Hungarian (hu_HU)","Ungarsk (hu_HU)"
"Lithuanian (lt_LT)","Litauisk (lt_LT)"
"Latvian (lv_LV)","Lettisk (lv_LV)"
"Romanian (ro_RO)","Rumænsk (ro_RO)"
"Slovak (sk_SK)","Slovakisk (sk_SK)"
"Slovenian (sl_SI)","Slovensk (sl_SI)"
"Frontend","Frontend"
"Buttons","Knapper"
"Step 1 Button Label","Knaptekst trin 1"
"Step 2 Button Label (Confirmation)","Knaptekst trin 2 (bekræftelse)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Juridisk advarsel.</strong> Dette er teksten på den endelige bekræftelsesknap. Standardværdien (""Confirm withdrawal"") er juridisk godkendt. Per-locale translations are counsel-signed. Tilsidesæt kun med skriftlig juridisk rådgivning; tilsidesættelser registreres i revisionsloggen."
"Placements","Placeringer"
"Show Footer Link","Vis link i sidefoden"
"Show in My Account","Vis i Min konto"
"Return Reasons","Returårsager"
"Reasons","Årsager"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Liste over årsager, der tilbydes kunden i dropdown-menuen pr. vare. <strong>Kode</strong> er den maskinværdi, der gemmes i databasen (små bogstaver, snake_case, maks. 32 tegn); <strong>Etiket</strong> er den synlige tekst. Et tomt gitter skjuler dropdown-menuen helt."
"Enable ""Other"" with Free Text","Aktivér ""Andet"" med fritekst"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Når aktiveret, vises en ""Andet""-mulighed i dropdown-menuen, som åbner et fritekstfelt (maks. 500 tegn)."
"Review Step","Gennemsynstrin"
"Return Shipping Notice","Meddelelse om returforsendelse"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Tekst, der vises i trinnet Gennemgå & bekræft (trin 3). Eksempel: ""Du modtager en forudbetalt forsendelsesetiket i bekræftelsesmailen."" eller ""Returforsendelsesomkostninger betales af kunden."" Lad være tom for at skjule rækken."
"Return Policy URL","URL til returpolitik"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Valgfrit link, der vises ved siden af forsendelsesmeddelelsen (""Se returpolitik""). Accepterer absolutte URL'er eller relative stier som ""return-policy""."
"Customer Notifications","Kundemeddelelser"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Alle kundevendte mails, der sendes af modulet. Hver mail kan aktiveres/deaktiveres, tildeles en brugerdefineret skabelon (Marketing → Email Templates) og sendes som skjult kopi til en forhandleradresse. Den fælles undergruppe <em>Branding</em> nederst styrer layoutet (USP-bjælke, sociale links), der bruges af alle mails nedenfor."
"1. Submission Confirmation Email","1. Bekræftelsesmail ved indsendelse"
"Enabled","Aktiveret"
"Email Template","Mailskabelon"
"BCC Merchant","Skjult kopi til forhandler"
"Comma-separated. Leave blank to disable.","Komma-adskilt. Lad være tom for at deaktivere."
"2. Approval Email","2. Godkendelsesmail"
"3. Denial Email","3. Afvisningsmail"
"4. Cancellation Email (Admin-Initiated)","4. Annulleringsmail (igangsat af administrator)"
