"View Credit Memo","Προβολή πιστωτικού σημειώματος"
"Issue Credit Memo","Έκδοση πιστωτικού σημειώματος"
"Approve","Έγκριση"
"Approve this withdrawal request?","Έγκριση αυτού του αιτήματος υπαναχώρησης;"
"Deny","Απόρριψη"
"Legal reason for denial (min 10 chars):","Νομικός λόγος απόρριψης (ελάχ. 10 χαρακτήρες):"
"Cancel Request","Ακύρωση αιτήματος"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Ακύρωση αυτής της υπαναχώρησης; Προσθέστε προαιρετική σημείωση για τον πελάτη (εμφανίζεται στο email ακύρωσης):"
"Resend Receipt","Επαναποστολή απόδειξης"
"Send the receipt email again? The customer will receive another copy.","Επαναποστολή του email απόδειξης; Ο πελάτης θα λάβει νέο αντίγραφο."
"Withdrawal Request #%1","Αίτημα υπαναχώρησης #%1"
"Request Details","Λεπτομέρειες αιτήματος"
"Information","Πληροφορίες"
"Reason for Denial","Λόγος απόρριψης"
"Customer Cancellation Note","Σημείωση ακύρωσης πελάτη"
"Cancellation Note","Σημείωση ακύρωσης"
"Status-Change Note","Σημείωση αλλαγής κατάστασης"
"Code","Κωδικός"
"Label","Ετικέτα"
"Add Reason","Προσθήκη λόγου"
"In progress","Σε εξέλιξη"
"Refund issued","Επιστροφή εκδόθηκε"
"Denied","Απορρίφθηκε"
"Cancelled","Ακυρώθηκε"
"Pending","Σε εκκρεμότητα"
"This is a transactional email about your order.","Αυτό είναι ένα συναλλακτικό email σχετικά με την παραγγελία σας."
"Reason for denial","Λόγος απόρριψης"
"Your cancellation note","Η σημείωση ακύρωσής σας"
"Note from our team","Σημείωση από την ομάδα μας"
"EU right of withdrawal","Δικαίωμα υπαναχώρησης ΕΕ"
"Withdrawal right pending delivery","Δικαίωμα υπαναχώρησης σε αναμονή παράδοσης"
"Withdrawal window has ended","Η προθεσμία υπαναχώρησης έληξε"
"Not eligible for withdrawal","Μη επιλέξιμο για υπαναχώρηση"
"Withdrawal already requested","Το αίτημα υπαναχώρησης έχει ήδη υποβληθεί"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","Μπορείτε να υπαναχωρήσετε από αυτή τη σύμβαση οποιαδήποτε στιγμή — η προθεσμία των 14 ημερών αρχίζει να μετρά μόλις παραδοθεί η παραγγελία."
"Your 14-day withdrawal window will begin once this order is delivered.","Η προθεσμία υπαναχώρησης 14 ημερών θα ξεκινήσει μόλις παραδοθεί η παραγγελία."
"The 14-day window for withdrawing from this contract has ended.","Η προθεσμία των 14 ημερών για υπαναχώρηση από αυτή τη σύμβαση έχει λήξει."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Αυτή η παραγγελία δεν είναι επιλέξιμη για υπαναχώρηση βάσει του ενωσιακού δικαίου προστασίας του καταναλωτή (Άρθρο 16 Οδηγία 2011/83/ΕΕ)."
"A withdrawal request for this order has been submitted. See the request details below.","Έχει υποβληθεί αίτημα υπαναχώρησης για αυτήν την παραγγελία. Δείτε τις λεπτομέρειες του αιτήματος παρακάτω."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Αυτή η παραγγελία περιέχει αλλοιώσιμο είδος που δεν μπορεί να επιστραφεί (τρόφιμα μικρής διάρκειας ζωής, φρέσκα λουλούδια κ.λπ.)."
"This order contains a custom-made or personalised item that cannot be returned.","Αυτή η παραγγελία περιέχει είδος κατά παραγγελία ή εξατομικευμένο που δεν μπορεί να επιστραφεί."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Αυτή η παραγγελία περιέχει σφραγισμένο είδος υγιεινής. Διατηρείτε το δικαίωμα υπαναχώρησης μόνο όσο η σφραγίδα παραμένει ακέραιη — μόλις αποσφραγιστεί μετά την παράδοση, το δικαίωμα χάνεται."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Αυτή η παραγγελία περιέχει σφραγισμένο είδος ήχου / βίντεο / λογισμικού. Διατηρείτε το δικαίωμα υπαναχώρησης μόνο όσο η σφραγίδα παραμένει ακέραιη — μόλις αποσφραγιστεί μετά την παράδοση, το δικαίωμα χάνεται."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Αυτή η παραγγελία περιέχει ψηφιακό περιεχόμενο. Μόλις ξεκινήσετε τη χρήση ή τη λήψη του περιεχομένου, χάνετε το δικαίωμα υπαναχώρησης (έχετε συναινέσει σε αυτό κατά την ολοκλήρωση της παραγγελίας)."
"%1 item(s) · Refund %2","%1 είδη · Επιστροφή %2"
"Awaiting confirmation","Αναμένει επιβεβαίωση"
"Cancel withdrawal %1? Your refund will not be processed.","Ακύρωση υπαναχώρησης %1; Η επιστροφή χρημάτων δεν θα επεξεργαστεί."
"Submitted","Υποβλήθηκε"
"Approved","Εγκρίθηκε"
"Fully returned","Επιστράφηκε πλήρως"
"Return requested","Ζητήθηκε επιστροφή"
"Not eligible","Μη επιλέξιμο"
"Partially requested","Μερικώς ζητήθηκε"
"— Select a reason —","— Επιλέξτε λόγο —"
"Other","Άλλο"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Η επιστροφή χρημάτων θα γίνει με την αρχική μέθοδο πληρωμής σας εντός 5-7 εργάσιμων ημερών από την παραλαβή της επιστροφής σας."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Το δικαίωμα υπαναχώρησης χάθηκε (Άρθρο 16(μ) Οδηγίας 2011/83/ΕΕ) — η ψηφιακή εκτέλεση ξεκίνησε στις %1."
"Request #%1 not found.","Το αίτημα #%1 δεν βρέθηκε."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","Το email απόδειξης τοποθετήθηκε ξανά στην ουρά για το αίτημα #%1. Η παράδοση θα επαναληφθεί ασύγχρονα."
"Failed to queue receipt resend: %1","Αποτυχία τοποθέτησης σε ουρά της επαναποστολής απόδειξης: %1"
"Note text is empty.","Το κείμενο της σημείωσης είναι κενό."
"Note added to request #%1.","Η σημείωση προστέθηκε στο αίτημα #%1."
"Request #%1 approved.","Το αίτημα #%1 εγκρίθηκε."
"Request #%1 cancelled.","Το αίτημα #%1 ακυρώθηκε."
"Request #%1 denied.","Το αίτημα #%1 απορρίφθηκε."
"Invalid request id.","Μη έγκυρο αναγνωριστικό αιτήματος."
"Unable to open temporary file for CSV export.","Δεν είναι δυνατό το άνοιγμα προσωρινού αρχείου για εξαγωγή CSV."
"Withdrawal Requests","Αιτήματα υπαναχώρησης"
"%1 requests queued for acceptance.","%1 αιτήματα τοποθετήθηκαν στην ουρά για αποδοχή."
"%1 request(s) approved.","%1 αιτήμα(τα) εγκρίθηκαν."
"%1 request(s) failed. First errors: %2","%1 αιτήμα(τα) απέτυχαν. Πρώτα σφάλματα: %2"
"Note added to %1 request(s).","Η σημείωση προστέθηκε σε %1 αιτήμα(τα)."
"Underlying order #%1 not found.","Η σχετική παραγγελία #%1 δεν βρέθηκε."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Η παραγγελία #%1 δεν έχει ακόμη τιμολόγιο — το Magento απαιτεί τιμολόγιο πριν τη δημιουργία πιστωτικού σημειώματος. Δημιουργήστε πρώτα τιμολόγιο (Πωλήσεις → Παραγγελίες → #%1 → κουμπί Τιμολόγιο) και μετά επιστρέψτε εδώ για την επιστροφή χρημάτων."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","Δεν έχουν καταγραφεί είδη σε αυτό το αίτημα υπαναχώρησης — το πιστωτικό σημείωμα θα ανοίξει με τις προεπιλεγμένες ποσότητες τιμολογίου· προσαρμόστε τες χειροκίνητα."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Προσυμπληρωμένο πιστωτικό σημείωμα για την υπαναχώρηση #%1 — ελέγξτε τις ποσότητες και την επιστροφή μεταφορικών παρακάτω και κάντε κλικ στο Επιστροφή Online ή Επιστροφή Offline."
"Some items are no longer eligible. Please reload and try again.","Ορισμένα είδη δεν είναι πλέον επιλέξιμα. Ανανεώστε και δοκιμάστε ξανά."
"We could not process your request. Please try again.","Δεν μπορέσαμε να επεξεργαστούμε το αίτημά σας. Δοκιμάστε ξανά."
"Item","Αντικείμενο"
"We could not find a matching order for that email.","Δεν βρέθηκε αντίστοιχη παραγγελία για αυτό το email."
"Withdraw from a contract","Υπαναχώρηση από σύμβαση"
"Withdrawal not found.","Η υπαναχώρηση δεν βρέθηκε."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Αυτή η υπαναχώρηση δεν μπορεί πλέον να ακυρωθεί διαδικτυακά. Επικοινωνήστε μαζί μας αν χρειάζεστε βοήθεια."
"Withdrawal #%1 cancelled.","Η υπαναχώρηση #%1 ακυρώθηκε."
"Please fill in all required fields.","Συμπληρώστε όλα τα υποχρεωτικά πεδία."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 είδη εξαιρέθηκαν από την υπαναχώρηση επειδή η σφραγίδα είναι σπασμένη (Άρθρο 16(ε)/(θ) Οδηγία 2011/83/ΕΕ)."
"Please select at least one item to withdraw.","Επιλέξτε τουλάχιστον ένα είδος για υπαναχώρηση."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Ένα ή περισσότερα είδη δεν είναι πλέον διαθέσιμα για υπαναχώρηση. Ανανεώστε και δοκιμάστε ξανά."
"None of the selected items are eligible for withdrawal.","Κανένα από τα επιλεγμένα είδη δεν είναι επιλέξιμο για υπαναχώρηση."
"Hash mismatch for quote item %1","Αναντιστοιχία hash για το είδος προσφοράς %1"
"Requested qty %1 exceeds remaining %2 for order item %3","Η ζητούμενη ποσότητα %1 υπερβαίνει τις υπολειπόμενες %2 για το είδος παραγγελίας %3"
"No delivery confirmation recorded for this order yet.","Δεν έχει καταγραφεί ακόμη επιβεβαίωση παράδοσης για αυτή την παραγγελία."
"No eligible items selected for withdrawal","Δεν έχουν επιλεγεί επιλέξιμα είδη για υπαναχώρηση"
"Physical goods","Φυσικά αγαθά"
"Digital content (non-tangible)","Ψηφιακό περιεχόμενο (άυλο)"
"Digital service (SaaS / subscription)","Ψηφιακή υπηρεσία (SaaS / συνδρομή)"
"Financial services (Enterprise tier)","Χρηματοοικονομικές υπηρεσίες (επίπεδο Enterprise)"
"Downloadable products","Προϊόντα προς λήψη"
"Virtual products","Εικονικά προϊόντα"
"Bundles containing digital children","Πακέτα που περιέχουν ψηφιακά υποπροϊόντα"
"Custom attribute flag","Σημαία προσαρμοσμένου χαρακτηριστικού"
"locale_inheritance.xml missing at %1","Το locale_inheritance.xml λείπει στο %1"
"locale_inheritance.xml unreadable at %1","Το locale_inheritance.xml δεν είναι αναγνώσιμο στο %1"
"locale_inheritance.xml failed XSD validation: %1","Το locale_inheritance.xml απέτυχε στην επικύρωση XSD: %1"
"Original payment method","Αρχικός τρόπος πληρωμής"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","Αυτή είναι η απόδειξη υπαναχώρησης σε σταθερό μέσο (Άρθρο 11α(4) Οδηγία 2011/83/ΕΕ)."
"This email is a notification about your withdrawal request.","Αυτό το email είναι ειδοποίηση σχετικά με το αίτημα υπαναχώρησής σας."
"5–7 business days","5–7 εργάσιμες ημέρες"
"This is a confirmation that your withdrawal request has been recorded.","Αυτή είναι η επιβεβαίωση ότι το αίτημα υπαναχώρησής σας έχει καταγραφεί."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","Η επέκταση MageMe EU Withdrawal έχει εγκατασταθεί αλλά δεν είναι ενεργοποιημένη. Ελέγξτε τη λίστα συμμόρφωσης και διαμορφώστε την επέκταση πριν την ενεργοποιήσετε: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","Η κατάσταση επιβεβαίωσης παράδοσης δεν έχει διαμορφωθεί. Ρυθμίστε στο Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses."
"No Annex I source found for locale %1 along chain %2","Δεν βρέθηκε πηγή Παραρτήματος I για τη γλώσσα %1 στην αλυσίδα %2"
"Annex I source for locale %1 is malformed","Η πηγή Παραρτήματος I για τη γλώσσα %1 είναι κακοδιατυπωμένη"
"Missing merchant variables for Annex I rendering: %1","Λείπουν μεταβλητές εμπόρου για την απόδοση του Παραρτήματος I: %1"
"Receipt hash mismatch for request %1","Αναντιστοιχία hash απόδειξης για το αίτημα %1"
"Request %1 not found.","Το αίτημα %1 δεν βρέθηκε."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Η απόρριψη αιτήματος υπαναχώρησης απαιτεί νομική βάση τουλάχιστον 10 χαρακτήρων."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Το αίτημα υπαναχώρησης δεν μπορεί να μεταβεί από ""%1"" σε ""%2""."
"Request %1 is not in pending_confirm state.","Το αίτημα %1 δεν βρίσκεται σε κατάσταση pending_confirm."
"Withdrawal request #%1 does not exist.","Το αίτημα υπαναχώρησης #%1 δεν υπάρχει."
"No digital items on order %1","Δεν υπάρχουν ψηφιακά είδη στην παραγγελία %1"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","Αυτό είναι το αντίγραφο σε σταθερό μέσο της παραίτησης που υπογράψατε κατά την ολοκλήρωση της παραγγελίας (Άρθρο 11α(4) Οδηγία 2011/83/ΕΕ)."
"Waived","Παραιτήθηκε"
"Waiver email render failed: %1","Η απόδοση του email παραίτησης απέτυχε: %1"
"Digital content waiver text has changed — please reload checkout.","Το κείμενο παραίτησης ψηφιακού περιεχομένου έχει αλλάξει — επαναφορτώστε τη σελίδα ολοκλήρωσης παραγγελίας."
"Digital content waiver is incomplete for item %1.","Η παραίτηση ψηφιακού περιεχομένου είναι ελλιπής για το είδος %1."
"bad","κακό"
"smtp down","smtp down"
"smtp","smtp"
"down","εκτός λειτουργίας"
"No shipment found for order 42.","Δεν βρέθηκε αποστολή για την παραγγελία 42."
"View","Προβολή"
"Withdrawal & Customer Information","Στοιχεία υπαναχώρησης και πελάτη"
"Request # %1","Αίτημα # %1"
"Request Status","Κατάσταση αιτήματος"
"Submitted At","Υποβλήθηκε στις"
"Confirmed At","Επιβεβαιώθηκε στις"
"Related Order","Σχετική παραγγελία"
"Jurisdiction","Δικαιοδοσία"
"Contract Type","Τύπος σύμβασης"
"Receipt Status","Κατάσταση απόδειξης"
"%1 attempt(s)","%1 προσπάθεια(ες)"
"Receipt Error","Σφάλμα απόδειξης"
"Customer Information","Στοιχεία πελάτη"
"Customer Name","Όνομα πελάτη"
"Email","E-mail"
"Locale","Γλώσσα"
"Items Selected for Withdrawal","Είδη που επιλέχθηκαν για υπαναχώρηση"
"Product","Προϊόν"
"Price","Τιμή"
"Qty","Ποσότ."
"Subtotal","Υποσύνολο"
"Refund","Επιστροφή χρημάτων"
"Reason","Λόγος"
"Eligibility","Επιλεξιμότητα"
"No items associated with this request.","Δεν υπάρχουν συσχετισμένα είδη με αυτό το αίτημα."
"SKU","SKU"
"Ordered","Παραγγέλθηκαν"
"Withdrawing","Υπαναχώρηση"
"Refund Total","Σύνολο επιστροφής"
"Notes for this Request","Σημειώσεις για αυτό το αίτημα"
"Internal notes — visible to admin staff only. Not sent to the customer.","Εσωτερικές σημειώσεις — ορατές μόνο στο προσωπικό διαχείρισης. Δεν αποστέλλονται στον πελάτη."
"Comment","Σχόλιο"
"Add internal note (max 2000 chars)","Προσθήκη εσωτερικής σημείωσης (μέγ. 2000 χαρακτήρες)"
"Submit Comment","Υποβολή σχολίου"
"No comments added yet.","Δεν έχουν προστεθεί ακόμη σχόλια."
" by %1"," από %1"
"Refund Totals","Σύνολα επιστροφής χρημάτων"
"Items Subtotal","Υποσύνολο ειδών"
"Shipping Refund","Επιστροφή μεταφορικών"
"Total Refund","Συνολική επιστροφή"
"Changes have been made to this section that have not been saved.","Έχουν γίνει αλλαγές σε αυτή την ενότητα που δεν έχουν αποθηκευτεί."
"This tab contains invalid data. Please resolve this before saving.","Αυτή η καρτέλα περιέχει μη έγκυρα δεδομένα. Επιλύστε το πρόβλημα πριν την αποθήκευση."
"Contact us","Επικοινωνία"
"Returns","Επιστροφές"
"FAQs","Συχνές ερωτήσεις"
"All rights reserved.","Με την επιφύλαξη παντός δικαιώματος."
"Returned items","Επιστραμμένα είδη"
"No image","Χωρίς εικόνα"
"Item status","Κατάσταση είδους"
"Withdrawal options for this order","Επιλογές υπαναχώρησης για αυτή την παραγγελία"
"You can return this order until %1.","Μπορείτε να επιστρέψετε αυτή την παραγγελία έως %1."
"(Art. 11a Directive 2011/83/EU)","(Άρθρο 11α Οδηγία 2011/83/ΕΕ)"
"Submit a withdrawal request to start the refund process.","Υποβάλετε αίτημα υπαναχώρησης για να ξεκινήσει η διαδικασία επιστροφής χρημάτων."
"(Art. 9(2)(b) Directive 2011/83/EU)","(Άρθρο 9(2)(β) Οδηγία 2011/83/ΕΕ)"
"Start withdrawal","Έναρξη υπαναχώρησης"
"Your withdrawal requests","Τα αιτήματα υπαναχώρησής σας"
"Submitted %1","Υποβλήθηκε %1"
"Show items","Προβολή ειδών"
"Cancel withdrawal","Ακύρωση υπαναχώρησης"
"Qty %1","Ποσότητα %1"
"Receipt details","Λεπτομέρειες απόδειξης"
"Receipt number","Αριθμός απόδειξης"
"Order number","Αριθμός παραγγελίας"
"Confirmed","Επιβεβαιώθηκε"
"Consumer","Καταναλωτής"
"Refund total","Συνολική επιστροφή"
"Merchant","Πωλητής"
"Legal basis","Νομική βάση"
"SKU %1","SKU %1"
"Shipping refund","Επιστροφή μεταφορικών"
"Tax refund","Επιστροφή φόρου"
"Total refund","Συνολική επιστροφή"
"Digital content — Art. 16(m) notice","Ψηφιακό περιεχόμενο — γνωστοποίηση Άρθρου 16(μ)"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Με την υποβολή της παραγγελίας συμφωνήσατε στην έναρξη εκτέλεσης του ψηφιακού περιεχομένου πριν τη λήξη της προθεσμίας υπαναχώρησης και αναγνωρίσατε ότι, μόλις η εκτέλεση ξεκινήσει, το δικαίωμα υπαναχώρησης δεν ισχύει πλέον. Αυτή η γνωστοποίηση εμφανίζεται για τα αρχεία σας."
"Existing withdrawals for this order","Υφιστάμενες υπαναχωρήσεις για αυτή την παραγγελία"
"You can cancel a withdrawal here until it is approved.","Μπορείτε να ακυρώσετε μια υπαναχώρηση εδώ έως ότου εγκριθεί."
"Request #%1","Αίτημα #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Εκτιμώμενη επιστροφή: %1 %2"
"Cancel this withdrawal","Ακύρωση αυτής της υπαναχώρησης"
"Are you sure? This cannot be undone.","Είστε βέβαιοι; Η ενέργεια δεν μπορεί να αναιρεθεί."
"Yes, cancel","Ναι, ακύρωση"
"Keep it","Διατήρηση"
"That order does not belong to your account. Please select one of your own orders.","Αυτή η παραγγελία δεν ανήκει στον λογαριασμό σας. Επιλέξτε μια από τις δικές σας παραγγελίες."
"Select items to return","Επιλέξτε αντικείμενα προς επιστροφή"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Επιλέξτε όλα τα αντικείμενα ή μόνο μερικά από αυτά. Ορίστε την ποσότητα επιστροφής για κάθε αντικείμενο που θέλετε να υπαναχωρήσετε."
"You have 14 days from the day you received your order to withdraw from the contract without giving a reason.","Έχετε 14 ημέρες από την ημερομηνία παραλαβής της παραγγελίας σας για να υπαναχωρήσετε από τη σύμβαση χωρίς να δηλώσετε λόγο."
"Back to order search","Πίσω στην αναζήτηση παραγγελιών"
"Cancel","Ακύρωση"
"Continue to review","Συνέχεια στην επανεξέταση"
"Review and confirm","Επανεξέταση και επιβεβαίωση"
"Order #%1","Παραγγελία #%1"
"Placed on %1","Πραγματοποιήθηκε στις %1"
"Awaiting delivery","Αναμένεται παράδοση"
"Delivered on %1","Παραδόθηκε στις %1"
"Total","Σύνολο"
"Return shipping","Αποστολή επιστροφής"
"View return policy","Προβολή πολιτικής επιστροφών"
"Refund method","Μέθοδος επιστροφής χρημάτων"
"Refund will be issued to your original payment method.","Η επιστροφή χρημάτων θα γίνει στην αρχική μέθοδο πληρωμής σας."
"Return summary","Σύνοψη επιστροφής"
"Shipping & Handling","Αποστολή και διαχείριση"
"Tax","Φόρος"
"Back to items","Πίσω στα είδη"
"Submit return request","Υποβολή αιτήματος επιστροφής"
"Your return request has been submitted!","Το αίτημα επιστροφής σας υποβλήθηκε!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","Σας έχουμε στείλει ένα email με τα στοιχεία της επιστροφής σας και μια προπληρωμένη ετικέτα επιστροφής (εφόσον ισχύει). Έχετε 14 ημέρες από την ημερομηνία παράδοσης για να αποστείλετε πίσω τα είδη σας."
"Return request number","Αριθμός αιτήματος επιστροφής"
"Copy request number","Αντιγραφή αριθμού αιτήματος"
"Copied!","Αντιγράφηκε!"
"Confirmation email sent","Στάλθηκε e-mail επιβεβαίωσης"
"We've sent the details to","Στείλαμε τα στοιχεία στο"
"What happens next?","Τι ακολουθεί;"
"Pack your items securely","Συσκευάστε τα είδη σας με ασφάλεια"
"Send them back using the provided instructions","Στείλτε τα πίσω σύμφωνα με τις παρεχόμενες οδηγίες"
"We'll inspect your return","Θα ελέγξουμε την επιστροφή σας"
"Your refund will be issued to your original payment method","Η επιστροφή χρημάτων θα γίνει στην αρχική σας μέθοδο πληρωμής"
"Need more help?","Χρειάζεστε επιπλέον βοήθεια;"
"View my returns","Προβολή των επιστροφών μου"
"Contact support","Επικοινωνία με υποστήριξη"
"Purchased","Αγορασμένα"
"Returned","Επιστραφέντα"
"Decrease quantity","Μείωση ποσότητας"
"Increase quantity","Αύξηση ποσότητας"
"Has the hygiene seal been broken after delivery?","Έχει σπάσει η σφραγίδα υγιεινής μετά την παράδοση;"
"Has the original software / media seal been broken after delivery?","Έχει σπάσει η αρχική σφραγίδα λογισμικού / μέσου μετά την παράδοση;"
"No, the seal is intact","Όχι, η σφραγίδα είναι ακέραιη"
"Refund possible — return the unopened package.","Η επιστροφή χρημάτων είναι εφικτή — επιστρέψτε το κλειστό πακέτο."
"Yes, the seal is broken","Ναι, η σφραγίδα είναι σπασμένη"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Αυτό το είδος δεν μπορεί να επιστραφεί (Άρθρο 16(ε) Οδηγία 2011/83/ΕΕ)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Αυτό το είδος δεν μπορεί να επιστραφεί (Άρθρο 16(θ) Οδηγία 2011/83/ΕΕ)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Μόλις επιβεβαιώσετε ότι η σφραγίδα είναι σπασμένη, αυτό το είδος εξαιρείται από το αίτημα υπαναχώρησης και η ποσότητα μηδενίζεται."
"Reason for return (optional)","Λόγος επιστροφής (προαιρετικό)"
"Tell us more (optional, max 500 chars)","Πείτε μας περισσότερα (προαιρετικό, μέγ. 500 χαρακτήρες)"
"Already returned.","Έχει ήδη επιστραφεί."
"awaiting admin review","αναμένει έλεγχο διαχειριστή"
"awaiting confirmation","αναμένει επιβεβαίωση"
"Request %1 %2 (%3 item%4).","Αίτημα %1 %2 (%3 είδος%4)."
"Return request awaiting review.","Το αίτημα επιστροφής αναμένει έλεγχο."
"Cancel request","Ακύρωση αιτήματος"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","Σύμφωνα με το ενωσιακό δίκαιο προστασίας του καταναλωτή, μπορείτε να υπαναχωρήσετε από τις περισσότερες συμβάσεις εντός 14 ημερών χωρίς να αναφέρετε λόγο."
"Read your full pre-contract rights (Art. 6)","Δείτε αναλυτικά τα προσυμβατικά σας δικαιώματα (Άρθρο 6)"
