"View Credit Memo","Προβολή πιστωτικού σημειώματος"
"How long the <strong>content hash</strong> (Art. 11a(4) durable-medium proof) stays. After PII has been wiped above, the row keeps only the SHA-256 hash + receipt timestamps until this period expires; then the cron <strong>deletes the whole row</strong>.<br/><br/>
                        <strong>Default: 2190 days (6 years).</strong> Matches the longest commercial-records retention obligation in EU member states (typically 6 years for accounting / VAT). Must be ≥ PII Retention. Range: 2190–3650 days.","Πόσο καιρό παραμένει το <strong>hash περιεχομένου</strong> (απόδειξη σταθερού μέσου του Άρθρου 11α(4)). Μετά τη διαγραφή των PII παραπάνω, η γραμμή διατηρεί μόνο το SHA-256 hash και τις χρονοσημάνσεις απόδειξης μέχρι τη λήξη αυτής της περιόδου· τότε το cron <strong>διαγράφει ολόκληρη τη γραμμή</strong>.<br/><br/>
                        <strong>Προεπιλογή: 2190 ημέρες (6 έτη).</strong> Αντιστοιχεί στη μεγαλύτερη υποχρέωση διατήρησης εμπορικών αρχείων σε κράτη μέλη της ΕΕ (συνήθως 6 έτη για λογιστική / ΦΠΑ). Πρέπει να είναι ≥ Διατήρηση PII. Εύρος: 2190–3650 ημέρες."
"Append-only audit log of all withdrawal lifecycle events (GDPR Art. 5(2) accountability).
                    Personal data (IP, user agent, customer actor ID) is automatically nullified after the retention period.
                    The audit rows themselves are never deleted — only anonymised.","Μητρώο ελέγχου μόνο προσθήκης για όλα τα συμβάντα κύκλου ζωής υπαναχώρησης (λογοδοσία Άρθρο 5(2) ΓΚΠΔ).
                    Τα προσωπικά δεδομένα (IP, user agent, αναγνωριστικό δράστη πελάτη) μηδενίζονται αυτόματα μετά την περίοδο διατήρησης.
                    Οι ίδιες οι γραμμές μητρώου δεν διαγράφονται ποτέ — μόνο ανωνυμοποιούνται."
"Order #","Παραγγελία #"
"Contract","Σύμβαση"
"Submitter","Υποβάλλων"
"Withdrawal submitted","Η υπαναχώρηση υποβλήθηκε"
"Right of Withdrawal — Required Information","Δικαίωμα υπαναχώρησης — Απαιτούμενες πληροφορίες"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract.","Πριν υποβάλετε την παραγγελία σας, παρακαλούμε ανατρέξτε στους όρους, την προθεσμία και τις διαδικασίες άσκησης του 14ήμερου δικαιώματος υπαναχώρησης. Αυτές οι πληροφορίες αποτελούν μέρος της σύμβασής σας."
"Conditions, Time Limit and Procedures for Withdrawal","Όροι, προθεσμία και διαδικασίες υπαναχώρησης"
"Start Online Return","Έναρξη επιστροφής online"
"Download Model Withdrawal Form (Annex I(B))","Λήψη υποδείγματος εντύπου υπαναχώρησης (Παράρτημα I(Β))"
"Withdrawal Information v%1 — Issued %2","Πληροφορίες υπαναχώρησης v%1 — έκδοση %2"
"You'll receive a prepaid shipping label in the confirmation email.","Θα λάβετε προπληρωμένη ετικέτα αποστολής στο email επιβεβαίωσης."
"← Back to order search","← Επιστροφή στην αναζήτηση παραγγελίας"
"← Back to items","← Επιστροφή στα αντικείμενα"
"Find order","Βρείτε παραγγελία"
"Enter your order number and email","Εισαγάγετε αριθμό παραγγελίας και email"
"Select items","Επιλογή αντικειμένων"
"Choose items to return (partial withdrawal)","Επιλέξτε αντικείμενα προς επιστροφή (μερική υπαναχώρηση)"
"Review & confirm","Επανεξέταση & επιβεβαίωση"
"Review your return details and confirm","Ελέγξτε τα στοιχεία επιστροφής και επιβεβαιώστε"
"Request submitted","Το αίτημα υποβλήθηκε"
"We'll confirm your request by email","Θα επιβεβαιώσουμε το αίτημά σας μέσω email"
"I expressly consent to begin performance of the digital content before the withdrawal period expires.","Συναινώ ρητώς στην έναρξη της εκτέλεσης του ψηφιακού περιεχομένου πριν από τη λήξη της προθεσμίας υπαναχώρησης."
"I acknowledge that by giving this consent I lose my right of withdrawal once performance has begun (Art. 16(m) CRD).","Αναγνωρίζω ότι με την παροχή αυτής της συναίνεσης χάνω το δικαίωμα υπαναχώρησης μόλις αρχίσει η εκτέλεση (άρθρο 16 στοιχείο μ) Οδηγίας 2011/83/ΕΕ)."
"Withdrawals","Υπαναχωρήσεις"
"Minimum %1 characters required.","Απαιτούνται τουλάχιστον %1 χαρακτήρες."
"Failed to add note.","Αποτυχία προσθήκης σημείωσης."
"Network error while adding note.","Σφάλμα δικτύου κατά την προσθήκη σημείωσης."
"Exported Evidence","Εξαγωγή αποδεικτικών στοιχείων"
"Pending Confirm","Εκκρεμεί επιβεβαίωση"
"Sent","Απεστάλη"
"Failed Permanent","Μόνιμη αποτυχία"
"Failed Retry","Αποτυχία με επανάληψη"
"Eligible","Επιλέξιμο"
"Excluded","Εξαιρούμενο"
"Action","Ενέργεια"
"From","Από"
"To","Προς"
"Admin Id","ID διαχειριστή"
"Order Id","ID παραγγελίας"
"Request Id","ID αιτήματος"
"Item Count","Πλήθος ειδών"
"Rules Fired","Ενεργοποιημένοι κανόνες"
"Topic","Θέμα"
"Message Id","ID μηνύματος"
"Email To Hash","Hash e-mail"
"Attempts","Προσπάθειες"
"Viewed At","Προβολή στις"
"Referrer Host","Παραπέμπων κεντρικός υπολογιστής"
"Enable \Other\"" with Free Text""","Ενεργοποίηση \Άλλο\"" με ελεύθερο κείμενο"""
"Optional legal template — not required to use; you can also exercise the right of withdrawal by any unequivocal statement.","Προαιρετικό νομικό πρότυπο — η χρήση του δεν είναι υποχρεωτική· μπορείτε επίσης να ασκήσετε το δικαίωμα υπαναχώρησης με οποιαδήποτε σαφή δήλωση."
"Right of withdrawal","Δικαίωμα υπαναχώρησης"
"You have 14 days from the day you receive your order to withdraw without giving any reason — full refund to your original payment method.","Έχετε 14 ημέρες από την ημέρα παραλαβής της παραγγελίας σας για να υπαναχωρήσετε χωρίς να αναφέρετε κανέναν λόγο — πλήρης επιστροφή χρημάτων στην αρχική σας μέθοδο πληρωμής."
"Some items may be excluded by law (perishable goods, custom-made items, sealed hygiene or audio/video products). We'll show you exactly what's eligible on the next page.","Ορισμένα είδη ενδέχεται να εξαιρούνται από τον νόμο (αλλοιώσιμα αγαθά, είδη κατά παραγγελία, σφραγισμένα είδη υγιεινής ή ήχου/βίντεο). Θα σας δείξουμε ακριβώς τι είναι επιλέξιμο στην επόμενη σελίδα."
"Direct link — no login or account password required.","Απευθείας σύνδεσμος — δεν απαιτείται σύνδεση ή κωδικός λογαριασμού."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those."
"Customer-facing UX for the withdrawal flow. Subgroups: <em>Buttons</em> (legal-critical labels), <em>Placements</em> (where to surface the link), <em>Return Reasons</em> (per-item dropdown), <em>Review Step</em> (content on step 3 of the flow).","UX προς τον πελάτη για τη ροή υπαναχώρησης. Υποομάδες: <em>Κουμπιά</em> (νομικά κρίσιμες ετικέτες), <em>Τοποθετήσεις</em> (πού εμφανίζεται ο σύνδεσμος), <em>Λόγοι επιστροφής</em> (αναπτυσσόμενο ανά είδος), <em>Βήμα επισκόπησης</em> (περιεχόμενο στο 3ο βήμα της ροής)."
"Disable only if you deliver the durable-medium confirmation through a different channel.","Απενεργοποιήστε μόνο εάν παραδίδετε την επιβεβαίωση σε σταθερό μέσο μέσω άλλου καναλιού."
"Disable only if you deliver the receipt through a different durable medium (postal mail, customer account download, etc.).","Απενεργοποιήστε μόνο εάν παραδίδετε την απόδειξη μέσω άλλου σταθερού μέσου (ταχυδρομείο, λήψη από τον λογαριασμό πελάτη κ.λπ.)."
"Empty fields fall through to the locale baseline. Any override value becomes part of the SHA-256 hash stored per consent event — changing a field after customers have consented does <strong>not</strong> retroactively invalidate prior consents.","Τα κενά πεδία επανέρχονται στη βασική γραμμή του the locale baseline για τη γλώσσα/δικαιοδοσία. Οποιαδήποτε υπερισχύουσα τιμή ενσωματώνεται στο hash SHA-256 που αποθηκεύεται ανά γεγονός συναίνεσης — η αλλαγή ενός πεδίου αφού οι πελάτες έχουν ήδη συναινέσει <strong>δεν</strong> ακυρώνει αναδρομικά προηγούμενες συναινέσεις."
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Υποχρεωτική προσυμβατική ενημέρωση για το δικαίωμα υπαναχώρησης. Εμφανίζεται στο βήμα πληρωμής της ολοκλήρωσης παραγγελίας. Κάθε εμφάνιση καταγράφεται με δικανικό τρόπο (υπεράσπιση κατά Άρθρο 10). Στιγμιότυπο του αποδιδόμενου κειμένου αποθηκεύεται αμετάβλητα (Άρθρο 6(5)). <strong>Συνιστάται νομική αξιολόγηση πριν από οποιαδήποτε προσαρμογή του κειμένου του Παραρτήματος I.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Off = το μπλοκ είναι κρυφό αλλά τα γεγονότα εμφάνισης καταγράφονται στον διακομιστή μέσω predispatch fallback. Χρησιμοποιήστε μόνο για δοκιμές sandbox. Προεπιλογή: on."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","Προαιρετικές διευθύνσεις URL που αποδίδονται ως στρογγυλά σήματα μονογράμματος στο υποσέλιδο του email. Αφήστε κενό για απόκρυψη."
"Sent when a customer cancels their own pending withdrawal.","Αποστέλλεται όταν ο πελάτης ακυρώνει τη δική του εκκρεμή υπαναχώρηση."
"Sent when a customer completes the withdrawal form.","Αποστέλλεται όταν ο πελάτης συμπληρώσει τη φόρμα υπαναχώρησης."
"Sent when an admin approves a withdrawal request.","Αποστέλλεται όταν διαχειριστής εγκρίνει αίτημα υπαναχώρησης."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Αποστέλλεται όταν διαχειριστής ακυρώνει αίτημα υπαναχώρησης για λογαριασμό του πελάτη."
"Sent when an admin denies a withdrawal request.","Αποστέλλεται όταν διαχειριστής απορρίψει αίτημα υπαναχώρησης."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Αυτές οι προεπιλογές εξαιρούν συγκεκριμένες κατηγορίες προϊόντων από το 14ήμερο δικαίωμα υπαναχώρησης, σύμφωνα με το Άρθρο 16 της Οδηγίας 2011/83/ΕΕ. Κάθε κανόνας είναι από προεπιλογή ΑΠΕΝΕΡΓΟΠΟΙΗΜΕΝΟΣ — ενεργοποιήστε τον μόνο αφού επιβεβαιώσετε ότι το αντίστοιχο χαρακτηριστικό προϊόντος είναι σωστά ρυθμισμένο στον κατάλογό σας."
"e.g. ""EU orders above €50""","π.χ. «Παραγγελίες ΕΕ άνω των 50 €»"
"e.g. ""Free delivery""","π.χ. «Δωρεάν παράδοση»"
"Qty: ","Ποσ.: "
"Submission failed. Please try again.","Η υποβολή απέτυχε. Παρακαλώ δοκιμάστε ξανά."
"Network error. Please try again.","Σφάλμα δικτύου. Παρακαλώ δοκιμάστε ξανά."
"Invalid server response.","Μη έγκυρη απόκριση διακομιστή."
"Admin Notifications","Ειδοποιήσεις διαχειριστή"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Εσωτερικές ειδοποιήσεις προς την ομάδα σας. Ανεξάρτητες από τα κουτάκια <em>BCC στον έμπορο</em> στις <em>Ειδοποιήσεις πελατών</em> παρακάτω — αν ενεργοποιήσετε και τα δύο, θα λαμβάνετε δύο email ανά αίτημα."
"1. New Request Alert","1. Ειδοποίηση νέου αιτήματος"
"Sent the moment a customer completes the two-step withdrawal flow.","Αποστέλλεται τη στιγμή που ένας πελάτης ολοκληρώνει τη ροή υπαναχώρησης δύο βημάτων."
"Recipient Email(s)","Email παραλήπτη"
"BCC","Κρυφή κοινοποίηση"
"New Withdrawal Request","Νέο αίτημα υπαναχώρησης"
"A new withdrawal request was just submitted.","Μόλις υποβλήθηκε νέο αίτημα υπαναχώρησης."
"Request:","Αίτημα:"
"Order:","Παραγγελία:"
"Customer:","Πελάτης:"
"Refund Total:","Συνολική επιστροφή:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Υπαναχώρηση] Νέο αίτημα %request_increment_id · Παραγγελία #%order_increment_id · %refund_total"
"Anonymised","Ανωνυμοποιημένο"
"Audit","Έλεγχος"
"Cancel Order","Ακύρωση παραγγελίας"
"Confirmation Email (Art. 11a(4))","Email επιβεβαίωσης (Άρθρο 11α(4))"
"Detection (Art. 16(m))","Ανίχνευση (Άρθρο 16(μ))"
"Digital Waiver (Art. 16(m))","Παραίτηση για ψηφιακό περιεχόμενο (Άρθρο 16(μ))"
"Email Identity","Ταυτότητα αποστολέα"
"ID","Αναγν."
"Integrity hash","Κατακερματισμός ακεραιότητας"
"Pre-Contract Proof","Προσυμβατική απόδειξη"
"Verify this receipt","Επαλήθευση αυτής της απόδειξης"
"Withdrawal Window","Παράθυρο υπαναχώρησης"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Αυτό το hash SHA-256 ταυτοποιεί μοναδικά την εγγραφή υπαναχώρησής σας. Μπορείτε να το επαληθεύσετε ανά πάσα στιγμή με το παραπάνω κουμπί."
"Digital content waiver confirmation — Order %increment_id","Επιβεβαίωση παραίτησης για ψηφιακό περιεχόμενο — Παραγγελία %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Διαχωρισμένα με κόμμα. Κάθε παραλήπτης λαμβάνει ξεχωριστό email στη δική του γλώσσα διαχείρισης (μέσω του interface_locale του διαχειριστή· εφεδρικά — general/locale/code). Οι μη έγκυρες διευθύνσεις απορρίπτονται σιωπηρά."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Ανίχνευση ψηφιακού περιεχομένου κατά το Άρθρο 16(μ) ΟΔΚΠ. Καθορίζει τι μετράται ως ψηφιακό περιεχόμενο για σκοπούς επιλεξιμότητας. Το πραγματικό UI παραίτησης κατά την ολοκλήρωση παραγγελίας και το email βρίσκονται στην επόμενη ενότητα „Παραίτηση για ψηφιακό περιεχόμενο“."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Εξαίρεση Άρθρου 16(μ) ΟΔΚΠ — ψηφιακό περιεχόμενο όπου ο πελάτης (1) έχει δώσει ρητή προηγούμενη συναίνεση για την έναρξη εκτέλεσης και (2) έχει αναγνωρίσει ότι χάνει το δικαίωμα υπαναχώρησης. Δύο διακόπτες ελέγχουν τη λειτουργία: η υποομάδα <em>Ανίχνευση</em> στους <em>Κανόνες επιλεξιμότητας</em> αποφασίζει τι είναι ψηφιακό (κύριος διακόπτης)· αυτή η ενότητα αποδίδει το UI με 2 πλαίσια ελέγχου στο checkout και στέλνει το email επιβεβαίωσης κατά το Άρθρο 11α(4). Και τα δύο πρέπει να είναι ΕΝΕΡΓΑ. Παρακάτω παρακάμψεις κειμένου ανά γλώσσα. Χρησιμοποιήστε το μόνο για <strong>εφάπαξ ψηφιακές αγορές</strong> (ebook, εγκαταστάτες λογισμικού, αρχεία μουσικής, παιχνίδια). <strong>Μην</strong> το ενεργοποιείτε για συνεχιζόμενες ψηφιακές <strong>συνδρομές ή υπηρεσίες</strong> (SaaS, streaming, φιλοξενούμενες) — η νομολογία της ΕΕ (CJEU Sky, C-641/19) απαιτεί διαφορετική ροή συναίνεσης."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Καθορίζει <strong>πότε</strong> ξεκινά το 14ήμερο δικαίωμα υπαναχώρησης (έναυσμα παράδοσης, Άρθρο 9(2)(β)) και <strong>πόσο</strong> διαρκεί σε ημέρες (Άρθρο 9(2)). Μαζί ελέγχουν την περίοδο κατά την οποία η υπαναχώρηση κάθε παραγγελίας είναι ανοιχτή."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Προεπιλογή 14 ημέρες σύμφωνα με το Άρθρο 9(2). Επιτρέπεται παράταση (π.χ. 30, 100). Μείωση κάτω από 14 είναι παράνομη — το πεδίο επικυρώνει μόνο 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Όταν είναι ενεργό, καλάθια που περιέχουν εντοπισμένο ψηφιακό προϊόν εμφανίζουν το βήμα παραίτησης με 2 πλαίσια ελέγχου κατά την ολοκλήρωση. Δεν έχει αποτέλεσμα εκτός αν είναι ενεργό και το <em>Κανόνες επιλεξιμότητας → Ανίχνευση → Ενεργοποίηση ανίχνευσης ψηφιακού περιεχομένου</em>."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Προαιρετικό. Διαχωρισμένο με κόμμα. Στέλνει κρυφή κοινοποίηση του email επιβεβαίωσης παραίτησης σε διεύθυνση ελέγχου του εμπόρου. Αφήστε κενό για παράλειψη."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Νομική προειδοποίηση.</strong> Το Άρθρο 11α(2) ΟΔΚΠ απαιτεί την κυριολεκτική φράση „υπαναχωρήστε από τη σύμβαση εδώ“ <em>ή αντίστοιχη σαφή διατύπωση</em>. Η προεπιλεγμένη τιμή („Υπαναχωρήστε από τη σύμβαση εδώ“) είναι η κατά λέξη φράση της Οδηγίας· Οι μεταφράσεις ανά γλώσσα έχουν υπογραφεί από νομικό. <strong>Μην παρακάμψετε, εκτός εάν έχετε λάβει γραπτή συμβουλή από έμπειρο δικηγόρο καταναλωτικού δικαίου στη συγκεκριμένη δικαιοδοσία.</strong> Κάθε παράκαμψη καταγράφεται στο αρχείο ελέγχου."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Νομική προειδοποίηση.</strong> Αυτή είναι η ετικέτα του τελικού κουμπιού επιβεβαίωσης. Η προεπιλογή („Επιβεβαίωση υπαναχώρησης“) έχει υπογραφεί από νομικό· Οι μεταφράσεις ανά γλώσσα έχουν υπογραφεί από νομικό. Παρακάμψτε μόνο με γραπτή νομική συμβουλή· οι παρακάμψεις καταγράφονται στο αρχείο ελέγχου."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Ακύρωση της συνδεδεμένης παραγγελίας; Δεν έχει γίνει καμία πληρωμή, οπότε δεν υπάρχει τίποτα προς επιστροφή — η παραγγελία θα ακυρωθεί στο Magento."
"Two-stage GDPR data lifecycle. Withdrawal requests carry both <em>personally identifiable</em> data (customer name, email, IP, user agent, admin notes, denial reasons) and a content hash that is the Art. 11a(4) <em>durable-medium</em> legal proof. The two have different mandatory retention periods and are aged out separately.","Δύο σταδίων κύκλος ζωής δεδομένων κατά GDPR. Τα αιτήματα υπαναχώρησης φέρουν τόσο <em>προσωπικά αναγνωρίσιμα</em> δεδομένα (όνομα πελάτη, email, IP, user agent, σημειώσεις διαχειριστή, λόγους απόρριψης) όσο και ένα hash περιεχομένου, που είναι η νομική απόδειξη <em>μόνιμου μέσου</em> κατά το Άρθρο 11α(4). Έχουν διαφορετικές υποχρεωτικές περιόδους διατήρησης και απαλείφονται χωριστά."
"How long the <strong>personally identifiable fields</strong> (customer name, email, IP, user agent, denial reason, admin note) are kept before they are nullified by the daily privacy cron. The withdrawal record itself stays — only PII is wiped. Counted from the record's creation date.<br/><br/>
                        <strong>Default: 730 days (2 years).</strong> This is the floor — GDPR Art. 5(1)(e) (""storage limitation"") balanced against the statute of limitations for consumer-rights claims in most EU member states (1–2 years). Range: 730–3650 days.","Πόσο διατηρούνται τα <strong>προσωπικά αναγνωρίσιμα πεδία</strong> (όνομα πελάτη, email, IP, user agent, λόγος απόρριψης, σημείωση διαχειριστή) πριν μηδενιστούν από το καθημερινό cron απορρήτου. Η εγγραφή υπαναχώρησης παραμένει — διαγράφονται μόνο τα PII. Μετριέται από την ημερομηνία δημιουργίας της εγγραφής.<br/><br/>
                        <strong>Προεπιλογή: 730 ημέρες (2 έτη).</strong> Αυτό είναι το κατώτατο όριο — GDPR Άρθρο 5(1)(ε) („περιορισμός διατήρησης“) εξισορροπημένος με τις προθεσμίες παραγραφής για απαιτήσεις καταναλωτικών δικαιωμάτων στα περισσότερα κράτη-μέλη της ΕΕ (1–2 χρόνια). Εύρος: 730–3650 ημέρες."
"How long the <strong>content hash</strong> (Art. 11a(4) durable-medium proof) is retained. After PII has been wiped, the record keeps only the hash and receipt timestamps until this period expires; then the record is deleted entirely.<br/><br/>
                        <strong>Default: 2190 days (6 years).</strong> Matches the longest commercial-records retention obligation in EU member states (typically 6 years for accounting / VAT). Must be ≥ PII Retention. Range: 2190–3650 days.","Πόσο διατηρείται το <strong>hash περιεχομένου</strong> (απόδειξη Άρθρου 11α(4) σε μόνιμο μέσο). Αφού διαγραφεί το PII, η εγγραφή κρατά μόνο το hash και τις χρονικές σημάνσεις απόδειξης μέχρι να λήξει αυτή η περίοδος· κατόπιν διαγράφεται πλήρως.<br/><br/>
                        <strong>Προεπιλογή: 2190 ημέρες (6 έτη).</strong> Αντιστοιχεί στη μακρύτερη υποχρέωση διατήρησης εμπορικών αρχείων στα κράτη μέλη της ΕΕ (συνήθως 6 χρόνια για λογιστική / ΦΠΑ). Πρέπει να είναι ≥ Διατήρηση PII. Εύρος: 2190–3650 ημέρες."
"Append-only audit log of all withdrawal lifecycle events (GDPR Art. 5(2) accountability). Personal data (IP, user agent, customer actor ID) is automatically nullified after the retention period. The audit log itself stays — only PII is wiped.","Append-only αρχείο ελέγχου όλων των γεγονότων κύκλου ζωής υπαναχώρησης (λογοδοσία GDPR Άρθρο 5(2)). Τα προσωπικά δεδομένα (IP, user agent, ID πελάτη-δράστη) μηδενίζονται αυτόματα μετά την περίοδο διατήρησης. Το ίδιο το αρχείο ελέγχου παραμένει — διαγράφονται μόνο τα PII."
