"View Credit Memo","Vaata kreeditarvet"
"Issue Credit Memo","Väljasta kreeditarve"
"Approve","Kinnita"
"Approve this withdrawal request?","Kinnitada see taganemistaotlus?"
"Deny","Keeldu"
"Legal reason for denial (min 10 chars):","Õiguslik põhjus keeldumiseks (min 10 tähemärki):"
"Cancel Request","Tühista taotlus"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Tühistada see taganemine? Lisage kliendile valikuline märkus (nähtav tema tühistamise e-kirjas):"
"Resend Receipt","Saada kviitung uuesti"
"Send the receipt email again? The customer will receive another copy.","Saata kviitungi e-kiri uuesti? Klient saab veel ühe koopia."
"Withdrawal Request #%1","Taganemistaotlus #%1"
"Request Details","Taotluse andmed"
"Information","Teave"
"Reason for Denial","Keeldumise põhjus"
"Customer Cancellation Note","Kliendi tühistusmärkus"
"Cancellation Note","Tühistusmärkus"
"Status-Change Note","Olekumuutuse märkus"
"Code","Kood"
"Label","Silt"
"Add Reason","Lisa põhjus"
"In progress","Käimas"
"Refund issued","Tagasimakse väljastatud"
"Denied","Keeldutud"
"Cancelled","Tühistatud"
"Pending","Ootel"
"This is a transactional email about your order.","See on tehinguga seotud e-kiri teie tellimuse kohta."
"Reason for denial","Keeldumise põhjus"
"Your cancellation note","Sinu tühistusmärkus"
"Note from our team","Märkus meie meeskonnalt"
"EU right of withdrawal","EL-i taganemisõigus"
"Withdrawal right pending delivery","Taganemisõigus ootab kohaletoimetamist"
"Withdrawal window has ended","Taganemise tähtaeg möödunud"
"Not eligible for withdrawal","Taganemine ei ole võimalik"
"Withdrawal already requested","Taganemistaotlus on juba esitatud"
"You can withdraw from this contract any time — the %1-day deadline begins counting once the order is delivered.","Sellest lepingust saate taganeda igal ajal — %1-päevane tähtaeg hakkab kulgema alates tellimuse kohaletoimetamisest."
"Your %1-day withdrawal window will begin once this order is delivered.","Teie %1-päevane taganemisaken algab pärast selle tellimuse kohaletoimetamist."
"The %1-day window for withdrawing from this contract has ended.","Sellest lepingust taganemise %1-päevane tähtaeg on lõppenud."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","See tellimus ei kuulu EL tarbijaõiguse alusel taganemisele (art. 16 direktiiv 2011/83/EL)."
"A withdrawal request for this order has been submitted. See the request details below.","Selle tellimuse kohta on esitatud taganemistaotlus. Vaadake taotluse üksikasju allpool."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","See tellimus sisaldab kiiresti riknevat kaupa, mida ei saa tagastada (lühikese säilivusajaga toit, värsked lilled jms)."
"This order contains a custom-made or personalised item that cannot be returned.","See tellimus sisaldab tellimustööna valmistatud või isikupärastatud toodet, mida ei saa tagastada."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","See tellimus sisaldab pitseeritud hügieenitoodet. Taganemisõigus säilib ainult seni, kuni pitser on terve — pärast kohaletoimetamist pitseri avamisel see õigus kaob."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","See tellimus sisaldab pitseeritud heli- / video- / tarkvaratoodet. Taganemisõigus säilib ainult seni, kuni pitser on terve — pärast kohaletoimetamist pitseri avamisel see õigus kaob."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","See tellimus sisaldab digitaalset sisu. Kui alustate sisu kasutamist või allalaadimist, kaotate taganemisõiguse (andsite sellele kassas nõusoleku)."
"%1 item(s) · Refund %2","%1 toode/toodet · Tagasimakse %2"
"Awaiting confirmation","Ootab kinnitust"
"Cancel withdrawal %1? Your refund will not be processed.","Tühistada taganemine %1? Teie tagasimakset ei töödelda."
"Submitted","Esitatud"
"Approved","Kinnitatud"
"Fully returned","Täielikult tagastatud"
"Return requested","Tagastust taotletud"
"Not eligible","Mittevastav"
"Partially requested","Osaliselt taotletud"
"— Select a reason —","— Valige põhjus —"
"Other","Muu"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Raha tagastatakse algse maksemeetodiga 5–7 tööpäeva jooksul pärast tagastatud kauba saamist."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Taganemisõigus kaotatud (art. 16(m) tarbija õiguste direktiiv) — digitaalse sisu täitmine algas %1."
"Request #%1 not found.","Taotlust #%1 ei leitud."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","Kviitungi e-kiri pandi taotluse #%1 jaoks uuesti järjekorda. Kohaletoimetamist proovitakse asünkroonselt uuesti."
"Failed to queue receipt resend: %1","Kviitungi taas-saatmise järjekorda lisamine ebaõnnestus: %1"
"Note text is empty.","Märkuse tekst on tühi."
"Note added to request #%1.","Märkus lisatud taotlusele #%1."
"Request #%1 approved.","Taotlus #%1 kinnitatud."
"Request #%1 cancelled.","Taotlus #%1 tühistatud."
"Request #%1 denied.","Taotlusest #%1 keelduti."
"Invalid request id.","Vigane taotluse ID."
"Unable to open temporary file for CSV export.","CSV-eksportimiseks ei õnnestu ajutist faili avada."
"Withdrawal Requests","Taganemistaotlused"
"%1 requests queued for acceptance.","%1 taotlust pandi kinnitamiseks järjekorda."
"%1 request(s) approved.","%1 taotlus(t) kinnitatud."
"%1 request(s) failed. First errors: %2","%1 taotlus(t) ebaõnnestus. Esimesed vead: %2"
"Note added to %1 request(s).","Märkus lisatud %1 taotlusele."
"Underlying order #%1 not found.","Alustellimust #%1 ei leitud."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Tellimusel #%1 puudub veel arve — Magento nõuab arve olemasolu, enne kui saab luua kreeditarve. Avage esmalt arve (Sales → Orders → #%1 → Invoice nupp) ja seejärel naaske siia tagasimakseks."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","Sellele taganemistaotlusele pole tooteid registreeritud — kreeditarve avaneb arve vaikekogustega; palun reguleerige need käsitsi."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Eeltäidetud kreeditarve taganemise #%1 jaoks — vaadake allolevad kogused ja saatekulu tagasimakse üle ning seejärel klõpsake Refund Online või Refund Offline."
"Some items are no longer eligible. Please reload and try again.","Mõned esemed ei ole enam sobivad. Palun laadige leht uuesti ja proovige uuesti."
"We could not process your request. Please try again.","Teie taotlust ei õnnestunud töödelda. Palun proovige uuesti."
"Item","Ese"
"We could not find a matching order for that email.","Selle e-posti aadressi jaoks sobivat tellimust ei leitud."
"Withdraw from a contract","Tagane lepingust"
"Withdrawal not found.","Taganemist ei leitud."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Seda taganemist ei saa enam veebi kaudu tühistada. Võtke vajadusel meiega ühendust."
"Withdrawal #%1 cancelled.","Taganemine #%1 tühistatud."
"Please fill in all required fields.","Palun täitke kõik kohustuslikud väljad."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 ese(t) jäeti taganemisest välja, kuna pitser on katki (art. 16(e)/(i) direktiiv 2011/83/EL)."
"Please select at least one item to withdraw.","Palun valige taganemiseks vähemalt üks ese."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Üks või mitu eset ei ole enam taganemiseks saadaval. Palun värskendage lehte ja proovige uuesti."
"None of the selected items are eligible for withdrawal.","Ükski valitud esemetest ei kuulu taganemisele."
"Hash mismatch for quote item %1","Räsi mittevastavus pakkumise toote %1 puhul"
"Requested qty %1 exceeds remaining %2 for order item %3","Taotletud kogus %1 ületab tellimuse toote %3 järelejäänud kogust %2"
"No delivery confirmation recorded for this order yet.","Selle tellimuse kohta ei ole veel tarne kinnitust registreeritud."
"No eligible items selected for withdrawal","Taganemiseks ei ole valitud ühtegi sobivat eset"
"Physical goods","Füüsilised kaubad"
"Digital content (non-tangible)","Digitaalne sisu (mittemateriaalne)"
"Digital service (SaaS / subscription)","Digiteenus (SaaS / tellimus)"
"Financial services (not supported)","Finantsteenused (ei toetata)"
"Downloadable products","Allalaaditavad tooted"
"Virtual products","Virtuaalsed tooted"
"Bundles containing digital children","Komplektid, mis sisaldavad digitaalseid alamtooteid"
"Custom attribute flag","Kohandatud atribuudi lipp"
"locale_inheritance.xml missing at %1","locale_inheritance.xml puudub asukohas %1"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml ei ole loetav asukohas %1"
"locale_inheritance.xml failed XSD validation: %1","locale_inheritance.xml ei läbinud XSD-valideerimist: %1"
"Original payment method","Algne maksemeetod"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","See on teie taganemise tõend püsival andmekandjal (art. 11a(4) direktiiv 2011/83/EL)."
"This email is a notification about your withdrawal request.","See e-kiri on teavitus teie taganemistaotluse kohta."
"5–7 business days","5–7 tööpäeva"
"This is a confirmation that your withdrawal request has been recorded.","See on kinnitus, et teie taganemistaotlus on registreeritud."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","MageMe EU Withdrawal on paigaldatud, kuid pole lubatud. Enne lubamist vaadake üle vastavuse kontrollnimekiri ja seadistage moodul: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","Tarne kinnitamise olek ei ole seadistatud. Määrake Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses."
"No Annex I source found for locale %1 along chain %2","Lokaadi %1 jaoks ei leitud I lisa allikat ahelas %2"
"Annex I source for locale %1 is malformed","Lokaadi %1 I lisa allikas on vigane"
"Missing merchant variables for Annex I rendering: %1","Puuduvad kaupleja muutujad I lisa renderdamiseks: %1"
"Receipt hash mismatch for request %1","Kviitungi räsi mittevastavus taotluse %1 puhul"
"Request %1 not found.","Taotlust %1 ei leitud."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Taganemistaotlusest keeldumine nõuab vähemalt 10-tähemärgilist õiguslikku alust."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Taganemistaotlus ei saa minna olekust „%1“ olekusse „%2“."
"Request %1 is not in pending_confirm state.","Taotlus %1 ei ole olekus pending_confirm."
"Withdrawal request #%1 does not exist.","Taganemistaotlust #%1 ei eksisteeri."
"No digital items on order %1","Tellimusel %1 ei ole digitaalseid esemeid"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","See on teie kassas allkirjastatud loobumise koopia püsival andmekandjal (art. 11a(4) direktiiv 2011/83/EL)."
"Waived","Loobutud"
"Waiver email render failed: %1","Loobumise e-kirja renderdamine ebaõnnestus: %1"
"Digital content waiver text has changed — please reload checkout.","Digisisu loobumise tekst on muutunud — palun laadige kassa uuesti."
"Digital content waiver is incomplete for item %1.","Digisisu loobumine on toote %1 jaoks puudulik."
"bad","halb"
"smtp down","smtp down"
"smtp","smtp"
"down","maas"
"No shipment found for order 42.","Tellimusele 42 ei leitud saadetist."
"View","Vaata"
"Withdrawal & Customer Information","Taganemise ja kliendi andmed"
"Request # %1","Taotlus # %1"
"Request Status","Taotluse olek"
"Submitted At","Esitatud"
"Related Order","Seotud tellimus"
"Jurisdiction","Jurisdiktsioon"
"Contract Type","Lepingu tüüp"
"Receipt Status","Kviitungi olek"
"%1 attempt(s)","%1 katse(t)"
"Receipt Error","Kviitungi viga"
"Customer Information","Kliendi andmed"
"Customer Name","Kliendi nimi"
"Email","E-post"
"Locale","Keel"
"Items Selected for Withdrawal","Taganemiseks valitud esemed"
"Product","Toode"
"Price","Hind"
"Qty","Kogus"
"Subtotal","Vahesumma"
"Refund","Tagasimakse"
"Reason","Põhjus"
"Eligibility","Sobivus"
"No items associated with this request.","Selle taotlusega pole ühtegi eset seotud."
"SKU","SKU"
"Ordered","Tellitud"
"Withdrawing","Taganemisel"
"Refund Total","Tagastus kokku"
"Notes for this Request","Selle taotluse märkused"
"Internal notes — visible to admin staff only. Not sent to the customer.","Sisemised märkused — nähtavad ainult haldustöötajatele. Kliendile ei saadeta."
"Comment","Kommentaar"
"Add internal note (max 2000 chars)","Lisa sisemine märkus (kuni 2000 tähemärki)"
"Submit Comment","Saada kommentaar"
"No comments added yet.","Kommentaare pole veel lisatud."
" by %1"," — %1"
"Refund Totals","Tagasimakse kokkuvõte"
"Items Subtotal","Toodete vahesumma"
"Shipping Refund","Saatekulu tagasimakse"
"Total Refund","Tagasimakse kokku"
"Changes have been made to this section that have not been saved.","Selles jaotises on tehtud muudatusi, mida pole salvestatud."
"This tab contains invalid data. Please resolve this before saving.","See vahekaart sisaldab vigaseid andmeid. Palun parandage see enne salvestamist."
"Contact us","Võtke ühendust"
"Returns","Tagastused"
"FAQs","KKK"
"All rights reserved.","Kõik õigused kaitstud."
"Returned items","Tagastatud tooted"
"No image","Pildita"
"Item status","Toote olek"
"Withdrawal options for this order","Selle tellimuse taganemisvõimalused"
"You can return this order until %1.","Saate selle tellimuse tagastada kuni %1."
"(Art. 11a Directive 2011/83/EU)","(art. 11a direktiiv 2011/83/EL)"
"Submit a withdrawal request to start the refund process.","Esitage taganemistaotlus, et alustada tagasimakse menetlust."
"(Art. 9(2)(b) Directive 2011/83/EU)","(art. 9(2)(b) direktiiv 2011/83/EL)"
"Start withdrawal","Alusta taganemist"
"Your withdrawal requests","Teie taganemistaotlused"
"Submitted %1","Esitatud %1"
"Show items","Kuva tooteid"
"Cancel withdrawal","Tühista taganemine"
"Qty %1","Kogus %1"
"Receipt details","Tõendi üksikasjad"
"Receipt number","Kviitungi number"
"Order number","Tellimuse number"
"Consumer","Tarbija"
"Refund total","Tagasimakse kokku"
"Merchant","Müüja"
"Legal basis","Õiguslik alus"
"SKU %1","SKU %1"
"Shipping refund","Saatekulu tagasimakse"
"Tax refund","Maksu tagasimakse"
"Total refund","Kogu tagasimakse"
"Digital content — Art. 16(m) notice","Digitaalne sisu — art. 16(m) teade"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Tellimust esitades nõustusite alustama digitaalse sisu täitmist enne taganemistähtaja lõppu ja kinnitasite, et pärast täitmise alustamist taganemisõigus enam ei kehti. See teade on kuvatud teie andmestiku jaoks."
"Existing withdrawals for this order","Selle tellimuse senised taganemised"
"You can cancel a withdrawal here until it is approved.","Saate taganemist siin tühistada kuni selle kinnitamiseni."
"Request #%1","Taotlus #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Hinnanguline tagasimakse: %1 %2"
"Cancel this withdrawal","Tühista see taganemine"
"Are you sure? This cannot be undone.","Kas olete kindel? Seda ei saa tagasi võtta."
"Yes, cancel","Jah, tühista"
"Keep it","Säilita"
"Select items to return","Valige tagastatavad esemed"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Valige kõik või ainult mõned esemed. Määrake tagastatav kogus iga eseme jaoks, millest soovite taganeda."
"You have %1 days from the day you received your order to withdraw from the contract without giving a reason.","Teil on tellimuse kättesaamisest %1 päeva, et taganeda lepingust ilma põhjust nimetamata."
"Back to order search","Tagasi tellimuse otsingusse"
"Cancel","Tühista"
"Continue to review","Jätka ülevaatusele"
"Review and confirm","Vaata üle ja kinnita"
"Order #%1","Tellimus #%1"
"Placed on %1","Tellitud %1"
"Awaiting delivery","Ootab kohaletoimetamist"
"Delivered on %1","Kohale toimetatud %1"
"Total","Kokku"
"Return shipping","Tagastusvedu"
"View return policy","Vaata tagastuspoliitikat"
"Refund method","Tagasimakse viis"
"Refund will be issued to your original payment method.","Raha tagastatakse algse maksemeetodi kaudu."
"Return summary","Tagastuse kokkuvõte"
"Shipping & Handling","Saatmine ja käsitlemine"
"Tax","Maks"
"Back to items","Tagasi toodete juurde"
"Submit return request","Saada tagastamistaotlus"
"Your return request has been submitted!","Teie tagastustaotlus on esitatud!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","Saatsime teile teavituse e-kirja koos tagastuse üksikasjade ja ettemakstud tagastussildiga (kui kohaldub). Esemete tagasisaatmiseks on teil 14 päeva alates kohaletoimetamise kuupäevast."
"Return request number","Tagastustaotluse number"
"Copy request number","Kopeeri taotluse number"
"Copied!","Kopeeritud!"
"Confirmation email sent","Kinnitusmeil saadetud"
"We've sent the details to","Saatsime üksikasjad aadressile"
"What happens next?","Mis edasi saab?"
"Pack your items securely","Pakkige oma esemed korralikult"
"Send them back using the provided instructions","Saatke need tagasi vastavalt antud juhistele"
"We'll inspect your return","Vaatame teie tagastuse üle"
"Your refund will be issued to your original payment method","Tagasimakse tehakse teie algsele makseviisile"
"Need more help?","Vajate rohkem abi?"
"View my returns","Vaata minu tagastusi"
"Contact support","Võta klienditoega ühendust"
"Purchased","Ostetud"
"Returned","Tagastatud"
"Decrease quantity","Vähenda kogust"
"Increase quantity","Suurenda kogust"
"Is the hygiene seal still intact?","Kas hügieenipitser on veel terve?"
"Is the original software / media seal still intact?","Kas tarkvara / meedia originaalpitser on veel terve?"
"Yes — it's still sealed","Jah — see on endiselt pitseeritud"
"Refund possible — return the unopened package.","Tagasimakse on võimalik — tagastage avamata pakend."
"No — I've opened it","Ei — olen selle avanud"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Seda eset ei saa tagastada (art. 16(e) direktiiv 2011/83/EL)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Seda eset ei saa tagastada (art. 16(i) direktiiv 2011/83/EL)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Kui kinnitate, et pitser on katki, jäetakse see ese taganemistaotlusest välja ja kogus lähtestatakse nulli."
"Reason for return (optional)","Tagastuse põhjus (valikuline)"
"Tell us more (optional, max 500 chars)","Räägi meile rohkem (valikuline, kuni 500 tähemärki)"
"Already returned.","Juba tagastatud."
"awaiting admin review","ootab halduri ülevaatust"
"awaiting confirmation","ootab kinnitust"
"Request %1 %2 (%3 item%4).","Taotlus %1 %2 (%3 ese%4)."
"Return request awaiting review.","Tagastustaotlus ootab ülevaatust."
"Cancel request","Tühista taotlus"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","EL tarbijaõiguse kohaselt võite enamikust lepingutest taganeda 14 päeva jooksul põhjust nimetamata."
"Read your full pre-contract rights (Art. 6)","Loe oma täielikud lepingueelsed õigused (art. 6)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","Vastavalt direktiivi 2011/83/EL artiklile 6 (muudetud direktiiviga (EL) 2023/2673) andis müüja teile enne selle tellimuse esitamist teada — või tegi kättesaadavaks — järgmise teabe:"
"The main characteristics of the goods or services.","Kauba või teenuse põhiomadused."
"The identity and contact details of the trader.","Kaupleja andmed ja kontaktteave."
"The total price including all taxes and any delivery costs.","Koguhind koos kõigi maksude ja võimalike tarnekuludega."
"The arrangements for payment, delivery and performance, and complaint-handling.","Makse-, tarne- ja täitmiskord ning kaebuste käsitlemise kord."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Teie taganemisõigus: artikli 9 kohaselt on teil 14 päeva sellest kauglepingust taganemiseks põhjust nimetamata. Füüsiliste kaupade puhul algab 14-päevane periood päevast, mil teie (või teie määratud kolmas isik) saate kauba füüsilisse valdusesse. Teenuste ja digitaalse sisu puhul kehtivad erinevad alguskuupäevad (art. 9(2)(a)/(c))."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Erandid: õigus ei kehti teatud kaupade ja teenuste suhtes, mis on loetletud artiklis 16 (nt tellimustööna valmistatud kaubad, pitseeritud hügieenitooted pärast pitseri avamist, digitaalne sisu, mille täitmine on alanud teie eelneva selgesõnalise nõusoleku ja kinnitusega, et kaotate taganemisõiguse)."
