"View Credit Memo","Vaata kreeditarvet"
"Sent when an admin approves a withdrawal request.","Saadetakse, kui administraator kinnitab taganemistaotluse."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Saadetakse, kui administraator tühistab taganemistaotluse kliendi nimel."
"Sent when an admin denies a withdrawal request.","Saadetakse, kui administraator keeldub taganemistaotlusest."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Need eelseaded jätavad konkreetsed tootekategooriad 14-päevasest taganemisõigusest välja vastavalt tarbija õiguste direktiivi art. 16. Iga reegel on vaikimisi VÄLJAS — lubage see alles pärast seda, kui olete veendunud, et vastav tooteatribuut on teie kataloogis õigesti seadistatud."
"e.g. ""EU orders above €50""","nt „EL tellimused üle 50 €“"
"e.g. ""Free delivery""","nt „Tasuta kohaletoimetamine“"
"Qty: ","Kogus: "
"Submission failed. Please try again.","Esitamine ebaõnnestus. Palun proovige uuesti."
"Network error. Please try again.","Võrguviga. Palun proovige uuesti."
"Invalid server response.","Vigane serveri vastus."
"Admin Notifications","Administraatori teavitused"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Sisemised hoiatused teie meeskonnale. Sõltumatud allpool <em>Kliendi teavitustes</em> olevatest <em>BCC kaupmehele</em> märkeruutudest — kui mõlemad lubate, saate kaks e-kirja taotluse kohta."
"1. New Request Alert","1. Uue taotluse teade"
"Sent the moment a customer completes the two-step withdrawal flow.","Saadetakse hetkel, kui klient lõpetab kaheastmelise taganemise voo."
"Recipient Email(s)","Saaja e-post(id)"
"BCC","Pimekoopia"
"New Withdrawal Request","Uus taganemistaotlus"
"A new withdrawal request was just submitted.","Just esitati uus taganemistaotlus."
"Request:","Taotlus:"
"Order:","Tellimus:"
"Customer:","Klient:"
"Refund Total:","Tagastuse kogusumma:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Taganemine] Uus taotlus %request_increment_id · Tellimus #%order_increment_id · %refund_total"
"Anonymised","Anonüümitud"
"Audit","Audit"
"Cancel Order","Tühista tellimus"
"Confirmation Email (Art. 11a(4))","Kinnitus-e-kiri (art 11a(4))"
"Detection (Art. 16(m))","Tuvastamine (art 16(m))"
"Digital Waiver (Art. 16(m))","Digitaalne loobumine (art 16(m))"
"Email Identity","E-kirja saatja"
"ID","ID"
"Integrity hash","Terviklikkuse räsi"
"Pre-Contract Proof","Lepingueelne tõend"
"Verify this receipt","Kontrolli seda kviitungit"
"Withdrawal Window","Taganemise tähtaeg"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","See SHA-256 räsi tuvastab teie taganemiskirje üheselt. Saate seda igal ajal kontrollida ülaltoodud nupu abil."
"Digital content waiver confirmation — Order %increment_id","Digitaalse sisu loobumise kinnitus — Tellimus %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Komaga eraldatud. Iga saaja saab eraldi e-kirja oma administraatori keeles (administraatori interface_locale; tagavara — general/locale/code). Vigased aadressid jäetakse vaikselt välja."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Digitaalse sisu tuvastamine vastavalt art 16(m) tarbijate õiguste direktiivile. Määrab, mis loetakse digitaalseks sisuks taganemisõiguse kontekstis. Vastav loobumise UI ostukorvis ja e-kiri asuvad järgmises sektsioonis „Digitaalne loobumine“."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Tarbijate õiguste direktiivi art 16(m) erand — digitaalne sisu, mille puhul klient on (1) andnud sõnaselge eelneva nõusoleku täitmise alustamiseks ja (2) tunnistanud taganemisõiguse kaotust. Funktsiooni juhivad kaks lülitit: alajaotis <em>Tuvastamine</em> jaotises <em>Sobivuse reeglid</em> otsustab, mis on digitaalne (peamine lüliti); see jaotis kuvab 2 märkeruuduga loobumise UI ostukorvis ja saadab art 11a(4) kinnitus-e-kirja. Mõlemad peavad olema SEES. Lokaadipõhised tekstid allpool. Kasutage ainult <strong>ühekordseteks digitaalseteks ostudeks</strong> (e-raamatud, tarkvarapaigaldajad, muusikafailid, mängud). <strong>Ärge</strong> lubage seda jätkuvateks digitaalseteks <strong>tellimusteks või teenusteks</strong> (SaaS, voogedastus, hostitud tarkvara) — EL-i kohtupraktika (CJEU Sky, C-641/19) nõuab teistsugust nõusolekuvoogu."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Määrab, <strong>millal</strong> algab 14-päevane taganemisõigus (tarne sündmus, art 9(2)(b)) ja <strong>kui kaua</strong> see kestab päevades (art 9(2)). Koos määravad nad iga tellimuse taganemisperioodi."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Vaikimisi 14 päeva vastavalt art 9(2). Pikendamine lubatud (nt 30, 100). Lühendamine alla 14 on ebaseaduslik — väli valideerib ainult 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Kui sees, kuvavad ostukorvid, mis sisaldavad tuvastatud digitaalset toodet, ostukorvis 2 märkeruuduga loobumise sammu. Mõjub ainult siis, kui <em>Sobivuse reeglid → Tuvastamine → Luba digitaalse sisu tuvastamine</em> on samuti sees."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Vabatahtlik. Komaga eraldatud. Saadab loobumiskinnitus-e-kirja pimekoopia kaupmehe auditi aadressile. Jätke tühjaks vahelejätmiseks."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Õiguslik hoiatus.</strong> Tarbijate õiguste direktiivi art 11a(2) nõuab sõnasõnalist teksti „taganege lepingust siin“ <em>või vastavat ühemõttelist sõnastust</em>. Vaikeväärtus („Taganege lepingust siin“) on Direktiivi sõnasõnaline fraas; Lokaalipõhised tõlked on advokaadi poolt kinnitatud. <strong>Ärge tühistage, kui te pole saanud kirjalikku nõu kvalifitseeritud tarbijaõiguse advokaadilt sihtjurisdiktsioonis.</strong> Iga tühistamine salvestatakse audit-logisse."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Õiguslik hoiatus.</strong> See on lõpliku kinnitusnupu silt. Vaikeväärtus („Kinnita taganemine“) on advokaadi poolt kinnitatud; Lokaalipõhised tõlked on advokaadi poolt kinnitatud. Tühistage ainult kirjaliku õigusabi alusel; tühistamised salvestatakse audit-logisse."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Tühistada seotud tellimus? Ühtegi makset pole vastu võetud, seega pole midagi tagastada — tellimus tühistatakse Magentos."
"Scope & Applicability","Ulatus ja kohaldatavus"
"Controls in which markets the self-service withdrawal flow is offered. These are merchant business decisions, not legal exclusions — an EU consumer's statutory right of withdrawal does not depend on them, and declarations received by other means (email, letter) must still be honoured manually.","Määrab, millistel turgudel pakutakse iseteenindusliku taganemise protsessi. Need on kaupleja äriotsused, mitte õiguslikud erandid — ELi tarbija seadusjärgne taganemisõigus ei sõltu neist ning muul viisil (e-kiri, kiri) saadud taganemisavaldused tuleb endiselt käsitsi täita."
"Restrict by Country","Piira riigi järgi"
"Offers the self-service withdrawal flow only for orders whose billing <strong>or</strong> shipping address is in the selected countries. <strong>Legal note:</strong> this restricts the storefront flow only — an EU consumer's statutory right of withdrawal does not depend on the address, and withdrawal declarations received by other means (email, letter) must still be honoured manually. Default: disabled.","Pakub iseteenindusliku taganemise protsessi ainult tellimustele, mille arveldus- <strong>või</strong> tarneaadress on valitud riikides. <strong>Õiguslik märkus:</strong> see piirab ainult poe protsessi — ELi tarbija seadusjärgne taganemisõigus ei sõltu aadressist ning muul viisil (e-kiri, kiri) saadud taganemisavaldused tuleb endiselt käsitsi täita. Vaikimisi: keelatud."
"Offer Withdrawal For Countries","Paku taganemist riikidele"
"Preselected: EU-27 plus EEA (Norway, Iceland, Liechtenstein). Add the United Kingdom manually if you target UK consumers (separate national regime with a comparable 14-day right). If you clear this list, the restriction has no effect and the flow stays available to every customer.","Eelvalitud: EL-27 pluss EMP (Norra, Island, Liechtenstein). Lisage Ühendkuningriik käsitsi, kui sihite Ühendkuningriigi tarbijaid (eraldi riiklik kord võrreldava 14-päevase õigusega). Kui tühjendate selle loendi, ei ole piirangul mõju ja protsess jääb kõigile klientidele kättesaadavaks."
"Restrict by Customer Group","Piira kliendigrupi järgi"
"Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled.","Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled."
"Exclude Customer Groups","Välista kliendigrupid"
"Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer.","Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer."
"Custom-made to your specifications","Valmistatud teie spetsifikatsioonide järgi"
"Perishable goods","Kiiresti riknevad kaubad"
"Sealed hygiene item — seal broken","Pitseeritud hügieenitoode — pitser on rikutud"
"Sealed audio/video — seal broken","Pitseeritud audio/video — pitser on rikutud"
"Newspapers, periodicals, magazines","Ajalehed, perioodika, ajakirjad"
"Accommodation / event on specific date","Majutus / üritus kindlal kuupäeval"
"Digital content — right waived at purchase","Digitaalne sisu — õigusest loobutud ostmisel"
"Withdrawal period has expired","Taganemistähtaeg on möödunud"
"Already withdrawn in a prior request","Juba taganetud varasema taotlusega"
"A draft withdrawal is holding this item. Confirm it via the email we sent, or cancel it in the 'Existing withdrawals' section above.","Seda toodet hoiab taganemise mustand. Kinnitage see meile saadetud e-kirja kaudu või tühistage see ülal jaotises „Senised taganemised“."
"EU withdrawal request %1 was approved.","EL-i taganemistaotlus %1 kinnitati."
"EU withdrawal request %1 was approved. Refund: %2.","EL-i taganemistaotlus %1 kinnitati. Tagasimakse: %2."
"EU withdrawal request %1 was denied.","EL-i taganemistaotlus %1 lükati tagasi."
"EU withdrawal request %1 was denied. Reason: %2","EL-i taganemistaotlus %1 lükati tagasi. Põhjus: %2"
"EU withdrawal request %1 was cancelled by the customer.","EL-i taganemistaotluse %1 tühistas klient."
"EU withdrawal request %1 was cancelled by an administrator.","EL-i taganemistaotluse %1 tühistas administraator."
"If Delivery Is Never Confirmed","Kui kättetoimetamist kunagi ei kinnitata"
"When an order is already in a Delivery Confirmation Status but has no recorded transition into it (no delivery timestamp), choose whether its withdrawal stays open or it is treated as not eligible. Default: not eligible.","Kui tellimusel on juba kättetoimetamise kinnitamise olek, kuid sellesse pole salvestatud üleminekut (kättetoimetamise kuupäev puudub), valige, kas taganemine jääb avatuks või käsitletakse seda mittesobivana. Vaikimisi: mittesobiv."
"Statuses Excluded From Withdrawal","Taganemisest välistatud olekud"
"Orders whose current status is selected here are never offered for withdrawal (e.g. a legacy migration status such as <code>imported</code>). Do not select a status used by active, deliverable orders — that withholds a valid withdrawal.","Tellimusi, mille praegune olek on siin valitud, ei pakuta kunagi taganemiseks (nt migratsiooniolek nagu <code>imported</code>). Ärge valige olekut, mida kasutavad aktiivsed, tarnitavad tellimused — see keelaks kehtiva taganemise."
"Treat as not eligible","Käsitle mittesobivana"
"Keep withdrawal open","Jäta taganemine avatuks"
"Withdrawal not available for this order","Taganemine pole selle tellimuse jaoks saadaval"
"This order is not eligible for withdrawal.","See tellimus ei sobi taganemiseks."
"EU withdrawal request %1 submitted.","EL-i taganemistaotlus %1 esitati."
"EU withdrawal request %1 submitted. Requested refund: %2.","EL-i taganemistaotlus %1 esitati. Taotletud tagasimakse: %2."
"Show more orders","Näita rohkem tellimusi"
"Item Selection","Toodete valik"
"Per item (customer selects items and quantities)","Toote kaupa (klient valib tooted ja kogused)"
"Full order (all returnable items, no selection)","Kogu tellimus (kõik tagastatavad tooted, ilma valikuta)"
"<em>Per item</em>: the customer chooses lines and quantities. <em>Full order</em>: the request always covers all returnable items; items excluded by law (opened seal, expired period) are still removed automatically, and the form shows a note that partial returns can be requested via your contact page.<br/><strong>⚠ Legal warning.</strong> The explanatory materials to the German implementation law expect the withdrawal function to support selecting parts of the order. Consult your counsel before switching to Full order.","<em>Toote kaupa</em>: klient valib read ja kogused. <em>Kogu tellimus</em>: taotlus hõlmab alati kõiki tagastatavaid tooteid; seadusega välistatud tooted (avatud pitser, möödunud tähtaeg) eemaldatakse siiski automaatselt ja vorm kuvab märkuse, et osalist tagastamist saab taotleda teie kontaktilehe kaudu.<br/><strong>⚠ Õiguslik hoiatus.</strong> Saksamaa rakendusseaduse seletuskirjad eeldavad, et taganemisfunktsioon võimaldab tellimuse osade valimist. Konsulteerige enne kogu tellimuse režiimile üleminekut oma õigusnõustajaga."
"This request covers all returnable items of the order.","See taotlus hõlmab kõiki tellimuse tagastatavaid tooteid."
"Contact us for a partial return.","Osalise tagastamise korral võtke meiega ühendust."
"Review the items included in your return.","Vaadake üle oma tagastusse kaasatud tooted."
"Review the items to return","Vaadake üle tagastatavad tooted"
"Self-service withdrawal is not available for this order.","Iseteeninduslik lepingust taganemine ei ole selle tellimuse puhul saadaval."
"VAT","km"
"Of which VAT","Sellest km"
"Order Adjustment","Tellimuse korrigeerimine"
"Bundle Item Selection","Komplekti toodete valik"
"<em>No</em> (default): the bundle is shown as one returnable unit — the customer returns the whole bundle. <em>Yes</em>: the bundle's priced components are shown as separate returnable lines when they can be returned independently (e.g. a device and an accessory sold together). Enable this only for bundles that group independently returnable products; a bundle sold as a single set should remain returnable only as a whole.<br/><strong>Legal note.</strong> Configure this according to how each bundle is offered and contracted; consult your counsel if components should be withdrawable separately.","<em>Ei</em> (vaikeväärtus): komplekti kuvatakse ühe tagastatava üksusena — klient tagastab kogu komplekti. <em>Jah</em>: komplekti hinnastatud alamtooted kuvatakse eraldi tagastatavate ridadena, kui neid saab tagastada iseseisvalt (nt koos müüdav seade ja lisatarvik). Lubage see ainult komplektidele, mis koondavad iseseisvalt tagastatavaid tooteid; ühtse komplektina müüdav toode peaks jääma tagastatavaks ainult tervikuna.<br/><strong>Õiguslik märkus.</strong> Seadistage see vastavalt sellele, kuidas iga komplekti pakutakse ja lepingus kokku lepitakse; konsulteerige oma õigusnõustajaga, kui alamtooted peaksid olema eraldi taganetavad."
"Acknowledgment of loss of withdrawal (Art. 16(m)(ii))","Kinnitus taganemisõiguse kaotamise kohta (Art. 16(m)(ii))"
"Both confirmations are required to proceed. Your consent is recorded with a tamper-evident hash of the legal text shown above.","Jätkamiseks on vajalikud mõlemad kinnitused. Teie nõusolek salvestatakse koos ülal kuvatud õigusteksti muutusekindla räsiga."
"Digital Content Delivery — Required Waiver","Digitaalse sisu kohaletoimetamine — Nõutav loobumine"
"EU Art. 16(m)","EU Art. 16(m)"
"EU Art. 6(1)(h)","EU Art. 6(1)(h)"
"Express consent (Art. 16(m)(i))","Sõnaselge nõusolek (Art. 16(m)(i))"
"I acknowledge that, as a result, I will lose my right of withdrawal once performance has begun.","Olen teadlik, et selle tagajärjel kaotan oma taganemisõiguse pärast täitmise alustamist."
"I expressly request that performance of the digital content begin immediately, before the end of the 14-day withdrawal period.","Palun sõnaselgelt, et digitaalse sisu täitmine algaks kohe, enne 14-päevase taganemistähtaja lõppu."
"The digital-content consent step is temporarily unavailable. Please refresh the page; if the problem persists, contact support — your order cannot be completed until the required consent can be shown.","Digitaalse sisu nõusoleku samm on ajutiselt kättesaamatu. Palun värskendage lehte; kui probleem püsib, võtke ühendust klienditoega — teie tellimust ei saa lõpule viia enne, kui nõutav nõusolek on kuvatav."
"Your cart contains digital content. To receive it immediately, EU consumer law requires both your express consent to begin performance and your acknowledgment that doing so causes you to lose the right of withdrawal once delivery starts.","Teie ostukorv sisaldab digitaalset sisu. Selle kohe kättesaamiseks nõuab EL-i tarbijaõigus nii teie sõnaselget nõusolekut täitmise alustamiseks kui ka teie kinnitust, et sellega kaotate taganemisõiguse niipea, kui kohaletoimetamine algab."
SKU:,SKU:
"Seal photos skipped","Pitseri fotod jäeti vahele"
Submitting…,Esitamine…
"That order does not belong to your account. Please select one of your own orders.","See tellimus ei kuulu teie kontole. Palun valige üks oma tellimustest."
"Bundle contents","Komplekti sisu"
"included in the bundle price above — not returnable separately","sisaldub ülaltoodud komplekti hinnas — ei ole eraldi tagastatav"
"included: %1","sisaldub: %1"
"Included","Sisaldub"
"Individual items","Üksiktooted"
"%1 items","%1 toodet"
"Return now","Tagasta nüüd"
"Included in this bundle","Sisaldub selles komplektis"
"Included value","Sisalduv väärtus"
"Other items","Muud tooted"
"Order total","Tellimuse kogusumma"
"Hygiene seal","Hügieenipitser"
"Media seal","Meediapitser"
"Seal Photos","Pitseri fotod"
"Is the hygiene seal on “%1” still intact?","Kas toote „%1“ hügieenipitser on veel terve?"
"Is the media / software seal on “%1” still intact?","Kas toote „%1“ meedia / tarkvara pitser on veel terve?"
"Once you confirm the seal is broken, the whole bundle can’t be returned. Its quantity is set to 0.","Kui kinnitate, et pitser on rikutud, ei saa kogu komplekti tagastada. Selle kogus määratakse 0-ks."
"A credit memo can only be started for an approved withdrawal request.","Kreediti saab algatada ainult heakskiidetud taganemistaotluse jaoks."
"EU withdrawal request %1 was cancelled by an administrator. Reason: %2","EL-i taganemistaotlus %1 tühistati administraatori poolt. Põhjus: %2"
"System","Süsteem"
"View Order","Vaata tellimust"
"View Request","Vaata taotlust"
"View Shipment","Vaata saadetist"
"Please confirm both consent boxes to proceed with digital content delivery.","Digitaalse sisu kohaletoimetamiseks jätkamiseks kinnitage mõlemad nõusolekukastid."
"The digital-content consent step could not load. Please refresh and try again, or contact support.","Digitaalse sisu nõusoleku sammu ei õnnestunud laadida. Värskendage ja proovige uuesti või võtke ühendust toega."
"We could not record your consent just now. Please try again.","Me ei saanud teie nõusolekut praegu salvestada. Palun proovige uuesti."
