"View Credit Memo","Näytä hyvityslasku"
"Issue Credit Memo","Luo hyvityslasku"
"Approve","Hyväksy"
"Approve this withdrawal request?","Hyväksytäänkö tämä peruutuspyyntö?"
"Deny","Hylkää"
"Legal reason for denial (min 10 chars):","Lainmukainen peruste hylkäykselle (väh. 10 merkkiä):"
"Cancel Request","Peruuta pyyntö"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Peruutetaanko tämä peruutuspyyntö? Lisää valinnainen viesti asiakkaalle (näkyy heidän peruutussähköpostissaan):"
"Resend Receipt","Lähetä kuitti uudelleen"
"Send the receipt email again? The customer will receive another copy.","Lähetetäänkö kuittisähköposti uudelleen? Asiakas vastaanottaa toisen kopion."
"Withdrawal Request #%1","Peruutuspyyntö #%1"
"Request Details","Pyynnön tiedot"
"Information","Tiedot"
"Reason for Denial","Hylkäysperuste"
"Customer Cancellation Note","Asiakkaan peruutusviesti"
"Cancellation Note","Peruutusviesti"
"Status-Change Note","Tilan muutoksen viesti"
"Code","Koodi"
"Label","Otsikko"
"Add Reason","Lisää peruste"
"In progress","Käsittelyssä"
"Refund issued","Hyvitys myönnetty"
"Denied","Hylätty"
"Cancelled","Peruutettu"
"Pending","Odottaa"
"This is a transactional email about your order.","Tämä on tilaustasi koskeva tapahtumasähköposti."
"Reason for denial","Hylkäysperuste"
"Your cancellation note","Peruutusviestisi"
"Note from our team","Viesti tiimiltämme"
"EU right of withdrawal","EU:n peruuttamisoikeus"
"Withdrawal right pending delivery","Peruuttamisoikeus odottaa toimitusta"
"Withdrawal window has ended","Peruuttamisaika päättynyt"
"Not eligible for withdrawal","Ei oikeutta peruutukseen"
"Withdrawal already requested","Peruutuspyyntö on jo lähetetty"
"You can withdraw from this contract any time — the %1-day deadline begins counting once the order is delivered.","Voit peruuttaa tämän sopimuksen milloin tahansa — %1 päivän määräaika alkaa kulua, kun tilaus on toimitettu."
"Your %1-day withdrawal window will begin once this order is delivered.","Sinun %1 päivän peruuttamisaikasi alkaa, kun tämä tilaus on toimitettu."
"The %1-day window for withdrawing from this contract has ended.","Tämän sopimuksen %1 päivän peruuttamisaika on päättynyt."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Tätä tilausta ei voi peruuttaa EU:n kuluttajalainsäädännön nojalla (direktiivin 2011/83/EU 16 artikla)."
"A withdrawal request for this order has been submitted. See the request details below.","Tästä tilauksesta on lähetetty peruutuspyyntö. Katso pyynnön tiedot alta."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Tämä tilaus sisältää pilaantuvan tuotteen, jota ei voi palauttaa (lyhyen säilyvyysajan elintarvikkeet, leikkokukat jne.)."
"This order contains a custom-made or personalised item that cannot be returned.","Tämä tilaus sisältää tilauksesta valmistetun tai personoidun tuotteen, jota ei voi palauttaa."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Tämä tilaus sisältää suljetun hygieniatuotteen. Säilytät peruuttamisoikeuden vain niin kauan kuin sinetti on ehjä — kun sinetti on avattu toimituksen jälkeen, oikeus menetetään."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Tämä tilaus sisältää suljetun ääni-/video-/ohjelmistotuotteen. Säilytät peruuttamisoikeuden vain niin kauan kuin sinetti on ehjä — kun sinetti on avattu toimituksen jälkeen, oikeus menetetään."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Tämä tilaus sisältää digitaalista sisältöä. Kun aloitat sisällön käytön tai latauksen, menetät peruuttamisoikeuden (annoit tähän suostumuksen kassalla)."
"%1 item(s) · Refund %2","%1 tuote(tta) · Hyvitys %2"
"Awaiting confirmation","Odottaa vahvistusta"
"Cancel withdrawal %1? Your refund will not be processed.","Peruutetaanko peruutus %1? Hyvitystäsi ei käsitellä."
"Submitted","Lähetetty"
"Approved","Hyväksytty"
"Fully returned","Palautettu kokonaan"
"Return requested","Palautus pyydetty"
"Not eligible","Ei oikeutettu"
"Partially requested","Osittain pyydetty"
"— Select a reason —","— Valitse syy —"
"Other","Muu"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Palautus suoritetaan alkuperäisellä maksutavallasi 5–7 työpäivän kuluessa palautuksesi vastaanottamisesta."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Peruuttamisoikeus menetetty (Art. 16(m) kuluttajanoikeusdirektiivi) — digitaalisen sisällön toimitus alkoi %1."
"Request #%1 not found.","Pyyntöä #%1 ei löytynyt."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","Kuittisähköposti palautettu jonoon pyynnölle #%1. Toimitusta yritetään uudelleen asynkronisesti."
"Failed to queue receipt resend: %1","Kuitin uudelleenlähetyksen jonottaminen epäonnistui: %1"
"Note text is empty.","Viestiteksti on tyhjä."
"Note added to request #%1.","Viesti lisätty pyyntöön #%1."
"Request #%1 approved.","Pyyntö #%1 hyväksytty."
"Request #%1 cancelled.","Pyyntö #%1 peruutettu."
"Request #%1 denied.","Pyyntö #%1 hylätty."
"Invalid request id.","Virheellinen pyynnön tunnus."
"Unable to open temporary file for CSV export.","Tilapäisen tiedoston avaaminen CSV-vientiä varten epäonnistui."
"Withdrawal Requests","Peruutuspyynnöt"
"%1 requests queued for acceptance.","%1 pyyntöä laitettu jonoon hyväksyntää varten."
"%1 request(s) approved.","%1 pyyntö(ä) hyväksytty."
"%1 request(s) failed. First errors: %2","%1 pyyntö(ä) epäonnistui. Ensimmäiset virheet: %2"
"Note added to %1 request(s).","Viesti lisätty %1 pyyntöön."
"Underlying order #%1 not found.","Tilausta #%1 ei löytynyt."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Tilauksella #%1 ei ole vielä laskua — Magento edellyttää laskua ennen kuin hyvityslaskua voidaan luoda. Luo ensin lasku (Myynti → Tilaukset → #%1 → Lasku-painike), ja palaa sitten tänne tekemään hyvitys."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","Tässä peruutuspyynnössä ei ole tallennettuna tuotteita — hyvityslasku avautuu laskun oletusmäärillä; säädä määrät käsin."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Esitäytetty hyvityslasku peruutukselle #%1 — tarkista alla olevat määrät ja toimituskuluhyvitys ja napsauta sitten Hyvitä verkossa tai Hyvitä offline-tilassa."
"Some items are no longer eligible. Please reload and try again.","Jotkin tuotteet eivät ole enää kelpoisia. Lataa sivu uudelleen ja yritä uudelleen."
"We could not process your request. Please try again.","Pyyntöäsi ei voitu käsitellä. Yritä uudelleen."
"Item","Tuote"
"We could not find a matching order for that email.","Emme löytäneet tähän sähköpostiosoitteeseen liittyvää tilausta."
"Withdraw from a contract","Peruuta sopimus"
"Withdrawal not found.","Peruutusta ei löytynyt."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Tätä peruutusta ei voi enää perua verkossa. Ota meihin yhteyttä, jos tarvitset apua."
"Withdrawal #%1 cancelled.","Peruutus #%1 peruutettu."
"Please fill in all required fields.","Täytä kaikki pakolliset kentät."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 tuote(tta) jätettiin peruutuksen ulkopuolelle, koska sinetti on rikottu (direktiivin 2011/83/EU 16 artiklan e/i alakohta)."
"Please select at least one item to withdraw.","Valitse vähintään yksi peruutettava tuote."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Yksi tai useampi tuote ei ole enää peruutettavissa. Päivitä sivu ja yritä uudelleen."
"None of the selected items are eligible for withdrawal.","Mitään valittua tuotetta ei voi peruuttaa."
"Hash mismatch for quote item %1","Tiivisteet eivät täsmää tarjouksen tuotteelle %1"
"Requested qty %1 exceeds remaining %2 for order item %3","Pyydetty määrä %1 ylittää jäljellä olevan määrän %2 tilauksen tuotteelle %3"
"No delivery confirmation recorded for this order yet.","Tähän tilaukseen ei ole vielä kirjattu toimitusvahvistusta."
"No eligible items selected for withdrawal","Ei valittu peruutettavissa olevia tuotteita"
"Physical goods","Fyysiset tavarat"
"Digital content (non-tangible)","Digitaalinen sisältö (aineeton)"
"Digital service (SaaS / subscription)","Digitaalinen palvelu (SaaS / tilaus)"
"Financial services (not supported)","Rahoituspalvelut (ei tuettu)"
"Downloadable products","Ladattavat tuotteet"
"Virtual products","Virtuaaliset tuotteet"
"Bundles containing digital children","Pakettituotteet, jotka sisältävät digitaalisia osia"
"Custom attribute flag","Mukautettu määriteliputus"
"locale_inheritance.xml missing at %1","locale_inheritance.xml puuttuu polusta %1"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml ei ole luettavissa polussa %1"
"locale_inheritance.xml failed XSD validation: %1","locale_inheritance.xml ei läpäissyt XSD-validointia: %1"
"Original payment method","Alkuperäinen maksutapa"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","Tämä on peruutuksesi pysyvällä tallennusalustalla annettu kuitti (direktiivin 2011/83/EU 11a artiklan 4 kohta)."
"This email is a notification about your withdrawal request.","Tämä sähköposti on ilmoitus peruutuspyynnöstäsi."
"5–7 business days","5–7 arkipäivää"
"This is a confirmation that your withdrawal request has been recorded.","Tämä on vahvistus siitä, että peruutuspyyntösi on kirjattu."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","MageMe EU Withdrawal on asennettu, mutta ei käytössä. Tarkista vaatimustenmukaisuuslista ja määritä moduuli ennen käyttöönottoa: <a href=""%1"">Kaupat → Asetukset → MageMe-laajennukset → EU Withdrawal</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","Toimitusvahvistuksen tila on määrittämättä. Aseta: Kaupat → Asetukset → MageMe-laajennukset → EU Withdrawal → Peruutusaika → Toimitusvahvistuksen tilat."
"No Annex I source found for locale %1 along chain %2","Liitteen I lähdettä ei löytynyt kielelle %1 ketjussa %2"
"Annex I source for locale %1 is malformed","Liitteen I lähde kielelle %1 on virheellisesti muotoiltu"
"Missing merchant variables for Annex I rendering: %1","Liitteen I renderöinnistä puuttuu kauppiaan muuttujia: %1"
"Receipt hash mismatch for request %1","Kuitin tiivisteet eivät täsmää pyynnölle %1"
"Request %1 not found.","Pyyntöä %1 ei löytynyt."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Peruutuspyynnön hylkääminen edellyttää vähintään 10 merkin lainmukaista perustetta."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Peruutuspyyntöä ei voi siirtää tilasta ""%1"" tilaan ""%2""."
"Request %1 is not in pending_confirm state.","Pyyntö %1 ei ole pending_confirm-tilassa."
"Withdrawal request #%1 does not exist.","Peruutuspyyntöä #%1 ei ole olemassa."
"No digital items on order %1","Tilauksella %1 ei ole digitaalisia tuotteita"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","Tämä on pysyvällä tallennusalustalla annettu kopio kassalla allekirjoittamastasi suostumuksesta (direktiivin 2011/83/EU 11a artiklan 4 kohta)."
"Waived","Luovuttu"
"Waiver email render failed: %1","Suostumussähköpostin renderöinti epäonnistui: %1"
"Digital content waiver text has changed — please reload checkout.","Digitaalisen sisällön suostumusteksti on muuttunut — lataa kassa uudelleen."
"Digital content waiver is incomplete for item %1.","Digitaalisen sisällön suostumus on puutteellinen tuotteelle %1."
"bad","huono"
"smtp down","smtp down"
"smtp","smtp"
"down","alhaalla"
"No shipment found for order 42.","Tilaukselle 42 ei löytynyt toimitusta."
"View","Näytä"
"Withdrawal & Customer Information","Peruutuksen ja asiakkaan tiedot"
"Request # %1","Pyyntö #%1"
"Request Status","Pyynnön tila"
"Submitted At","Lähetetty"
"Related Order","Liittyvä tilaus"
"Jurisdiction","Lainkäyttöalue"
"Contract Type","Sopimustyyppi"
"Receipt Status","Kuitin tila"
"%1 attempt(s)","%1 yritys(tä)"
"Receipt Error","Kuitin virhe"
"Customer Information","Asiakastiedot"
"Customer Name","Asiakkaan nimi"
"Email","Sähköposti"
"Locale","Kieli"
"Items Selected for Withdrawal","Peruutusta varten valitut tuotteet"
"Product","Tuote"
"Price","Hinta"
"Qty","Määrä"
"Subtotal","Välisumma"
"Refund","Hyvitys"
"Reason","Syy"
"Eligibility","Kelpoisuus"
"No items associated with this request.","Tähän pyyntöön ei liity tuotteita."
"SKU","SKU"
"Ordered","Tilattu"
"Withdrawing","Peruutetaan"
"Refund Total","Palautus yhteensä"
"Notes for this Request","Tämän pyynnön muistiinpanot"
"Internal notes — visible to admin staff only. Not sent to the customer.","Sisäiset muistiinpanot — näkyvät vain ylläpidon henkilökunnalle. Ei lähetetä asiakkaalle."
"Comment","Kommentti"
"Add internal note (max 2000 chars)","Lisää sisäinen muistiinpano (enint. 2000 merkkiä)"
"Submit Comment","Lähetä kommentti"
"No comments added yet.","Kommentteja ei ole vielä lisätty."
" by %1"," — %1"
"Refund Totals","Hyvityksen yhteissummat"
"Items Subtotal","Tuotteiden välisumma"
"Shipping Refund","Toimituskulujen hyvitys"
"Total Refund","Hyvitys yhteensä"
"Changes have been made to this section that have not been saved.","Tähän osioon on tehty muutoksia, joita ei ole tallennettu."
"This tab contains invalid data. Please resolve this before saving.","Tämä välilehti sisältää virheellisiä tietoja. Korjaa tämä ennen tallennusta."
"Contact us","Ota yhteyttä"
"Returns","Palautukset"
"FAQs","Usein kysytyt kysymykset"
"All rights reserved.","Kaikki oikeudet pidätetään."
"Returned items","Palautetut tuotteet"
"No image","Ei kuvaa"
"Item status","Tuotteen tila"
"Withdrawal options for this order","Tämän tilauksen peruutusvaihtoehdot"
"You can return this order until %1.","Voit palauttaa tämän tilauksen %1 saakka."
"(Art. 11a Directive 2011/83/EU)","(direktiivin 2011/83/EU 11a artikla)"
"Submit a withdrawal request to start the refund process.","Lähetä peruutuspyyntö aloittaaksesi hyvitysprosessin."
"(Art. 9(2)(b) Directive 2011/83/EU)","(direktiivin 2011/83/EU 9 artiklan 2 kohdan b alakohta)"
"Start withdrawal","Aloita peruutus"
"Your withdrawal requests","Peruutuspyyntösi"
"Submitted %1","Lähetetty %1"
"Show items","Näytä tuotteet"
"Cancel withdrawal","Peruuta peruutus"
"Qty %1","Määrä %1"
"Receipt details","Kuitin tiedot"
"Receipt number","Kuitin numero"
"Order number","Tilausnumero"
"Consumer","Kuluttaja"
"Refund total","Hyvitys yhteensä"
"Merchant","Kauppias"
"Legal basis","Oikeusperusta"
"SKU %1","SKU %1"
"Shipping refund","Toimituskulujen hyvitys"
"Tax refund","Veron hyvitys"
"Total refund","Palautus yhteensä"
"Digital content — Art. 16(m) notice","Digitaalinen sisältö — 16 artiklan m alakohdan ilmoitus"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Tehdessäsi tilauksen suostuit digitaalisen sisällön toimittamisen aloittamiseen ennen peruuttamisajan päättymistä ja vahvistit ymmärtäväsi, että kun toimitus on alkanut, peruuttamisoikeutta ei enää sovelleta. Tämä ilmoitus näytetään arkistointiasi varten."
"Existing withdrawals for this order","Tämän tilauksen olemassa olevat peruutukset"
"You can cancel a withdrawal here until it is approved.","Voit perua peruutuksen täällä, kunnes se on hyväksytty."
"Request #%1","Pyyntö #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Arvioitu hyvitys: %1 %2"
"Cancel this withdrawal","Peruuta tämä peruutus"
"Are you sure? This cannot be undone.","Oletko varma? Tätä ei voi kumota."
"Yes, cancel","Kyllä, peruuta"
"Keep it","Säilytä"
"Qty: ","Määrä: "
"Submission failed. Please try again.","Lähetys epäonnistui. Yritä uudelleen."
"Network error. Please try again.","Verkkovirhe. Yritä uudelleen."
"Invalid server response.","Virheellinen palvelinvastaus."
"Select items to return","Valitse palautettavat tuotteet"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Valitse kaikki tai vain osa tuotteista. Aseta palautusmäärä jokaiselle tuotteelle, jonka haluat peruuttaa."
"You have %1 days from the day you received your order to withdraw from the contract without giving a reason.","Sinulla on %1 päivää tilauksen vastaanottamisesta peruuttaa sopimus ilman syytä."
"Back to order search","Takaisin tilaushakuun"
"Cancel","Peruuta"
"Continue to review","Jatka tarkistukseen"
"Review and confirm","Tarkista ja vahvista"
"Order #%1","Tilaus #%1"
"Placed on %1","Tehty %1"
"Awaiting delivery","Odottaa toimitusta"
"Delivered on %1","Toimitettu %1"
"Total","Yhteensä"
"Return shipping","Palautuslähetys"
"View return policy","Näytä palautuskäytäntö"
"Refund method","Palautustapa"
"Refund will be issued to your original payment method.","Palautus maksetaan alkuperäiselle maksutavallesi."
"Return summary","Palautuksen yhteenveto"
"Shipping & Handling","Toimitus ja käsittely"
"Tax","Vero"
"Back to items","Takaisin tuotteisiin"
"Submit return request","Lähetä palautuspyyntö"
"Your return request has been submitted!","Palautuspyyntösi on lähetetty!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","Olemme lähettäneet sinulle sähköpostitse ilmoituksen palautuksesi tiedoista ja esimaksetun palautustarran (jos sovellettavissa). Sinulla on 14 päivää aikaa toimituspäivästä lähettää tuotteet takaisin."
"Return request number","Palautuspyynnön numero"
"Copy request number","Kopioi pyynnön numero"
"Copied!","Kopioitu!"
"Confirmation email sent","Vahvistussähköposti lähetetty"
"We've sent the details to","Olemme lähettäneet tiedot osoitteeseen"
"What happens next?","Mitä seuraavaksi?"
"Pack your items securely","Pakkaa tuotteet huolellisesti"
"Send them back using the provided instructions","Lähetä ne takaisin annettujen ohjeiden mukaan"
"We'll inspect your return","Tarkastamme palautuksesi"
"Your refund will be issued to your original payment method","Hyvitys palautetaan alkuperäiselle maksutavallesi"
"Need more help?","Tarvitsetko lisää apua?"
"View my returns","Näytä palautukseni"
"Contact support","Ota yhteyttä tukeen"
"Purchased","Ostettu"
"Returned","Palautettu"
"Decrease quantity","Vähennä määrää"
"Increase quantity","Lisää määrää"
"Is the hygiene seal still intact?","Onko hygieniasinetti edelleen ehjä?"
"Is the original software / media seal still intact?","Onko alkuperäinen ohjelmisto- tai mediasinetti edelleen ehjä?"
"Yes — it's still sealed","Kyllä — sinetti on edelleen ehjä"
"Refund possible — return the unopened package.","Hyvitys on mahdollinen — palauta avaamaton pakkaus."
"No — I've opened it","Ei — olen avannut sen"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Tätä tuotetta ei voi palauttaa (direktiivin 2011/83/EU 16 artiklan e alakohta)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Tätä tuotetta ei voi palauttaa (direktiivin 2011/83/EU 16 artiklan i alakohta)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Kun vahvistat sinetin olevan rikki, tämä tuote suljetaan peruutuspyynnön ulkopuolelle ja määrä nollataan."
"Reason for return (optional)","Palautuksen syy (vapaaehtoinen)"
"Tell us more (optional, max 500 chars)","Kerro lisää (vapaaehtoinen, enint. 500 merkkiä)"
"Already returned.","Jo palautettu."
"awaiting admin review","odottaa ylläpitäjän tarkistusta"
"awaiting confirmation","odottaa vahvistusta"
"Request %1 %2 (%3 item%4).","Pyyntö %1 %2 (%3 tuote%4)."
"Return request awaiting review.","Palautuspyyntö odottaa tarkistusta."
"Cancel request","Peruuta pyyntö"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","EU:n kuluttajalainsäädännön nojalla voit peruuttaa useimmat sopimukset 14 päivän kuluessa ilman syytä."
"Read your full pre-contract rights (Art. 6)","Lue täydet ennakkotietoja koskevat oikeutesi (6 artikla)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","Direktiivin 2011/83/EU 6 artiklan nojalla (sellaisena kuin se on muutettuna direktiivillä (EU) 2023/2673) myyjä on ennen tilauksesi tekemistä antanut tai asettanut saataville seuraavat tiedot:"
"The main characteristics of the goods or services.","Tavaroiden tai palveluiden pääominaisuudet."
"The identity and contact details of the trader.","Elinkeinonharjoittajan tunnistetiedot ja yhteystiedot."
"The total price including all taxes and any delivery costs.","Kokonaishinta kaikkine veroineen ja toimituskuluineen."
"The arrangements for payment, delivery and performance, and complaint-handling.","Maksu-, toimitus- ja suorittamisjärjestelyt sekä valitusten käsittely."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Peruuttamisoikeutesi: 9 artiklan nojalla sinulla on 14 päivää aikaa peruuttaa tämä etäsopimus ilman syytä. Fyysisten tavaroiden osalta 14 päivän ajanjakso alkaa päivästä, jona sinä (tai nimeämäsi kolmas osapuoli) saat tavarat fyysiseen hallintaan. Palveluille ja digitaaliselle sisällölle sovelletaan eri alkamispäiviä (9 artiklan 2 kohdan a/c alakohta)."
