"View Credit Memo","Pregled odobrenja"
"Issue Credit Memo","Izdavanje odobrenja"
"Approve","Odobri"
"Approve this withdrawal request?","Odobriti ovaj zahtjev za odustajanje?"
"Deny","Odbij"
"Legal reason for denial (min 10 chars):","Pravni razlog za odbijanje (min. 10 znakova):"
"Cancel Request","Otkaži zahtjev"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Otkazati ovo odustajanje? Dodajte neobaveznu napomenu za kupca (vidljiva u e-poruci o otkazivanju):"
"Resend Receipt","Ponovno pošalji potvrdu"
"Send the receipt email again? The customer will receive another copy.","Ponovno poslati e-poruku s potvrdom? Kupac će primiti dodatnu kopiju."
"Withdrawal Request #%1","Zahtjev za odustajanje #%1"
"Request Details","Detalji zahtjeva"
"Information","Informacije"
"Reason for Denial","Razlog odbijanja"
"Customer Cancellation Note","Napomena kupca o otkazivanju"
"Cancellation Note","Napomena o otkazivanju"
"Status-Change Note","Napomena o promjeni statusa"
"Code","Kod"
"Label","Oznaka"
"Add Reason","Dodaj razlog"
"In progress","U tijeku"
"Refund issued","Povrat izdan"
"Denied","Odbijeno"
"Cancelled","Otkazano"
"Pending","Na čekanju"
"This is a transactional email about your order.","Ovo je transakcijska e-poruka u vezi s vašom narudžbom."
"Reason for denial","Razlog odbijanja"
"Your cancellation note","Vaša napomena o otkazivanju"
"Note from our team","Napomena našeg tima"
"EU right of withdrawal","EU pravo na odustajanje"
"Withdrawal right pending delivery","Pravo na odustajanje čeka isporuku"
"Withdrawal window has ended","Rok za odustajanje je istekao"
"Not eligible for withdrawal","Nije moguće odustajanje"
"Withdrawal already requested","Zahtjev za odustajanje je već predan"
"You can withdraw from this contract any time — the %1-day deadline begins counting once the order is delivered.","Od ovog ugovora možete odustati u bilo kojem trenutku — rok od %1 dana počinje teći od trenutka isporuke narudžbe."
"Your %1-day withdrawal window will begin once this order is delivered.","Vaš rok od %1 dana za odustajanje počinje teći od trenutka isporuke ove narudžbe."
"The %1-day window for withdrawing from this contract has ended.","Rok od %1 dana za odustajanje od ovog ugovora je istekao."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Ova narudžba ne podliježe pravu na odustajanje prema potrošačkom pravu EU-a (čl. 16. Direktive 2011/83/EU)."
"A withdrawal request for this order has been submitted. See the request details below.","Za ovu narudžbu predan je zahtjev za odustajanje. Pogledajte pojedinosti zahtjeva u nastavku."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Ova narudžba sadrži pokvarljivu robu koja se ne može vratiti (hrana s kratkim rokom trajanja, svježe cvijeće itd.)."
"This order contains a custom-made or personalised item that cannot be returned.","Ova narudžba sadrži robu izrađenu po narudžbi ili personaliziranu robu koja se ne može vratiti."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Ova narudžba sadrži zapečaćenu higijensku robu. Pravo na odustajanje zadržavate samo dok je pečat netaknut — nakon što se pečat oštećuje nakon isporuke, pravo se gubi."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Ova narudžba sadrži zapečaćenu audio / video / softversku robu. Pravo na odustajanje zadržavate samo dok je pečat netaknut — nakon što se pečat oštećuje nakon isporuke, pravo se gubi."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Ova narudžba sadrži digitalni sadržaj. Čim započnete s korištenjem ili preuzimanjem sadržaja, gubite pravo na odustajanje (na to ste pristali tijekom naplate)."
"%1 item(s) · Refund %2","%1 stavki · Povrat %2"
"Awaiting confirmation","Čeka potvrdu"
"Cancel withdrawal %1? Your refund will not be processed.","Otkazati odustajanje %1? Vaš povrat neće biti obrađen."
"Submitted","Predano"
"Approved","Odobreno"
"Fully returned","Potpuno vraćeno"
"Return requested","Zatraženo vraćanje"
"Not eligible","Nije prihvatljivo"
"Partially requested","Djelomično zatraženo"
"— Select a reason —","— Odaberite razlog —"
"Other","Ostalo"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Povrat novca bit će izvršen putem vaše izvorne metode plaćanja u roku od 5-7 radnih dana nakon primitka vašeg povrata."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Pravo na odustajanje izgubljeno (čl. 16(m) Direktive o pravima potrošača) — digitalna izvedba započela je %1."
"Request #%1 not found.","Zahtjev #%1 nije pronađen."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","E-poruka s potvrdom ponovno je u redu čekanja za zahtjev #%1. Isporuka će se asinkrono ponoviti."
"Failed to queue receipt resend: %1","Stavljanje ponovnog slanja potvrde u red čekanja nije uspjelo: %1"
"Note text is empty.","Tekst napomene je prazan."
"Note added to request #%1.","Napomena dodana zahtjevu #%1."
"Request #%1 approved.","Zahtjev #%1 odobren."
"Request #%1 cancelled.","Zahtjev #%1 otkazan."
"Request #%1 denied.","Zahtjev #%1 odbijen."
"Invalid request id.","Nevažeći ID zahtjeva."
"Unable to open temporary file for CSV export.","Nije moguće otvoriti privremenu datoteku za CSV izvoz."
"Withdrawal Requests","Zahtjevi za odustajanje"
"%1 requests queued for acceptance.","%1 zahtjeva stavljeno u red čekanja za prihvaćanje."
"%1 request(s) approved.","Odobreno zahtjeva: %1."
"%1 request(s) failed. First errors: %2","Neuspješnih zahtjeva: %1. Prve pogreške: %2"
"Note added to %1 request(s).","Napomena dodana broju zahtjeva: %1."
"Underlying order #%1 not found.","Pripadajuća narudžba #%1 nije pronađena."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Narudžba #%1 još nema račun — Magento zahtijeva račun prije nego što je moguće izraditi knjižno odobrenje. Najprije otvorite račun (Prodaja → Narudžbe → #%1 → gumb Račun), a zatim se vratite ovamo za povrat."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","Na ovom zahtjevu za odustajanje nisu zabilježene stavke — knjižno odobrenje otvorit će se sa zadanim količinama računa; ručno prilagodite vrijednosti."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Unaprijed ispunjeno knjižno odobrenje za odustajanje #%1 — pregledajte količine i povrat troškova dostave u nastavku, a zatim kliknite Povrat online ili Povrat offline."
"Some items are no longer eligible. Please reload and try again.","Neke stavke više nisu prihvatljive. Ponovno učitajte i pokušajte opet."
"We could not process your request. Please try again.","Nismo mogli obraditi vaš zahtjev. Pokušajte ponovno."
"Item","Stavka"
"We could not find a matching order for that email.","Nismo mogli pronaći odgovarajuću narudžbu za tu e-poštu."
"Withdraw from a contract","Odustani od ugovora"
"Withdrawal not found.","Odustajanje nije pronađeno."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Ovo se odustajanje više ne može otkazati online. Kontaktirajte nas ako vam je potrebna pomoć."
"Withdrawal #%1 cancelled.","Odustajanje #%1 otkazano."
"Please fill in all required fields.","Ispunite sva obavezna polja."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","Iz odustajanja je isključeno stavki: %1, jer je pečat oštećen (čl. 16(e)/(i) Direktive 2011/83/EU)."
"Please select at least one item to withdraw.","Odaberite barem jednu stavku za odustajanje."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Jedna ili više stavki više nisu dostupne za odustajanje. Osvježite i pokušajte ponovno."
"None of the selected items are eligible for withdrawal.","Nijedna od odabranih stavki ne ispunjava uvjete za odustajanje."
"Hash mismatch for quote item %1","Neslaganje hash-a za stavku ponude %1"
"Requested qty %1 exceeds remaining %2 for order item %3","Zatražena količina %1 premašuje preostalu %2 za stavku narudžbe %3"
"No delivery confirmation recorded for this order yet.","Za ovu narudžbu još nije zabilježena potvrda isporuke."
"No eligible items selected for withdrawal","Nije odabrana nijedna prihvatljiva stavka za odustajanje"
"Physical goods","Fizička roba"
"Digital content (non-tangible)","Digitalni sadržaj (nematerijalni)"
"Digital service (SaaS / subscription)","Digitalna usluga (SaaS / pretplata)"
"Financial services (not supported)","Financijske usluge (nije podržano)"
"Downloadable products","Proizvodi za preuzimanje"
"Virtual products","Virtualni proizvodi"
"Bundles containing digital children","Paketi koji sadrže digitalne podstavke"
"Custom attribute flag","Zastavica prilagođenog atributa"
"locale_inheritance.xml missing at %1","locale_inheritance.xml nedostaje na %1"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml nije čitljiv na %1"
"locale_inheritance.xml failed XSD validation: %1","locale_inheritance.xml nije prošao XSD validaciju: %1"
"Original payment method","Izvorni način plaćanja"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","Ovo je vaša potvrda na trajnom mediju za odustajanje (čl. 11a(4) Direktive 2011/83/EU)."
"This email is a notification about your withdrawal request.","Ova e-poruka je obavijest o vašem zahtjevu za odustajanje."
"5–7 business days","5–7 radnih dana"
"This is a confirmation that your withdrawal request has been recorded.","Ovo je potvrda da je vaš zahtjev za odustajanje zabilježen."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","MageMe EU Withdrawal je instaliran, ali nije omogućen. Prije omogućavanja pregledajte popis za provjeru usklađenosti i konfigurirajte modul: <a href=""%1"">Trgovine → Konfiguracija → MageMe ekstenzije → EU Withdrawal</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","Status potvrde isporuke nije konfiguriran. Postavite Trgovine → Konfiguracija → MageMe ekstenzije → EU Withdrawal → Razdoblje odustajanja → Statusi potvrde isporuke."
"No Annex I source found for locale %1 along chain %2","Izvor Priloga I. nije pronađen za jezik %1 duž lanca %2"
"Annex I source for locale %1 is malformed","Izvor Priloga I. za jezik %1 je neispravno oblikovan"
"Missing merchant variables for Annex I rendering: %1","Nedostaju varijable trgovca za prikaz Priloga I.: %1"
"Receipt hash mismatch for request %1","Neslaganje hash-a potvrde za zahtjev %1"
"Request %1 not found.","Zahtjev %1 nije pronađen."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Za odbijanje zahtjeva za odustajanje potrebna je pravna osnova od najmanje 10 znakova."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Zahtjev za odustajanje ne može prijeći iz „%1” u „%2”."
"Request %1 is not in pending_confirm state.","Zahtjev %1 nije u stanju pending_confirm."
"Withdrawal request #%1 does not exist.","Zahtjev za odustajanje #%1 ne postoji."
"No digital items on order %1","Nema digitalnih stavki u narudžbi %1"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","Ovo je vaš primjerak izjave o odricanju koju ste potpisali tijekom naplate, na trajnom mediju (čl. 11a(4) Direktive 2011/83/EU)."
"Waived","Odustano"
"Waiver email render failed: %1","Prikaz e-poruke o odricanju nije uspio: %1"
"Digital content waiver text has changed — please reload checkout.","Tekst odricanja za digitalni sadržaj se promijenio — ponovno učitajte naplatu."
"Digital content waiver is incomplete for item %1.","Odricanje za digitalni sadržaj nije potpuno za stavku %1."
"bad","loše"
"smtp down","smtp down"
"smtp","smtp"
"down","nedostupno"
"No shipment found for order 42.","Za narudžbu 42 nije pronađena pošiljka."
"View","Pregledaj"
"Withdrawal & Customer Information","Podaci o odustajanju i kupcu"
"Request # %1","Zahtjev # %1"
"Request Status","Status zahtjeva"
"Submitted At","Predano u"
"Related Order","Povezana narudžba"
"Jurisdiction","Nadležnost"
"Contract Type","Vrsta ugovora"
"Receipt Status","Status potvrde"
"%1 attempt(s)","Pokušaja: %1"
"Receipt Error","Pogreška potvrde"
"Customer Information","Podaci o kupcu"
"Customer Name","Ime kupca"
"Email","E-pošta"
"Locale","Jezik"
"Items Selected for Withdrawal","Stavke odabrane za odustajanje"
"Product","Proizvod"
"Price","Cijena"
"Qty","Količ."
"Subtotal","Međuzbroj"
"Refund","Povrat"
"Reason","Razlog"
"Eligibility","Prihvatljivost"
"No items associated with this request.","S ovim zahtjevom nisu povezane nikakve stavke."
"SKU","SKU"
"Ordered","Naručeno"
"Withdrawing","Odustaje se"
"Refund Total","Ukupan povrat"
"Notes for this Request","Napomene za ovaj zahtjev"
"Internal notes — visible to admin staff only. Not sent to the customer.","Interne napomene — vidljive samo administratorima. Ne šalju se kupcu."
"Comment","Komentar"
"Add internal note (max 2000 chars)","Dodaj internu napomenu (najviše 2000 znakova)"
"Submit Comment","Pošalji komentar"
"No comments added yet.","Komentari još nisu dodani."
" by %1"," od %1"
"Refund Totals","Ukupni iznosi povrata"
"Items Subtotal","Međuzbroj stavki"
"Shipping Refund","Povrat troškova dostave"
"Total Refund","Ukupni povrat"
"Changes have been made to this section that have not been saved.","U ovom su odjeljku napravljene promjene koje nisu spremljene."
"This tab contains invalid data. Please resolve this before saving.","Ova kartica sadrži nevažeće podatke. Riješite to prije spremanja."
"Contact us","Kontakt"
"Returns","Povrati"
"FAQs","Česta pitanja"
"All rights reserved.","Sva prava pridržana."
"Returned items","Vraćene stavke"
"No image","Nema slike"
"Item status","Status artikla"
"Withdrawal options for this order","Mogućnosti odustajanja za ovu narudžbu"
"You can return this order until %1.","Ovu narudžbu možete vratiti do %1."
"(Art. 11a Directive 2011/83/EU)","(čl. 11a Direktive 2011/83/EU)"
"Submit a withdrawal request to start the refund process.","Pošaljite zahtjev za odustajanje kako biste pokrenuli postupak povrata."
"(Art. 9(2)(b) Directive 2011/83/EU)","(čl. 9(2)(b) Direktive 2011/83/EU)"
"Start withdrawal","Započni odustajanje"
"Your withdrawal requests","Vaši zahtjevi za odustajanje"
"Submitted %1","Predano %1"
"Show items","Prikaži stavke"
"Cancel withdrawal","Otkaži odustajanje"
"Qty %1","Količina %1"
"Receipt details","Pojedinosti potvrde"
"Receipt number","Broj potvrde"
"Order number","Broj narudžbe"
"Consumer","Potrošač"
"Refund total","Ukupan iznos povrata"
"Merchant","Trgovac"
"Legal basis","Pravna osnova"
"SKU %1","SKU %1"
"Shipping refund","Povrat troškova dostave"
"Tax refund","Povrat poreza"
"Total refund","Ukupni povrat"
"Digital content — Art. 16(m) notice","Digitalni sadržaj — obavijest po čl. 16(m)"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Slanjem narudžbe pristali ste na početak izvedbe digitalnog sadržaja prije isteka roka za odustajanje i potvrdili da se nakon početka izvedbe pravo na odustajanje više ne primjenjuje. Ova se obavijest prikazuje radi vaše evidencije."
"Existing withdrawals for this order","Postojeća odustajanja za ovu narudžbu"
"You can cancel a withdrawal here until it is approved.","Odustajanje ovdje možete otkazati sve dok nije odobreno."
"Request #%1","Zahtjev #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Procijenjeni povrat: %1 %2"
"Cancel this withdrawal","Otkaži ovo odustajanje"
"Are you sure? This cannot be undone.","Jeste li sigurni? Ova se radnja ne može poništiti."
"Yes, cancel","Da, otkaži"
"Keep it","Zadrži"
"Select items to return","Odaberite stavke za povrat"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Odaberite sve stavke ili samo neke od njih. Postavite količinu za povrat za svaku stavku od koje želite jednostrano raskinuti."
"You have %1 days from the day you received your order to withdraw from the contract without giving a reason.","Imate %1 dana od dana primitka narudžbe za jednostrani raskid ugovora bez navođenja razloga."
"Back to order search","Natrag na pretragu narudžbi"
"Cancel","Odustani"
"Continue to review","Nastavi na pregled"
"Review and confirm","Pregledaj i potvrdi"
"Order #%1","Narudžba #%1"
"Placed on %1","Naručeno %1"
"Awaiting delivery","Čeka dostavu"
"Delivered on %1","Isporučeno %1"
"Total","Ukupno"
"Return shipping","Dostava povrata"
"View return policy","Pogledaj politiku povrata"
"Refund method","Način povrata"
"Refund will be issued to your original payment method.","Povrat novca bit će izvršen na vašu izvornu metodu plaćanja."
"Return summary","Sažetak povrata"
"Shipping & Handling","Dostava i rukovanje"
"Tax","Porez"
"Back to items","Natrag na stavke"
"Submit return request","Pošalji zahtjev za povrat"
"Your return request has been submitted!","Vaš zahtjev za vraćanje je poslan!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","Poslali smo vam e-poruku s pojedinostima povrata i unaprijed plaćenom naljepnicom za povrat (ako je primjenjivo). Od datuma isporuke imate 14 dana za vraćanje stavki."
"Return request number","Broj zahtjeva za vraćanje"
"Copy request number","Kopiraj broj zahtjeva"
"Copied!","Kopirano!"
"Confirmation email sent","Potvrdni e-mail poslan"
"We've sent the details to","Pojedinosti smo poslali na"
"What happens next?","Što slijedi?"
"Pack your items securely","Sigurno zapakirajte stavke"
"Send them back using the provided instructions","Pošaljite ih natrag prema priloženim uputama"
"We'll inspect your return","Pregledat ćemo vaš povrat"
"Your refund will be issued to your original payment method","Povrat će biti izvršen na vašu izvornu metodu plaćanja"
"Need more help?","Trebate dodatnu pomoć?"
"View my returns","Pogledaj moje povrate"
"Contact support","Kontaktiraj podršku"
"Purchased","Kupljeno"
"Returned","Vraćeno"
"Decrease quantity","Smanji količinu"
"Increase quantity","Povećaj količinu"
"Is the hygiene seal still intact?","Je li higijenski pečat još uvijek netaknut?"
"Is the original software / media seal still intact?","Je li izvorni pečat softvera / medija još uvijek netaknut?"
"Yes — it's still sealed","Da — još uvijek je zapečaćeno"
"Refund possible — return the unopened package.","Povrat je moguć — vratite neotvoreni paket."
"No — I've opened it","Ne — otvorio sam ga"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Ovu stavku nije moguće vratiti (čl. 16(e) Direktive 2011/83/EU)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Ovu stavku nije moguće vratiti (čl. 16(i) Direktive 2011/83/EU)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Nakon što potvrdite da je pečat oštećen, ova se stavka isključuje iz zahtjeva za odustajanje, a količina će biti vraćena na nulu."
"Reason for return (optional)","Razlog vraćanja (neobavezno)"
"Tell us more (optional, max 500 chars)","Recite nam više (neobavezno, najviše 500 znakova)"
"Already returned.","Već vraćeno."
"awaiting admin review","čeka pregled administratora"
"awaiting confirmation","čeka potvrdu"
"Request %1 %2 (%3 item%4).","Zahtjev %1 %2 (stavki: %3 %4)."
"Return request awaiting review.","Zahtjev za povrat čeka pregled."
"Cancel request","Otkaži zahtjev"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","Prema potrošačkom pravu EU-a, od većine ugovora možete odustati u roku od 14 dana bez navođenja razloga."
"Read your full pre-contract rights (Art. 6)","Pročitajte cjelovit popis svojih predugovornih prava (čl. 6.)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","Sukladno čl. 6. Direktive 2011/83/EU (kako je izmijenjena Direktivom (EU) 2023/2673), prije slanja ove narudžbe prodavatelj vas je obavijestio — ili učinio dostupnima — sljedeće informacije:"
"The main characteristics of the goods or services.","Glavna obilježja robe ili usluga."
"The identity and contact details of the trader.","Identitet i podatke za kontakt trgovca."
"The total price including all taxes and any delivery costs.","Ukupnu cijenu uključujući sve poreze i eventualne troškove dostave."
"The arrangements for payment, delivery and performance, and complaint-handling.","Načine plaćanja, isporuke i izvedbe te postupanja s pritužbama."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Vaše pravo na odustajanje: prema čl. 9. imate 14 dana za odustajanje od ovog ugovora na daljinu bez navođenja razloga. Za fizičku robu rok od 14 dana počinje teći onog dana kada vi (ili treća osoba koju ste imenovali) preuzmete fizički posjed robe. Za usluge i digitalni sadržaj primjenjuju se različiti početni datumi (čl. 9(2)(a)/(c))."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Iznimke: pravo se ne primjenjuje na određenu robu i usluge navedene u čl. 16. (npr. robu izrađenu po narudžbi, zapečaćenu higijensku robu nakon otvaranja pečata, digitalni sadržaj čija je izvedba započela uz vaš prethodni izričit pristanak i potvrdu da time gubite pravo na odustajanje)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","Zakonsko jamstvo sukladnosti robe primjenjuje se sukladno čl. 5. Direktive 2019/771, uz pravo na odustajanje."
"Delivery: %1","Dostava: %1"
"Total paid","Ukupno plaćeno"
"Pick an order to withdraw from","Odaberite narudžbu od koje želite odustati"
"Select a recent order to start your withdrawal.","Odaberite nedavnu narudžbu kako biste pokrenuli odustajanje."
"Select","Odaberi"
"Withdrawal progress","Napredak jednostranog raskida"
"title","naslov"
"subtitle","podnaslov"
"Items to return","Stavke za vraćanje"
"0 items","0 stavki"
"Refund summary","Sažetak povrata"
"No items in this order are currently eligible for withdrawal.","Trenutačno nijedna stavka u ovoj narudžbi ne ispunjava uvjete za odustajanje."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Svaka stavka je već u obradi, čeka potvrdu ili je u potpunosti povučena. Provjerite odjeljak s postojećim zahtjevima iznad za status ili otkazivanje."
"No items selected yet. Use the + button next to an item to add it to your return.","Još nisu odabrane stavke. Koristite gumb + pored stavke za dodavanje u povrat."
"Find your order","Pronađite svoju narudžbu"
"Enter the details you used during checkout to start a return or withdrawal.","Unesite podatke korištene pri plaćanju za pokretanje povrata ili jednostranog raskida."
"We could not find an order matching that email. Double-check your order number and email address.","Nismo mogli pronaći narudžbu koja odgovara toj e-pošti. Provjerite broj narudžbe i e-mail adresu."
"e.g. 12345","npr. 12345"
"You can find this in your order confirmation email.","Ovo možete pronaći u potvrdnom e-mailu o narudžbi."
"Email address","E-mail adresa"
"you@example.com","you@example.com"
"Must match the email used for the order.","Mora odgovarati e-mailu korištenom za narudžbu."
"Find my order","Pronađi moju narudžbu"
"You have the right to withdraw from your purchase within %1 days of receiving your order, without giving any reason.","Imate pravo jednostrano raskinuti kupnju u roku od %1 dana od primitka narudžbe, bez navođenja razloga."
"Need help finding your order?","Trebate pomoć u pronalaženju narudžbe?"
"Select an order","Odaberite narudžbu"
"Choose an order from your history to start a return or withdrawal.","Odaberite narudžbu iz povijesti za pokretanje povrata ili jednostranog raskida."
"You don't have any orders eligible for withdrawal. The %1-day withdrawal window runs from the day you received your order.","Nemate narudžbi koje ispunjavaju uvjete za odustajanje. Rok od %1 dana za odustajanje teče od dana primitka narudžbe."
"View all my orders","Pregled svih mojih narudžbi"
"items","stavki"
"Select order","Odaberi narudžbu"
"No recent withdrawal","Nema nedavnog odustajanja"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","U ovoj sesiji nismo pronašli nedavno odustajanje. Ako ste ga upravo poslali, provjerite ulaznu poštu i potražite e-poruku s potvrdom."
"Start a new withdrawal","Započni novo odustajanje"
"Withdrawal #%1 submitted","Odustajanje #%1 podneseno"
"Related order:","Povezana narudžba:"
"Items","Stavke"
"Items included in this withdrawal","Stavke uključene u ovo odustajanje"
"Line Total","Ukupno po stavci"
"What happens next","Što slijedi"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","U roku od nekoliko minuta primit ćete e-poruku s potvrdom koja sadrži cjelovitu izjavu o odustajanju i hash integriteta."
"The %1-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","Rok od %1 dana sukladno čl. 9. Direktive o pravima potrošača vezan je uz trenutak u kojem ste potvrdili odustajanje — od vas se više ništa ne traži za očuvanje tog prava."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","Konačan iznos povrata utvrđuje se nakon što zaprimimo vraćene stavke (čl. 14(2)) i isplaćuje se na izvornu metodu plaćanja. Sredstva očekujte u roku od 14 dana od primitka."
"Back to Withdrawals","Natrag na odustajanja"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Potvrda odricanja za digitalni sadržaj — Narudžba %increment_id"
"Sehr geehrte/r %name,","Poštovani/a %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Ovo je potvrda na trajnom mediju o vašem izričitom pristanku na početak izvedbe sljedećih digitalnih sadržaja te vašoj potvrdi da time gubite pravo na odustajanje (čl. 16(m) Direktive o pravima potrošača)."
"Durch den Verzicht abgedeckte digitale Inhalte","Digitalni sadržaji obuhvaćeni ovim odricanjem"
"Ihre ausdrückliche Einwilligung","Vaš izričit pristanak"
"Eingewilligt am:","Pristanak dan:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Vaša potvrda o gubitku prava na odustajanje"
"Bestätigt am:","Potvrđeno:"
"Verzichtsreferenz:","Referenca odricanja:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Pravna osnova: čl. 16(m) Direktive o pravima potrošača 2011/83/EU."
"Digital content waiver confirmation — Order %1","Potvrda odricanja za digitalni sadržaj — Narudžba %1"
"Dear %name,","Poštovani/a %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Ovo je potvrda na trajnom mediju o vašem izričitom pristanku na početak izvedbe sljedećih digitalnih stavki te vašoj potvrdi da time gubite pravo na odustajanje (čl. 16(m) Direktive o pravima potrošača)."
"Digital items covered by this waiver","Digitalne stavke obuhvaćene ovim odricanjem"
"Your express consent","Tvoja izričita suglasnost"
"Consented at:","Pristanak dan:"
"Your acknowledgment of loss of withdrawal right","Tvoja potvrda o gubitku prava na odustanak"
"Acknowledged at:","Potvrđeno:"
"Waiver reference:","Referenca odricanja:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Pravna osnova: čl. 16. točka (m) Direktive 2011/83/EU o pravima potrošača."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Potvrda odricanja za digitalni sadržaj — Narudžba %increment_id"
"Hyvä %name,","Poštovani/a %name,"
