"View Credit Memo","Pregled odobrenja"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Ovo je potvrda na trajnom mediju o vašem izričitom pristanku na početak isporuke sljedećih digitalnih sadržaja te vašoj potvrdi da time gubite pravo na odustajanje (KSL 6:16)."
"Luopumisen kattamat digitaaliset sisällöt","Digitalni sadržaji obuhvaćeni ovim odricanjem"
"Nimenomainen suostumuksesi","Vaš izričit pristanak"
"Suostuttu:","Pristanak dan:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Vaša potvrda o gubitku prava na odustajanje"
"Vahvistettu:","Potvrđeno:"
"Luopumisen viite:","Referenca odricanja:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Pravna osnova: KSL 6:16 / čl. 16(m) Direktive o pravima potrošača 2011/83/EU."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Potvrda odricanja za digitalni sadržaj — Narudžba %increment_id"
"Cher/Chère %name,","Poštovani/a %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Ovo je potvrda na trajnom mediju o vašem izričitom pristanku na početak izvedbe sljedećih digitalnih sadržaja te vašoj potvrdi da time gubite pravo na odustajanje (čl. L. 221-28 francuskog Zakona o zaštiti potrošača)."
"Contenus numériques couverts par la présente renonciation","Digitalni sadržaji obuhvaćeni ovim odricanjem"
"Votre consentement exprès","Vaš izričit pristanak"
"Consenti le :","Pristanak dan:"
"Votre reconnaissance de la perte du droit de rétractation","Vaša potvrda o gubitku prava na odustajanje"
"Reconnu le :","Potvrđeno:"
"Référence de renonciation :","Referenca odricanja:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Pravna osnova: čl. L. 221-28 francuskog Zakona o zaštiti potrošača / čl. 16(m) Direktive 2011/83/EU."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Potvrda odricanja za digitalni sadržaj — Narudžba %increment_id"
"Beste %name,","Poštovani/a %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Ovo je potvrda na trajnom mediju o vašem izričitom pristanku na početak isporuke sljedećeg digitalnog sadržaja te vašoj potvrdi da time gubite pravo na odustajanje (čl. 6:230s nizozemskog Građanskog zakonika)."
"Onder deze afstand vallende digitale items","Digitalne stavke obuhvaćene ovim odricanjem"
"Uw uitdrukkelijke toestemming","Vaš izričit pristanak"
"Toestemming verleend op:","Pristanak dan:"
"Uw erkenning van verlies van herroepingsrecht","Vaša potvrda o gubitku prava na odustajanje"
"Erkend op:","Potvrđeno:"
"Afstandreferentie:","Referenca odricanja:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Pravna osnova: čl. 6:230s nizozemskog Građanskog zakonika / čl. 16(m) Direktive 2011/83/EU."
"[EU Withdrawal] Receipt send failed — request #%request_id","[EU Withdrawal] Slanje potvrde nije uspjelo — zahtjev #%request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","E-poruka s potvrdom za zahtjev za odustajanje #%request_id trajno nije uspjela biti poslana."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Provjerite stupac <code>mm_eu_withdrawal_request.receipt_last_error</code> za posljednju poruku o pogrešci i stupac <code>mm_eu_withdrawal_request.receipt_send_attempts</code> za broj pokušaja."
"You can requeue the send from the admin grid after resolving the underlying issue.","Slanje možete ponovno staviti u red čekanja iz administratorske rešetke nakon što riješite osnovni problem."
"Your refund is on its way — Withdrawal #%1","Tvoj povrat je na putu — Odustanak #%1"
"Your refund is on its way","Tvoj povrat je na putu"
"Hi %name, we've approved your withdrawal request and started the refund process.","Bok, %name, odobrili smo tvoj zahtjev za odustanak i pokrenuli postupak povrata."
"View refund details","Pogledaj pojedinosti povrata"
"Withdrawal number","Broj odustanka"
"Approved on","Odobreno"
"Estimated arrival","Predviđeni dolazak"
"Status","Status"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Povrat će biti izvršen na tvoj izvorni način plaćanja u roku od 5–7 radnih dana. Vidjet ćeš ga na izvatku kartice ili bankovnog računa čim sjedne."
"Need help?","Trebaš pomoć?"
"Reply to this email or contact us at","Odgovori na ovaj e-mail ili nas kontaktiraj na"
"Your withdrawal was cancelled — Withdrawal #%1","Tvoj odustanak je otkazan — Odustanak #%1"
"Your withdrawal was cancelled","Tvoj odustanak je otkazan"
"Hi %name, we've cancelled your withdrawal request.","Bok, %name, otkazali smo tvoj zahtjev za odustanak."
"Submit a new request","Pošalji novi zahtjev"
"Cancelled request","Otkazani zahtjev"
"Cancelled on","Otkazano"
"Refund requested","Zatraženi povrat"
"If this was unexpected, you can submit a new withdrawal request as long as your %period_days-day window is still open. Reach out if you need help — we're happy to clarify.","Ako je ovo bilo neočekivano, možeš poslati novi zahtjev za odustanak dok god je tvoj %period_days-dnevni rok otvoren. Javi nam se ako trebaš pomoć — rado ćemo pojasniti."
"Cancellation confirmed — Withdrawal #%1","Otkazivanje potvrđeno — Odustanak #%1"
"Cancellation confirmed","Otkazivanje potvrđeno"
"Hi %name, your withdrawal request has been cancelled as you asked.","Bok, %name, tvoj zahtjev za odustanak je otkazan kako si tražio/la."
"Back to my orders","Natrag na moje narudžbe"
"Cancelled by","Otkazao"
"You","Vi"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your %period_days-day window.","Tvoja narudžba ostaje aktivna i nije potrebna nikakva daljnja radnja. Ako se predomisliš, novi zahtjev za odustanak možeš pokrenuti bilo kada unutar svog %period_days-dnevnog roka."
"Update on your withdrawal request — Withdrawal #%1","Novosti o tvom zahtjevu za odustanak — Odustanak #%1"
"We can't process this withdrawal","Ne možemo obraditi ovaj odustanak"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Bok, %name, nakon pregleda tvog zahtjeva za odustanak ne možemo ga odobriti."
"Request details","Pojedinosti zahtjeva"
"Reviewed on","Pregledano"
"Decision","Odluka"
"Reason from our team","Obrazloženje našeg tima"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Ako želiš razgovarati o ovoj odluci, naš tim ti stoji na raspolaganju. Odgovori na ovaj e-mail ili koristi gumb iznad."
"Your withdrawal request has been submitted — Order #%1","Tvoj zahtjev za odustanak je poslan — Narudžba #%1"
"Your return request has been submitted","Tvoj zahtjev za povrat je poslan"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Bok, %name, primili smo tvoj zahtjev za povrat i trenutno ga pregledavamo. Javit ćemo ti se nakon što pregledamo povrat i obradimo isplatu."
"Return number","Broj povrata"
"Requested on","Zatraženo"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Pregledat ćemo tvoj povrat i obavijestiti te nakon odobrenja. Povrati se vraćaju na izvorni način plaćanja u roku od 5–7 radnih dana nakon odobrenja."
"If you have any questions, our customer service team is here to help.","Ako imaš pitanja, naš tim korisničke podrške stoji ti na raspolaganju."
"Visit our help center","Posjeti naš centar za pomoć"
"If you did not initiate this request, contact us immediately at","Ako ti nisi pokrenuo/la ovaj zahtjev, odmah nas kontaktiraj na"
"Withdrawal receipt — Order #%1","Potvrda o odustanku — Narudžba #%1"
"Withdrawal receipt","Potvrda o odustanku"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Bok, %name, ovaj e-mail je tvoj dokaz o odustanku na trajnom mediju u skladu s čl. 11.a Direktive 2011/83/EU. Sačuvaj ga za svoju evidenciju."
"Submitted on","Podneseno"
"Your %store_name order confirmation","Potvrda vaše narudžbe iz trgovine %store_name"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Hvala vam na narudžbi iz trgovine %store_name."
"Once your package ships we will send you a tracking number.","Čim vaš paket bude poslan, dostavit ćemo vam broj za praćenje."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Status narudžbe možete provjeriti tako da se <a href=""%account_url"">prijavite na svoj račun</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Ako imate pitanja o svojoj narudžbi, možete nam pisati na <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","ili nas nazvati na <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Naše radno vrijeme je <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Vaša narudžba <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Naručeno <span class=""no-link"">%created_at</span>"
"Billing Info","Podaci za naplatu"
"Shipping Info","Podaci za dostavu"
"Payment Method","Način plaćanja"
"Shipping Method","Način dostave"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Čim vaš paket bude poslan, poslat ćemo e-poruku s poveznicom za praćenje narudžbe."
"Your %store_name order has shipped","Vaša narudžba iz trgovine %store_name je poslana"
"Your shipping confirmation is below. Thank you again for your business.","Potvrda dostave nalazi se u nastavku. Još jednom hvala na povjerenju."
"Your Shipment #%shipment_id for Order #%order_id","Vaša pošiljka #%shipment_id za narudžbu #%order_id"
"Your digital content waiver is on file","Tvoje odricanje za digitalni sadržaj je zabilježeno"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Bok, %name, pristao/la si na trenutačnu digitalnu isporuku stavki u nastavku — ovo je tvoj primjerak te suglasnosti na trajnom mediju (čl. 11.a st. 4. Direktive o pravima potrošača)."
"View order","Pogledaj narudžbu"
"Consented at","Suglasnost dana"
"Acknowledged at","Potvrđeno"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Sačuvaj ovaj e-mail kao svoju evidenciju na trajnom mediju. Trgovac je pohranio SHA-256 hash pravnog teksta koji si prihvatio/la:"
"Digital content waiver","Odricanje od prava za digitalni sadržaj"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Trebamo vaš izričiti pristanak prije nego što možete kupiti ovu digitalnu stavku — molimo pažljivo pročitajte obje točke."
"We log this consent with your IP and timestamp for our audit record.","Bilježimo ovaj pristanak s vašom IP adresom i vremenskom oznakom za naše revizijske evidencije."
"Continue","Nastavi"
"Waiver could not be saved. Please retry.","Odricanje nije moguće spremiti. Pokušajte ponovno."
"Enable for EU Withdrawal Lookup Form","Omogući za obrazac pretrage EU odustajanja"
"MageMe Extensions","MageMe ekstenzije"
"EU Withdrawal","EU pravo odustajanja"
"General","Općenito"
"Enable Module","Omogući modul"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Aktivira korisničko sučelje i cron poslove. Zadano: onemogućeno. Prije omogućavanja obavite popis za ručno postavljanje."
"Request Number Prefix","Prefiks broja zahtjeva"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Neobavezan prefiks koji se dodaje ispred inkrementalnog ID-a zahtjeva za odustajanje u korisničkom sučelju (npr. „RR-” se prikazuje kao „RR-000000022”). Ostavite prazno za prikaz običnog broja s nulama."
"Default Contract Type","Zadana vrsta ugovora"
"Frontend Route","Ruta korisničkog sučelja"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","URL prefiks koji koristi korisničko sučelje za odustajanje (npr. <code>withdraw-contract</code> prikazuje se kao <code>/withdraw-contract/...</code>)."
"Withdrawal Period","Razdoblje odustajanja"
"Delivery Confirmation Statuses","Statusi potvrde isporuke"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Odaberite jedan ili više statusa narudžbe čiji <em>prijelaz</em> u vašem tijeku obrade označava da je kupac primio robu. Rok od 14 dana za odustajanje počinje teći od vremenske oznake <em>najranijeg</em> prijelaza narudžbe u <em>bilo koji</em> od odabranih statusa (čl. 9(2)(b) Direktive 2011/83/EU). Višestruki odabir podržava trgovce koji koriste više statusa tipa „isporučeno” (npr. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Dok narudžba ne dosegne ni jedan od njih, pravo na odustajanje je otvoreno bez fiksnog roka."
"Eligibility Rules (Art. 16 CRD Presets)","Pravila prihvatljivosti (predlošci čl. 16 CRD)"
"Art. 16(c) Custom-Made Goods","Čl. 16(c) Roba izrađena po narudžbi"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Isključuje proizvode izrađene prema specifikacijama kupca ili jasno personalizirane (npr. nakit s graviranjem, odjeća šivana po mjeri). <strong>Zahtijeva</strong> atribut proizvoda <code>is_custom_made = true</code>. Ako je omogućeno, narudžbe koje sadrže takve stavke nije moguće povući — kupci će to vidjeti pri pokušaju pokretanja odustajanja."
"Art. 16(d) Perishable Goods","Čl. 16(d) Pokvarljiva roba"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Isključuje robu koja se brzo kvari ili ima kratak rok trajanja (svježa hrana, rezano cvijeće, lijekovi s kratkim rokom). <strong>Zahtijeva</strong> atribut proizvoda <code>is_perishable = true</code>. Nemojte omogućiti za sve kategorije — primijenite samo na stvarno pokvarljive SKU-ove, inače ćete nezakonito odbiti valjana odustajanja."
"Art. 16(e) Sealed Hygiene / Health","Čl. 16(e) Zapečaćena higijenska / zdravstvena roba"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Isključuje zapečaćenu higijensku ili zdravstvenu robu <strong>samo ako je pečat oštećen nakon isporuke</strong> (kozmetika, intimni odjevni predmeti, zapečaćena medicinska oprema). <strong>Zahtijeva</strong> atribut proizvoda <code>is_sealed_hygiene = true</code>. Isključenje ovisi o provjeri pečata u trenutku odustajanja (tijek u fazi-04) — zapečaćeni, neotvoreni povrat ostaje prihvatljiv."
"Art. 16(i) Sealed Audio / Video / Software","Čl. 16(i) Zapečaćeni audio / video / softver"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Isključuje zapečaćene audiozapise, videozapise ili zapečaćeni računalni softver <strong>samo ako je pečat oštećen nakon isporuke</strong>. <strong>Zahtijeva</strong> atribut proizvoda <code>is_sealed_av = true</code>. Ista logika provjere pečata kao za čl. 16(e). Ne primjenjuje se na streaming / digitalno preuzimanje — za to koristite čl. 16(m)."
"Digital Content (Art. 16(m))","Digitalni sadržaj (čl. 16(m))"
"Detection","Detekcija"
"Enable Digital Content Detection","Omogući detekciju digitalnog sadržaja"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Glavni prekidač za detekciju digitalnog sadržaja prema čl. 16(m). Kada je isključen, nijedan proizvod se ne prepoznaje kao digitalan, korak odricanja na naplati nije potreban, a predložak uvijek dopušta odustajanje."
"Detection Strategies","Strategije detekcije"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Koje heuristike vrste proizvoda pokreću ulaznu točku odricanja za digitalni sadržaj. Downloadable + virtual su sigurne zadane vrijednosti; bundle_contains_digital pregledava podstavke paketa; custom_attribute čita EAV zastavicu konfiguriranu u nastavku."
"Custom Attribute Code","Šifra prilagođenog atributa"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","EAV šifra atributa koja se koristi <strong>samo</strong> kada je u <em>Strategijama detekcije</em> iznad odabrana <em>Zastavica prilagođenog atributa</em>. Zadano: <code>is_digital_content</code> (boolean atribut, 1 = digitalno). Inače se zanemaruje."
"Checkout Step + Email","Korak naplate + e-pošta"
"Enable Checkout Waiver Step","Omogući korak odricanja na naplati"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Kada je uključeno, košarice koje sadrže prepoznatu digitalnu stavku prikazuju korak odricanja s 2 potvrdna okvira pri naplati. Nema učinka osim ako je <em>Detekcija → Omogući detekciju digitalnog sadržaja</em> također uključeno."
"Merchant BCC Address for Confirmation Emails","Adresa skrivene kopije trgovca za e-poruke s potvrdom"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Neobavezno. Šalje skrivenu kopiju e-poruke s potvrdom odricanja na trgovčevu revizijsku adresu. Ostavite prazno za preskakanje."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Označi isključivo virtualne stavke kao započete s izvedbom pri potvrdi"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Virtualni proizvodi nemaju okidač preuzimanja. Kada je uključeno, slanje e-poruke s potvrdom odricanja računa se kao početak izvedbe za isključivo virtualne stavke (granica I-6)."
"Confirmation Email Identity","Identitet pošiljatelja e-pošte s potvrdom"
"Per-Locale Waiver Text Overrides","Zamjene teksta odricanja po jeziku"
"English (en_US)","Engleski (en_US)"
"Consent Text","Tekst pristanka"
"Right-Loss Acknowledgment Text","Tekst potvrde gubitka prava"
"German (de_DE)","Njemački (de_DE)"
"Finnish (fi_FI)","Finski (fi_FI)"
"Dutch (nl_NL)","Nizozemski (nl_NL)"
"French (fr_FR)","Francuski (fr_FR)"
"Italian (it_IT)","Talijanski (it_IT)"
"Spanish (es_ES)","Španjolski (es_ES)"
"Polish (pl_PL)","Poljski (pl_PL)"
"Portuguese (pt_PT)","Portugalski (pt_PT)"
"Danish (da_DK)","Danski (da_DK)"
"Swedish (sv_SE)","Švedski (sv_SE)"
"German — Austria (de_AT)","Njemački — Austrija (de_AT)"
"Swedish — Finland (sv_FI)","Švedski — Finska (sv_FI)"
"Dutch — Belgium (nl_BE)","Nizozemski — Belgija (nl_BE)"
"French — Belgium (fr_BE)","Francuski — Belgija (fr_BE)"
"German — Belgium (de_BE)","Njemački — Belgija (de_BE)"
"French — Luxembourg (fr_LU)","Francuski — Luksemburg (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Predugovorne informacije (čl. 6(1)(h))"
"Enable Pre-Contract Disclosure","Omogući predugovorne informacije"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Glavni prekidač za isključivanje. Onemogućeno = blok se ne prikazuje i ne bilježe se događaji prikaza. Onemogućavanje izlaže trgovca čl. 10. (produženi rok za odustajanje od 12 mjeseci + 14 dana). Zadano: omogućeno."
"Withdrawal Period (Days)","Razdoblje odustajanja (dani)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Zadano 14 dana sukladno čl. 9(2). Produljenje je dopušteno (npr. 30, 100). Smanjenje ispod 14 je nezakonito — polje provjerava >=14 samo kada je modul omogućen."
"Return Address","Adresa za povrat"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Mjesto na koje potrošači šalju robu natrag. Ostavite prazno za korištenje adrese iz Trgovine → Konfiguracija → Općenito → Općenito → Informacije o trgovini."
"Display In Checkout","Prikaz na naplati"
"Annex I Overrides Per Locale","Zamjene Priloga I. po jeziku"
"Bulgarian (bg_BG)","Bugarski (bg_BG)"
"Czech (cs_CZ)","Češki (cs_CZ)"
"Greek (el_GR)","Grčki (el_GR)"
"Estonian (et_EE)","Estonski (et_EE)"
"Croatian (hr_HR)","Hrvatski (hr_HR)"
"Hungarian (hu_HU)","Mađarski (hu_HU)"
"Lithuanian (lt_LT)","Litavski (lt_LT)"
"Latvian (lv_LV)","Latvijski (lv_LV)"
"Romanian (ro_RO)","Rumunjski (ro_RO)"
"Slovak (sk_SK)","Slovački (sk_SK)"
"Slovenian (sl_SI)","Slovenski (sl_SI)"
"Frontend","Korisničko sučelje"
"Buttons","Gumbi"
"Step 1 Button Label","Oznaka gumba 1. koraka"
"Step 2 Button Label (Confirmation)","Oznaka gumba 2. koraka (potvrda)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Pravno upozorenje.</strong> Ovo je oznaka na gumbu konačne potvrde. Zadana vrijednost („Confirm withdrawal”) potpisana je od odvjetnika. Per-locale translations are counsel-signed. Mijenjajte samo uz pisani pravni savjet; izmjene se bilježe u revizijski dnevnik."
"Placements","Postavljanja"
"Show Footer Link","Prikaži poveznicu u podnožju"
"Show in My Account","Prikaži u „Moj račun“"
"Return Reasons","Razlozi povrata"
"Reasons","Razlozi"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Popis razloga ponuđenih kupcu u padajućem izborniku po stavci. <strong>Kod</strong> je strojna vrijednost koja se sprema u bazu podataka (mala slova, snake_case, najviše 32 znaka); <strong>Oznaka</strong> je vidljivi tekst. Prazna rešetka u potpunosti skriva padajući izbornik."
"Enable ""Other"" with Free Text","Omogući „Ostalo” sa slobodnim tekstom"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Kada je omogućeno, u padajućem izborniku pojavljuje se opcija „Ostalo” koja otkriva polje za slobodan tekst (najviše 500 znakova)."
"Review Step","Korak pregleda"
"Return Shipping Notice","Obavijest o slanju povrata"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Tekst koji se prikazuje na koraku Pregled i potvrda (3. korak). Primjer: „U potvrdnom e-mailu primit ćete unaprijed plaćenu naljepnicu za dostavu.” ili „Troškove dostave povrata snosi kupac.” Ostavite prazno za skrivanje retka."
"Return Policy URL","URL pravila povrata"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Neobavezna poveznica koja se prikazuje pored obavijesti o dostavi („Pogledaj politiku povrata”). Prihvaća apsolutne URL-ove ili relativne putanje poput „return-policy”."
"Customer Notifications","Obavijesti kupcima"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Sve e-poruke usmjerene prema kupcima koje šalje modul. Svaka se e-poruka može omogućiti/onemogućiti, dodijeliti joj prilagođeni predložak (Marketing → Predlošci e-pošte) i poslati skrivenu kopiju na adresu trgovca. Zajednička podgrupa <em>Brendiranje</em> na dnu kontrolira izgled (USP traku, poveznice društvenih mreža) koji koriste sve e-poruke u nastavku."
"1. Submission Confirmation Email","1. E-pošta s potvrdom podnošenja"
"Enabled","Omogućeno"
"Email Template","Predložak e-pošte"
"BCC Merchant","Skrivena kopija trgovcu"
"Comma-separated. Leave blank to disable.","Odvojeno zarezima. Ostavite prazno za onemogućavanje."
"2. Approval Email","2. E-pošta s odobrenjem"
"3. Denial Email","3. E-pošta s odbijanjem"
"4. Cancellation Email (Admin-Initiated)","4. E-pošta s otkazivanjem (pokrenuto od administratora)"
"5. Cancellation Email (Customer Self-Cancel)","5. E-pošta s otkazivanjem (samostalno od kupca)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. E-pošta s potvrdom (trajni medij — čl. 11a(4))"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Zakonski obavezna potvrda na trajnom mediju. Ne može se u potpunosti onemogućiti (čl. 11a(4) Direktive 2011/83/EU). Onemogućavanje ovdje samo zaustavlja slanje — potvrda se i dalje generira i pohranjuje."
"Send Email","Pošalji e-poštu"
"Comma-separated.","Odvojeno zarezima."
"Delivery Retry Attempts","Pokušaji ponovne isporuke"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","Primatelj upozorenja iz DLQ-a"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Obavještava se kada potvrda trajno ne uspije. Vraća se na E-mail adrese trgovine → Opći kontakt."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. E-pošta s potvrdom digitalnog odricanja (čl. 11a(4))"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Primjerak na trajnom mediju kupčevog odricanja po čl. 16(m), poslan odmah nakon naplate kada se u košarici nalazi digitalna stavka. Zahtijeva se sukladno čl. 11a(4) Direktive 2011/83/EU — čuva evidenciju pravnog teksta koji je kupac prihvatio, otpornu na neovlaštene izmjene, uz SHA-256 hash za provjeru lanca hash-eva."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Odvojeno zarezima. Prima kopiju svake potvrde u svrhu revizije."
"Branding (Shared by All Emails Above)","Brendiranje (zajedničko za sve gornje e-poruke)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Neobavezno uređivanje e-poruka usmjerenih prema kupcima. Prazna polja skrivaju pripadajuće retke. Zaštitni znak, logotip, e-pošta podrške i adresa trgovine čitaju se iz standardnog stabla konfiguracije Magenta (Trgovine → Konfiguracija → Općenito + Dizajn → Transakcijske e-poruke)."
"USP Strip — Item 1","USP traka — stavka 1"
"Icon","Ikona"
