"View Credit Memo","Jóváírási értesítő megtekintése"
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","A 2011/83/EU irányelv 9. cikke szerinti 14 napos határidő rögzítésre kerül az elállás megerősítésének pillanatához — a jog megőrzéséhez semmilyen további lépésre nincs szüksége."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","A végleges visszatérítés a visszaküldött tételek kézhezvétele után kerül meghatározásra (14(2) cikk), és az eredeti fizetési módra történik. Az összeget a kézhezvételtől számított 14 napon belül kapja meg."
"Back to Withdrawals","Vissza az elállásokhoz"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Digitális tartalomra vonatkozó hozzájárulás megerősítése — %increment_id rendelés"
"Sehr geehrte/r %name,","Tisztelt %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Ez a tartós adathordozón rögzített megerősítése az Ön kifejezett hozzájárulásának a következő digitális tartalmak teljesítésének megkezdéséhez, valamint annak tudomásulvételéhez, hogy ezáltal elveszíti az elállási jogát (16(m) cikk 2011/83/EU irányelv)."
"Durch den Verzicht abgedeckte digitale Inhalte","A hozzájárulás által érintett digitális tartalmak"
"Ihre ausdrückliche Einwilligung","Az Ön kifejezett hozzájárulása"
"Eingewilligt am:","Hozzájárulás dátuma:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Az Ön megerősítése az elállási jog elvesztéséről"
"Bestätigt am:","Megerősítve:"
"Verzichtsreferenz:","Hozzájárulás hivatkozási száma:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Jogalap: a 2011/83/EU fogyasztói jogi irányelv 16(m) cikke."
"Digital content waiver confirmation — Order %1","Digitális tartalom hozzájárulás megerősítése — Rendelés %1"
"Dear %name,","Tisztelt %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Ez a tartós adathordozón rögzített megerősítése az Ön kifejezett hozzájárulásának a következő digitális tételek teljesítésének megkezdéséhez, valamint annak tudomásulvételéhez, hogy ezáltal elveszíti az elállási jogát (16(m) cikk 2011/83/EU irányelv)."
"Digital items covered by this waiver","A hozzájárulás által érintett digitális tételek"
"Your express consent","Kifejezett hozzájárulásod"
"Consented at:","Hozzájárulás időpontja:"
"Your acknowledgment of loss of withdrawal right","Az elállási jog elvesztésének tudomásulvétele"
"Acknowledged at:","Tudomásul véve:"
"Waiver reference:","Hozzájárulás hivatkozási száma:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Jogalap: a fogyasztók jogairól szóló 2011/83/EU irányelv 16. cikk m) pontja."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Digitális tartalomra vonatkozó hozzájárulás megerősítése — %increment_id rendelés"
"Hyvä %name,","Tisztelt %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Ez a tartós adathordozón rögzített megerősítése az Ön kifejezett hozzájárulásának a következő digitális tartalmak teljesítésének megkezdéséhez, valamint annak tudomásulvételéhez, hogy ezáltal elveszíti az elállási jogát (16(m) cikk 2011/83/EU irányelv)."
"Luopumisen kattamat digitaaliset sisällöt","A hozzájárulás által érintett digitális tartalmak"
"Nimenomainen suostumuksesi","Az Ön kifejezett hozzájárulása"
"Suostuttu:","Hozzájárulás dátuma:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Az Ön megerősítése az elállási jog elvesztéséről"
"Vahvistettu:","Megerősítve:"
"Luopumisen viite:","Hozzájárulás hivatkozási száma:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Jogalap: a 2011/83/EU fogyasztói jogi irányelv 16(m) cikke."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Digitális tartalomra vonatkozó hozzájárulás megerősítése — %increment_id rendelés"
"Cher/Chère %name,","Tisztelt %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Ez a tartós adathordozón rögzített megerősítése az Ön kifejezett hozzájárulásának a következő digitális tartalmak teljesítésének megkezdéséhez, valamint annak tudomásulvételéhez, hogy ezáltal elveszíti az elállási jogát (a francia fogyasztói törvénykönyv L. 221-28. cikke)."
"Contenus numériques couverts par la présente renonciation","A jelen hozzájárulás által érintett digitális tartalmak"
"Votre consentement exprès","Az Ön kifejezett hozzájárulása"
"Consenti le :","Hozzájárulás dátuma:"
"Votre reconnaissance de la perte du droit de rétractation","Az Ön megerősítése az elállási jog elvesztéséről"
"Reconnu le :","Tudomásul véve:"
"Référence de renonciation :","Hozzájárulás hivatkozási száma:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Jogalap: a francia fogyasztói törvénykönyv L. 221-28. cikke / a 2011/83/EU irányelv 16(m) cikke."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Digitális tartalomra vonatkozó hozzájárulás megerősítése — %increment_id rendelés"
"Beste %name,","Tisztelt %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Ez a tartós adathordozón rögzített megerősítése az Ön kifejezett hozzájárulásának a következő digitális tartalmak szállításának megkezdéséhez, valamint annak tudomásulvételéhez, hogy ezáltal elveszíti az elállási jogát (a holland polgári törvénykönyv 6:230s. cikke)."
"Onder deze afstand vallende digitale items","A jelen hozzájárulás által érintett digitális tételek"
"Uw uitdrukkelijke toestemming","Az Ön kifejezett hozzájárulása"
"Toestemming verleend op:","Hozzájárulás dátuma:"
"Uw erkenning van verlies van herroepingsrecht","Az Ön megerősítése az elállási jog elvesztéséről"
"Erkend op:","Tudomásul véve:"
"Afstandreferentie:","Hozzájárulás hivatkozási száma:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Jogalap: a holland polgári törvénykönyv 6:230s. cikke / a 2011/83/EU irányelv 16(m) cikke."
"[EU Withdrawal] Receipt send failed — request #%request_id","[EU elállás] Nyugta küldése sikertelen — #%request_id kérelem"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","A(z) #%request_id elállási kérelem nyugta e-mailjének küldése véglegesen sikertelen volt."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Ellenőrizze a(z) <code>mm_eu_withdrawal_request.receipt_last_error</code> oszlopot az utolsó hibaüzenetért, és a(z) <code>mm_eu_withdrawal_request.receipt_send_attempts</code> oszlopot az újrapróbálkozások számáért."
"You can requeue the send from the admin grid after resolving the underlying issue.","Az alapul szolgáló probléma megoldása után az admin listanézetből újra sorba állíthatja a küldést."
"Your refund is on its way — Withdrawal #%1","Visszatérítésed úton van — Elállás #%1"
"Your refund is on its way","Visszatérítésed úton van"
"Hi %name, we've approved your withdrawal request and started the refund process.","Szia %name, jóváhagytuk az elállási kérelmedet, és elindítottuk a visszatérítési folyamatot."
"View refund details","Visszatérítés részletei"
"Withdrawal number","Elállás azonosítója"
"Approved on","Jóváhagyva"
"Estimated arrival","Várható megérkezés"
"Status","Állapot"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","A visszatérítés 5–7 munkanapon belül megérkezik az eredeti fizetési módodra. Amint megérkezik, látni fogod a kártya- vagy banki kivonatodon."
"Need help?","Segítségre van szükséged?"
"Reply to this email or contact us at","Válaszolj erre az e-mailre, vagy lépj velünk kapcsolatba az alábbi címen"
"Your withdrawal was cancelled — Withdrawal #%1","Elállásodat visszavontuk — Elállás #%1"
"Your withdrawal was cancelled","Elállásodat visszavontuk"
"Hi %name, we've cancelled your withdrawal request.","Szia %name, visszavontuk az elállási kérelmedet."
"Submit a new request","Új kérelem beadása"
"Cancelled request","Visszavont kérelem"
"Cancelled on","Visszavonva"
"Refund requested","Igényelt visszatérítés"
"If this was unexpected, you can submit a new withdrawal request as long as your 14-day window is still open. Reach out if you need help — we're happy to clarify.","Ha ez váratlanul ért, új elállási kérelmet adhatsz be, amíg a 14 napos határidő nyitva van. Szólj, ha segítségre van szükséged — szívesen segítünk tisztázni a helyzetet."
"Cancellation confirmed — Withdrawal #%1","Visszavonás megerősítve — Elállás #%1"
"Cancellation confirmed","Visszavonás megerősítve"
"Hi %name, your withdrawal request has been cancelled as you asked.","Szia %name, az elállási kérelmedet kérésednek megfelelően visszavontuk."
"Back to my orders","Vissza a rendeléseimhez"
"Cancelled by","Visszavonta"
"You","Ön"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your 14-day window.","A rendelésed továbbra is aktív, és nincs szükség további lépésre. Ha meggondolnád magad, a 14 napos határidőn belül bármikor indíthatsz új elállási kérelmet."
"Update on your withdrawal request — Withdrawal #%1","Frissítés az elállási kérelmedről — Elállás #%1"
"We can't process this withdrawal","Ezt az elállást nem tudjuk feldolgozni"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Szia %name, az elállási kérelmed felülvizsgálata után sajnos nem tudjuk jóváhagyni."
"Request details","Kérelem részletei"
"Reviewed on","Felülvizsgálva"
"Decision","Döntés"
"Reason from our team","Indoklás a csapatunktól"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Ha szeretnéd megbeszélni ezt a döntést, csapatunk segít. Válaszolj erre az e-mailre, vagy használd a fenti gombot."
"Your withdrawal request has been submitted — Order #%1","Elállási kérelmed beérkezett — Rendelés #%1"
"Your return request has been submitted","Visszaküldési kérelmed beérkezett"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Szia %name, megkaptuk a visszaküldési kérelmedet, és jelenleg vizsgáljuk. Jelentkezünk, amint ellenőriztük a visszaküldést, és feldolgoztuk a visszatérítést."
"Return number","Visszaküldés azonosítója"
"Requested on","Beadva"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Ellenőrizzük a visszaküldést, és a jóváhagyást követően értesítünk. A visszatérítések a jóváhagyástól számított 5–7 munkanapon belül érkeznek meg az eredeti fizetési módodra."
"If you have any questions, our customer service team is here to help.","Ha bármilyen kérdésed van, ügyfélszolgálati csapatunk készen áll, hogy segítsen."
"Visit our help center","Keresd fel a súgóközpontunkat"
"If you did not initiate this request, contact us immediately at","Ha nem te indítottad ezt a kérelmet, azonnal lépj velünk kapcsolatba az alábbi címen"
"Withdrawal receipt — Order #%1","Elállási nyugta — Rendelés #%1"
"Withdrawal receipt","Elállási nyugta"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Szia %name, ez az e-mail az elállási nyilatkozatod tartós adathordozón rögzített igazolása a 2011/83/EU irányelv 11a. cikke alapján. Őrizd meg a saját nyilvántartásodhoz."
"Submitted on","Beküldve"
"Your %store_name order confirmation","Az Ön %store_name rendelésének visszaigazolása"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Köszönjük a rendelését a %store_name áruháztól."
"Once your package ships we will send you a tracking number.","Amint a csomagját elküldjük, küldünk Önnek egy nyomkövetési számot."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","A rendelés állapotát a <a href=""%account_url"">fiókjába való bejelentkezéssel</a> ellenőrizheti."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Ha kérdése van a rendelésével kapcsolatban, írjon nekünk e-mailt a következő címre: <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","vagy hívjon minket a következő számon: <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Nyitvatartási időnk: <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Az Ön rendelése <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Leadva: <span class=""no-link"">%created_at</span>"
"Billing Info","Számlázási adatok"
"Shipping Info","Szállítási adatok"
"Payment Method","Fizetési mód"
"Shipping Method","Szállítási mód"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Amint a csomagját elküldjük, kap egy e-mailt a rendelés nyomon követéséhez szükséges hivatkozással."
"Your %store_name order has shipped","Az Ön %store_name rendelése elküldve"
"Your shipping confirmation is below. Thank you again for your business.","A szállítási visszaigazolása alább található. Köszönjük ismét a vásárlását."
"Your Shipment #%shipment_id for Order #%order_id","Az Ön #%shipment_id szállítmánya a(z) #%order_id rendeléshez"
"Your digital content waiver is on file","Digitális tartalomra vonatkozó hozzájárulásod rögzítve"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Szia %name, hozzájárultál az alábbi tételek azonnali digitális szállításához — ez a hozzájárulás tartós adathordozón rögzített példánya (CRD 11a. cikk (4) bekezdés)."
"View order","Rendelés megtekintése"
"Consented at","Hozzájárulva"
"Acknowledged at","Tudomásul véve"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Őrizd meg ezt az e-mailt tartós adathordozón rögzített nyilvántartásodként. A kereskedő tárolta az általad elfogadott jogi szöveg SHA-256 hash-ét:"
"Digital content waiver","Digitális tartalomra vonatkozó lemondás"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","A digitális termék megvásárlásához szükségünk van az Ön kifejezett hozzájárulására — kérjük, mindkét pontot figyelmesen olvassa el."
"We log this consent with your IP and timestamp for our audit record.","Ezt a hozzájárulást az Ön IP-címével és időbélyegzőjével naplózzuk auditáláshoz."
"Continue","Tovább"
"Waiver could not be saved. Please retry.","A hozzájárulást nem sikerült menteni. Kérjük, próbálja újra."
"Enable for EU Withdrawal Lookup Form","Engedélyezés az EU-s elállási kereső űrlaphoz"
"MageMe Extensions","MageMe bővítmények"
"EU Withdrawal","EU elállás"
"General","Általános"
"Enable Module","Modul engedélyezése"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Aktiválja a frontendet és a cron feladatokat. Alapértelmezett: letiltva. Az engedélyezés előtt töltse ki a kézi beállítási ellenőrzőlistát."
"Request Number Prefix","Kérelemszám előtagja"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Opcionális előtag, amelyet a vásárlói felületen az elállási kérelem növekményi azonosítója elé fűzünk (pl. „RR-” így jelenik meg: „RR-000000022”). Hagyja üresen az egyszerű, kitöltött szám megjelenítéséhez."
"Default Contract Type","Alapértelmezett szerződéstípus"
"Frontend Route","Frontend útvonal"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","A vásárlói felületen használt elállási folyamat URL előtagja (pl. <code>withdraw-contract</code> így jelenik meg: <code>/withdraw-contract/...</code>)."
"Withdrawal Period","Elállási időszak"
"Delivery Confirmation Statuses","Kézbesítés-visszaigazolási státuszok"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Válasszon ki egy vagy több olyan rendelési státuszt, amelyre <em>átmenetük</em> azt jelenti, hogy a vásárló a teljesítési folyamatában megkapta a termékeket. A 14 napos elállási határidő a rendelés <em>legkorábbi</em> átmenetének időbélyegétől kezdődik a kiválasztott státuszok <em>bármelyikébe</em> (9(2)(b) cikk 2011/83/EU irányelv). A többszörös választás támogatja azokat a kereskedőket, akik többféle „kézbesített” típusú státuszt használnak (pl. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Amíg a rendelés egyikbe sem ér el, az elállási jog nyitva van rögzített határidő nélkül."
"Eligibility Rules (Art. 16 CRD Presets)","Jogosultsági szabályok (16. cikk CRD előbeállítások)"
"Art. 16(c) Custom-Made Goods","16. cikk c) pont egyedi gyártású termékek"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Kizárja a vásárlói specifikációk szerint készült vagy egyértelműen személyre szabott termékeket (pl. gravírozott ékszerek, méretre szabott ruházat). <strong>Megköveteli</strong> az <code>is_custom_made = true</code> termékattribútumot. Ha engedélyezve van, az ilyen tételeket tartalmazó rendelésektől nem lehet elállni — a vásárlók ezt látni fogják, amikor elállást próbálnak kezdeményezni."
"Art. 16(d) Perishable Goods","16. cikk d) pont gyorsan romló termékek"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Kizárja azokat a termékeket, amelyek gyorsan romolhatnak vagy lejárhatnak (friss élelmiszer, vágott virágok, rövid eltarthatóságú gyógyszerek). <strong>Megköveteli</strong> az <code>is_perishable = true</code> termékattribútumot. Ne engedélyezze minden kategóriához — csak valóban gyorsan romló cikkszámokra alkalmazza, különben jogellenesen utasít el érvényes elállásokat."
"Art. 16(e) Sealed Hygiene / Health","16. cikk e) pont lezárt higiéniai / egészségügyi termékek"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Kizárja a lezárt higiéniai vagy egészségügyi termékeket, <strong>csak ha a pecsét a kézbesítés után megsérült</strong> (kozmetikumok, intim ruházat, lezárt orvosi eszközök). <strong>Megköveteli</strong> az <code>is_sealed_hygiene = true</code> termékattribútumot. A kizárás az elállás idején végzett pecsétellenőrzéstől függ (a phase-04 munkafolyamat) — a lezárt, felbontatlan visszaküldés továbbra is jogosult marad."
"Art. 16(i) Sealed Audio / Video / Software","16. cikk i) pont lezárt audio / videó / szoftver"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Kizárja a lezárt hangfelvételeket, videófelvételeket vagy lezárt számítógépes szoftvereket, <strong>csak ha a pecsét a kézbesítés után megsérült</strong>. <strong>Megköveteli</strong> az <code>is_sealed_av = true</code> termékattribútumot. Ugyanaz a pecsétellenőrzési logika, mint a 16(e) cikknél. Nem alkalmazandó a streaming / digitális letöltési tartalmakra — azokhoz használja a 16(m) cikket."
"Digital Content (Art. 16(m))","Digitális tartalom (16. cikk m) pont)"
"Detection","Észlelés"
"Enable Digital Content Detection","Digitális tartalom észlelésének engedélyezése"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Főkapcsoló a 16(m) cikk szerinti digitális tartalom észleléséhez. Kikapcsolt állapotban egyetlen termék sem kerül digitálisként felismerésre, a pénztári hozzájárulási lépés nem szükséges, és az előbeállítás mindig engedélyezi az elállást."
"Detection Strategies","Észlelési stratégiák"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Mely terméktípus-heurisztikák váltják ki a digitális tartalomra vonatkozó hozzájárulási kaput. A letölthető + virtuális biztonságos alapértelmezett értékek; a bundle_contains_digital a csomag altételeit ellenőrzi; a custom_attribute az alább konfigurált EAV jelzőt olvassa."
"Custom Attribute Code","Egyéni attribútum kódja"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","EAV attribútum kód, amelyet <strong>csak</strong> akkor használ, ha a fenti <em>Észlelési stratégiák</em> között az <em>Egyéni attribútum jelző</em> van kiválasztva. Alapértelmezett: <code>is_digital_content</code> (logikai attribútum, 1 = digitális). Egyébként figyelmen kívül marad."
"Checkout Step + Email","Pénztár lépés + e-mail"
"Enable Checkout Waiver Step","Hozzájárulási lépés engedélyezése a pénztárban"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Bekapcsolt állapotban azok a kosarak, amelyek észlelt digitális tételt tartalmaznak, a pénztárnál megjelenítik a 2 jelölőnégyzetes hozzájárulási lépést. Csak akkor van hatása, ha az <em>Észlelés → Digitális tartalom észlelésének engedélyezése</em> is be van kapcsolva."
"Merchant BCC Address for Confirmation Emails","Kereskedő BCC címe visszaigazoló e-mailekhez"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Opcionális. Rejtett másolatot küld a hozzájárulási visszaigazoló e-mailről egy kereskedői auditcímre. Hagyja üresen a kihagyáshoz."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Csak virtuális tételek megjelölése teljesítés-megkezdettként a visszaigazoláskor"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","A virtuális termékeknek nincs letöltési indítójuk. Bekapcsolt állapotban a hozzájárulási visszaigazoló e-mail kiküldése a teljesítés megkezdéseként számít a csak virtuális tételeknél (I-6 határ)."
"Confirmation Email Identity","Visszaigazoló e-mail feladója"
"Per-Locale Waiver Text Overrides","Hozzájárulási szöveg felülbírálatai területi beállításonként"
"English (en_US)","Angol (en_US)"
"Consent Text","Hozzájárulási szöveg"
"Right-Loss Acknowledgment Text","Jogvesztés tudomásulvételi szöveg"
"German (de_DE)","Német (de_DE)"
"Finnish (fi_FI)","Finn (fi_FI)"
"Dutch (nl_NL)","Holland (nl_NL)"
"French (fr_FR)","Francia (fr_FR)"
"Italian (it_IT)","Olasz (it_IT)"
"Spanish (es_ES)","Spanyol (es_ES)"
"Polish (pl_PL)","Lengyel (pl_PL)"
"Portuguese (pt_PT)","Portugál (pt_PT)"
"Danish (da_DK)","Dán (da_DK)"
"Swedish (sv_SE)","Svéd (sv_SE)"
"German — Austria (de_AT)","Német — Ausztria (de_AT)"
"Swedish — Finland (sv_FI)","Svéd — Finnország (sv_FI)"
"Dutch — Belgium (nl_BE)","Holland — Belgium (nl_BE)"
"French — Belgium (fr_BE)","Francia — Belgium (fr_BE)"
"German — Belgium (de_BE)","Német — Belgium (de_BE)"
"French — Luxembourg (fr_LU)","Francia — Luxemburg (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Szerződéskötés előtti tájékoztatás (6. cikk (1) bek. h) pont)"
"Enable Pre-Contract Disclosure","Szerződéskötés előtti tájékoztatás engedélyezése"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Fő leállító kapcsoló. Letiltva = a blokk nem jelenik meg, és nem rögzítődnek megjelenítési események. A letiltás kiteszi a kereskedőt a 10. cikk hatályának (12 hónap + 14 nap meghosszabbított elállási időszak). Alapértelmezett: engedélyezve."
"Withdrawal Period (Days)","Elállási időszak (napok)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Alapértelmezetten 14 nap a 9(2) cikk szerint. Hosszabbítás megengedett (pl. 30, 100). A 14 alá csökkentés jogellenes — a mező csak akkor érvényesíti a >=14 értéket, ha a modul engedélyezve van."
"Return Address","Visszaküldési cím"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Ahova a fogyasztók visszaküldik a termékeket. Hagyja üresen, hogy az Üzletek → Konfiguráció → Általános → Általános → Üzletadatok címére essen vissza."
"Display In Checkout","Megjelenítés a pénztárban"
"Annex I Overrides Per Locale","I. melléklet felülbírálatai területi beállításonként"
"Bulgarian (bg_BG)","Bolgár (bg_BG)"
"Czech (cs_CZ)","Cseh (cs_CZ)"
"Greek (el_GR)","Görög (el_GR)"
"Estonian (et_EE)","Észt (et_EE)"
"Croatian (hr_HR)","Horvát (hr_HR)"
"Hungarian (hu_HU)","Magyar (hu_HU)"
"Lithuanian (lt_LT)","Litván (lt_LT)"
"Latvian (lv_LV)","Lett (lv_LV)"
"Romanian (ro_RO)","Román (ro_RO)"
"Slovak (sk_SK)","Szlovák (sk_SK)"
"Slovenian (sl_SI)","Szlovén (sl_SI)"
"Frontend","Frontend"
"Buttons","Gombok"
