"View Credit Memo","Jóváírási értesítő megtekintése"
"Step 1 Button Label","1. lépés gomb felirata"
"Step 2 Button Label (Confirmation)","2. lépés gomb felirata (visszaigazolás)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Jogi figyelmeztetés (#4 hiányosság).</strong> Ez a végső megerősítő gomb felirata. Az alapértelmezett („Elállás megerősítése”) ügyvéd által ellenjegyzett; a területi beállításonkénti fordítások az <code>i18n/*.csv</code> fájlokban. Csak írásbeli jogi tanács alapján bírálja felül; a felülbírálások auditnaplózva vannak."
"Placements","Elhelyezések"
"Show Footer Link","Hivatkozás megjelenítése a láblécben"
"Show in My Account","Megjelenítés a Fiókomban"
"Return Reasons","Visszaküldési okok"
"Reasons","Indokok"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","A vásárlónak a tételenkénti legördülő menüben felkínált indokok listája. A <strong>Kód</strong> az adatbázisba mentett gépi érték (kisbetűs, snake_case, max. 32 karakter); a <strong>Címke</strong> a látható szöveg. Az üres rács teljesen elrejti a legördülő menüt."
"Enable ""Other"" with Free Text","„Egyéb” engedélyezése szabad szöveggel"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Ha engedélyezve van, az „Egyéb” opció megjelenik a legördülő menüben, amely megnyit egy szabad szöveges mezőt (max. 500 karakter)."
"Review Step","Áttekintési lépés"
"Return Shipping Notice","Visszaküldési tájékoztató"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Az Áttekintés és megerősítés lépésben (3. lépés) megjelenő szöveg. Példa: „A megerősítő e-mailben előre kifizetett szállítási címkét kap.” vagy „A visszaküldés szállítási költségét a vásárló fizeti.” Hagyja üresen a sor elrejtéséhez."
"Return Policy URL","Visszaküldési feltételek URL-je"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Opcionális hivatkozás, amely a szállítási tájékoztató mellett jelenik meg („Visszaküldési feltételek megtekintése”). Abszolút URL-eket vagy relatív útvonalakat fogad el, például „return-policy”."
"Customer Notifications","Vásárlói értesítések"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","A modul által küldött összes vásárlói e-mail. Minden e-mail engedélyezhető/letiltható, egyéni sablonhoz rendelhető (Marketing → E-mail sablonok), és rejtett másolatként küldhető egy kereskedői címre. Az alul található közös <em>Arculat</em> alcsoport vezérli az alábbi e-mailek elrendezését (USP sáv, közösségi hivatkozások)."
"1. Submission Confirmation Email","1. Beküldést megerősítő e-mail"
"Enabled","Engedélyezve"
"Email Template","E-mail sablon"
"BCC Merchant","Rejtett másolat a kereskedőnek (BCC)"
"Comma-separated. Leave blank to disable.","Vesszővel elválasztva. Hagyja üresen a letiltáshoz."
"2. Approval Email","2. Jóváhagyó e-mail"
"3. Denial Email","3. Elutasító e-mail"
"4. Cancellation Email (Admin-Initiated)","4. Visszavonási e-mail (adminisztrátor által kezdeményezve)"
"5. Cancellation Email (Customer Self-Cancel)","5. Visszavonási e-mail (vásárló saját visszavonása)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. Visszaigazoló e-mail (tartós adathordozó — 11a. cikk (4) bek.)"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Jogszabály által előírt, tartós adathordozón rögzített visszaigazolás. Nem tiltható le teljesen (11a(4) cikk 2011/83/EU irányelv). Az itt történő letiltás csak a küldőt állítja le — a nyugta továbbra is generálódik és tárolódik."
"Send Email","E-mail küldése"
"Comma-separated.","Vesszővel elválasztva."
"Delivery Retry Attempts","Kézbesítési újrapróbálkozások"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","DLQ riasztás címzettje"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Értesítés érkezik, ha egy nyugta véglegesen sikertelen. Az Áruház e-mail címek → Általános kapcsolattartó lesz a tartalék."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. Digitális hozzájárulás visszaigazoló e-mail (11a. cikk (4) bek.)"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","A vásárló 16(m) cikk szerinti hozzájárulásának tartós adathordozón rögzített példánya, amelyet azonnal a pénztár után küldünk, ha a kosárban digitális tétel van. A 11a(4) cikk 2011/83/EU irányelv által előírt — manipulációbiztos nyilvántartást vezet a vásárló által elfogadott jogi szövegről, valamint a SHA-256 hash-ről a hash-lánc ellenőrzéséhez."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Vesszővel elválasztva. Audit céljából minden visszaigazolásról másolatot kap."
"Branding (Shared by All Emails Above)","Arculat (a fenti összes e-mailben közös)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","A vásárlói e-mailek opcionális díszítése. Az üres mezők elrejtik a hozzájuk tartozó sorokat. A márkanév, logó, ügyfélszolgálati e-mail és üzletcím a szabványos Magento konfigurációs fából kerül beolvasásra (Áruházak → Konfiguráció → Általános + Megjelenés → Tranzakciós e-mailek)."
"USP Strip — Item 1","USP sáv — 1. elem"
"Icon","Ikon"
"Title","Cím"
"Subtitle","Alcím"
"USP Strip — Item 2","USP sáv — 2. elem"
"USP Strip — Item 3","USP sáv — 3. elem"
"Social Links","Közösségi hivatkozások"
"Instagram URL","Instagram URL"
"X / Twitter URL","X / Twitter URL"
"Facebook URL","Facebook URL"
"YouTube URL","YouTube URL"
"Order #","Rendelés #"
"Contract","Szerződés"
"Submitter","Beküldő"
"Withdrawal submitted","Elállás beküldve"
"Right of Withdrawal — Required Information","Elállási jog — Kötelező tájékoztatás"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract.","Mielőtt leadná megrendelését, kérjük, tekintse át a 14 napos elállási jog gyakorlásának feltételeit, határidejét és eljárásait. Ez a tájékoztatás a szerződésének részét képezi."
"Conditions, Time Limit and Procedures for Withdrawal","Az elállás feltételei, határideje és eljárásai"
"Start Online Return","Online visszaküldés indítása"
"Download Model Withdrawal Form (Annex I(B))","Elállási nyilatkozatminta letöltése (I. melléklet B. rész)"
"Withdrawal Information v%1 — Issued %2","Elállási tájékoztató v%1 — kiadva %2"
"You'll receive a prepaid shipping label in the confirmation email.","Az előre kifizetett szállítási címkét a megerősítő e-mailben kapja meg."
"← Back to order search","← Vissza a rendelés kereséséhez"
"← Back to items","← Vissza a tételekhez"
"Find order","Rendelés keresése"
"Enter your order number and email","Adja meg a rendelésszámot és az e-mailt"
"Select items","Tételek kiválasztása"
"Choose items to return (partial withdrawal)","Válassza ki a visszaküldendő tételeket (részleges elállás)"
"Review & confirm","Áttekintés & megerősítés"
"Review your return details and confirm","Tekintse át a visszaküldés részleteit és erősítse meg"
"Request submitted","Kérelem elküldve"
"We'll confirm your request by email","Kérelmét e-mailben erősítjük meg"
"I expressly consent to begin performance of the digital content before the withdrawal period expires.","Kifejezetten hozzájárulok a digitális tartalom teljesítésének megkezdéséhez az elállási határidő lejárta előtt."
"I acknowledge that by giving this consent I lose my right of withdrawal once performance has begun (Art. 16(m) CRD).","Tudomásul veszem, hogy e hozzájárulás megadásával elveszítem az elállási jogomat a teljesítés megkezdésekor (a fogyasztói jogi irányelv 16. cikk m) pont)."
"Withdrawals","Elállások"
"Minimum %1 characters required.","Legalább %1 karakter szükséges."
"Failed to add note.","A jegyzet hozzáadása nem sikerült."
"Network error while adding note.","Hálózati hiba a jegyzet hozzáadása közben."
"Exported Evidence","Exportált bizonyítékok"
"Pending Confirm","Megerősítésre vár"
"Sent","Elküldve"
"Failed Permanent","Véglegesen sikertelen"
"Failed Retry","Sikertelen, újrapróbálkozás"
"Eligible","Jogosult"
"Excluded","Kizárva"
"Action","Művelet"
"From","Honnan"
"To","Hová"
"Admin Id","Admin-azonosító"
"Order Id","Rendelésazonosító"
"Request Id","Kérelem azonosítója"
"Item Count","Tételek száma"
"Rules Fired","Alkalmazott szabályok"
"Topic","Téma"
"Message Id","Üzenet azonosítója"
"Email To Hash","E-mail hash"
"Attempts","Próbálkozások"
"Viewed At","Megtekintve"
"Referrer Host","Hivatkozó kiszolgáló"
"Enable \Other\"" with Free Text""","„Egyéb” engedélyezése szabad szöveggel"
"Optional legal template — not required to use; you can also exercise the right of withdrawal by any unequivocal statement.","Választható jogi minta — használata nem kötelező; az elállási jog bármilyen egyértelmű nyilatkozattal is gyakorolható."
"Right of withdrawal","Elállási jog"
"You have 14 days from the day you receive your order to withdraw without giving any reason — full refund to your original payment method.","A rendelés kézhezvételétől számítva 14 napja van, hogy indoklás nélkül elálljon — teljes visszatérítés az eredeti fizetési módjára."
"Some items may be excluded by law (perishable goods, custom-made items, sealed hygiene or audio/video products). We'll show you exactly what's eligible on the next page.","Egyes tételeket jogszabály kizárhat (gyorsan romló termékek, egyedi gyártású tételek, lezárt higiéniai vagy audio/videó termékek). A következő oldalon pontosan megmutatjuk, mi jogosult."
"Direct link — no login or account password required.","Közvetlen hivatkozás — nincs szükség bejelentkezésre vagy fiókjelszóra."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those."
"Customer-facing UX for the withdrawal flow. Subgroups: <em>Buttons</em> (legal-critical labels), <em>Placements</em> (where to surface the link), <em>Return Reasons</em> (per-item dropdown), <em>Review Step</em> (content on step 3 of the flow).","Vásárlói oldali UX az elállási folyamathoz. Alcsoportok: <em>Gombok</em> (jogi szempontból kritikus címkék), <em>Elhelyezések</em> (hol jelenjen meg a hivatkozás), <em>Visszaküldési okok</em> (legördülő menü tételenként), <em>Áttekintési lépés</em> (a folyamat 3. lépésének tartalma)."
"Disable only if you deliver the durable-medium confirmation through a different channel.","Csak akkor tiltsa le, ha a tartós adathordozón rögzített visszaigazolást más csatornán juttatja el."
"Disable only if you deliver the receipt through a different durable medium (postal mail, customer account download, etc.).","Csak akkor tiltsa le, ha a nyugtát más tartós adathordozón juttatja el (postai levél, ügyfélfiókból letöltés stb.)."
"Empty fields fall through to the locale baseline. Any override value becomes part of the SHA-256 hash stored per consent event — changing a field after customers have consented does <strong>not</strong> retroactively invalidate prior consents.","Az üres mezők az adott területi beállításhoz/joghatósághoz tartozó the locale baseline alapértékeire térnek vissza. Minden felülírási érték részévé válik a hozzájárulási eseményenként tárolt SHA-256 hashnek — egy mező módosítása azt követően, hogy az ügyfelek hozzájárultak, <strong>nem</strong> érvényteleníti visszamenőleg a korábbi hozzájárulásokat."
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Kötelező szerződéskötés előtti tájékoztatás az elállási jogról. A pénztár fizetési lépésében jelenik meg. Minden megjelenítés bizonyítékigény szerint naplózásra kerül (10. cikk szerinti védelem). A megjelenített szöveg pillanatképe megváltoztathatatlanul tárolódik (6. cikk (5) bek.). <strong>Bármely I. melléklet szöveg testreszabása előtt jogi felülvizsgálat ajánlott.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Ki = a blokk rejtett, de a megjelenítési események továbbra is rögzítésre kerülnek a szerver oldalon a predispatch tartalék révén. Csak sandbox tesztelésre használja. Alapértelmezett: be."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","Opcionális URL-ek, amelyek kerek monogramjelvényekként jelennek meg az e-mail láblécében. Hagyja üresen az elrejtéshez."
"Sent when a customer cancels their own pending withdrawal.","Akkor kerül kiküldésre, amikor egy ügyfél visszavonja saját függőben lévő elállását."
"Sent when a customer completes the withdrawal form.","Akkor kerül kiküldésre, amikor egy ügyfél kitölti az elállási űrlapot."
"Sent when an admin approves a withdrawal request.","Akkor kerül kiküldésre, amikor egy adminisztrátor jóváhagy egy elállási kérelmet."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Akkor kerül kiküldésre, amikor egy adminisztrátor visszavon egy elállási kérelmet az ügyfél nevében."
"Sent when an admin denies a withdrawal request.","Akkor kerül kiküldésre, amikor egy adminisztrátor elutasít egy elállási kérelmet."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Ezek az előbeállítások egyes termékkategóriákat zárnak ki a 14 napos elállási jog alól a 2011/83/EU irányelv 16. cikke alapján. Minden szabály alapértelmezetten KI van kapcsolva — csak azután engedélyezze, hogy meggyőződött róla, hogy a megfelelő termékattribútum helyesen van beállítva a katalógusában."
"e.g. ""EU orders above €50""","pl. „EU-s rendelések 50 € felett”"
"e.g. ""Free delivery""","pl. „Ingyenes szállítás”"
"Qty: ","Menny.: "
"Submission failed. Please try again.","A küldés sikertelen. Kérjük, próbálja újra."
"Network error. Please try again.","Hálózati hiba. Kérjük, próbálja újra."
"Invalid server response.","Érvénytelen szerveres válasz."
"Admin Notifications","Adminisztrátori értesítések"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Belső figyelmeztetések a csapatának. Függetlenek az alábbi <em>Ügyfél-értesítések</em> alatt található <em>BCC a kereskedőnek</em> jelölőnégyzetektől — ha mindkettőt bekapcsolja, kérelmenként két e-mailt kap."
"1. New Request Alert","1. Új kérelem értesítés"
"Sent the moment a customer completes the two-step withdrawal flow.","Akkor küldjük, amikor egy ügyfél befejezi a kétlépcsős elállási folyamatot."
"Recipient Email(s)","Címzett e-mail(ek)"
"BCC","Titkos másolat"
"New Withdrawal Request","Új elállási kérelem"
"A new withdrawal request was just submitted.","Új elállási kérelem érkezett."
"Request:","Kérelem:"
"Order:","Megrendelés:"
"Customer:","Vevő:"
"Refund Total:","Visszatérítés összesen:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Elállás] Új kérelem %request_increment_id · Megrendelés #%order_increment_id · %refund_total"
"Anonymised","Anonimizálva"
"Audit","Napló"
"Cancel Order","Megrendelés visszavonása"
"Confirmation Email (Art. 11a(4))","Visszaigazoló e-mail (11a(4). cikk)"
"Detection (Art. 16(m))","Felismerés (16(m). cikk)"
"Digital Waiver (Art. 16(m))","Digitális lemondás (16(m). cikk)"
"Email Identity","Küldő azonosítója"
"ID","Azonosító"
"Integrity hash","Integritás-hash"
"Pre-Contract Proof","Szerződéskötés előtti bizonyíték"
"Verify this receipt","Igazolás ellenőrzése"
"Withdrawal Window","Elállási időszak"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Ez a SHA-256 hash egyedileg azonosítja az elállási bejegyzést. Bármikor ellenőrizheti a fenti gomb segítségével."
"Digital content waiver confirmation — Order %increment_id","Digitális tartalom lemondás visszaigazolása — Megrendelés %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Vesszővel elválasztva. Minden címzett külön e-mailt kap a saját adminisztrátori területi beállításán renderelve (az admin-felhasználó interface_locale-ja alapján; tartalék — general/locale/code). Az érvénytelen címeket csendben elveti."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","A fogyasztóvédelmi irányelv 16(m). cikke szerinti digitálistartalom-felismerés. Meghatározza, mi minősül digitális tartalomnak elállási jog szempontjából. A tényleges lemondás UI-ja a pénztárban és az e-mail a következő „Digitális lemondás“ szakaszban található."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","A fogyasztóvédelmi irányelv 16(m) cikkének kivétele — digitális tartalom, ahol az ügyfél (1) kifejezetten előzetes hozzájárulását adta a teljesítés megkezdéséhez és (2) elismerte az elállási jog elvesztését. A funkciót két kapcsoló vezérli: az <em>Elérhetőségi szabályok</em> alatti <em>Felismerés</em> alcsoport dönti el, mi minősül digitálisnak (főkapcsoló); ez a szakasz 2 jelölőnégyzetes lemondás UI-t jelenít meg a pénztárban és kiküldi a 11a(4) cikk szerinti visszaigazoló e-mailt. Mindkettőnek BE kell lennie kapcsolva. Nyelvi szöveg-felülbírálatok alább. Csak <strong>egyszeri digitális vásárlásokra</strong> használja (e-könyvek, telepítők, zenei fájlok, játékok). <strong>Ne</strong> kapcsolja be folyamatos digitális <strong>előfizetésekhez vagy szolgáltatásokhoz</strong> (SaaS, streaming, hosztolt szoftver) — az EU joggyakorlata (CJEU Sky, C-641/19) más hozzájárulási folyamatot követel meg."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Meghatározza, <strong>mikor</strong> kezdődik a 14 napos elállási jog (kézbesítési kiváltó, 9(2)(b). cikk) és <strong>meddig</strong> tart napokban (9(2). cikk). Együtt szabályozzák minden megrendelés elállási időszakát."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Alapértelmezett 14 nap a 9(2). cikk szerint. Meghosszabbítás megengedett (pl. 30, 100). 14 alá csökkenteni jogellenes — a mező csak 14-3650 között validál."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Bekapcsolva a felismert digitális tételt tartalmazó kosarak megjelenítik a 2 jelölőnégyzetes lemondási lépést a pénztárban. Nincs hatása, ha az <em>Elérhetőségi szabályok → Felismerés → Digitális tartalom felismerésének engedélyezése</em> nincs bekapcsolva."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Választható. Vesszővel elválasztva. Titkos másolatot küld a lemondási visszaigazoló e-mailről a kereskedő audit-címére. Hagyja üresen a kihagyáshoz."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Jogi figyelmeztetés.</strong> A fogyasztóvédelmi irányelv 11a(2) cikke megköveteli a szó szerinti szöveget „itt áll el a szerződéstől“ <em>vagy egy ennek megfelelő egyértelmű megfogalmazást</em>. Az alapértelmezett érték („Álljon el a szerződéstől itt“) az Irányelv szó szerinti kifejezése; A nyelvi fordítások jogászi aláírással rendelkeznek. <strong>Ne írja felül, hacsak nem kapott írásbeli tanácsot képzett fogyasztóvédelmi jogásztól a célországban.</strong> Minden felülírás bekerül a naplóba."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Jogi figyelmeztetés.</strong> Ez a végső megerősítő gomb felirata. Az alapértelmezett („Elállás megerősítése“) jogászi aláírással rendelkezik; A nyelvi fordítások jogászi aláírással rendelkeznek. Csak írásbeli jogi tanácsadással írja felül; a felülírások a naplóba kerülnek."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Visszavonja a kapcsolt megrendelést? Nem történt fizetés, így nincs mit visszatéríteni — a megrendelés visszavonásra kerül a Magentóban."
"Scope & Applicability","Hatókör és alkalmazhatóság"
"Controls in which markets the self-service withdrawal flow is offered. These are merchant business decisions, not legal exclusions — an EU consumer's statutory right of withdrawal does not depend on them, and declarations received by other means (email, letter) must still be honoured manually.","Meghatározza, mely piacokon érhető el az önkiszolgáló elállási folyamat. Ezek a kereskedő üzleti döntései, nem jogi kizárások — egy uniós fogyasztó törvényes elállási joga nem függ tőlük, és az egyéb módon (e-mailben, levélben) beérkezett elállásokat továbbra is manuálisan kell teljesíteni."
"Restrict by Country","Korlátozás ország szerint"
"Offers the self-service withdrawal flow only for orders whose billing <strong>or</strong> shipping address is in the selected countries. <strong>Legal note:</strong> this restricts the storefront flow only — an EU consumer's statutory right of withdrawal does not depend on the address, and withdrawal declarations received by other means (email, letter) must still be honoured manually. Default: disabled.","Az önkiszolgáló elállási folyamatot csak azokra a rendelésekre kínálja fel, amelyek számlázási <strong>vagy</strong> szállítási címe a kiválasztott országokban van. <strong>Jogi megjegyzés:</strong> ez csak a webshopban zajló folyamatot korlátozza — egy uniós fogyasztó törvényes elállási joga nem függ a címtől, és az egyéb módon (e-mailben, levélben) beérkezett elállásokat továbbra is manuálisan kell teljesíteni. Alapértelmezett: kikapcsolva."
"Offer Withdrawal For Countries","Elállás felajánlása az országoknak"
"Preselected: EU-27 plus EEA (Norway, Iceland, Liechtenstein). Add the United Kingdom manually if you target UK consumers (separate national regime with a comparable 14-day right). If you clear this list, the restriction has no effect and the flow stays available to every customer.","Előre kiválasztva: EU-27 plusz EGT (Norvégia, Izland, Liechtenstein). Az Egyesült Királyságot kézzel adja hozzá, ha brit fogyasztókat céloz meg (külön nemzeti szabályozás hasonló 14 napos joggal). Ha törli ezt a listát, a korlátozásnak nincs hatása, és a folyamat minden vásárló számára elérhető marad."
"Custom-made to your specifications","Az Ön specifikációi szerint készült"
"Perishable goods","Romlandó áruk"
"Sealed hygiene item — seal broken","Lezárt higiéniai termék — a pecsét feltörve"
"Sealed audio/video — seal broken","Lezárt audió/videó — a pecsét feltörve"
"Newspapers, periodicals, magazines","Hírlapok, időszaki kiadványok, magazinok"
"Accommodation / event on specific date","Szállás / esemény meghatározott időpontban"
"Digital content — right waived at purchase","Digitális tartalom — a jogról a vásárláskor lemondtak"
"Withdrawal period has expired","Az elállási határidő lejárt"
"Already withdrawn in a prior request","Korábbi kérelemben már elállás történt"
"A draft withdrawal is holding this item. Confirm it via the email we sent, or cancel it in the 'Existing withdrawals' section above.","Ezt a tételt egy elállási piszkozat foglalja. Erősítse meg az általunk küldött e-mailben, vagy törölje a fenti „Meglévő elállások“ szakaszban."
