"View Credit Memo","Visualizza nota di credito"
"Issue Credit Memo","Emetti nota di credito"
"Approve","Approva"
"Approve this withdrawal request?","Approvare questa richiesta di recesso?"
"Deny","Rifiuta"
"Legal reason for denial (min 10 chars):","Motivo legale del rifiuto (min. 10 caratteri):"
"Cancel Request","Annulla richiesta"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Annullare questo recesso? Aggiungi una nota facoltativa per il cliente (visibile nella sua e-mail di annullamento):"
"Resend Receipt","Reinvia ricevuta"
"Send the receipt email again? The customer will receive another copy.","Inviare di nuovo l'e-mail di ricevuta? Il cliente riceverà un'altra copia."
"Withdrawal Request #%1","Richiesta di recesso #%1"
"Request Details","Dettagli della richiesta"
"Information","Informazioni"
"Reason for Denial","Motivo del rifiuto"
"Customer Cancellation Note","Nota di annullamento del cliente"
"Cancellation Note","Nota di annullamento"
"Status-Change Note","Nota di cambio stato"
"Code","Codice"
"Label","Etichetta"
"Add Reason","Aggiungi motivo"
"In progress","In corso"
"Refund issued","Rimborso emesso"
"Denied","Rifiutata"
"Cancelled","Annullata"
"Pending","In attesa"
"This is a transactional email about your order.","Questa è un'e-mail transazionale relativa al tuo ordine."
"Reason for denial","Motivo del rifiuto"
"Your cancellation note","La tua nota di annullamento"
"Note from our team","Nota dal nostro team"
"EU right of withdrawal","Diritto di recesso UE"
"Withdrawal right pending delivery","Diritto di recesso in attesa di consegna"
"Withdrawal window has ended","Periodo di recesso terminato"
"Not eligible for withdrawal","Non idoneo al recesso"
"Withdrawal already requested","Richiesta di recesso già inviata"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","Puoi recedere da questo contratto in qualsiasi momento — il termine di 14 giorni inizia a decorrere dalla consegna dell'ordine."
"Your 14-day withdrawal window will begin once this order is delivered.","Il tuo periodo di recesso di 14 giorni inizierà alla consegna di questo ordine."
"The 14-day window for withdrawing from this contract has ended.","Il periodo di 14 giorni per recedere da questo contratto è terminato."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Questo ordine non è idoneo al recesso ai sensi del diritto dei consumatori UE (art. 16 Direttiva 2011/83/UE)."
"A withdrawal request for this order has been submitted. See the request details below.","È stata inviata una richiesta di recesso per questo ordine. Vedi i dettagli della richiesta di seguito."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Questo ordine contiene un articolo deperibile che non può essere restituito (alimenti a breve scadenza, fiori freschi, ecc.)."
"This order contains a custom-made or personalised item that cannot be returned.","Questo ordine contiene un articolo confezionato su misura o personalizzato che non può essere restituito."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Questo ordine contiene un articolo igienico sigillato. Mantieni il diritto di recesso solo finché il sigillo resta integro — una volta rotto il sigillo dopo la consegna, il diritto viene perso."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Questo ordine contiene un articolo audio / video / software sigillato. Mantieni il diritto di recesso solo finché il sigillo resta integro — una volta rotto il sigillo dopo la consegna, il diritto viene perso."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Questo ordine contiene contenuto digitale. Una volta avviato l'uso o il download del contenuto, perdi il diritto di recesso (hai prestato il tuo consenso al momento del checkout)."
"%1 item(s) · Refund %2","%1 articoli · Rimborso %2"
"Awaiting confirmation","In attesa di conferma"
"Cancel withdrawal %1? Your refund will not be processed.","Annullare il recesso %1? Il tuo rimborso non verrà elaborato."
"Submitted","Inviata"
"Approved","Approvata"
"Fully returned","Restituito interamente"
"Return requested","Restituzione richiesta"
"Not eligible","Non idoneo"
"Partially requested","Richiesto parzialmente"
"— Select a reason —","— Seleziona un motivo —"
"Other","Altro"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Il rimborso verrà effettuato tramite il tuo metodo di pagamento originale entro 5-7 giorni lavorativi dalla ricezione del reso."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Diritto di recesso perso (art. 16(m) CRD) — esecuzione digitale iniziata il %1."
"Request #%1 not found.","Richiesta #%1 non trovata."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","E-mail di ricevuta rimessa in coda per la richiesta #%1. La consegna verrà ritentata in modo asincrono."
"Failed to queue receipt resend: %1","Impossibile mettere in coda il rinvio della ricevuta: %1"
"Note text is empty.","Il testo della nota è vuoto."
"Note added to request #%1.","Nota aggiunta alla richiesta #%1."
"Request #%1 approved.","Richiesta #%1 approvata."
"Request #%1 cancelled.","Richiesta #%1 annullata."
"Request #%1 denied.","Richiesta #%1 rifiutata."
"Invalid request id.","ID richiesta non valido."
"Unable to open temporary file for CSV export.","Impossibile aprire il file temporaneo per l'esportazione CSV."
"Withdrawal Requests","Richieste di recesso"
"%1 requests queued for acceptance.","%1 richieste in coda per l'accettazione."
"%1 request(s) approved.","%1 richiesta/e approvata/e."
"%1 request(s) failed. First errors: %2","%1 richiesta/e non riuscita/e. Primi errori: %2"
"Note added to %1 request(s).","Nota aggiunta a %1 richiesta/e."
"Underlying order #%1 not found.","Ordine sottostante #%1 non trovato."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","L'ordine #%1 non ha ancora una fattura — Magento richiede una fattura prima di poter creare una nota di credito. Crea prima una fattura (Vendite → Ordini → #%1 → pulsante Fattura), poi torna qui per il rimborso."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","Nessun articolo registrato su questa richiesta di recesso — la nota di credito verrà aperta con le quantità di fattura predefinite; correggi manualmente."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Nota di credito precompilata per il recesso #%1 — verifica le quantità e il rimborso della spedizione qui sotto, quindi fai clic su Rimborso Online o Rimborso Offline."
"Some items are no longer eligible. Please reload and try again.","Alcuni articoli non sono più idonei. Ricarica la pagina e riprova."
"We could not process your request. Please try again.","Non è stato possibile elaborare la tua richiesta. Riprova."
"Item","Articolo"
"We could not find a matching order for that email.","Non abbiamo trovato un ordine corrispondente a questa e-mail."
"Withdraw from a contract","Recedi dal contratto"
"Withdrawal not found.","Recesso non trovato."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Questo recesso non può più essere annullato online. Contattaci se hai bisogno di aiuto."
"Withdrawal #%1 cancelled.","Recesso #%1 annullato."
"Please fill in all required fields.","Compila tutti i campi obbligatori."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 articolo/i è/sono stato/i escluso/i dal recesso perché il sigillo è rotto (art. 16, lett. e)/i) Direttiva 2011/83/UE)."
"Please select at least one item to withdraw.","Seleziona almeno un articolo da recedere."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Uno o più articoli non sono più disponibili per il recesso. Aggiorna la pagina e riprova."
"None of the selected items are eligible for withdrawal.","Nessuno degli articoli selezionati è idoneo al recesso."
"Hash mismatch for quote item %1","Hash non corrispondente per l'articolo del preventivo %1"
"Requested qty %1 exceeds remaining %2 for order item %3","La quantità richiesta %1 supera quella residua %2 per l'articolo dell'ordine %3"
"No delivery confirmation recorded for this order yet.","Nessuna conferma di consegna ancora registrata per questo ordine."
"No eligible items selected for withdrawal","Nessun articolo idoneo selezionato per il recesso"
"Physical goods","Beni materiali"
"Digital content (non-tangible)","Contenuto digitale (non tangibile)"
"Digital service (SaaS / subscription)","Servizio digitale (SaaS / abbonamento)"
"Financial services (not supported)","Servizi finanziari (non supportato)"
"Downloadable products","Prodotti scaricabili"
"Virtual products","Prodotti virtuali"
"Bundles containing digital children","Bundle contenenti elementi figli digitali"
"Custom attribute flag","Flag attributo personalizzato"
"locale_inheritance.xml missing at %1","locale_inheritance.xml mancante in %1"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml non leggibile in %1"
"locale_inheritance.xml failed XSD validation: %1","locale_inheritance.xml non ha superato la convalida XSD: %1"
"Original payment method","Metodo di pagamento originale"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","Questa è la tua ricevuta su supporto durevole per il recesso (art. 11 bis, par. 4 Direttiva 2011/83/UE)."
"This email is a notification about your withdrawal request.","Questa e-mail è una notifica relativa alla tua richiesta di recesso."
"5–7 business days","5–7 giorni lavorativi"
"This is a confirmation that your withdrawal request has been recorded.","Questa è una conferma che la tua richiesta di recesso è stata registrata."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","MageMe EU Withdrawal è installato ma non abilitato. Esamina la checklist di conformità e configura il modulo prima di abilitarlo: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","Lo stato di conferma della consegna non è configurato. Imposta Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses."
"No Annex I source found for locale %1 along chain %2","Nessuna sorgente dell'Allegato I trovata per la lingua %1 lungo la catena %2"
"Annex I source for locale %1 is malformed","La sorgente dell'Allegato I per la lingua %1 è malformata"
"Missing merchant variables for Annex I rendering: %1","Variabili del commerciante mancanti per il rendering dell'Allegato I: %1"
"Receipt hash mismatch for request %1","Hash della ricevuta non corrispondente per la richiesta %1"
"Request %1 not found.","Richiesta %1 non trovata."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Il rifiuto di una richiesta di recesso richiede una base legale di almeno 10 caratteri."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","La richiesta di recesso non può passare da ""%1"" a ""%2""."
"Request %1 is not in pending_confirm state.","La richiesta %1 non è nello stato pending_confirm."
"Withdrawal request #%1 does not exist.","La richiesta di recesso #%1 non esiste."
"No digital items on order %1","Nessun articolo digitale nell'ordine %1"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","Questa è la tua copia su supporto durevole della rinuncia firmata al checkout (art. 11 bis, par. 4 Direttiva 2011/83/UE)."
"Waived","Rinunciato"
"Waiver email render failed: %1","Rendering dell'email di rinuncia non riuscito: %1"
"Digital content waiver text has changed — please reload checkout.","Il testo della rinuncia al contenuto digitale è cambiato — ricarica il checkout."
"Digital content waiver is incomplete for item %1.","La rinuncia al contenuto digitale è incompleta per l'articolo %1."
"bad","errato"
"smtp down","smtp down"
"smtp","smtp"
"down","non funzionante"
"No shipment found for order 42.","Nessuna spedizione trovata per l'ordine 42."
"View","Visualizza"
"Withdrawal & Customer Information","Informazioni sul recesso e sul cliente"
"Request # %1","Richiesta n. %1"
"Request Status","Stato della richiesta"
"Submitted At","Inviata il"
"Related Order","Ordine correlato"
"Jurisdiction","Giurisdizione"
"Contract Type","Tipo di contratto"
"Receipt Status","Stato della ricevuta"
"%1 attempt(s)","%1 tentativo/i"
"Receipt Error","Errore di ricevuta"
"Customer Information","Informazioni cliente"
"Customer Name","Nome cliente"
"Email","E-mail"
"Locale","Lingua"
"Items Selected for Withdrawal","Articoli selezionati per il recesso"
"Product","Prodotto"
"Price","Prezzo"
"Qty","Qtà"
"Subtotal","Subtotale"
"Refund","Rimborso"
"Reason","Motivo"
"Eligibility","Idoneità"
"No items associated with this request.","Nessun articolo associato a questa richiesta."
"SKU","SKU"
"Ordered","Ordinati"
"Withdrawing","In recesso"
"Refund Total","Totale rimborso"
"Notes for this Request","Note per questa richiesta"
"Internal notes — visible to admin staff only. Not sent to the customer.","Note interne — visibili solo al personale amministrativo. Non inviate al cliente."
"Comment","Commento"
"Add internal note (max 2000 chars)","Aggiungi nota interna (max 2000 caratteri)"
"Submit Comment","Invia commento"
"No comments added yet.","Nessun commento ancora aggiunto."
" by %1"," da %1"
"Refund Totals","Totali rimborso"
"Items Subtotal","Subtotale articoli"
"Shipping Refund","Rimborso spedizione"
"Total Refund","Rimborso totale"
"Changes have been made to this section that have not been saved.","Sono state apportate modifiche a questa sezione che non sono state salvate."
"This tab contains invalid data. Please resolve this before saving.","Questa scheda contiene dati non validi. Correggi prima di salvare."
"Contact us","Contattaci"
"Returns","Resi"
"FAQs","FAQ"
"All rights reserved.","Tutti i diritti riservati."
"Returned items","Articoli restituiti"
"No image","Nessuna immagine"
"Item status","Stato dell'articolo"
"Withdrawal options for this order","Opzioni di recesso per questo ordine"
"You can return this order until %1.","Puoi restituire questo ordine entro il %1."
"(Art. 11a Directive 2011/83/EU)","(Art. 11 bis Direttiva 2011/83/UE)"
"Submit a withdrawal request to start the refund process.","Invia una richiesta di recesso per avviare il processo di rimborso."
"(Art. 9(2)(b) Directive 2011/83/EU)","(Art. 9, par. 2, lett. b) Direttiva 2011/83/UE)"
"Start withdrawal","Avvia recesso"
"Your withdrawal requests","Le tue richieste di recesso"
"Submitted %1","Inviata %1"
"Show items","Mostra articoli"
"Cancel withdrawal","Annulla recesso"
"Qty %1","Q.tà %1"
"Receipt details","Dettagli della ricevuta"
"Receipt number","Numero di ricevuta"
"Order number","Numero d'ordine"
"Consumer","Consumatore"
"Refund total","Rimborso totale"
"Merchant","Venditore"
"Legal basis","Base legale"
"SKU %1","SKU %1"
"Shipping refund","Rimborso spedizione"
"Tax refund","Rimborso imposte"
"Total refund","Rimborso totale"
"Digital content — Art. 16(m) notice","Contenuto digitale — Avviso art. 16(m)"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Effettuando l'ordine hai accettato l'inizio dell'esecuzione del contenuto digitale prima della fine del periodo di recesso e riconosciuto che, una volta iniziata l'esecuzione, il diritto di recesso non si applica più. Questo avviso ti viene mostrato a titolo di documentazione."
"Existing withdrawals for this order","Recessi esistenti per questo ordine"
"You can cancel a withdrawal here until it is approved.","Puoi annullare un recesso qui fino a quando non viene approvato."
"Request #%1","Richiesta #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Rimborso stimato: %1 %2"
"Cancel this withdrawal","Annulla questo recesso"
"Are you sure? This cannot be undone.","Sei sicuro? Questa azione non può essere annullata."
"Yes, cancel","Sì, annulla"
"Keep it","Mantieni"
"Select items to return","Seleziona articoli da restituire"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Scegli tutti gli articoli o solo alcuni di essi. Imposta la quantità di reso per ogni articolo da cui vuoi recedere."
"You have 14 days from the day you received your order to withdraw from the contract without giving a reason.","Hai 14 giorni dal giorno in cui hai ricevuto il tuo ordine per recedere dal contratto senza fornire alcuna motivazione."
"Back to order search","Torna alla ricerca ordini"
"Cancel","Annulla"
"Continue to review","Continua alla revisione"
"Review and confirm","Rivedi e conferma"
"Order #%1","Ordine #%1"
"Placed on %1","Effettuato il %1"
"Awaiting delivery","In attesa di consegna"
"Delivered on %1","Consegnato il %1"
"Total","Totale"
"Return shipping","Spedizione di reso"
"View return policy","Vedi politica di reso"
"Refund method","Metodo di rimborso"
"Refund will be issued to your original payment method.","Il rimborso sarà effettuato sul tuo metodo di pagamento originale."
"Return summary","Riepilogo reso"
"Shipping & Handling","Spedizione e gestione"
"Tax","Imposte"
"Back to items","Torna agli articoli"
"Submit return request","Invia richiesta di reso"
"Your return request has been submitted!","La tua richiesta di reso è stata inviata!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","Ti abbiamo inviato un'e-mail di notifica con i dettagli del reso e un'etichetta di reso prepagata (se applicabile). Hai 14 giorni dalla data di consegna per rispedire gli articoli."
"Return request number","Numero richiesta di reso"
"Copy request number","Copia numero richiesta"
"Copied!","Copiato!"
"Confirmation email sent","E-mail di conferma inviata"
"We've sent the details to","Abbiamo inviato i dettagli a"
"What happens next?","Cosa succede ora?"
"Pack your items securely","Imballa gli articoli con cura"
"Send them back using the provided instructions","Rispediscili seguendo le istruzioni fornite"
"We'll inspect your return","Ispezioneremo il tuo reso"
"Your refund will be issued to your original payment method","Il tuo rimborso sarà accreditato sul metodo di pagamento originale"
"Need more help?","Hai bisogno di altro aiuto?"
"View my returns","Visualizza i miei resi"
"Contact support","Contatta il supporto"
"Purchased","Acquistati"
"Returned","Restituiti"
"Decrease quantity","Diminuisci quantità"
"Increase quantity","Aumenta quantità"
"Is the hygiene seal still intact?","Il sigillo igienico è ancora intatto?"
"Is the original software / media seal still intact?","Il sigillo originale del software/supporto è ancora intatto?"
"Yes — it's still sealed","Sì — è ancora sigillato"
"Refund possible — return the unopened package.","Rimborso possibile — restituisci il pacco non aperto."
"No — I've opened it","No — l'ho aperto"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Questo articolo non può essere restituito (art. 16, lett. e) Direttiva 2011/83/UE)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Questo articolo non può essere restituito (art. 16, lett. i) Direttiva 2011/83/UE)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Una volta confermato che il sigillo è rotto, questo articolo viene escluso dalla richiesta di recesso e la quantità sarà azzerata."
"Reason for return (optional)","Motivo del reso (facoltativo)"
"Tell us more (optional, max 500 chars)","Dicci di più (facoltativo, max 500 caratteri)"
"Already returned.","Già restituito."
"awaiting admin review","in attesa di revisione amministrativa"
"awaiting confirmation","in attesa di conferma"
"Request %1 %2 (%3 item%4).","Richiesta %1 %2 (%3 articolo%4)."
"Return request awaiting review.","Richiesta di reso in attesa di revisione."
"Cancel request","Annulla richiesta"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","Ai sensi del diritto dei consumatori UE, puoi recedere dalla maggior parte dei contratti entro 14 giorni senza fornire alcuna motivazione."
"Read your full pre-contract rights (Art. 6)","Leggi i tuoi diritti precontrattuali completi (art. 6)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","Ai sensi dell'art. 6 della Direttiva 2011/83/UE (come modificata dalla Direttiva (UE) 2023/2673), prima dell'invio dell'ordine il venditore ti ha informato — o ha messo a disposizione — le seguenti informazioni:"
"The main characteristics of the goods or services.","Le caratteristiche principali dei beni o servizi."
"The identity and contact details of the trader.","L'identità e i dati di contatto del professionista."
"The total price including all taxes and any delivery costs.","Il prezzo totale comprensivo di tutte le imposte e di eventuali spese di spedizione."
"The arrangements for payment, delivery and performance, and complaint-handling.","Le modalità di pagamento, consegna ed esecuzione, e di trattamento dei reclami."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Il tuo diritto di recesso: ai sensi dell'art. 9 hai 14 giorni per recedere da questo contratto a distanza senza fornire alcuna motivazione. Per i beni materiali, il periodo di 14 giorni decorre dal giorno in cui tu (o un terzo da te designato) acquisisci il possesso fisico dei beni. Per i servizi e i contenuti digitali si applicano date di decorrenza diverse (art. 9, par. 2, lett. a)/c))."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Eccezioni: il diritto non si applica a determinati beni e servizi elencati nell'art. 16 (ad es., beni confezionati su misura, articoli igienici sigillati una volta rotto il sigillo, contenuti digitali la cui esecuzione è iniziata con il tuo previo consenso espresso e con la presa d'atto della perdita del diritto di recesso)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","La garanzia legale di conformità dei beni si applica ai sensi dell'art. 5 della Direttiva 2019/771, in aggiunta al diritto di recesso."
"Delivery: %1","Consegna: %1"
"Total paid","Totale pagato"
"Pick an order to withdraw from","Scegli un ordine da cui recedere"
"Select a recent order to start your withdrawal.","Seleziona un ordine recente per avviare il tuo recesso."
"Select","Seleziona"
"Withdrawal progress","Avanzamento del recesso"
"title","titolo"
"subtitle","sottotitolo"
"Items to return","Articoli da restituire"
"0 items","0 articoli"
"Refund summary","Riepilogo rimborso"
"No items in this order are currently eligible for withdrawal.","Nessun articolo di questo ordine è attualmente idoneo al recesso."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Ogni riga è già in elaborazione, in attesa di conferma o è stata interamente oggetto di recesso. Controlla la sezione delle richieste esistenti qui sopra per lo stato o per annullare."
"No items selected yet. Use the + button next to an item to add it to your return.","Nessun articolo selezionato. Usa il pulsante + accanto a un articolo per aggiungerlo al tuo reso."
"Find your order","Trova il tuo ordine"
"Enter the details you used during checkout to start a return or withdrawal.","Inserisci i dati utilizzati al momento del pagamento per avviare un reso o un recesso."
"We could not find an order matching that email. Double-check your order number and email address.","Non abbiamo trovato un ordine corrispondente a questa e-mail. Verifica il numero d'ordine e l'indirizzo e-mail."
"e.g. 12345","es. 12345"
"You can find this in your order confirmation email.","Puoi trovarlo nell'email di conferma dell'ordine."
"Email address","Indirizzo email"
"you@example.com","you@example.com"
"Must match the email used for the order.","Deve corrispondere all'email utilizzata per l'ordine."
"Find my order","Trova il mio ordine"
"You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason.","Hai il diritto di recedere dall'acquisto entro 14 giorni dalla ricezione dell'ordine, senza fornire alcuna motivazione."
"Need help finding your order?","Hai bisogno di aiuto per trovare il tuo ordine?"
"Select an order","Seleziona un ordine"
"Choose an order from your history to start a return or withdrawal.","Scegli un ordine dalla cronologia per avviare un reso o un recesso."
"You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order.","Non hai ordini idonei al recesso. La finestra di recesso di 14 giorni decorre dal giorno della ricezione dell'ordine."
"View all my orders","Visualizza tutti i miei ordini"
"items","articoli"
"Select order","Seleziona ordine"
"No recent withdrawal","Nessun recesso recente"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","Non abbiamo trovato un recesso recente in questa sessione. Se ne hai appena inviato uno, controlla la tua casella di posta per l'e-mail di conferma."
"Start a new withdrawal","Avvia un nuovo recesso"
"Withdrawal #%1 submitted","Recesso #%1 inviato"
"Related order:","Ordine correlato:"
"Items","Articoli"
"Items included in this withdrawal","Articoli inclusi in questo recesso"
"Line Total","Totale riga"
"What happens next","Cosa succede ora"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","Riceverai un'e-mail di ricevuta con la dichiarazione completa di recesso e l'hash di integrità entro pochi minuti."
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","La finestra di 14 giorni di cui all'art. 9 della direttiva sui diritti dei consumatori è fissata al momento in cui hai confermato il recesso — non è richiesta alcuna altra azione da parte tua per preservare il diritto."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","Il rimborso finale viene determinato dopo la ricezione degli articoli restituiti (art. 14, par. 2) ed è accreditato sul metodo di pagamento originale. I fondi sono previsti entro 14 giorni dalla ricezione."
"Back to Withdrawals","Torna ai recessi"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Conferma di rinuncia al contenuto digitale — Ordine %increment_id"
"Sehr geehrte/r %name,","Gentile %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Questa è la conferma su supporto durevole del tuo consenso espresso all'avvio dell'esecuzione dei seguenti contenuti digitali, nonché della tua presa d'atto che, così facendo, perdi il diritto di recesso (art. 16, lett. m) della Direttiva sui diritti dei consumatori)."
"Durch den Verzicht abgedeckte digitale Inhalte","Contenuti digitali coperti dalla rinuncia"
"Ihre ausdrückliche Einwilligung","Il tuo consenso espresso"
"Eingewilligt am:","Acconsentito il:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","La tua presa d'atto della perdita del diritto di recesso"
"Bestätigt am:","Confermato il:"
"Verzichtsreferenz:","Riferimento della rinuncia:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Base legale: art. 16, lett. m) della Direttiva 2011/83/UE sui diritti dei consumatori."
"Digital content waiver confirmation — Order %1","Conferma di rinuncia al contenuto digitale — Ordine %1"
"Dear %name,","Gentile %name,"
