"View Credit Memo","Visualizza nota di credito"
"5. Cancellation Email (Customer Self-Cancel)","5. E-mail di annullamento (avviato dal cliente)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. E-mail di ricevuta (supporto durevole — art. 11 bis, par. 4)"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Conferma su supporto durevole obbligatoria per legge. Non può essere completamente disabilitata (art. 11 bis, par. 4 Direttiva 2011/83/UE). La disabilitazione qui interrompe solo l'invio — la ricevuta viene comunque generata e archiviata."
"Send Email","Invia e-mail"
"Comma-separated.","Separati da virgole."
"Delivery Retry Attempts","Tentativi di riconsegna"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","Destinatario degli avvisi DLQ"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Riceve la notifica quando una ricevuta fallisce in modo permanente. Ricade su Store Email Addresses → General Contact."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. E-mail di conferma della rinuncia al contenuto digitale (art. 11 bis, par. 4)"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Copia su supporto durevole della rinuncia del cliente ai sensi dell'art. 16, lett. m), inviata immediatamente dopo il checkout quando un articolo digitale è nel carrello. Richiesta dall'art. 11 bis, par. 4 della Direttiva 2011/83/UE — conserva una traccia a prova di manomissione del testo legale accettato dal cliente, oltre all'hash SHA-256 per la verifica della catena di hash."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Separati da virgole. Riceve una copia di ogni conferma a fini di audit."
"Branding (Shared by All Emails Above)","Identità visiva (condivisa da tutte le e-mail sopra)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Decorazione facoltativa delle e-mail rivolte al cliente. I campi vuoti nascondono le rispettive righe. Wordmark del brand, logo, e-mail di supporto e indirizzo dello store vengono letti dall'albero di configurazione standard di Magento (Stores → Configuration → General + Design → Transactional Emails)."
"USP Strip — Item 1","Striscia USP — elemento 1"
"Icon","Icona"
"Title","Titolo"
"Subtitle","Sottotitolo"
"USP Strip — Item 2","Striscia USP — elemento 2"
"USP Strip — Item 3","Striscia USP — elemento 3"
"Social Links","Link social"
"Instagram URL","URL Instagram"
"X / Twitter URL","URL X / Twitter"
"Facebook URL","URL Facebook"
"YouTube URL","URL YouTube"
"Order #","Ordine #"
"Contract","Contratto"
"Submitter","Mittente"
"Withdrawal submitted","Recesso inviato"
"Right of Withdrawal — Required Information","Diritto di recesso — Informazioni obbligatorie"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract.","Prima di effettuare l'ordine, si prega di esaminare le condizioni, il termine e le modalità per esercitare il diritto di recesso di 14 giorni. Queste informazioni costituiscono parte integrante del contratto."
"Conditions, Time Limit and Procedures for Withdrawal","Condizioni, termine e modalità di recesso"
"Start Online Return","Avvia reso online"
"Download Model Withdrawal Form (Annex I(B))","Scarica modulo tipo di recesso (Allegato I(B))"
"Withdrawal Information v%1 — Issued %2","Informazioni sul recesso v%1 — emesso il %2"
"You'll receive a prepaid shipping label in the confirmation email.","Riceverai un'etichetta di spedizione prepagata nell'email di conferma."
"← Back to order search","← Torna alla ricerca dell'ordine"
"← Back to items","← Torna agli articoli"
"Find order","Trova ordine"
"Enter your order number and email","Inserisci numero d'ordine ed email"
"Select items","Seleziona articoli"
"Choose items to return (partial withdrawal)","Scegli gli articoli da restituire (recesso parziale)"
"Review & confirm","Rivedi e conferma"
"Review your return details and confirm","Rivedi i dettagli del reso e conferma"
"Request submitted","Richiesta inviata"
"We'll confirm your request by email","Confermeremo la tua richiesta via email"
"I expressly consent to begin performance of the digital content before the withdrawal period expires.","Acconsento espressamente all'avvio dell'esecuzione del contenuto digitale prima della scadenza del termine di recesso."
"I acknowledge that by giving this consent I lose my right of withdrawal once performance has begun (Art. 16(m) CRD).","Prendo atto che, prestando tale consenso, perdo il diritto di recesso una volta iniziata l'esecuzione (art. 16, lett. m), Direttiva 2011/83/UE)."
"Withdrawals","Recessi"
"Minimum %1 characters required.","Sono richiesti minimo %1 caratteri."
"Failed to add note.","Impossibile aggiungere la nota."
"Network error while adding note.","Errore di rete durante l'aggiunta della nota."
"Exported Evidence","Prova esportata"
"Pending Confirm","In attesa di conferma"
"Sent","Inviato"
"Failed Permanent","Errore permanente"
"Failed Retry","Errore con nuovo tentativo"
"Eligible","Idoneo"
"Excluded","Escluso"
"Action","Azione"
"From","Da"
"To","A"
"Admin Id","ID admin"
"Order Id","ID ordine"
"Request Id","ID richiesta"
"Item Count","Numero articoli"
"Rules Fired","Regole applicate"
"Topic","Argomento"
"Message Id","ID messaggio"
"Email To Hash","Hash email"
"Attempts","Tentativi"
"Viewed At","Visualizzato il"
"Referrer Host","Host referente"
"Optional legal template — not required to use; you can also exercise the right of withdrawal by any unequivocal statement.","Modello legale facoltativo — non obbligatorio; è possibile esercitare il diritto di recesso anche con qualsiasi altra dichiarazione esplicita."
"Right of withdrawal","Diritto di recesso"
"You have 14 days from the day you receive your order to withdraw without giving any reason — full refund to your original payment method.","Hai 14 giorni dalla ricezione dell'ordine per recedere senza dover fornire alcuna motivazione — rimborso integrale sul tuo metodo di pagamento originale."
"Some items may be excluded by law (perishable goods, custom-made items, sealed hygiene or audio/video products). We'll show you exactly what's eligible on the next page.","Alcuni articoli possono essere esclusi per legge (beni deperibili, articoli su misura, prodotti igienici o audio/video sigillati). Ti mostreremo esattamente ciò che è idoneo nella pagina successiva."
"Direct link — no login or account password required.","Link diretto — nessun login o password dell'account richiesto."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those."
"Customer-facing UX for the withdrawal flow. Subgroups: <em>Buttons</em> (legal-critical labels), <em>Placements</em> (where to surface the link), <em>Return Reasons</em> (per-item dropdown), <em>Review Step</em> (content on step 3 of the flow).","UX rivolta al cliente per il flusso di recesso. Sottogruppi: <em>Pulsanti</em> (etichette di rilevanza giuridica), <em>Posizionamenti</em> (dove mostrare il collegamento), <em>Motivi di reso</em> (menu a discesa per articolo), <em>Fase di revisione</em> (contenuto della fase 3 del flusso)."
"Disable only if you deliver the durable-medium confirmation through a different channel.","Disabilita solo se consegni la conferma su supporto durevole tramite un altro canale."
"Disable only if you deliver the receipt through a different durable medium (postal mail, customer account download, etc.).","Disabilita solo se consegni la ricevuta tramite un altro supporto durevole (posta, download nell'account cliente, ecc.)."
"Empty fields fall through to the locale baseline. Any override value becomes part of the SHA-256 hash stored per consent event — changing a field after customers have consented does <strong>not</strong> retroactively invalidate prior consents.","I campi vuoti ripiegano sulla base di the locale baseline per la lingua/giurisdizione. Qualsiasi valore di override diventa parte dell'hash SHA-256 archiviato per ogni evento di consenso — modificare un campo dopo che i clienti hanno prestato il consenso <strong>non</strong> invalida retroattivamente i consensi precedenti."
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Informativa precontrattuale obbligatoria sul diritto di recesso. Visualizzata nel passaggio di pagamento del checkout. Ogni visualizzazione è registrata in modo forense (difesa ex art. 10). Lo snapshot del testo renderizzato viene archiviato in modo immutabile (art. 6, par. 5). <strong>Si consiglia revisione legale prima di personalizzare qualunque testo dell'Allegato I.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Off = blocco nascosto ma gli eventi di visualizzazione vengono comunque registrati lato server tramite fallback predispatch. Usare solo per test in sandbox. Predefinito: on."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","URL opzionali rese come badge monogramma rotondi nel piè di pagina dell'e-mail. Lascia vuoto per nasconderle."
"Sent when a customer cancels their own pending withdrawal.","Inviato quando un cliente annulla il proprio recesso in sospeso."
"Sent when a customer completes the withdrawal form.","Inviato quando un cliente completa il modulo di recesso."
"Sent when an admin approves a withdrawal request.","Inviato quando un amministratore approva una richiesta di recesso."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Inviato quando un amministratore annulla una richiesta di recesso per conto del cliente."
"Sent when an admin denies a withdrawal request.","Inviato quando un amministratore rifiuta una richiesta di recesso."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Questi preset escludono specifiche categorie di prodotto dal diritto di recesso di 14 giorni, ai sensi dell'art. 16 CRD. Ogni regola è DISATTIVATA per impostazione predefinita — attivala solo dopo aver verificato che il corrispondente attributo del prodotto sia impostato correttamente nel catalogo."
"e.g. ""EU orders above €50""","ad es. ""Ordini UE oltre 50 €"""
"e.g. ""Free delivery""","ad es. ""Spedizione gratuita"""
"Qty: ","Qtà: "
"Submission failed. Please try again.","Invio non riuscito. Riprova."
"Network error. Please try again.","Errore di rete. Riprova."
"Invalid server response.","Risposta del server non valida."
"Admin Notifications","Notifiche amministratore"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Avvisi interni per il tuo team. Indipendenti dalle caselle <em>CCN al commerciante</em> in <em>Notifiche cliente</em> qui sotto — se attivi entrambi, riceverai due e-mail per richiesta."
"1. New Request Alert","1. Avviso di nuova richiesta"
"Sent the moment a customer completes the two-step withdrawal flow.","Inviato nel momento in cui un cliente completa il flusso di recesso in due passaggi."
"Recipient Email(s)","E-mail destinatario"
"BCC","CCN"
"New Withdrawal Request","Nuova richiesta di recesso"
"A new withdrawal request was just submitted.","È stata appena inviata una nuova richiesta di recesso."
"Request:","Richiesta:"
"Order:","Ordine:"
"Customer:","Cliente:"
"Refund Total:","Rimborso totale:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Recesso] Nuova richiesta %request_increment_id · Ordine #%order_increment_id · %refund_total"
"Anonymised","Anonimizzato"
"Audit","Audit"
"Cancel Order","Annulla ordine"
"Confirmation Email (Art. 11a(4))","E-mail di conferma (Art. 11 bis(4))"
"Detection (Art. 16(m))","Rilevamento (Art. 16(m))"
"Digital Waiver (Art. 16(m))","Rinuncia digitale (Art. 16(m))"
"Email Identity","Identità del mittente"
"ID","ID"
"Integrity hash","Hash di integrità"
"Pre-Contract Proof","Prova precontrattuale"
"Verify this receipt","Verifica questa ricevuta"
"Withdrawal Window","Termine di recesso"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Questo hash SHA-256 identifica in modo univoco la tua registrazione di recesso. Puoi verificarlo in qualsiasi momento con il pulsante sopra."
"Digital content waiver confirmation — Order %increment_id","Conferma di rinuncia al contenuto digitale — Ordine %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Separati da virgola. Ogni destinatario riceve un'e-mail separata renderizzata nella propria locale amministrativa (cercata tramite interface_locale dell'utente admin; fallback — general/locale/code). Gli indirizzi non validi vengono scartati silenziosamente."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Rilevamento di contenuto digitale ai sensi dell'Art. 16(m) della direttiva sui diritti dei consumatori. Determina cosa conta come contenuto digitale ai fini dell'idoneità. L'interfaccia di rinuncia al checkout e l'e-mail si trovano nella sezione successiva «Rinuncia digitale»."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Esclusione Art. 16(m) della direttiva sui diritti dei consumatori — contenuto digitale dove il cliente ha (1) dato consenso espresso preliminare all'avvio dell'esecuzione e (2) riconosciuto la perdita del diritto di recesso. Due interruttori controllano la funzionalità: il sottogruppo <em>Rilevamento</em> in <em>Regole di idoneità</em> decide cosa conta come digitale (interruttore principale); questa sezione mostra l'UI di rinuncia a 2 caselle al checkout e invia l'e-mail di conferma Art. 11a(4). Entrambi devono essere ATTIVI. Sostituzioni di testo per locale sotto. Usalo solo per <strong>acquisti digitali una tantum</strong> (ebook, installer, file musicali, giochi). <strong>Non</strong> abilitarlo per <strong>abbonamenti o servizi</strong> digitali continui (SaaS, streaming, software in hosting) — la giurisprudenza UE (CJEU Sky, C-641/19) richiede un altro flusso di consenso."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Definisce <strong>quando</strong> inizia il diritto di recesso di 14 giorni (innesco di consegna, Art. 9(2)(b)) e <strong>per quanti</strong> giorni dura (Art. 9(2)). Insieme controllano il periodo in cui il recesso di ogni ordine è aperto."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Predefinito 14 giorni ai sensi dell'Art. 9(2). Estensione consentita (es. 30, 100). La riduzione sotto 14 è illegale — il campo valida solo 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Quando attivo, i carrelli che contengono un elemento digitale rilevato mostrano lo step di rinuncia a 2 caselle al checkout. Non ha effetto a meno che anche <em>Regole di idoneità → Rilevamento → Abilita rilevamento contenuto digitale</em> sia attivo."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Opzionale. Separati da virgola. Invia una copia in CCN dell'e-mail di conferma rinuncia a un indirizzo di audit del commerciante. Lascia vuoto per saltare."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Avvertenza legale.</strong> L'Art. 11a(2) della direttiva sui diritti dei consumatori richiede il testo letterale «recedi dal contratto qui» <em>o una formulazione equivalente inequivocabile</em>. Il valore predefinito («Recedi dal contratto qui») è la frase letterale della Direttiva; Le traduzioni per locale sono firmate da consulenti legali. <strong>Non sovrascrivere a meno che non abbia ricevuto un parere scritto da un avvocato di diritto dei consumatori qualificato nella giurisdizione di destinazione.</strong> Ogni sovrascrittura è registrata nel log di audit."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Avvertenza legale.</strong> Questa è l'etichetta del pulsante di conferma finale. Predefinito («Conferma recesso») è firmato dai consulenti legali; Le traduzioni per locale sono firmate dai consulenti legali. Sovrascrivi solo con parere legale scritto; le sovrascritture sono registrate nel log di audit."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Annullare l'ordine collegato? Non è stato acquisito alcun pagamento, quindi non c'è nulla da rimborsare — l'ordine sarà annullato in Magento."
"Scope & Applicability","Ambito e applicabilità"
"Controls in which markets the self-service withdrawal flow is offered. These are merchant business decisions, not legal exclusions — an EU consumer's statutory right of withdrawal does not depend on them, and declarations received by other means (email, letter) must still be honoured manually.","Controlla in quali mercati viene offerto il flusso di recesso self-service. Sono decisioni commerciali del venditore, non esclusioni legali — il diritto di recesso legale di un consumatore dell'UE non dipende da esse, e i recessi ricevuti con altri mezzi (e-mail, lettera) devono comunque essere gestiti manualmente."
"Restrict by Country","Limita per Paese"
"Offers the self-service withdrawal flow only for orders whose billing <strong>or</strong> shipping address is in the selected countries. <strong>Legal note:</strong> this restricts the storefront flow only — an EU consumer's statutory right of withdrawal does not depend on the address, and withdrawal declarations received by other means (email, letter) must still be honoured manually. Default: disabled.","Offre il flusso di recesso self-service solo per gli ordini il cui indirizzo di fatturazione <strong>o</strong> di spedizione si trova nei Paesi selezionati. <strong>Nota legale:</strong> ciò limita solo il flusso nel negozio — il diritto di recesso legale di un consumatore dell'UE non dipende dall'indirizzo, e i recessi ricevuti con altri mezzi (e-mail, lettera) devono comunque essere gestiti manualmente. Predefinito: disattivato."
"Offer Withdrawal For Countries","Offri il recesso per i Paesi"
"Preselected: EU-27 plus EEA (Norway, Iceland, Liechtenstein). Add the United Kingdom manually if you target UK consumers (separate national regime with a comparable 14-day right). If you clear this list, the restriction has no effect and the flow stays available to every customer.","Preselezionati: UE-27 più SEE (Norvegia, Islanda, Liechtenstein). Aggiungi manualmente il Regno Unito se ti rivolgi a consumatori britannici (regime nazionale distinto con un diritto di 14 giorni comparabile). Se svuoti questo elenco, la restrizione non ha effetto e il processo rimane disponibile per tutti i clienti."
"Restrict by Customer Group","Limita per gruppo di clienti"
"Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled.","Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled."
"Exclude Customer Groups","Escludi gruppi di clienti"
"Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer.","Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer."
"Custom-made to your specifications","Realizzato secondo le tue specifiche"
"Perishable goods","Beni deperibili"
"Sealed hygiene item — seal broken","Articolo igienico sigillato — sigillo rotto"
"Sealed audio/video — seal broken","Audio/video sigillato — sigillo rotto"
"Newspapers, periodicals, magazines","Giornali, periodici, riviste"
"Accommodation / event on specific date","Alloggio / evento in una data specifica"
"Digital content — right waived at purchase","Contenuto digitale — diritto rinunciato all'acquisto"
"Withdrawal period has expired","Il termine di recesso è scaduto"
"Already withdrawn in a prior request","Già recesso in una richiesta precedente"
"A draft withdrawal is holding this item. Confirm it via the email we sent, or cancel it in the 'Existing withdrawals' section above.","Una bozza di recesso trattiene questo articolo. Confermala tramite l'e-mail che ti abbiamo inviato o annullala nella sezione «Recessi esistenti» qui sopra."
"EU withdrawal request %1 was approved.","La richiesta di recesso UE %1 è stata approvata."
"EU withdrawal request %1 was approved. Refund: %2.","La richiesta di recesso UE %1 è stata approvata. Rimborso: %2."
"EU withdrawal request %1 was denied.","La richiesta di recesso UE %1 è stata rifiutata."
"EU withdrawal request %1 was denied. Reason: %2","La richiesta di recesso UE %1 è stata rifiutata. Motivo: %2"
"EU withdrawal request %1 was cancelled by the customer.","La richiesta di recesso UE %1 è stata annullata dal cliente."
"EU withdrawal request %1 was cancelled by an administrator.","La richiesta di recesso UE %1 è stata annullata da un amministratore."
"If Delivery Is Never Confirmed","Se la consegna non viene mai confermata"
"When an order is already in a Delivery Confirmation Status but has no recorded transition into it (no delivery timestamp), choose whether its withdrawal stays open or it is treated as not eligible. Default: not eligible.","Quando un ordine ha già uno stato di conferma della consegna ma non vi è alcuna transizione registrata verso di esso (nessuna data di consegna), scegli se il recesso resta aperto o viene considerato non idoneo. Predefinito: non idoneo."
"Statuses Excluded From Withdrawal","Stati esclusi dal recesso"
"Orders whose current status is selected here are never offered for withdrawal (e.g. a legacy migration status such as <code>imported</code>). Do not select a status used by active, deliverable orders — that withholds a valid withdrawal.","Gli ordini il cui stato attuale è selezionato qui non vengono mai proposti per il recesso (ad es. uno stato di migrazione come <code>imported</code>). Non selezionare uno stato usato da ordini attivi e consegnabili — ciò negherebbe un recesso valido."
"Treat as not eligible","Considera non idoneo"
"Keep withdrawal open","Mantieni il recesso aperto"
"Withdrawal not available for this order","Recesso non disponibile per questo ordine"
"This order is not eligible for withdrawal.","Questo ordine non è idoneo al recesso."
"EU withdrawal request %1 submitted.","La richiesta di recesso UE %1 è stata inviata."
"EU withdrawal request %1 submitted. Requested refund: %2.","La richiesta di recesso UE %1 è stata inviata. Rimborso richiesto: %2."
"Show more orders","Mostra altri ordini"
"Item Selection","Selezione degli articoli"
"Per item (customer selects items and quantities)","Per articolo (il cliente seleziona articoli e quantità)"
"Full order (all returnable items, no selection)","Ordine completo (tutti gli articoli recedibili, senza selezione)"
"<em>Per item</em>: the customer chooses lines and quantities. <em>Full order</em>: the request always covers all returnable items; items excluded by law (opened seal, expired period) are still removed automatically, and the form shows a note that partial returns can be requested via your contact page.<br/><strong>⚠ Legal warning.</strong> The explanatory materials to the German implementation law expect the withdrawal function to support selecting parts of the order. Consult your counsel before switching to Full order.","<em>Per articolo</em>: il cliente sceglie le righe e le quantità. <em>Ordine completo</em>: la richiesta riguarda sempre tutti gli articoli recedibili; gli articoli esclusi per legge (sigillo aperto, periodo scaduto) vengono comunque rimossi automaticamente e il modulo mostra una nota indicante che i recessi parziali possono essere richiesti tramite la vostra pagina di contatto.<br/><strong>⚠ Avvertenza legale.</strong> I materiali esplicativi della legge tedesca di attuazione prevedono che la funzione di recesso consenta la selezione di parti dell'ordine. Consultate il vostro legale prima di passare all'Ordine completo."
"This request covers all returnable items of the order.","Questa richiesta riguarda tutti gli articoli recedibili dell'ordine."
"Contact us for a partial return.","Contattateci per un recesso parziale."
"Review the items included in your return.","Verificate gli articoli inclusi nel vostro recesso."
"Review the items to return","Verificate gli articoli da restituire"
"Self-service withdrawal is not available for this order.","Il recesso self-service non è disponibile per questo ordine."
