"View Credit Memo","Peržiūrėti kreditinį dokumentą"
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","14 dienų laikotarpis pagal Direktyvos 2011/83/ES 9 straipsnį užfiksuotas atsisakymo patvirtinimo momentu — daugiau nieko daryti nereikia, kad išsaugotumėte šią teisę."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","Galutinė grąžinama suma nustatoma gavus grąžintas prekes (14 straipsnio 2 dalis) ir grąžinama į pradinį mokėjimo būdą. Lėšų tikėtis per 14 dienų nuo gavimo."
"Back to Withdrawals","Atgal į atsisakymus"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Skaitmeninio turinio atsisakymo patvirtinimas — Užsakymas %increment_id"
"Sehr geehrte/r %name,","Gerb. %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Tai yra patvirtinimas patvariojoje laikmenoje apie jūsų aiškų sutikimą pradėti toliau nurodyto skaitmeninio turinio teikimą ir jūsų patvirtinimą, kad dėl to prarandate atsisakymo teisę (Direktyvos 2011/83/ES 16 str. m punktas)."
"Durch den Verzicht abgedeckte digitale Inhalte","Atsisakymu apimtas skaitmeninis turinys"
"Ihre ausdrückliche Einwilligung","Jūsų aiškus sutikimas"
"Eingewilligt am:","Sutikimo data:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Jūsų patvirtinimas dėl atsisakymo teisės praradimo"
"Bestätigt am:","Patvirtinimo data:"
"Verzichtsreferenz:","Atsisakymo nuoroda:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Teisinis pagrindas: Vartotojų teisių direktyvos 2011/83/ES 16 straipsnio m punktas."
"Digital content waiver confirmation — Order %1","Skaitmeninio turinio atsisakymo patvirtinimas — Užsakymas %1"
"Dear %name,","Gerb. %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Tai yra patvarus jūsų aiškaus sutikimo pradėti toliau nurodytų skaitmeninių prekių teikimą patvirtinimas ir jūsų patvirtinimas, kad tokiu būdu prarandate atsisakymo teisę (Direktyvos 2011/83/ES 16 str. m punktas)."
"Digital items covered by this waiver","Šiuo atsisakymu apimtos skaitmeninės prekės"
"Your express consent","Tavo aiškus sutikimas"
"Consented at:","Sutikimo data:"
"Your acknowledgment of loss of withdrawal right","Tavo patvirtinimas dėl atsisakymo teisės praradimo"
"Acknowledged at:","Patvirtinimo data:"
"Waiver reference:","Atsisakymo nuoroda:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Teisinis pagrindas: Vartotojų teisių direktyvos 2011/83/ES 16 straipsnio m punktas."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Skaitmeninio turinio atsisakymo patvirtinimas — Užsakymas %increment_id"
"Hyvä %name,","Gerb. %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Tai yra patvariojoje laikmenoje pateiktas patvirtinimas apie jūsų aiškų sutikimą pradėti toliau nurodyto skaitmeninio turinio teikimą ir jūsų patvirtinimą, kad prarandate atsisakymo teisę (Direktyvos 2011/83/ES 16 str. m punktas)."
"Luopumisen kattamat digitaaliset sisällöt","Atsisakymu apimtas skaitmeninis turinys"
"Nimenomainen suostumuksesi","Jūsų aiškus sutikimas"
"Suostuttu:","Sutikimo data:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Jūsų patvirtinimas dėl atsisakymo teisės praradimo"
"Vahvistettu:","Patvirtinimo data:"
"Luopumisen viite:","Atsisakymo nuoroda:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Teisinis pagrindas: Vartotojų teisių direktyvos 2011/83/ES 16 straipsnio m punktas."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Skaitmeninio turinio atsisakymo patvirtinimas — Užsakymas %increment_id"
"Cher/Chère %name,","Gerb. %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Tai yra patvariojoje laikmenoje pateiktas jūsų aiškaus sutikimo pradėti toliau nurodyto skaitmeninio turinio teikimą patvirtinimas ir jūsų patvirtinimas, kad dėl to prarandate atsisakymo teisę (Direktyvos 2011/83/ES 16 str. m punktas)."
"Contenus numériques couverts par la présente renonciation","Atsisakymu apimtas skaitmeninis turinys"
"Votre consentement exprès","Jūsų aiškus sutikimas"
"Consenti le :","Sutikimo data:"
"Votre reconnaissance de la perte du droit de rétractation","Jūsų patvirtinimas dėl atsisakymo teisės praradimo"
"Reconnu le :","Patvirtinimo data:"
"Référence de renonciation :","Atsisakymo nuoroda:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Teisinis pagrindas: Vartotojų teisių direktyvos 2011/83/ES 16 straipsnio m punktas."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Skaitmeninio turinio atsisakymo patvirtinimas — Užsakymas %increment_id"
"Beste %name,","Gerb. %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Tai yra patvariojoje laikmenoje pateiktas patvirtinimas apie jūsų aiškų sutikimą pradėti toliau nurodyto skaitmeninio turinio teikimą ir jūsų patvirtinimą, kad dėl to prarandate atsisakymo teisę (Direktyvos 2011/83/ES 16 str. m punktas)."
"Onder deze afstand vallende digitale items","Atsisakymu apimtos skaitmeninės prekės"
"Uw uitdrukkelijke toestemming","Jūsų aiškus sutikimas"
"Toestemming verleend op:","Sutikimo data:"
"Uw erkenning van verlies van herroepingsrecht","Jūsų patvirtinimas dėl atsisakymo teisės praradimo"
"Erkend op:","Patvirtinimo data:"
"Afstandreferentie:","Atsisakymo nuoroda:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Teisinis pagrindas: Vartotojų teisių direktyvos 2011/83/ES 16 straipsnio m punktas."
"[EU Withdrawal] Receipt send failed — request #%request_id","[EU Withdrawal] Kvito siuntimas nepavyko — prašymas #%request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","Atsisakymo prašymo #%request_id kvito el. laiško išsiųsti visam laikui nepavyko."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Paskutinio klaidos pranešimo ieškokite <code>mm_eu_withdrawal_request.receipt_last_error</code> stulpelyje, o pakartojimų skaičiaus — <code>mm_eu_withdrawal_request.receipt_send_attempts</code> stulpelyje."
"You can requeue the send from the admin grid after resolving the underlying issue.","Pašalinę esminę problemą siuntimą galite vėl įdėti į eilę iš administratoriaus tinklelio."
"Your refund is on its way — Withdrawal #%1","Tavo grąžinimas pakeliui — Atsisakymas #%1"
"Your refund is on its way","Tavo grąžinimas pakeliui"
"Hi %name, we've approved your withdrawal request and started the refund process.","Sveiki, %name, patvirtinome tavo atsisakymo prašymą ir pradėjome grąžinimo procesą."
"View refund details","Peržiūrėti grąžinimo informaciją"
"Withdrawal number","Atsisakymo numeris"
"Approved on","Patvirtinta"
"Estimated arrival","Numatomas gavimas"
"Status","Būsena"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Pinigai bus grąžinti į tavo pradinį mokėjimo būdą per 5–7 darbo dienas. Pamatysi juos kortelės ar banko sąskaitos išraše, kai jie pasieks tavo sąskaitą."
"Need help?","Reikia pagalbos?"
"Reply to this email or contact us at","Atsakyk į šį laišką arba susisiek su mumis adresu"
"Your withdrawal was cancelled — Withdrawal #%1","Tavo atsisakymas buvo atšauktas — Atsisakymas #%1"
"Your withdrawal was cancelled","Tavo atsisakymas buvo atšauktas"
"Hi %name, we've cancelled your withdrawal request.","Sveiki, %name, atšaukėme tavo atsisakymo prašymą."
"Submit a new request","Pateikti naują prašymą"
"Cancelled request","Atšauktas prašymas"
"Cancelled on","Atšaukta"
"Refund requested","Prašoma grąžinti"
"If this was unexpected, you can submit a new withdrawal request as long as your 14-day window is still open. Reach out if you need help — we're happy to clarify.","Jei tai buvo netikėta, gali pateikti naują atsisakymo prašymą, kol tavo 14 dienų laikotarpis dar galioja. Susisiek su mumis, jei reikia pagalbos — mielai paaiškinsime."
"Cancellation confirmed — Withdrawal #%1","Atšaukimas patvirtintas — Atsisakymas #%1"
"Cancellation confirmed","Atšaukimas patvirtintas"
"Hi %name, your withdrawal request has been cancelled as you asked.","Sveiki, %name, tavo atsisakymo prašymas buvo atšauktas, kaip prašei."
"Back to my orders","Grįžti į mano užsakymus"
"Cancelled by","Atšaukė"
"You","Jūs"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your 14-day window.","Tavo užsakymas lieka aktyvus ir jokių kitų veiksmų nereikia. Jei persigalvosi, gali pradėti naują atsisakymo prašymą bet kada per savo 14 dienų laikotarpį."
"Update on your withdrawal request — Withdrawal #%1","Atnaujinimas dėl tavo atsisakymo prašymo — Atsisakymas #%1"
"We can't process this withdrawal","Negalime apdoroti šio atsisakymo"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Sveiki, %name, peržiūrėjus tavo atsisakymo prašymą negalime jo patvirtinti."
"Request details","Prašymo informacija"
"Reviewed on","Peržiūrėta"
"Decision","Sprendimas"
"Reason from our team","Mūsų komandos paaiškinimas"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Jei norėtum aptarti šį sprendimą, mūsų komanda mielai padės. Atsakyk į šį laišką arba paspausk mygtuką viršuje."
"Your withdrawal request has been submitted — Order #%1","Tavo atsisakymo prašymas pateiktas — Užsakymas #%1"
"Your return request has been submitted","Tavo grąžinimo prašymas pateiktas"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Sveiki, %name, gavome tavo grąžinimo prašymą ir šiuo metu jį peržiūrime. Pranešime, kai patikrinsime grąžinimą ir apdorosime pinigų grąžinimą."
"Return number","Grąžinimo numeris"
"Requested on","Pateikta"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Patikrinsime tavo grąžinimą ir pranešime, kai jis bus patvirtintas. Pinigai grąžinami į pradinį mokėjimo būdą per 5–7 darbo dienas po patvirtinimo."
"If you have any questions, our customer service team is here to help.","Jei turi klausimų, mūsų klientų aptarnavimo komanda mielai padės."
"Visit our help center","Aplankyti mūsų pagalbos centrą"
"If you did not initiate this request, contact us immediately at","Jei šio prašymo neinicijavai tu, nedelsdami susisiek su mumis adresu"
"Withdrawal receipt — Order #%1","Atsisakymo patvirtinimas — Užsakymas #%1"
"Withdrawal receipt","Atsisakymo patvirtinimas"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Sveiki, %name, šis laiškas yra tavo atsisakymo įrodymas patvariojoje laikmenoje pagal Direktyvos 2011/83/ES 11a straipsnį. Išsaugok jį savo įrašuose."
"Submitted on","Pateikta"
"Your %store_name order confirmation","Jūsų %store_name užsakymo patvirtinimas"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Dėkojame už užsakymą iš %store_name."
"Once your package ships we will send you a tracking number.","Kai siunta bus išsiųsta, atsiųsime sekimo numerį."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Užsakymo būseną galite patikrinti <a href=""%account_url"">prisijungę prie savo paskyros</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Jei turite klausimų apie užsakymą, rašykite mums adresu <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","arba skambinkite mums numeriu <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Mūsų darbo laikas: <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Jūsų užsakymas <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Pateiktas <span class=""no-link"">%created_at</span>"
"Billing Info","Atsiskaitymo informacija"
"Shipping Info","Pristatymo informacija"
"Payment Method","Mokėjimo būdas"
"Shipping Method","Pristatymo būdas"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Kai siunta bus išsiųsta, atsiųsime el. laišką su nuoroda užsakymui sekti."
"Your %store_name order has shipped","Jūsų %store_name užsakymas išsiųstas"
"Your shipping confirmation is below. Thank you again for your business.","Jūsų pristatymo patvirtinimas pateiktas žemiau. Dar kartą dėkojame už pirkimą."
"Your Shipment #%shipment_id for Order #%order_id","Jūsų siunta #%shipment_id užsakymui #%order_id"
"Your digital content waiver is on file","Tavo skaitmeninio turinio atsisakymas užregistruotas"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Sveiki, %name, sutikai dėl neatidėliotino skaitmeninio toliau išvardytų prekių pristatymo — tai yra tavo to sutikimo kopija patvariojoje laikmenoje (Vartotojų teisių direktyvos 11a straipsnio 4 dalis)."
"View order","Peržiūrėti užsakymą"
"Consented at","Sutikimas duotas"
"Acknowledged at","Patvirtinta"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Išsaugok šį laišką kaip savo įrašą patvariojoje laikmenoje. Pardavėjas išsaugojo tavo priimto teisinio teksto SHA-256 maišos kodą:"
"Digital content waiver","Atsisakymas teisės dėl skaitmeninio turinio"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Reikalingas jūsų aiškus sutikimas prieš įsigyjant šį skaitmeninį daiktą — atidžiai perskaitykite abu punktus."
"We log this consent with your IP and timestamp for our audit record.","Šį sutikimą registruojame su jūsų IP adresu ir laiko žyma audito apskaitai."
"Continue","Tęsti"
"Waiver could not be saved. Please retry.","Atsisakymo išsaugoti nepavyko. Bandykite dar kartą."
"Enable for EU Withdrawal Lookup Form","Įjungti ES atsisakymo paieškos formai"
"MageMe Extensions","MageMe plėtiniai"
"EU Withdrawal","ES atsisakymo teisė"
"General","Bendra"
"Enable Module","Įjungti modulį"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Aktyvina vartotojo sąsajos ir cron užduotis. Numatytoji reikšmė: išjungta. Prieš įjungdami atlikite rankinio diegimo kontrolinį sąrašą."
"Request Number Prefix","Užklausos numerio priešdėlis"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Neprivalomas priešdėlis, pridedamas prie atsisakymo prašymo numerio kliento sąsajoje (pvz., „RR-“ rodomas kaip „RR-000000022“). Palikite tuščią, kad būtų rodomas vien tik užpildytas numeris."
"Default Contract Type","Numatytasis sutarties tipas"
"Frontend Route","Vartotojo sąsajos maršrutas"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","URL priešdėlis, naudojamas kliento atsisakymo srautui (pvz., <code>withdraw-contract</code> rodomas kaip <code>/withdraw-contract/...</code>). Tik mažosios raidės, skaitmenys, brūkšniai ir pabraukimai."
"Withdrawal Period","Atsisakymo laikotarpis"
"Delivery Confirmation Statuses","Pristatymo patvirtinimo būsenos"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Pasirinkite vieną ar kelias užsakymo būsenas, į kurias <em>perėjimas</em> jūsų vykdymo procese reiškia, kad klientas gavo prekes. 14 dienų atsisakymo laikotarpis pradedamas skaičiuoti nuo užsakymo <em>ankstyviausio</em> perėjimo į <em>bet kurią</em> iš pasirinktų būsenų laiko žymos (Direktyvos 2011/83/ES 9 str. 2 d. b punktas). Daugkartinis pasirinkimas tinka prekybininkams, naudojantiems kelias „pristatyta“ tipo būsenas (pvz., <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Kol užsakymas nepasiekia nė vienos iš jų, atsisakymo teisė galioja be nustatyto termino."
"Eligibility Rules (Art. 16 CRD Presets)","Tinkamumo taisyklės (16 str. CRD šablonai)"
"Art. 16(c) Custom-Made Goods","16(c) str. Pagal užsakymą pagamintos prekės"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Neįtraukia prekių, pagamintų pagal kliento specifikacijas arba aiškiai suasmenintų (pvz., graviruotų papuošalų, pagal individualius matavimus pagamintos aprangos). <strong>Reikalauja</strong> prekės atributo <code>is_custom_made = true</code>. Įjungus, užsakymų, kuriuose yra tokių prekių, atsisakyti negalima — klientai tai pamatys bandydami pradėti atsisakymą."
"Art. 16(d) Perishable Goods","16(d) str. Greitai gendančios prekės"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Neįtraukia prekių, kurios gali greitai sugesti arba pasibaigti jų galiojimas (švieži maisto produktai, skintos gėlės, trumpo galiojimo vaistai). <strong>Reikalauja</strong> prekės atributo <code>is_perishable = true</code>. Neįjunkite visoms kategorijoms — taikykite tik iš tikrųjų greitai gendančioms SKU, kitaip neteisėtai atmesite galiojančius atsisakymus."
"Art. 16(e) Sealed Hygiene / Health","16(e) str. Užplombuoti higienos / sveikatos gaminiai"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Neįtraukia užplombuotų higienos ar sveikatos prekių <strong>tik tuomet, jei plomba pažeista po pristatymo</strong> (kosmetika, intymus drabužiai, užplombuoti medicininiai gaminiai). <strong>Reikalauja</strong> prekės atributo <code>is_sealed_hygiene = true</code>. Neįtraukimas priklauso nuo plombos patikros atsisakymo metu (darbo eiga 04 etape) — užplombuota, neatidaryta grąžinama prekė lieka tinkama."
"Art. 16(i) Sealed Audio / Video / Software","16(i) str. Užplombuoti garso / vaizdo / programinės įrangos gaminiai"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Neįtraukia užplombuotų garso, vaizdo įrašų ar užplombuotos kompiuterių programinės įrangos <strong>tik tuomet, jei plomba pažeista po pristatymo</strong>. <strong>Reikalauja</strong> prekės atributo <code>is_sealed_av = true</code>. Ta pati plombos patikros logika kaip 16 str. e punkte. Netaikoma srautinio perdavimo / skaitmeninio atsisiuntimo turiniui — tam naudokite 16 str. m punktą."
"Digital Content (Art. 16(m))","Skaitmeninis turinys (16(m) str.)"
"Detection","Aptikimas"
"Enable Digital Content Detection","Įjungti skaitmeninio turinio aptikimą"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Pagrindinis 16 str. m punkto skaitmeninio turinio aptikimo jungiklis. Kai išjungta, jokia prekė nelaikoma skaitmenine, apmokėjimo metu nereikia atsisakymo žingsnio, o šablonas visada leidžia atsisakyti."
"Detection Strategies","Aptikimo strategijos"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Kurios prekės tipo euristikos sukelia skaitmeninio turinio atsisakymo barjerą. Atsisiunčiamosios ir virtualios — saugūs numatytieji nustatymai; bundle_contains_digital tikrina komplekto vaikus; custom_attribute nuskaito žemiau sukonfigūruotą EAV žymą."
"Custom Attribute Code","Pasirinktinio atributo kodas"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","EAV atributo kodas, naudojamas <strong>tik</strong> tada, kai aukščiau <em>Aptikimo strategijose</em> pasirinkta <em>Pasirinktinio atributo žyma</em>. Numatytoji reikšmė: <code>is_digital_content</code> (loginis atributas, 1 = skaitmeninis). Kitu atveju ignoruojama."
"Checkout Step + Email","Apmokėjimo žingsnis + el. laiškas"
"Enable Checkout Waiver Step","Įjungti sutikimo žingsnį apmokėjimo metu"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Kai įjungta, krepšeliuose, kuriuose aptikta skaitmeninė prekė, apmokėjimo metu rodomas dviejų žymimųjų laukelių atsisakymo žingsnis. Neveikia, jei taip pat neįjungta <em>Aptikimas → Įjungti skaitmeninio turinio aptikimą</em>."
"Merchant BCC Address for Confirmation Emails","Prekybininko slaptos kopijos adresas patvirtinimo el. laiškams"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Neprivaloma. Persiunčia atsisakymo patvirtinimo el. laišką slapta kopija į prekybininko audito adresą. Palikite tuščią, kad praleistumėte."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Patvirtinant pažymėti tik virtualias prekes kaip pradėtas vykdyti"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Virtualios prekės neturi atsisiuntimo trigerio. Kai įjungta, atsisakymo patvirtinimo el. laiško išsiuntimas laikomas vykdymo pradžia tik virtualioms prekėms (I-6 riba)."
"Confirmation Email Identity","Patvirtinimo el. laiško siuntėjas"
"Per-Locale Waiver Text Overrides","Sutikimo teksto perrašymai pagal kalbą"
"English (en_US)","Anglų (en_US)"
"Consent Text","Sutikimo tekstas"
"Right-Loss Acknowledgment Text","Teisės praradimo patvirtinimo tekstas"
"German (de_DE)","Vokiečių (de_DE)"
"Finnish (fi_FI)","Suomių (fi_FI)"
"Dutch (nl_NL)","Olandų (nl_NL)"
"French (fr_FR)","Prancūzų (fr_FR)"
"Italian (it_IT)","Italų (it_IT)"
"Spanish (es_ES)","Ispanų (es_ES)"
"Polish (pl_PL)","Lenkų (pl_PL)"
"Portuguese (pt_PT)","Portugalų (pt_PT)"
"Danish (da_DK)","Danų (da_DK)"
"Swedish (sv_SE)","Švedų (sv_SE)"
"German — Austria (de_AT)","Vokiečių — Austrija (de_AT)"
"Swedish — Finland (sv_FI)","Švedų — Suomija (sv_FI)"
"Dutch — Belgium (nl_BE)","Olandų — Belgija (nl_BE)"
"French — Belgium (fr_BE)","Prancūzų — Belgija (fr_BE)"
"German — Belgium (de_BE)","Vokiečių — Belgija (de_BE)"
"French — Luxembourg (fr_LU)","Prancūzų — Liuksemburgas (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Ikisutartinė informacija (6(1)(h) str.)"
"Enable Pre-Contract Disclosure","Įjungti ikisutartinę informaciją"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Pagrindinis išjungimo jungiklis. Išjungta = blokas neatvaizduojamas ir rodymo įvykiai neregistruojami. Išjungimas prekybininkui kelia 10 straipsnio riziką (12 mėnesių + 14 dienų pratęstas atsisakymo laikotarpis). Numatytoji reikšmė: įjungta."
"Withdrawal Period (Days)","Atsisakymo laikotarpis (dienomis)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Numatytoji reikšmė — 14 dienų pagal 9 straipsnio 2 dalį. Pratęsimas leidžiamas (pvz., 30, 100). Sumažinimas mažiau nei 14 dienų yra neteisėtas — laukas tikrina >=14 tik kai modulis įjungtas."
"Return Address","Grąžinimo adresas"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Kur vartotojai siunčia prekes atgal. Palikite tuščią, kad būtų naudojamas adresas iš Parduotuvės → Konfigūracija → Bendra → Bendra → Parduotuvės informacija."
"Display In Checkout","Rodyti apmokėjimo lange"
"Annex I Overrides Per Locale","I priedo perrašymai pagal kalbą"
"Bulgarian (bg_BG)","Bulgarų (bg_BG)"
"Czech (cs_CZ)","Čekų (cs_CZ)"
"Greek (el_GR)","Graikų (el_GR)"
"Estonian (et_EE)","Estų (et_EE)"
"Croatian (hr_HR)","Kroatų (hr_HR)"
"Hungarian (hu_HU)","Vengrų (hu_HU)"
"Lithuanian (lt_LT)","Lietuvių (lt_LT)"
"Latvian (lv_LV)","Latvių (lv_LV)"
"Romanian (ro_RO)","Rumunų (ro_RO)"
"Slovak (sk_SK)","Slovakų (sk_SK)"
"Slovenian (sl_SI)","Slovėnų (sl_SI)"
"Frontend","Vartotojo sąsaja"
"Buttons","Mygtukai"
"Step 1 Button Label","1 žingsnio mygtuko etiketė"
"Step 2 Button Label (Confirmation)","2 žingsnio mygtuko etiketė (patvirtinimas)"
