"View Credit Memo","Creditnota bekijken"
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Wordt verzonden wanneer een beheerder een herroepingsverzoek namens de klant annuleert."
"Sent when an admin denies a withdrawal request.","Wordt verzonden wanneer een beheerder een herroepingsverzoek weigert."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Deze presets sluiten specifieke productcategorieën uit van het 14-daagse herroepingsrecht volgens Art. 16 Richtlijn consumentenrechten. Elke regel staat standaard UIT — schakel pas in nadat u heeft bevestigd dat het overeenkomstige productattribuut correct is ingesteld in uw catalogus."
"e.g. ""EU orders above €50""","bijv. ""EU-bestellingen boven € 50"""
"e.g. ""Free delivery""","bijv. ""Gratis bezorging"""
"Qty: ","Aantal: "
"Submission failed. Please try again.","Verzenden mislukt. Probeer het opnieuw."
"Network error. Please try again.","Netwerkfout. Probeer het opnieuw."
"Invalid server response.","Ongeldige serverreactie."
"Admin Notifications","Beheerdersmeldingen"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Interne meldingen voor uw team. Onafhankelijk van de selectievakjes <em>BCC handelaar</em> onder <em>Klantmeldingen</em> hieronder — als u beide inschakelt, ontvangt u twee e-mails per verzoek."
"1. New Request Alert","1. Melding van nieuw verzoek"
"Sent the moment a customer completes the two-step withdrawal flow.","Wordt verstuurd op het moment dat een klant het herroepingsproces in twee stappen voltooit."
"Recipient Email(s)","E-mail(s) ontvanger"
"BCC","BCC"
"New Withdrawal Request","Nieuw herroepingsverzoek"
"A new withdrawal request was just submitted.","Er is zojuist een nieuw herroepingsverzoek ingediend."
"Request:","Verzoek:"
"Order:","Bestelling:"
"Customer:","Klant:"
"Refund Total:","Totaal terug te betalen:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Herroeping] Nieuw verzoek %request_increment_id · Bestelling #%order_increment_id · %refund_total"
"Anonymised","Geanonimiseerd"
"Audit","Audit"
"Cancel Order","Bestelling annuleren"
"Confirmation Email (Art. 11a(4))","Bevestigingsmail (art. 11 bis(4))"
"Detection (Art. 16(m))","Detectie (art. 16(m))"
"Digital Waiver (Art. 16(m))","Digitale verklaring van afstand (art. 16(m))"
"Email Identity","Afzenderidentiteit"
"ID","ID"
"Integrity hash","Integriteitshash"
"Pre-Contract Proof","Precontractueel bewijs"
"Verify this receipt","Verifieer deze ontvangstbevestiging"
"Withdrawal Window","Herroepingstermijn"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Deze SHA-256-hash identificeert uw herroepingsregistratie op unieke wijze. U kunt deze op elk moment verifiëren met de bovenstaande knop."
"Digital content waiver confirmation — Order %increment_id","Bevestiging van verklaring van afstand voor digitale inhoud — Bestelling %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Komma-gescheiden. Elke ontvanger krijgt een aparte e-mail, gerenderd in zijn eigen admin-locale (opgezocht via interface_locale van de admin-gebruiker; terugval — general/locale/code). Ongeldige adressen worden stilzwijgend genegeerd."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Art. 16(m) Richtlijn Consumentenrechten digitale-inhoud detectie. Bepaalt wat als digitale inhoud telt voor herroepingsdoeleinden. De feitelijke verklaring-van-afstand-UI bij de checkout en de e-mail bevinden zich in de volgende sectie „Digitale verklaring van afstand“."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) Richtlijn Consumentenrechten uitzondering — digitale inhoud waarbij de klant (1) uitdrukkelijke voorafgaande toestemming heeft gegeven om de uitvoering te beginnen en (2) heeft erkend het herroepingsrecht te verliezen. De functie wordt door twee schakelaars beheerd: subgroep <em>Detectie</em> onder <em>Eligibility Rules</em> bepaalt wat als digitaal telt (hoofdschakelaar); deze sectie rendert de UI met 2 selectievakjes bij de checkout en verstuurt de art. 11a(4) bevestigingsmail. Beide moeten AAN staan. Tekst-overrides per locale hieronder. Alleen voor <strong>eenmalige digitale aankopen</strong> gebruiken (e-books, installers, muziekbestanden, spellen). <strong>Niet</strong> inschakelen voor doorlopende digitale <strong>abonnementen of diensten</strong> (SaaS, streaming, gehoste software) — EU-jurisprudentie (CJEU Sky, C-641/19) vereist een ander toestemmingstraject."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Bepaalt <strong>wanneer</strong> het 14-daagse herroepingsrecht ingaat (leveringstrigger, art. 9(2)(b)) en <strong>hoe lang</strong> het in dagen geldt (art. 9(2)). Samen bepalen ze de periode waarin de herroeping van elke bestelling open is."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Standaard 14 dagen volgens art. 9(2). Verlenging toegestaan (bijv. 30, 100). Reductie onder 14 is illegaal — het veld valideert alleen 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Indien ingeschakeld tonen winkelwagens met een gedetecteerd digitaal item de afstandsstap met 2 selectievakjes bij de checkout. Heeft geen effect tenzij <em>Eligibility Rules → Detectie → Detectie digitale inhoud inschakelen</em> ook is ingeschakeld."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Optioneel. Komma-gescheiden. Stuurt een blinde kopie van de afstands-bevestigingsmail naar een audit-adres van de handelaar. Laat leeg om over te slaan."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Juridische waarschuwing.</strong> Art. 11a(2) Richtlijn Consumentenrechten vereist de letterlijke tekst „hier herroepen van overeenkomst“ <em>of een overeenkomstige ondubbelzinnige formulering</em>. De standaardwaarde („Hier herroepen van overeenkomst“) is de letterlijke formulering van de Richtlijn; Vertalingen per locale zijn juridisch onderschreven. <strong>Niet overschrijven tenzij u schriftelijk advies hebt ontvangen van een gekwalificeerde consumentenrecht-advocaat in de doeljurisdictie.</strong> Elke overschrijving wordt vastgelegd in het audit-logboek."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Juridische waarschuwing.</strong> Dit is het label op de uiteindelijke bevestigingsknop. Standaard („Herroeping bevestigen“) is juridisch onderschreven; Vertalingen per locale zijn juridisch onderschreven. Alleen overschrijven met schriftelijk juridisch advies; overschrijvingen worden in het audit-logboek vastgelegd."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","De gekoppelde bestelling annuleren? Er is geen betaling vastgelegd, dus er is niets terug te betalen — de bestelling wordt geannuleerd in Magento."
"Scope & Applicability","Bereik en toepasselijkheid"
"Controls in which markets the self-service withdrawal flow is offered. These are merchant business decisions, not legal exclusions — an EU consumer's statutory right of withdrawal does not depend on them, and declarations received by other means (email, letter) must still be honoured manually.","Bepaalt in welke markten het selfservice-herroepingsproces wordt aangeboden. Dit zijn zakelijke beslissingen van de verkoper, geen wettelijke uitsluitingen — het wettelijke herroepingsrecht van een EU-consument hangt er niet van af, en herroepingen die op andere wijze (e-mail, brief) zijn ontvangen, moeten nog steeds handmatig worden gehonoreerd."
"Restrict by Country","Beperken op land"
"Offers the self-service withdrawal flow only for orders whose billing <strong>or</strong> shipping address is in the selected countries. <strong>Legal note:</strong> this restricts the storefront flow only — an EU consumer's statutory right of withdrawal does not depend on the address, and withdrawal declarations received by other means (email, letter) must still be honoured manually. Default: disabled.","Biedt het selfservice-herroepingsproces alleen aan voor bestellingen waarvan het factuur- <strong>of</strong> verzendadres in de geselecteerde landen ligt. <strong>Juridische opmerking:</strong> dit beperkt alleen het proces in de winkel — het wettelijke herroepingsrecht van een EU-consument hangt niet af van het adres, en herroepingen die op andere wijze (e-mail, brief) zijn ontvangen, moeten nog steeds handmatig worden gehonoreerd. Standaard: uitgeschakeld."
"Offer Withdrawal For Countries","Herroeping aanbieden voor landen"
"Preselected: EU-27 plus EEA (Norway, Iceland, Liechtenstein). Add the United Kingdom manually if you target UK consumers (separate national regime with a comparable 14-day right). If you clear this list, the restriction has no effect and the flow stays available to every customer.","Vooraf geselecteerd: EU-27 plus EER (Noorwegen, IJsland, Liechtenstein). Voeg het Verenigd Koninkrijk handmatig toe als u zich richt op Britse consumenten (afzonderlijk nationaal regime met een vergelijkbaar recht van 14 dagen). Als u deze lijst leegmaakt, heeft de beperking geen effect en blijft het proces voor elke klant beschikbaar."
"Restrict by Customer Group","Beperken op klantgroep"
"Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled.","Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled."
"Exclude Customer Groups","Klantgroepen uitsluiten"
"Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer.","Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer."
"Custom-made to your specifications","Op maat gemaakt volgens uw specificaties"
"Perishable goods","Bederfelijke goederen"
"Sealed hygiene item — seal broken","Verzegeld hygiëneartikel — verzegeling verbroken"
"Sealed audio/video — seal broken","Verzegelde audio/video — verzegeling verbroken"
"Newspapers, periodicals, magazines","Kranten, tijdschriften, magazines"
"Accommodation / event on specific date","Accommodatie / evenement op een specifieke datum"
"Digital content — right waived at purchase","Digitale inhoud — recht afgestaan bij aankoop"
"Withdrawal period has expired","De herroepingstermijn is verstreken"
"Already withdrawn in a prior request","Al herroepen in een eerder verzoek"
"A draft withdrawal is holding this item. Confirm it via the email we sent, or cancel it in the 'Existing withdrawals' section above.","Een concept-herroeping houdt dit artikel vast. Bevestig deze via de e-mail die we hebben verzonden of annuleer deze in de sectie ‘Bestaande herroepingen’ hierboven."
"EU withdrawal request %1 was approved.","EU-herroepingsverzoek %1 is goedgekeurd."
"EU withdrawal request %1 was approved. Refund: %2.","EU-herroepingsverzoek %1 is goedgekeurd. Terugbetaling: %2."
"EU withdrawal request %1 was denied.","EU-herroepingsverzoek %1 is geweigerd."
"EU withdrawal request %1 was denied. Reason: %2","EU-herroepingsverzoek %1 is geweigerd. Reden: %2"
"EU withdrawal request %1 was cancelled by the customer.","EU-herroepingsverzoek %1 is geannuleerd door de klant."
"EU withdrawal request %1 was cancelled by an administrator.","EU-herroepingsverzoek %1 is geannuleerd door een beheerder."
"If Delivery Is Never Confirmed","Als de levering nooit wordt bevestigd"
"When an order is already in a Delivery Confirmation Status but has no recorded transition into it (no delivery timestamp), choose whether its withdrawal stays open or it is treated as not eligible. Default: not eligible.","Wanneer een bestelling al een leveringsbevestigingsstatus heeft maar er geen geregistreerde overgang naar die status is (geen leverdatum), kies dan of de herroeping open blijft of als niet in aanmerking komend wordt behandeld. Standaard: niet in aanmerking komend."
"Statuses Excluded From Withdrawal","Statussen uitgesloten van herroeping"
"Orders whose current status is selected here are never offered for withdrawal (e.g. a legacy migration status such as <code>imported</code>). Do not select a status used by active, deliverable orders — that withholds a valid withdrawal.","Bestellingen waarvan de huidige status hier is geselecteerd, worden nooit voor herroeping aangeboden (bijv. een migratiestatus zoals <code>imported</code>). Selecteer geen status die door actieve, leverbare bestellingen wordt gebruikt — dat weigert een geldige herroeping."
"Treat as not eligible","Als niet in aanmerking komend behandelen"
"Keep withdrawal open","Herroeping open laten"
"Withdrawal not available for this order","Herroeping niet beschikbaar voor deze bestelling"
"This order is not eligible for withdrawal.","Deze bestelling komt niet in aanmerking voor herroeping."
"EU withdrawal request %1 submitted.","EU-herroepingsverzoek %1 is ingediend."
"EU withdrawal request %1 submitted. Requested refund: %2.","EU-herroepingsverzoek %1 is ingediend. Gevraagde terugbetaling: %2."
"Show more orders","Meer bestellingen tonen"
"Item Selection","Selectie van artikelen"
"Per item (customer selects items and quantities)","Per artikel (klant selecteert artikelen en aantallen)"
"Full order (all returnable items, no selection)","Volledige bestelling (alle retourneerbare artikelen, geen selectie)"
"<em>Per item</em>: the customer chooses lines and quantities. <em>Full order</em>: the request always covers all returnable items; items excluded by law (opened seal, expired period) are still removed automatically, and the form shows a note that partial returns can be requested via your contact page.<br/><strong>⚠ Legal warning.</strong> The explanatory materials to the German implementation law expect the withdrawal function to support selecting parts of the order. Consult your counsel before switching to Full order.","<em>Per artikel</em>: de klant kiest regels en aantallen. <em>Volledige bestelling</em>: het verzoek betreft altijd alle retourneerbare artikelen; artikelen die wettelijk zijn uitgesloten (verbroken verzegeling, verstreken termijn) worden nog steeds automatisch verwijderd, en het formulier toont een opmerking dat gedeeltelijke retouren via uw contactpagina kunnen worden aangevraagd.<br/><strong>⚠ Juridische waarschuwing.</strong> De toelichting bij de Duitse uitvoeringswet verwacht dat de herroepingsfunctie het selecteren van delen van de bestelling ondersteunt. Raadpleeg uw juridisch adviseur voordat u overschakelt naar Volledige bestelling."
"This request covers all returnable items of the order.","Dit verzoek betreft alle retourneerbare artikelen van de bestelling."
"Contact us for a partial return.","Neem contact met ons op voor een gedeeltelijke retour."
"Review the items included in your return.","Controleer de artikelen die in uw retour zijn opgenomen."
"Review the items to return","Controleer de te retourneren artikelen"
"Self-service withdrawal is not available for this order.","Zelfservice-herroeping is niet beschikbaar voor deze bestelling."
"VAT","btw"
"Of which VAT","Waarvan btw"
"Order Adjustment","Bestelaanpassing"
"Bundle Item Selection","Selectie van bundelartikelen"
"<em>No</em> (default): the bundle is shown as one returnable unit — the customer returns the whole bundle. <em>Yes</em>: the bundle's priced components are shown as separate returnable lines when they can be returned independently (e.g. a device and an accessory sold together). Enable this only for bundles that group independently returnable products; a bundle sold as a single set should remain returnable only as a whole.<br/><strong>Legal note.</strong> Configure this according to how each bundle is offered and contracted; consult your counsel if components should be withdrawable separately.","<em>Nee</em> (standaard): de bundel wordt getoond als één retourneerbare eenheid — de klant retourneert de volledige bundel. <em>Ja</em>: de geprijsde onderdelen van de bundel worden als afzonderlijke retourneerbare regels getoond wanneer ze onafhankelijk kunnen worden geretourneerd (bijvoorbeeld een apparaat en een accessoire die samen worden verkocht). Schakel dit alleen in voor bundels die onafhankelijk retourneerbare producten groeperen; een bundel die als één set wordt verkocht, moet alleen als geheel retourneerbaar blijven.<br/><strong>Juridische opmerking.</strong> Configureer dit op basis van hoe elke bundel wordt aangeboden en contractueel wordt vastgelegd; raadpleeg uw juridisch adviseur als onderdelen afzonderlijk herroepbaar moeten zijn."
"Acknowledgment of loss of withdrawal (Art. 16(m)(ii))","Erkenning van het verlies van het herroepingsrecht (Art. 16(m)(ii))"
"Both confirmations are required to proceed. Your consent is recorded with a tamper-evident hash of the legal text shown above.","Beide bevestigingen zijn vereist om verder te gaan. Uw toestemming wordt vastgelegd met een manipulatiebestendige hash van de hierboven getoonde juridische tekst."
"Digital Content Delivery — Required Waiver","Levering van digitale inhoud — Verplichte afstandsverklaring"
"EU Art. 16(m)","EU Art. 16(m)"
"EU Art. 6(1)(h)","EU Art. 6(1)(h)"
"Express consent (Art. 16(m)(i))","Uitdrukkelijke toestemming (Art. 16(m)(i))"
"I acknowledge that, as a result, I will lose my right of withdrawal once performance has begun.","Ik erken dat ik daardoor mijn herroepingsrecht verlies zodra de uitvoering is begonnen."
"I expressly request that performance of the digital content begin immediately, before the end of the 14-day withdrawal period.","Ik verzoek uitdrukkelijk dat de uitvoering van de digitale inhoud onmiddellijk begint, vóór het verstrijken van de herroepingstermijn van 14 dagen."
"The digital-content consent step is temporarily unavailable. Please refresh the page; if the problem persists, contact support — your order cannot be completed until the required consent can be shown.","De toestemmingsstap voor digitale inhoud is tijdelijk niet beschikbaar. Vernieuw de pagina; als het probleem aanhoudt, neem contact op met support — uw bestelling kan niet worden voltooid totdat de vereiste toestemming kan worden getoond."
"Your cart contains digital content. To receive it immediately, EU consumer law requires both your express consent to begin performance and your acknowledgment that doing so causes you to lose the right of withdrawal once delivery starts.","Uw winkelwagen bevat digitale inhoud. Om deze onmiddellijk te ontvangen, vereist het EU-consumentenrecht zowel uw uitdrukkelijke toestemming om met de uitvoering te beginnen als uw erkenning dat u daardoor het herroepingsrecht verliest zodra de levering begint."
SKU:,SKU:
"Seal photos skipped","Verzegelingsfoto's overgeslagen"
Submitting…,"Bezig met verzenden…"
"That order does not belong to your account. Please select one of your own orders.","Die bestelling hoort niet bij uw account. Selecteer een van uw eigen bestellingen."
"Bundle contents","Inhoud van de bundel"
"included in the bundle price above — not returnable separately","inbegrepen in de bundelprijs hierboven — niet afzonderlijk retourneerbaar"
"included: %1","inbegrepen: %1"
"Included","Inbegrepen"
"Individual items","Afzonderlijke artikelen"
"%1 items","%1 artikelen"
"Return now","Nu retourneren"
"Included in this bundle","Inbegrepen in deze bundel"
"Included value","Inbegrepen waarde"
"Other items","Overige artikelen"
"Order total","Ordertotaal"
"Hygiene seal","Hygiëneverzegeling"
"Media seal","Mediaverzegeling"
"Seal Photos","Foto's van de verzegeling"
"Is the hygiene seal on “%1” still intact?","Is de hygiëneverzegeling van “%1” nog intact?"
"Is the media / software seal on “%1” still intact?","Is de media-/softwareverzegeling van “%1” nog intact?"
"Once you confirm the seal is broken, the whole bundle can’t be returned. Its quantity is set to 0.","Zodra u bevestigt dat de verzegeling verbroken is, kan de hele bundel niet worden geretourneerd. De hoeveelheid wordt op 0 gezet."
"A credit memo can only be started for an approved withdrawal request.","Een creditnota kan alleen worden gestart voor een goedgekeurd herroepingsverzoek."
"EU withdrawal request %1 was cancelled by an administrator. Reason: %2","EU-herroepingsverzoek %1 is geannuleerd door een beheerder. Reden: %2"
"System","Systeem"
"View Order","Order bekijken"
"View Request","Verzoek bekijken"
"View Shipment","Zending bekijken"
"Please confirm both consent boxes to proceed with digital content delivery.","Bevestig beide toestemmingsvakjes om door te gaan met de levering van digitale inhoud."
"The digital-content consent step could not load. Please refresh and try again, or contact support.","De toestemmingsstap voor digitale inhoud kon niet worden geladen. Vernieuw en probeer het opnieuw, of neem contact op met support."
"We could not record your consent just now. Please try again.","We konden uw toestemming nu niet vastleggen. Probeer het opnieuw."
