"View Credit Memo","Zobacz notę kredytową"
"Issue Credit Memo","Wystaw notę kredytową"
"Approve","Zatwierdź"
"Approve this withdrawal request?","Zatwierdzić ten wniosek o odstąpienie?"
"Deny","Odrzuć"
"Legal reason for denial (min 10 chars):","Podstawa prawna odmowy (min. 10 znaków):"
"Cancel Request","Anuluj wniosek"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Anulować to odstąpienie? Dodaj opcjonalną notatkę dla klienta (widoczną w jego e-mailu z anulowaniem):"
"Resend Receipt","Wyślij potwierdzenie ponownie"
"Send the receipt email again? The customer will receive another copy.","Wysłać e-mail z potwierdzeniem ponownie? Klient otrzyma kolejną kopię."
"Withdrawal Request #%1","Wniosek o odstąpienie #%1"
"Request Details","Szczegóły wniosku"
"Information","Informacje"
"Reason for Denial","Powód odmowy"
"Customer Cancellation Note","Notatka klienta o anulowaniu"
"Cancellation Note","Notatka o anulowaniu"
"Status-Change Note","Notatka o zmianie statusu"
"Code","Kod"
"Label","Etykieta"
"Add Reason","Dodaj powód"
"In progress","W trakcie realizacji"
"Refund issued","Zwrot wystawiony"
"Denied","Odrzucone"
"Cancelled","Anulowane"
"Pending","Oczekujące"
"This is a transactional email about your order.","To jest wiadomość transakcyjna dotycząca Twojego zamówienia."
"Reason for denial","Powód odmowy"
"Your cancellation note","Twoja notatka o anulowaniu"
"Note from our team","Wiadomość od naszego zespołu"
"EU right of withdrawal","Prawo odstąpienia UE"
"Withdrawal right pending delivery","Prawo odstąpienia oczekuje na dostawę"
"Withdrawal window has ended","Termin odstąpienia upłynął"
"Not eligible for withdrawal","Nie kwalifikuje się do odstąpienia"
"Withdrawal already requested","Wniosek o odstąpienie już złożony"
"You can withdraw from this contract any time — the %1-day deadline begins counting once the order is delivered.","Możesz odstąpić od tej umowy w dowolnym momencie — %1-dniowy termin zaczyna biec od chwili dostarczenia zamówienia."
"Your %1-day withdrawal window will begin once this order is delivered.","Twój %1-dniowy termin na odstąpienie rozpocznie się z chwilą dostarczenia tego zamówienia."
"The %1-day window for withdrawing from this contract has ended.","%1-dniowy termin na odstąpienie od tej umowy upłynął."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","To zamówienie nie kwalifikuje się do odstąpienia w świetle unijnego prawa konsumenckiego (art. 16 dyrektywy 2011/83/UE)."
"A withdrawal request for this order has been submitted. See the request details below.","Dla tego zamówienia złożono wniosek o odstąpienie od umowy. Szczegóły wniosku znajdują się poniżej."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","To zamówienie zawiera towar szybko psujący się, którego nie można zwrócić (żywność o krótkim terminie przydatności, świeże kwiaty itp.)."
"This order contains a custom-made or personalised item that cannot be returned.","To zamówienie zawiera towar wykonany na zamówienie lub spersonalizowany, którego nie można zwrócić."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","To zamówienie zawiera zapieczętowany towar higieniczny. Prawo odstąpienia przysługuje tylko dopóki plomba pozostaje nienaruszona — po jej zerwaniu po dostawie prawo to wygasa."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","To zamówienie zawiera zapieczętowany nośnik audio / wideo / oprogramowanie. Prawo odstąpienia przysługuje tylko dopóki plomba pozostaje nienaruszona — po jej zerwaniu po dostawie prawo to wygasa."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","To zamówienie zawiera treści cyfrowe. Po rozpoczęciu korzystania z treści lub jej pobieraniu tracisz prawo odstąpienia (wyraziłeś/aś na to zgodę przy zamawianiu)."
"%1 item(s) · Refund %2","%1 pozycja(i) · Zwrot %2"
"Awaiting confirmation","Oczekuje na potwierdzenie"
"Cancel withdrawal %1? Your refund will not be processed.","Anulować odstąpienie %1? Twój zwrot nie zostanie zrealizowany."
"Submitted","Złożone"
"Approved","Zatwierdzone"
"Fully returned","W pełni zwrócone"
"Return requested","Zwrot zażądany"
"Not eligible","Nie kwalifikuje się"
"Partially requested","Częściowo zażądane"
"— Select a reason —","— Wybierz powód —"
"Other","Inne"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Zwrot zostanie dokonany za pomocą oryginalnej metody płatności w ciągu 5-7 dni roboczych od otrzymania przez nas zwrotu."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Utracono prawo odstąpienia (art. 16(m) CRD) — świadczenie cyfrowe rozpoczęto %1."
"Request #%1 not found.","Wniosek #%1 nie został znaleziony."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","Wiadomość z potwierdzeniem dla wniosku #%1 ponownie umieszczona w kolejce. Dostarczenie zostanie ponowione asynchronicznie."
"Failed to queue receipt resend: %1","Nie udało się umieścić ponownego wysłania potwierdzenia w kolejce: %1"
"Note text is empty.","Treść notatki jest pusta."
"Note added to request #%1.","Notatka dodana do wniosku #%1."
"Request #%1 approved.","Wniosek #%1 zatwierdzony."
"Request #%1 cancelled.","Wniosek #%1 anulowany."
"Request #%1 denied.","Wniosek #%1 odrzucony."
"Invalid request id.","Nieprawidłowy identyfikator wniosku."
"Unable to open temporary file for CSV export.","Nie można otworzyć pliku tymczasowego do eksportu CSV."
"Withdrawal Requests","Wnioski o odstąpienie"
"%1 requests queued for acceptance.","%1 wniosków umieszczono w kolejce do zatwierdzenia."
"%1 request(s) approved.","Zatwierdzono %1 wniosek(ów)."
"%1 request(s) failed. First errors: %2","%1 wniosek(ów) nie powiodło się. Pierwsze błędy: %2"
"Note added to %1 request(s).","Notatkę dodano do %1 wniosku(ów)."
"Underlying order #%1 not found.","Nie znaleziono powiązanego zamówienia #%1."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Zamówienie #%1 nie ma jeszcze faktury — Magento wymaga faktury przed utworzeniem noty kredytowej. Najpierw wystaw fakturę (Sprzedaż → Zamówienia → #%1 → przycisk Faktura), a następnie wróć tutaj, aby zrealizować zwrot."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","W tym wniosku o odstąpienie nie zarejestrowano żadnych pozycji — nota kredytowa zostanie otwarta z domyślnymi ilościami z faktury; skoryguj ręcznie."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Wstępnie wypełniona nota kredytowa dla odstąpienia #%1 — sprawdź poniżej ilości i zwrot kosztów wysyłki, a następnie kliknij Zwrot online lub Zwrot offline."
"Some items are no longer eligible. Please reload and try again.","Niektóre pozycje nie kwalifikują się już do zwrotu. Odśwież stronę i spróbuj ponownie."
"We could not process your request. Please try again.","Nie udało nam się zrealizować Twojego wniosku. Spróbuj ponownie."
"Item","Pozycja"
"We could not find a matching order for that email.","Nie znaleźliśmy zamówienia pasującego do tego adresu e-mail."
"Withdraw from a contract","Odstąp od umowy"
"Withdrawal not found.","Nie znaleziono odstąpienia."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Tego odstąpienia nie można już anulować online. Skontaktuj się z nami, jeśli potrzebujesz pomocy."
"Withdrawal #%1 cancelled.","Odstąpienie #%1 anulowane."
"Please fill in all required fields.","Wypełnij wszystkie wymagane pola."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 pozycja(e) została/y wyłączona/e z odstąpienia, ponieważ plomba została zerwana (art. 16 lit. e)/(i) dyrektywy 2011/83/UE)."
"Please select at least one item to withdraw.","Wybierz co najmniej jedną pozycję do odstąpienia."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Jedna lub więcej pozycji nie jest już dostępna do odstąpienia. Odśwież stronę i spróbuj ponownie."
"None of the selected items are eligible for withdrawal.","Żadna z wybranych pozycji nie kwalifikuje się do odstąpienia."
"Hash mismatch for quote item %1","Niezgodność hasha dla pozycji oferty %1"
"Requested qty %1 exceeds remaining %2 for order item %3","Żądana ilość %1 przekracza pozostałą %2 dla pozycji zamówienia %3"
"No delivery confirmation recorded for this order yet.","Dla tego zamówienia nie zarejestrowano jeszcze potwierdzenia dostawy."
"No eligible items selected for withdrawal","Nie wybrano żadnych kwalifikujących się pozycji do odstąpienia"
"Physical goods","Towary fizyczne"
"Digital content (non-tangible)","Treści cyfrowe (niematerialne)"
"Digital service (SaaS / subscription)","Usługa cyfrowa (SaaS / subskrypcja)"
"Financial services (not supported)","Usługi finansowe (nieobsługiwane)"
"Downloadable products","Produkty do pobrania"
"Virtual products","Produkty wirtualne"
"Bundles containing digital children","Zestawy zawierające elementy cyfrowe"
"Custom attribute flag","Flaga atrybutu niestandardowego"
"locale_inheritance.xml missing at %1","Brak pliku locale_inheritance.xml w %1"
"locale_inheritance.xml unreadable at %1","Plik locale_inheritance.xml nie do odczytu w %1"
"locale_inheritance.xml failed XSD validation: %1","Plik locale_inheritance.xml nie przeszedł walidacji XSD: %1"
"Original payment method","Pierwotna metoda płatności"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","To jest Twoje potwierdzenie odstąpienia na trwałym nośniku (art. 11a ust. 4 dyrektywy 2011/83/UE)."
"This email is a notification about your withdrawal request.","Ta wiadomość jest powiadomieniem o Twoim wniosku o odstąpienie."
"5–7 business days","5–7 dni roboczych"
"This is a confirmation that your withdrawal request has been recorded.","To jest potwierdzenie zarejestrowania Twojego wniosku o odstąpienie."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","Moduł MageMe EU Withdrawal jest zainstalowany, ale nie jest włączony. Przed jego włączeniem sprawdź listę kontrolną zgodności i skonfiguruj moduł: <a href=""%1"">Sklepy → Konfiguracja → Rozszerzenia MageMe → EU Withdrawal</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","Status potwierdzenia dostawy nie jest skonfigurowany. Ustaw: Sklepy → Konfiguracja → Rozszerzenia MageMe → EU Withdrawal → Okres odstąpienia → Statusy potwierdzenia dostawy."
"No Annex I source found for locale %1 along chain %2","Nie znaleziono źródła załącznika I dla języka %1 w łańcuchu %2"
"Annex I source for locale %1 is malformed","Źródło załącznika I dla języka %1 jest uszkodzone"
"Missing merchant variables for Annex I rendering: %1","Brak zmiennych sprzedawcy do renderowania załącznika I: %1"
"Receipt hash mismatch for request %1","Niezgodność hasha potwierdzenia dla wniosku %1"
"Request %1 not found.","Wniosek %1 nie został znaleziony."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Odrzucenie wniosku o odstąpienie wymaga podania podstawy prawnej liczącej co najmniej 10 znaków."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Wniosek o odstąpienie nie może przejść z „%1” do „%2”."
"Request %1 is not in pending_confirm state.","Wniosek %1 nie znajduje się w stanie pending_confirm."
"Withdrawal request #%1 does not exist.","Wniosek o odstąpienie #%1 nie istnieje."
"No digital items on order %1","Brak pozycji cyfrowych w zamówieniu %1"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","To jest Twoja kopia na trwałym nośniku zgody podpisanej przy składaniu zamówienia (art. 11a ust. 4 dyrektywy 2011/83/UE)."
"Waived","Zrzeczone"
"Waiver email render failed: %1","Nie udało się wyrenderować e-maila ze zgodą: %1"
"Digital content waiver text has changed — please reload checkout.","Tekst zgody na treść cyfrową uległ zmianie — przeładuj koszyk."
"Digital content waiver is incomplete for item %1.","Zgoda na treść cyfrową jest niekompletna dla pozycji %1."
"bad","zły"
"smtp down","smtp down"
"smtp","smtp"
"down","wyłączony"
"No shipment found for order 42.","Nie znaleziono wysyłki dla zamówienia 42."
"View","Zobacz"
"Withdrawal & Customer Information","Informacje o odstąpieniu i kliencie"
"Request # %1","Wniosek # %1"
"Request Status","Status wniosku"
"Submitted At","Złożono"
"Related Order","Powiązane zamówienie"
"Jurisdiction","Jurysdykcja"
"Contract Type","Rodzaj umowy"
"Receipt Status","Status potwierdzenia"
"%1 attempt(s)","%1 prób(a)"
"Receipt Error","Błąd potwierdzenia"
"Customer Information","Dane klienta"
"Customer Name","Imię klienta"
"Email","E-mail"
"Locale","Język"
"Items Selected for Withdrawal","Pozycje wybrane do odstąpienia"
"Product","Produkt"
"Price","Cena"
"Qty","Ilość"
"Subtotal","Wartość pozycji"
"Refund","Zwrot"
"Reason","Powód"
"Eligibility","Kwalifikowalność"
"No items associated with this request.","Brak pozycji powiązanych z tym wnioskiem."
"SKU","SKU"
"Ordered","Zamówiono"
"Withdrawing","Odstąpienie"
"Refund Total","Zwrot łącznie"
"Notes for this Request","Notatki do tego wniosku"
"Internal notes — visible to admin staff only. Not sent to the customer.","Notatki wewnętrzne — widoczne tylko dla personelu administracyjnego. Nie są wysyłane do klienta."
"Comment","Komentarz"
"Add internal note (max 2000 chars)","Dodaj notatkę wewnętrzną (maks. 2000 znaków)"
"Submit Comment","Wyślij komentarz"
"No comments added yet.","Nie dodano jeszcze żadnych komentarzy."
" by %1"," przez %1"
"Refund Totals","Sumy zwrotu"
"Items Subtotal","Wartość pozycji"
"Shipping Refund","Zwrot kosztów wysyłki"
"Total Refund","Łączny zwrot"
"Changes have been made to this section that have not been saved.","W tej sekcji wprowadzono zmiany, które nie zostały zapisane."
"This tab contains invalid data. Please resolve this before saving.","Ta zakładka zawiera nieprawidłowe dane. Rozwiąż ten problem przed zapisaniem."
"Contact us","Kontakt"
"Returns","Zwroty"
"FAQs","FAQ"
"All rights reserved.","Wszelkie prawa zastrzeżone."
"Returned items","Zwrócone pozycje"
"No image","Brak zdjęcia"
"Item status","Status pozycji"
"Withdrawal options for this order","Opcje odstąpienia dla tego zamówienia"
"You can return this order until %1.","Możesz zwrócić to zamówienie do %1."
"(Art. 11a Directive 2011/83/EU)","(art. 11a dyrektywy 2011/83/UE)"
"Submit a withdrawal request to start the refund process.","Złóż wniosek o odstąpienie, aby rozpocząć proces zwrotu."
"(Art. 9(2)(b) Directive 2011/83/EU)","(art. 9 ust. 2 lit. b) dyrektywy 2011/83/UE)"
"Start withdrawal","Rozpocznij odstąpienie"
"Your withdrawal requests","Twoje wnioski o odstąpienie"
"Submitted %1","Złożone %1"
"Show items","Pokaż pozycje"
"Cancel withdrawal","Anuluj odstąpienie"
"Qty %1","Ilość %1"
"Receipt details","Szczegóły potwierdzenia"
"Receipt number","Numer potwierdzenia"
"Order number","Numer zamówienia"
"Consumer","Konsument"
"Refund total","Łączna kwota zwrotu"
"Merchant","Sprzedawca"
"Legal basis","Podstawa prawna"
"SKU %1","SKU %1"
"Shipping refund","Zwrot kosztów wysyłki"
"Tax refund","Zwrot podatku"
"Total refund","Łączny zwrot"
"Digital content — Art. 16(m) notice","Treść cyfrowa — powiadomienie art. 16(m)"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Składając zamówienie zgodziłeś się na rozpoczęcie świadczenia treści cyfrowej przed końcem terminu do odstąpienia i przyjąłeś do wiadomości, że po rozpoczęciu świadczenia prawo odstąpienia nie przysługuje. To powiadomienie jest wyświetlane w celach archiwalnych."
"Existing withdrawals for this order","Istniejące odstąpienia dla tego zamówienia"
"You can cancel a withdrawal here until it is approved.","Możesz tutaj anulować odstąpienie, dopóki nie zostanie zatwierdzone."
"Request #%1","Wniosek #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Szacowany zwrot: %1 %2"
"Cancel this withdrawal","Anuluj to odstąpienie"
"Are you sure? This cannot be undone.","Czy na pewno? Tej operacji nie można cofnąć."
"Yes, cancel","Tak, anuluj"
"Keep it","Zachowaj"
"Select items to return","Wybierz przedmioty do zwrotu"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Wybierz wszystkie lub tylko niektóre przedmioty. Ustaw ilość zwrotu dla każdej pozycji, od której chcesz odstąpić."
"You have %1 days from the day you received your order to withdraw from the contract without giving a reason.","Masz %1 dni od dnia otrzymania zamówienia na odstąpienie od umowy bez podania przyczyny."
"Back to order search","Powrót do wyszukiwania zamówień"
"Cancel","Anuluj"
"Continue to review","Przejdź do podsumowania"
"Review and confirm","Sprawdź i potwierdź"
"Order #%1","Zamówienie #%1"
"Placed on %1","Złożone %1"
"Awaiting delivery","Oczekuje na dostawę"
"Delivered on %1","Dostarczone %1"
"Total","Razem"
"Return shipping","Wysyłka zwrotna"
"View return policy","Zobacz politykę zwrotów"
"Refund method","Metoda zwrotu"
"Refund will be issued to your original payment method.","Zwrot zostanie dokonany na pierwotny sposób płatności."
"Return summary","Podsumowanie zwrotu"
"Shipping & Handling","Wysyłka i obsługa"
"Tax","Podatek"
"Back to items","Powrót do pozycji"
"Submit return request","Wyślij wniosek o zwrot"
"Your return request has been submitted!","Twój wniosek o zwrot został złożony!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","Wysłaliśmy do Ciebie e-mail z powiadomieniem zawierającym szczegóły zwrotu oraz opłaconą etykietę zwrotną (jeśli ma zastosowanie). Masz 14 dni od daty dostawy, aby odesłać przedmioty."
"Return request number","Numer wniosku o zwrot"
"Copy request number","Kopiuj numer wniosku"
"Copied!","Skopiowano!"
"Confirmation email sent","Wiadomość potwierdzająca wysłana"
"We've sent the details to","Wysłaliśmy szczegóły na"
"What happens next?","Co dalej?"
"Pack your items securely","Zapakuj pozycje bezpiecznie"
"Send them back using the provided instructions","Odeślij je zgodnie z dostarczonymi instrukcjami"
"We'll inspect your return","Sprawdzimy Twój zwrot"
"Your refund will be issued to your original payment method","Zwrot zostanie zaksięgowany na pierwotnej metodzie płatności"
"Need more help?","Potrzebujesz dodatkowej pomocy?"
"View my returns","Zobacz moje zwroty"
"Contact support","Skontaktuj się z pomocą"
"Purchased","Kupione"
"Returned","Zwrócone"
"Decrease quantity","Zmniejsz ilość"
"Increase quantity","Zwiększ ilość"
"Is the hygiene seal still intact?","Czy plomba higieniczna jest nadal nienaruszona?"
"Is the original software / media seal still intact?","Czy oryginalna plomba oprogramowania / nośnika jest nadal nienaruszona?"
"Yes — it's still sealed","Tak — nadal jest zapieczętowana"
"Refund possible — return the unopened package.","Zwrot możliwy — odeślij nieotwartą paczkę."
"No — I've opened it","Nie — otworzyłem/am ją"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Tej pozycji nie można zwrócić (art. 16 lit. e) dyrektywy 2011/83/UE)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Tej pozycji nie można zwrócić (art. 16 lit. i) dyrektywy 2011/83/UE)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Po potwierdzeniu, że plomba została naruszona, ta pozycja zostanie wyłączona z wniosku o odstąpienie, a jej ilość zostanie wyzerowana."
"Reason for return (optional)","Powód zwrotu (opcjonalnie)"
"Tell us more (optional, max 500 chars)","Opowiedz nam więcej (opcjonalnie, maks. 500 znaków)"
"Already returned.","Już zwrócone."
"awaiting admin review","oczekuje na weryfikację administratora"
"awaiting confirmation","oczekuje na potwierdzenie"
"Request %1 %2 (%3 item%4).","Wniosek %1 %2 (%3 pozycja%4)."
"Return request awaiting review.","Wniosek o zwrot oczekuje na rozpatrzenie."
"Cancel request","Anuluj wniosek"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","Zgodnie z unijnym prawem konsumenckim możesz odstąpić od większości umów w ciągu 14 dni bez podania przyczyny."
"Read your full pre-contract rights (Art. 6)","Przeczytaj pełen zakres swoich praw przedumownych (art. 6)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","Zgodnie z art. 6 dyrektywy 2011/83/UE (zmienionej dyrektywą (UE) 2023/2673), przed złożeniem tego zamówienia sprzedawca poinformował Cię — lub udostępnił — następujące informacje:"
"The main characteristics of the goods or services.","Główne cechy towarów lub usług."
"The identity and contact details of the trader.","Tożsamość i dane kontaktowe przedsiębiorcy."
"The total price including all taxes and any delivery costs.","Łączna cena obejmująca wszystkie podatki oraz ewentualne koszty dostawy."
"The arrangements for payment, delivery and performance, and complaint-handling.","Zasady dotyczące płatności, dostawy, wykonania umowy oraz rozpatrywania reklamacji."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Twoje prawo odstąpienia: zgodnie z art. 9 masz 14 dni na odstąpienie od tej umowy zawartej na odległość bez podania przyczyny. W przypadku towarów fizycznych 14-dniowy okres rozpoczyna się w dniu, w którym Ty (lub wskazana przez Ciebie osoba trzecia) obejmujesz towary w fizyczne posiadanie. Dla usług i treści cyfrowych obowiązują inne terminy początkowe (art. 9 ust. 2 lit. a)/(c))."
