"View Credit Memo","Zobacz notę kredytową"
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Obowiązkowa informacja przedumowna o prawie odstąpienia. Wyświetlana w kroku płatności w procesie zamówienia. Każde wyświetlenie jest rejestrowane do celów dowodowych (obrona z art. 10). Migawka wyrenderowanego tekstu jest przechowywana w sposób niezmienny (art. 6 ust. 5). <strong>Przed dostosowaniem jakiegokolwiek tekstu Załącznika I zaleca się przegląd prawny.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Wył. = blok ukryty, ale zdarzenia wyświetlenia nadal są rejestrowane po stronie serwera za pomocą rezerwy predispatch. Używaj wyłącznie do testów w piaskownicy. Domyślnie: wł."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","Opcjonalne adresy URL renderowane jako okrągłe odznaki monogramu w stopce e-maila. Pozostaw puste, aby ukryć."
"Sent when a customer cancels their own pending withdrawal.","Wysyłane, gdy klient anuluje własne oczekujące odstąpienie."
"Sent when a customer completes the withdrawal form.","Wysyłane, gdy klient wypełni formularz odstąpienia."
"Sent when an admin approves a withdrawal request.","Wysyłane, gdy administrator zatwierdzi wniosek o odstąpienie."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Wysyłane, gdy administrator anuluje wniosek o odstąpienie w imieniu klienta."
"Sent when an admin denies a withdrawal request.","Wysyłane, gdy administrator odrzuci wniosek o odstąpienie."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Te ustawienia wstępne wyłączają określone kategorie produktów z 14-dniowego prawa odstąpienia, zgodnie z art. 16 dyrektywy CRD. Każda reguła jest domyślnie WYŁĄCZONA — włącz ją dopiero po potwierdzeniu, że odpowiedni atrybut produktu jest prawidłowo ustawiony w katalogu."
"e.g. ""EU orders above €50""","np. „Zamówienia z UE powyżej 50 €”"
"e.g. ""Free delivery""","np. „Darmowa dostawa”"
"Qty: ","Ilość: "
"Submission failed. Please try again.","Wysyłanie nie powiodło się. Spróbuj ponownie."
"Network error. Please try again.","Błąd sieci. Spróbuj ponownie."
"Invalid server response.","Nieprawidłowa odpowiedź serwera."
"Admin Notifications","Powiadomienia administratora"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Wewnętrzne powiadomienia dla Twojego zespołu. Niezależne od pól <em>UDW do sprzedawcy</em> w sekcji <em>Powiadomienia klienta</em> poniżej — jeśli włączysz oba, otrzymasz dwa e-maile na żądanie."
"1. New Request Alert","1. Alert o nowym żądaniu"
"Sent the moment a customer completes the two-step withdrawal flow.","Wysyłane w chwili, gdy klient kończy dwuetapowy proces odstąpienia."
"Recipient Email(s)","E-mail(e) odbiorcy"
"BCC","UDW"
"New Withdrawal Request","Nowe żądanie odstąpienia"
"A new withdrawal request was just submitted.","Właśnie zostało złożone nowe żądanie odstąpienia."
"Request:","Żądanie:"
"Order:","Zamówienie:"
"Customer:","Klient:"
"Refund Total:","Łączny zwrot:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Odstąpienie] Nowe żądanie %request_increment_id · Zamówienie #%order_increment_id · %refund_total"
"Anonymised","Zanonimizowane"
"Audit","Audyt"
"Cancel Order","Anuluj zamówienie"
"Confirmation Email (Art. 11a(4))","E-mail z potwierdzeniem (Art. 11a(4))"
"Detection (Art. 16(m))","Wykrywanie (Art. 16(m))"
"Digital Waiver (Art. 16(m))","Zrzeczenie się — treści cyfrowe (Art. 16(m))"
"Email Identity","Tożsamość nadawcy"
"ID","ID"
"Integrity hash","Skrót integralności"
"Pre-Contract Proof","Dowód przedumowny"
"Verify this receipt","Zweryfikuj to potwierdzenie"
"Withdrawal Window","Okres odstąpienia"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Ten skrót SHA-256 jednoznacznie identyfikuje Twój rekord odstąpienia. Możesz go zweryfikować w dowolnym momencie przyciskiem powyżej."
"Digital content waiver confirmation — Order %increment_id","Potwierdzenie zrzeczenia się treści cyfrowych — Zamówienie %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Oddzielone przecinkami. Każdy odbiorca otrzymuje osobny e-mail wyrenderowany w jego własnej lokalizacji administracyjnej (poprzez interface_locale użytkownika admin; rezerwa — general/locale/code). Nieprawidłowe adresy są po cichu odrzucane."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Wykrywanie treści cyfrowych zgodnie z Art. 16(m) dyrektywy o prawach konsumentów. Określa, co liczy się jako treść cyfrowa dla celów prawa odstąpienia. Faktyczny UI zrzeczenia się przy kasie i e-mail znajdują się w następnej sekcji „Zrzeczenie się — treści cyfrowe“."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Wyłączenie Art. 16(m) dyrektywy o prawach konsumentów — treść cyfrowa, w której klient (1) wyraził wyraźną wcześniejszą zgodę na rozpoczęcie wykonania i (2) przyjął utratę prawa do odstąpienia. Funkcję kontrolują dwa przełączniki: podgrupa <em>Wykrywanie</em> w <em>Regułach uprawnień</em> decyduje, co liczy się jako cyfrowe (główny przełącznik); ta sekcja renderuje UI zrzeczenia się z 2 polami wyboru przy kasie i wysyła e-mail potwierdzający z Art. 11a(4). Oba muszą być WŁĄCZONE. Tłumaczenia tekstu według języka poniżej. Używaj tylko do <strong>jednorazowych zakupów cyfrowych</strong> (e-booki, instalatory, pliki muzyczne, gry). <strong>Nie</strong> włączaj dla bieżących cyfrowych <strong>subskrypcji lub usług</strong> (SaaS, streaming, hostowane oprogramowanie) — orzecznictwo UE (CJEU Sky, C-641/19) wymaga innego procesu zgody."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Określa, <strong>kiedy</strong> rozpoczyna się 14-dniowe prawo odstąpienia (wyzwalacz dostawy, Art. 9(2)(b)) i <strong>jak długo</strong> trwa w dniach (Art. 9(2)). Razem kontrolują okres, w którym odstąpienie od każdego zamówienia jest otwarte."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Domyślnie 14 dni zgodnie z Art. 9(2). Wydłużenie dozwolone (np. 30, 100). Skrócenie poniżej 14 jest nielegalne — pole waliduje tylko 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Po włączeniu koszyki zawierające wykryty element cyfrowy renderują krok zrzeczenia się z 2 polami wyboru przy kasie. Nie ma efektu, chyba że również <em>Reguły uprawnień → Wykrywanie → Włącz wykrywanie treści cyfrowych</em> jest włączone."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Opcjonalnie. Oddzielone przecinkami. Wysyła ukrytą kopię e-maila potwierdzającego zrzeczenie się do adresu audytowego sprzedawcy. Pozostaw puste, aby pominąć."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Ostrzeżenie prawne.</strong> Art. 11a(2) dyrektywy o prawach konsumentów wymaga dosłownego tekstu „odstąp od umowy tutaj“ <em>lub odpowiedniego jednoznacznego sformułowania</em>. Wartość domyślna („Odstąp od umowy tutaj“) jest dosłowną frazą Dyrektywy; Tłumaczenia według lokalizacji są podpisane prawniczo. <strong>Nie nadpisuj, chyba że otrzymałeś pisemną poradę od wykwalifikowanego prawnika prawa konsumenckiego w docelowej jurysdykcji.</strong> Każde nadpisanie jest rejestrowane w dzienniku audytowym."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Ostrzeżenie prawne.</strong> To etykieta końcowego przycisku potwierdzenia. Wartość domyślna („Potwierdź odstąpienie“) jest podpisana prawniczo; Tłumaczenia według lokalizacji są podpisane prawniczo. Nadpisuj tylko z pisemną poradą prawną; nadpisania są rejestrowane w dzienniku audytowym."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Anulować powiązane zamówienie? Nie pobrano żadnej płatności, więc nie ma nic do zwrotu — zamówienie zostanie anulowane w Magento."
"Scope & Applicability","Zakres i stosowanie"
"Controls in which markets the self-service withdrawal flow is offered. These are merchant business decisions, not legal exclusions — an EU consumer's statutory right of withdrawal does not depend on them, and declarations received by other means (email, letter) must still be honoured manually.","Określa, na których rynkach oferowany jest samoobsługowy proces odstąpienia. Są to decyzje biznesowe sprzedawcy, a nie wyłączenia prawne — ustawowe prawo odstąpienia konsumenta z UE od nich nie zależy, a odstąpienia otrzymane w inny sposób (e-mailem, listownie) nadal należy uwzględnić ręcznie."
"Restrict by Country","Ogranicz według kraju"
"Offers the self-service withdrawal flow only for orders whose billing <strong>or</strong> shipping address is in the selected countries. <strong>Legal note:</strong> this restricts the storefront flow only — an EU consumer's statutory right of withdrawal does not depend on the address, and withdrawal declarations received by other means (email, letter) must still be honoured manually. Default: disabled.","Oferuje samoobsługowy proces odstąpienia tylko dla zamówień, których adres rozliczeniowy <strong>lub</strong> dostawy znajduje się w wybranych krajach. <strong>Uwaga prawna:</strong> ogranicza to wyłącznie proces w sklepie — ustawowe prawo odstąpienia konsumenta z UE nie zależy od adresu, a odstąpienia otrzymane w inny sposób (e-mailem, listownie) nadal należy uwzględnić ręcznie. Domyślnie: wyłączone."
"Offer Withdrawal For Countries","Oferuj odstąpienie dla krajów"
"Preselected: EU-27 plus EEA (Norway, Iceland, Liechtenstein). Add the United Kingdom manually if you target UK consumers (separate national regime with a comparable 14-day right). If you clear this list, the restriction has no effect and the flow stays available to every customer.","Wstępnie wybrane: UE-27 oraz EOG (Norwegia, Islandia, Liechtenstein). Wielką Brytanię dodaj ręcznie, jeśli kierujesz ofertę do konsumentów z Wielkiej Brytanii (odrębny reżim krajowy z porównywalnym 14-dniowym prawem). Jeśli wyczyścisz tę listę, ograniczenie nie ma żadnego efektu, a proces pozostaje dostępny dla każdego klienta."
"Restrict by Customer Group","Ogranicz według grupy klientów"
"Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled.","Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled."
"Exclude Customer Groups","Wyklucz grupy klientów"
"Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer.","Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer."
"Custom-made to your specifications","Wykonano według Twoich specyfikacji"
"Perishable goods","Towary łatwo psujące się"
"Sealed hygiene item — seal broken","Zaplombowany artykuł higieniczny — plomba naruszona"
"Sealed audio/video — seal broken","Zaplombowane audio/wideo — plomba naruszona"
"Newspapers, periodicals, magazines","Gazety, periodyki, czasopisma"
"Accommodation / event on specific date","Zakwaterowanie / wydarzenie w określonym terminie"
"Digital content — right waived at purchase","Treść cyfrowa — rezygnacja z prawa przy zakupie"
"Withdrawal period has expired","Termin odstąpienia upłynął"
"Already withdrawn in a prior request","Już odstąpiono w poprzednim wniosku"
"A draft withdrawal is holding this item. Confirm it via the email we sent, or cancel it in the 'Existing withdrawals' section above.","Ten przedmiot jest zarezerwowany przez wersję roboczą odstąpienia. Potwierdź ją w wiadomości e-mail, którą wysłaliśmy, lub anuluj ją w sekcji „Istniejące odstąpienia“ powyżej."
"EU withdrawal request %1 was approved.","Wniosek o odstąpienie UE %1 został zatwierdzony."
"EU withdrawal request %1 was approved. Refund: %2.","Wniosek o odstąpienie UE %1 został zatwierdzony. Zwrot: %2."
"EU withdrawal request %1 was denied.","Wniosek o odstąpienie UE %1 został odrzucony."
"EU withdrawal request %1 was denied. Reason: %2","Wniosek o odstąpienie UE %1 został odrzucony. Powód: %2"
"EU withdrawal request %1 was cancelled by the customer.","Wniosek o odstąpienie UE %1 został anulowany przez klienta."
"EU withdrawal request %1 was cancelled by an administrator.","Wniosek o odstąpienie UE %1 został anulowany przez administratora."
"If Delivery Is Never Confirmed","Jeśli dostawa nigdy nie zostanie potwierdzona"
"When an order is already in a Delivery Confirmation Status but has no recorded transition into it (no delivery timestamp), choose whether its withdrawal stays open or it is treated as not eligible. Default: not eligible.","Gdy zamówienie ma już status potwierdzenia dostawy, ale nie zarejestrowano przejścia do tego statusu (brak daty dostawy), wybierz, czy odstąpienie pozostaje otwarte, czy jest traktowane jako niekwalifikujące się. Domyślnie: niekwalifikujące się."
"Statuses Excluded From Withdrawal","Statusy wykluczone z odstąpienia"
"Orders whose current status is selected here are never offered for withdrawal (e.g. a legacy migration status such as <code>imported</code>). Do not select a status used by active, deliverable orders — that withholds a valid withdrawal.","Zamówienia, których bieżący status jest tutaj zaznaczony, nigdy nie są oferowane do odstąpienia (np. status migracji, taki jak <code>imported</code>). Nie zaznaczaj statusu używanego przez aktywne, dostarczalne zamówienia — spowoduje to odmowę ważnego odstąpienia."
"Treat as not eligible","Traktuj jako niekwalifikujące się"
"Keep withdrawal open","Pozostaw odstąpienie otwarte"
"Withdrawal not available for this order","Odstąpienie niedostępne dla tego zamówienia"
"This order is not eligible for withdrawal.","To zamówienie nie kwalifikuje się do odstąpienia."
"EU withdrawal request %1 submitted.","Wniosek o odstąpienie UE %1 został wysłany."
"EU withdrawal request %1 submitted. Requested refund: %2.","Wniosek o odstąpienie UE %1 został wysłany. Żądany zwrot: %2."
"Show more orders","Pokaż więcej zamówień"
"Item Selection","Wybór pozycji"
"Per item (customer selects items and quantities)","Według pozycji (klient wybiera pozycje i ilości)"
"Full order (all returnable items, no selection)","Całe zamówienie (wszystkie pozycje podlegające zwrotowi, bez wyboru)"
"<em>Per item</em>: the customer chooses lines and quantities. <em>Full order</em>: the request always covers all returnable items; items excluded by law (opened seal, expired period) are still removed automatically, and the form shows a note that partial returns can be requested via your contact page.<br/><strong>⚠ Legal warning.</strong> The explanatory materials to the German implementation law expect the withdrawal function to support selecting parts of the order. Consult your counsel before switching to Full order.","<em>Według pozycji</em>: klient wybiera pozycje i ilości. <em>Całe zamówienie</em>: wniosek zawsze obejmuje wszystkie pozycje podlegające zwrotowi; pozycje wyłączone na mocy prawa (otwarte zabezpieczenie, upływ terminu) są mimo to usuwane automatycznie, a formularz wyświetla informację, że częściowe zwroty można zgłosić za pośrednictwem Państwa strony kontaktowej.<br/><strong>⚠ Ostrzeżenie prawne.</strong> Materiały objaśniające do niemieckiej ustawy wdrażającej zakładają, że funkcja odstąpienia od umowy będzie umożliwiać wybór części zamówienia. Przed przełączeniem na tryb całego zamówienia należy skonsultować się z radcą prawnym."
"This request covers all returnable items of the order.","Niniejszy wniosek obejmuje wszystkie pozycje zamówienia podlegające zwrotowi."
"Contact us for a partial return.","Skontaktuj się z nami w sprawie częściowego zwrotu."
"Review the items included in your return.","Sprawdź pozycje objęte Twoim zwrotem."
"Review the items to return","Sprawdź pozycje do zwrotu"
"Self-service withdrawal is not available for this order.","Samoobsługowe odstąpienie od umowy nie jest dostępne dla tego zamówienia."
"VAT","VAT"
"Of which VAT","W tym VAT"
"Order Adjustment","Korekta zamówienia"
"Bundle Item Selection","Wybór pozycji zestawu"
"<em>No</em> (default): the bundle is shown as one returnable unit — the customer returns the whole bundle. <em>Yes</em>: the bundle's priced components are shown as separate returnable lines when they can be returned independently (e.g. a device and an accessory sold together). Enable this only for bundles that group independently returnable products; a bundle sold as a single set should remain returnable only as a whole.<br/><strong>Legal note.</strong> Configure this according to how each bundle is offered and contracted; consult your counsel if components should be withdrawable separately.","<em>Nie</em> (domyślnie): zestaw jest pokazywany jako jedna pozycja podlegająca zwrotowi — klient zwraca cały zestaw. <em>Tak</em>: wycenione elementy zestawu są pokazywane jako osobne pozycje podlegające zwrotowi, gdy można je zwrócić niezależnie (np. urządzenie i akcesorium sprzedawane razem). Włącz tę opcję wyłącznie dla zestawów grupujących produkty podlegające niezależnemu zwrotowi; zestaw sprzedawany jako jeden komplet powinien pozostać zwracalny tylko w całości.<br/><strong>Uwaga prawna.</strong> Skonfiguruj tę opcję zgodnie z tym, jak każdy zestaw jest oferowany i objęty umową; skonsultuj się z radcą prawnym, jeśli elementy powinny podlegać odstąpieniu osobno."
"Acknowledgment of loss of withdrawal (Art. 16(m)(ii))","Przyjęcie do wiadomości utraty prawa odstąpienia (Art. 16(m)(ii))"
"Both confirmations are required to proceed. Your consent is recorded with a tamper-evident hash of the legal text shown above.","Oba potwierdzenia są wymagane, aby kontynuować. Twoja zgoda jest rejestrowana wraz z odpornym na manipulacje skrótem (hash) tekstu prawnego pokazanego powyżej."
"Digital Content Delivery — Required Waiver","Dostarczanie treści cyfrowych — wymagana zgoda"
"EU Art. 16(m)","EU Art. 16(m)"
"EU Art. 6(1)(h)","EU Art. 6(1)(h)"
"Express consent (Art. 16(m)(i))","Wyraźna zgoda (Art. 16(m)(i))"
"I acknowledge that, as a result, I will lose my right of withdrawal once performance has begun.","Przyjmuję do wiadomości, że w rezultacie utracę prawo odstąpienia z chwilą rozpoczęcia świadczenia."
"I expressly request that performance of the digital content begin immediately, before the end of the 14-day withdrawal period.","Wyraźnie żądam, aby świadczenie treści cyfrowej rozpoczęło się niezwłocznie, przed upływem 14-dniowego terminu do odstąpienia."
"The digital-content consent step is temporarily unavailable. Please refresh the page; if the problem persists, contact support — your order cannot be completed until the required consent can be shown.","Krok wyrażenia zgody na treści cyfrowe jest tymczasowo niedostępny. Odśwież stronę; jeśli problem będzie się powtarzał, skontaktuj się z pomocą techniczną — Twojego zamówienia nie można sfinalizować, dopóki nie będzie można wyświetlić wymaganej zgody."
"Your cart contains digital content. To receive it immediately, EU consumer law requires both your express consent to begin performance and your acknowledgment that doing so causes you to lose the right of withdrawal once delivery starts.","Twój koszyk zawiera treści cyfrowe. Aby otrzymać je niezwłocznie, unijne prawo konsumenckie wymaga zarówno Twojej wyraźnej zgody na rozpoczęcie świadczenia, jak i przyjęcia do wiadomości, że powoduje to utratę prawa odstąpienia z chwilą rozpoczęcia dostarczania."
SKU:,SKU:
"Seal photos skipped","Zdjęcia plomby pominięte"
Submitting…,Wysyłanie…
"That order does not belong to your account. Please select one of your own orders.","To zamówienie nie należy do Twojego konta. Wybierz jedno ze swoich zamówień."
