"View Credit Memo","Zobraziť dobropis"
"Sent when an admin approves a withdrawal request.","Odosiela sa, keď administrátor schváli žiadosť o odstúpenie."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Odosiela sa, keď administrátor zruší žiadosť o odstúpenie v mene zákazníka."
"Sent when an admin denies a withdrawal request.","Odosiela sa, keď administrátor zamietne žiadosť o odstúpenie."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Tieto predvoľby vylučujú konkrétne kategórie produktov zo 14-dňového práva na odstúpenie podľa čl. 16 smernice CRD. Každé pravidlo je predvolene VYPNUTÉ — zapnite ho až po overení, že príslušný atribút produktu je vo vašom katalógu nastavený správne."
"e.g. ""EU orders above €50""","napr. „Objednávky z EÚ nad 50 €“"
"e.g. ""Free delivery""","napr. „Doprava zdarma“"
"Qty: ","Množstvo: "
"Submission failed. Please try again.","Odoslanie zlyhalo. Skúste to prosím znovu."
"Network error. Please try again.","Chyba siete. Skúste to prosím znovu."
"Invalid server response.","Neplatná odpoveď servera."
"Admin Notifications","Administrátorské oznámenia"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Interné upozornenia pre váš tím. Nezávislé od zaškrtávacích polí <em>BCC obchodníkovi</em> v sekcii <em>Oznámenia pre zákazníka</em> nižšie — ak zapnete oboje, dostanete dva e-maily na žiadosť."
"1. New Request Alert","1. Upozornenie na novú žiadosť"
"Sent the moment a customer completes the two-step withdrawal flow.","Odoslané v okamihu, keď zákazník dokončí dvojkrokový proces odstúpenia."
"Recipient Email(s)","E-mail(y) príjemcu"
"BCC","Skrytá kópia"
"New Withdrawal Request","Nová žiadosť o odstúpenie"
"A new withdrawal request was just submitted.","Práve bola podaná nová žiadosť o odstúpenie."
"Request:","Žiadosť:"
"Order:","Objednávka:"
"Customer:","Zákazník:"
"Refund Total:","Celková suma vrátenia:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Odstúpenie] Nová žiadosť %request_increment_id · Objednávka #%order_increment_id · %refund_total"
"Anonymised","Anonymizované"
"Audit","Audit"
"Cancel Order","Zrušiť objednávku"
"Confirmation Email (Art. 11a(4))","Potvrdzovací e-mail (čl. 11a(4))"
"Detection (Art. 16(m))","Detekcia (čl. 16(m))"
"Digital Waiver (Art. 16(m))","Vzdanie sa pri digitálnom obsahu (čl. 16(m))"
"Email Identity","Identita odosielateľa"
"ID","ID"
"Integrity hash","Hash integrity"
"Pre-Contract Proof","Predzmluvný dôkaz"
"Verify this receipt","Overiť toto potvrdenie"
"Withdrawal Window","Lehota na odstúpenie"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Tento hash SHA-256 jednoznačne identifikuje váš záznam o odstúpení. Môžete ho kedykoľvek overiť tlačidlom vyššie."
"Digital content waiver confirmation — Order %increment_id","Potvrdenie vzdania sa pri digitálnom obsahu — Objednávka %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Oddelené čiarkou. Každý príjemca dostane samostatný e-mail vykreslený v jeho vlastnom administrátorskom jazyku (cez interface_locale administrátora; záloha — general/locale/code). Neplatné adresy sa ticho odmietnu."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Detekcia digitálneho obsahu podľa čl. 16(m) smernice o právach spotrebiteľov. Určuje, čo sa počíta ako digitálny obsah na účely oprávnenosti. Skutočné UI vzdania sa práva pri pokladni a e-mail sa nachádzajú v ďalšej sekcii „Vzdanie sa pri digitálnom obsahu“."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Výnimka podľa čl. 16(m) smernice o právach spotrebiteľov — digitálny obsah, pri ktorom zákazník (1) výslovne vopred súhlasil so začatím plnenia a (2) potvrdil stratu práva na odstúpenie. Funkciu riadia dva prepínače: podskupina <em>Detekcia</em> v <em>Pravidlách oprávnenosti</em> rozhoduje, čo sa počíta ako digitálne (hlavný vypínač); táto sekcia zobrazí UI vzdania sa práva s 2 zaškrtávacími poľami pri pokladni a odošle potvrdzovací e-mail podľa čl. 11a(4). Oba musia byť ZAPNUTÉ. Prepisy textu podľa jazyka nižšie. Používajte len pre <strong>jednorazové digitálne nákupy</strong> (e-knihy, inštalátory, hudobné súbory, hry). <strong>Ne</strong>aktivujte pre priebežné digitálne <strong>predplatné alebo služby</strong> (SaaS, streaming, hostené služby) — judikatúra EÚ (CJEU Sky, C-641/19) vyžaduje iný postup súhlasu."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Definuje, <strong>kedy</strong> sa začína 14-dňové právo na odstúpenie (spúšťač doručenia, čl. 9(2)(b)) a <strong>ako dlho</strong> trvá v dňoch (čl. 9(2)). Spolu určujú obdobie, počas ktorého je odstúpenie každej objednávky otvorené."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Predvolene 14 dní podľa čl. 9(2). Predĺženie povolené (napr. 30, 100). Skrátenie pod 14 je nezákonné — pole validuje len 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Keď je zapnuté, košíky s detegovaným digitálnym artiklom zobrazia krok vzdania sa práva s 2 zaškrtávacími poľami pri pokladni. Nemá účinok, pokiaľ nie je tiež zapnuté <em>Pravidlá oprávnenosti → Detekcia → Povoliť detekciu digitálneho obsahu</em>."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Voliteľné. Oddelené čiarkou. Pošle skrytú kópiu potvrdzovacieho e-mailu vzdania sa práva na auditnú adresu obchodníka. Nechajte prázdne pre preskočenie."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Právne upozornenie.</strong> Čl. 11a(2) smernice o právach spotrebiteľov vyžaduje doslovný text „odstúpte od zmluvy tu“ <em>alebo zodpovedajúce jednoznačné znenie</em>. Predvolená hodnota („Odstúpte od zmluvy tu“) je doslovná fráza Smernice; Preklady podľa jazyka sú podpísané právnikom. <strong>Neprepisujte bez písomného stanoviska od kvalifikovaného advokáta na spotrebiteľské právo v cieľovej jurisdikcii.</strong> Každé prepisanie je zaznamenané v audit-logu."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Právne upozornenie.</strong> Toto je popis konečného potvrdzovacieho tlačidla. Predvolená hodnota („Potvrdiť odstúpenie“) je podpísaná právnikom; Preklady podľa jazyka sú podpísané právnikom. Prepisujte len s písomným právnym stanoviskom; prepisy sa zaznamenávajú v audit-logu."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Zrušiť prepojenú objednávku? Nebola zachytená žiadna platba, takže nie je čo vrátiť — objednávka bude zrušená v Magente."
"Scope & Applicability","Rozsah a použiteľnosť"
"Controls in which markets the self-service withdrawal flow is offered. These are merchant business decisions, not legal exclusions — an EU consumer's statutory right of withdrawal does not depend on them, and declarations received by other means (email, letter) must still be honoured manually.","Určuje, na ktorých trhoch sa ponúka samoobslužný proces odstúpenia. Ide o obchodné rozhodnutia predajcu, nie o právne výnimky — zákonné právo spotrebiteľa z EÚ na odstúpenie od nich nezávisí a odstúpenia doručené iným spôsobom (e-mailom, listom) je nutné naďalej vybaviť manuálne."
"Restrict by Country","Obmedziť podľa krajiny"
"Offers the self-service withdrawal flow only for orders whose billing <strong>or</strong> shipping address is in the selected countries. <strong>Legal note:</strong> this restricts the storefront flow only — an EU consumer's statutory right of withdrawal does not depend on the address, and withdrawal declarations received by other means (email, letter) must still be honoured manually. Default: disabled.","Ponúka samoobslužný proces odstúpenia iba pre objednávky, ktorých fakturačná <strong>alebo</strong> dodacia adresa je vo vybraných krajinách. <strong>Právna poznámka:</strong> toto obmedzuje iba proces v obchode — zákonné právo spotrebiteľa z EÚ na odstúpenie nezávisí od adresy a odstúpenia doručené iným spôsobom (e-mailom, listom) je nutné naďalej vybaviť manuálne. Predvolené: vypnuté."
"Offer Withdrawal For Countries","Ponúkať odstúpenie pre krajiny"
"Preselected: EU-27 plus EEA (Norway, Iceland, Liechtenstein). Add the United Kingdom manually if you target UK consumers (separate national regime with a comparable 14-day right). If you clear this list, the restriction has no effect and the flow stays available to every customer.","Predvybrané: EÚ-27 plus EHP (Nórsko, Island, Lichtenštajnsko). Spojené kráľovstvo pridajte manuálne, ak cielite na spotrebiteľov v Spojenom kráľovstve (samostatný národný režim s porovnateľným 14-dňovým právom). Ak tento zoznam vymažete, obmedzenie nemá žiadny účinok a proces zostáva dostupný pre všetkých zákazníkov."
"Restrict by Customer Group","Obmedziť podľa skupiny zákazníkov"
"Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled.","Hides the self-service withdrawal flow from orders placed by the selected customer groups (e.g. your B2B / wholesale groups). The right of withdrawal is a consumer right, so this lets you keep it off for business customers. <strong>Legal note:</strong> this restricts the storefront flow only — it does not decide who is legally a consumer, and any withdrawal declaration received by other means must still be honoured manually. Default: disabled."
"Exclude Customer Groups","Vylúčiť skupiny zákazníkov"
"Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer.","Orders placed by any selected group are excluded from the self-service flow. Guests are always treated as consumers and cannot be excluded here. If you clear this list, the restriction has no effect and the flow stays available to every customer."
"Custom-made to your specifications","Vyrobené podľa vašich špecifikácií"
"Perishable goods","Tovar podliehajúci rýchlej skaze"
"Sealed hygiene item — seal broken","Zapečatený hygienický tovar — pečať porušená"
"Sealed audio/video — seal broken","Zapečatené audio/video — pečať porušená"
"Newspapers, periodicals, magazines","Noviny, periodiká, časopisy"
"Accommodation / event on specific date","Ubytovanie / podujatie v konkrétnom termíne"
"Digital content — right waived at purchase","Digitálny obsah — vzdanie sa práva pri nákupe"
"Withdrawal period has expired","Lehota na odstúpenie uplynula"
"Already withdrawn in a prior request","Už odstúpené v predchádzajúcej žiadosti"
"A draft withdrawal is holding this item. Confirm it via the email we sent, or cancel it in the 'Existing withdrawals' section above.","Túto položku blokuje rozpracované odstúpenie. Potvrďte ho prostredníctvom e-mailu, ktorý sme vám poslali, alebo ho zrušte v sekcii „Existujúce odstúpenia“ vyššie."
"EU withdrawal request %1 was approved.","Žiadosť o odstúpenie EU %1 bola schválená."
"EU withdrawal request %1 was approved. Refund: %2.","Žiadosť o odstúpenie EU %1 bola schválená. Refundácia: %2."
"EU withdrawal request %1 was denied.","Žiadosť o odstúpenie EU %1 bola zamietnutá."
"EU withdrawal request %1 was denied. Reason: %2","Žiadosť o odstúpenie EU %1 bola zamietnutá. Dôvod: %2"
"EU withdrawal request %1 was cancelled by the customer.","Žiadosť o odstúpenie EU %1 bola zrušená zákazníkom."
"EU withdrawal request %1 was cancelled by an administrator.","Žiadosť o odstúpenie EU %1 bola zrušená administrátorom."
"If Delivery Is Never Confirmed","Ak doručenie nie je nikdy potvrdené"
"When an order is already in a Delivery Confirmation Status but has no recorded transition into it (no delivery timestamp), choose whether its withdrawal stays open or it is treated as not eligible. Default: not eligible.","Keď objednávka už má stav potvrdenia doručenia, ale nie je zaznamenaný prechod do tohto stavu (žiadny dátum doručenia), zvoľte, či odstúpenie zostane otvorené, alebo sa bude považovať za neoprávnené. Predvolené: neoprávnené."
"Statuses Excluded From Withdrawal","Stavy vylúčené z odstúpenia"
"Orders whose current status is selected here are never offered for withdrawal (e.g. a legacy migration status such as <code>imported</code>). Do not select a status used by active, deliverable orders — that withholds a valid withdrawal.","Objednávky, ktorých aktuálny stav je tu vybraný, sa nikdy neponukajú na odstúpenie (napr. migračný stav ako <code>imported</code>). Nevyberajte stav používaný aktívnymi, doručitelnými objednávkami — tým by sa zamietlo platné odstúpenie."
"Treat as not eligible","Považovať za neoprávnené"
"Keep withdrawal open","Ponechať odstúpenie otvorené"
"Withdrawal not available for this order","Odstúpenie nie je pre túto objednávku k dispozícii"
"This order is not eligible for withdrawal.","Táto objednávka nie je oprávnená na odstúpenie."
"EU withdrawal request %1 submitted.","Žiadosť o odstúpenie EU %1 bola odoslaná."
"EU withdrawal request %1 submitted. Requested refund: %2.","Žiadosť o odstúpenie EU %1 bola odoslaná. Požadovaná refundácia: %2."
"Show more orders","Zobraziť viac objednávok"
"Item Selection","Výber položiek"
"Per item (customer selects items and quantities)","Podľa položiek (zákazník vyberá položky a množstvá)"
"Full order (all returnable items, no selection)","Celá objednávka (všetky položky, ktoré možno vrátiť, bez výberu)"
"<em>Per item</em>: the customer chooses lines and quantities. <em>Full order</em>: the request always covers all returnable items; items excluded by law (opened seal, expired period) are still removed automatically, and the form shows a note that partial returns can be requested via your contact page.<br/><strong>⚠ Legal warning.</strong> The explanatory materials to the German implementation law expect the withdrawal function to support selecting parts of the order. Consult your counsel before switching to Full order.","<em>Podľa položiek</em>: zákazník vyberá riadky a množstvá. <em>Celá objednávka</em>: žiadosť sa vždy vzťahuje na všetky položky, ktoré možno vrátiť; položky vylúčené zo zákona (porušená pečať, uplynutá lehota) sa aj tak automaticky odstránia a formulár zobrazí poznámku, že o čiastočné odstúpenie možno požiadať prostredníctvom vašej kontaktnej stránky.<br/><strong>⚠ Právne upozornenie.</strong> Dôvodová správa k nemeckému vykonávaciemu zákonu predpokladá, že funkcia odstúpenia od zmluvy bude podporovať výber častí objednávky. Pred prepnutím na možnosť Celá objednávka sa poraďte so svojím právnym zástupcom."
"This request covers all returnable items of the order.","Táto žiadosť sa vzťahuje na všetky položky objednávky, ktoré možno vrátiť."
"Contact us for a partial return.","Pre čiastočné vrátenie nás kontaktujte."
"Review the items included in your return.","Skontrolujte položky zahrnuté vo vašom vrátení."
"Review the items to return","Skontrolujte položky na vrátenie"
"Self-service withdrawal is not available for this order.","Samoobslužné odstúpenie od zmluvy nie je pre túto objednávku k dispozícii."
"VAT","DPH"
"Of which VAT","Z toho DPH"
"Order Adjustment","Úprava objednávky"
"Bundle Item Selection","Výber položiek balíka"
"<em>No</em> (default): the bundle is shown as one returnable unit — the customer returns the whole bundle. <em>Yes</em>: the bundle's priced components are shown as separate returnable lines when they can be returned independently (e.g. a device and an accessory sold together). Enable this only for bundles that group independently returnable products; a bundle sold as a single set should remain returnable only as a whole.<br/><strong>Legal note.</strong> Configure this according to how each bundle is offered and contracted; consult your counsel if components should be withdrawable separately.","<em>Nie</em> (predvolené): balík sa zobrazuje ako jedna jednotka, ktorú možno vrátiť — zákazník vracia celý balík. <em>Áno</em>: podpoložky balíka s vlastnou cenou sa zobrazujú ako samostatné riadky, ktoré možno vrátiť, keď ich možno vrátiť nezávisle (napr. zariadenie a príslušenstvo predávané spolu). Toto zapnite len pri balíkoch, ktoré zoskupujú produkty, ktoré možno vrátiť nezávisle; balík predávaný ako jeden set by mal zostať vrátiteľný len ako celok.<br/><strong>Právna poznámka.</strong> Nastavte to podľa toho, ako sa každý balík ponúka a dojednáva v zmluve; ak by mali byť komponenty odstúpiteľné samostatne, poraďte sa so svojím právnym zástupcom."
"Acknowledgment of loss of withdrawal (Art. 16(m)(ii))","Potvrdenie o strate práva na odstúpenie (Art. 16(m)(ii))"
"Both confirmations are required to proceed. Your consent is recorded with a tamper-evident hash of the legal text shown above.","Na pokračovanie sú potrebné obidve potvrdenia. Váš súhlas sa zaznamenáva spolu s hashom právneho textu uvedeného vyššie, ktorý je odolný voči manipulácii."
"Digital Content Delivery — Required Waiver","Dodanie digitálneho obsahu — povinný súhlas"
"EU Art. 16(m)","EU Art. 16(m)"
"EU Art. 6(1)(h)","EU Art. 6(1)(h)"
"Express consent (Art. 16(m)(i))","Výslovný súhlas (Art. 16(m)(i))"
"I acknowledge that, as a result, I will lose my right of withdrawal once performance has begun.","Beriem na vedomie, že v dôsledku toho stratím svoje právo na odstúpenie, akonáhle sa začne plnenie."
"I expressly request that performance of the digital content begin immediately, before the end of the 14-day withdrawal period.","Výslovne žiadam, aby sa plnenie digitálneho obsahu začalo okamžite, pred uplynutím 14-dňovej lehoty na odstúpenie."
"The digital-content consent step is temporarily unavailable. Please refresh the page; if the problem persists, contact support — your order cannot be completed until the required consent can be shown.","Krok súhlasu s digitálnym obsahom je dočasne nedostupný. Obnovte, prosím, stránku; ak problém pretrváva, kontaktujte podporu — vašu objednávku nie je možné dokončiť, kým sa nezobrazí požadovaný súhlas."
"Your cart contains digital content. To receive it immediately, EU consumer law requires both your express consent to begin performance and your acknowledgment that doing so causes you to lose the right of withdrawal once delivery starts.","Váš košík obsahuje digitálny obsah. Aby ste ho dostali okamžite, spotrebiteľské právo EÚ vyžaduje váš výslovný súhlas so začatím plnenia aj vaše potvrdenie, že tým stratíte právo na odstúpenie, akonáhle sa začne dodanie."
SKU:,SKU:
"Seal photos skipped","Fotografie pečate preskočené"
Submitting…,"Odosiela sa…"
"That order does not belong to your account. Please select one of your own orders.","Táto objednávka nepatrí k vášmu účtu. Vyberte, prosím, jednu z vašich vlastných objednávok."
"Bundle contents","Obsah balíka"
"included in the bundle price above — not returnable separately","zahrnuté v cene balíka vyššie — nie je možné vrátiť samostatne"
"included: %1","zahrnuté: %1"
"Included","Zahrnuté"
"Individual items","Jednotlivé položky"
"%1 items","%1 položiek"
"Return now","Vrátiť teraz"
"Included in this bundle","Zahrnuté v tomto balíku"
"Included value","Zahrnutá hodnota"
"Other items","Ostatné položky"
"Order total","Spolu za objednávku"
"Hygiene seal","Hygienická pečať"
"Media seal","Pečať nosiča"
"Seal Photos","Fotografie pečate"
"Is the hygiene seal on “%1” still intact?","Je hygienická pečať na „%1“ stále neporušená?"
"Is the media / software seal on “%1” still intact?","Je pečať nosiča / softvéru na „%1“ stále neporušená?"
"Once you confirm the seal is broken, the whole bundle can’t be returned. Its quantity is set to 0.","Po potvrdení, že pečať je porušená, celý balík nie je možné vrátiť. Jeho množstvo sa nastaví na 0."
"A credit memo can only be started for an approved withdrawal request.","Dobropis možno začať iba pre schválenú žiadosť o odstúpenie."
"EU withdrawal request %1 was cancelled by an administrator. Reason: %2","Žiadosť o odstúpenie EÚ %1 zrušil administrátor. Dôvod: %2"
"System","Systém"
"View Order","Zobraziť objednávku"
"View Request","Zobraziť žiadosť"
"View Shipment","Zobraziť zásielku"
"Please confirm both consent boxes to proceed with digital content delivery.","Potvrďte obidva súhlasy, aby ste mohli pokračovať v dodaní digitálneho obsahu."
"The digital-content consent step could not load. Please refresh and try again, or contact support.","Krok súhlasu s digitálnym obsahom sa nepodarilo načítať. Obnovte stránku a skúste to znova alebo kontaktujte podporu."
"We could not record your consent just now. Please try again.","Váš súhlas sa teraz nepodarilo zaznamenať. Skúste to znova."
