"View Credit Memo","Ogled dobropisa"
"Issue Credit Memo","Izdaj dobropis"
"Approve","Odobri"
"Approve this withdrawal request?","Odobri to zahtevo za odstop?"
"Deny","Zavrni"
"Legal reason for denial (min 10 chars):","Pravni razlog za zavrnitev (najmanj 10 znakov):"
"Cancel Request","Prekliči zahtevo"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Prekličem ta odstop? Dodajte neobvezno opombo za stranko (vidno v njenem e-poštnem sporočilu o preklicu):"
"Resend Receipt","Ponovno pošlji potrdilo"
"Send the receipt email again? The customer will receive another copy.","Ponovno pošljem e-pošto s potrdilom? Stranka bo prejela še eno kopijo."
"Withdrawal Request #%1","Zahteva za odstop #%1"
"Request Details","Podrobnosti zahteve"
"Information","Informacije"
"Reason for Denial","Razlog za zavrnitev"
"Customer Cancellation Note","Opomba stranke ob preklicu"
"Cancellation Note","Opomba o preklicu"
"Status-Change Note","Opomba ob spremembi stanja"
"Code","Koda"
"Label","Oznaka"
"Add Reason","Dodaj razlog"
"In progress","V obdelavi"
"Refund issued","Vračilo izdano"
"Denied","Zavrnjeno"
"Cancelled","Preklicano"
"Pending","V obravnavi"
"This is a transactional email about your order.","To je transakcijsko e-poštno sporočilo o vašem naročilu."
"Reason for denial","Razlog za zavrnitev"
"Your cancellation note","Vaša opomba o preklicu"
"Note from our team","Sporočilo naše ekipe"
"EU right of withdrawal","Pravica do odstopa v EU"
"Withdrawal right pending delivery","Pravica do odstopa čaka na dostavo"
"Withdrawal window has ended","Rok za odstop se je iztekel"
"Not eligible for withdrawal","Ni mogoče odstopiti"
"Withdrawal already requested","Zahteva za odstop je že oddana"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","Od te pogodbe lahko odstopite kadar koli — 14-dnevni rok začne teči ob dostavi naročila."
"Your 14-day withdrawal window will begin once this order is delivered.","Vaše 14-dnevno obdobje za odstop se bo začelo, ko bo to naročilo dostavljeno."
"The 14-day window for withdrawing from this contract has ended.","14-dnevno obdobje za odstop od te pogodbe se je izteklo."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","To naročilo ne izpolnjuje pogojev za odstop po pravu EU o varstvu potrošnikov (Čl. 16 Direktiva 2011/83/EU)."
"A withdrawal request for this order has been submitted. See the request details below.","Za to naročilo je bila oddana zahteva za odstop. Podrobnosti zahteve si oglejte spodaj."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","To naročilo vsebuje pokvarljiv izdelek, ki ga ni mogoče vrniti (živila s kratkim rokom trajanja, sveže rože itd.)."
"This order contains a custom-made or personalised item that cannot be returned.","To naročilo vsebuje izdelek, izdelan po naročilu ali prilagojen po željah stranke, ki ga ni mogoče vrniti."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","To naročilo vsebuje zapečaten higienski izdelek. Pravico do odstopa obdržite le, dokler je pečat nedotaknjen — ko po dostavi pečat odstranite, pravica preneha."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","To naročilo vsebuje zapečaten avdio / video / programski izdelek. Pravico do odstopa obdržite le, dokler je pečat nedotaknjen — ko po dostavi pečat odstranite, pravica preneha."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","To naročilo vsebuje digitalno vsebino. Ko začnete uporabljati ali prenašati vsebino, izgubite pravico do odstopa (s tem ste soglašali ob zaključku nakupa)."
"%1 item(s) · Refund %2","%1 artiklov · Vračilo %2"
"Awaiting confirmation","Čaka na potrditev"
"Cancel withdrawal %1? Your refund will not be processed.","Prekličem odstop %1? Vaše vračilo ne bo izvedeno."
"Submitted","Oddano"
"Approved","Odobreno"
"Fully returned","V celoti vrnjeno"
"Return requested","Zahtevano vračilo"
"Not eligible","Ne izpolnjuje pogojev"
"Partially requested","Delno zahtevano"
"— Select a reason —","— Izberite razlog —"
"Other","Drugo"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Povračilo bo izvedeno na vašo izvirno plačilno metodo v 5–7 delovnih dneh po prejemu vašega vračila."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Pravica do odstopa je izgubljena (Čl. 16(m) Direktiva 2011/83/EU) — izvajanje digitalne vsebine se je začelo %1."
"Request #%1 not found.","Zahteve #%1 ni mogoče najti."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","E-pošta s potrdilom je bila znova uvrščena v čakalno vrsto za zahtevo #%1. Dostava bo asinhrono ponovno poskušana."
"Failed to queue receipt resend: %1","Ponovnega pošiljanja potrdila ni bilo mogoče uvrstiti v čakalno vrsto: %1"
"Note text is empty.","Besedilo opombe je prazno."
"Note added to request #%1.","Opomba dodana k zahtevi #%1."
"Request #%1 approved.","Zahteva #%1 odobrena."
"Request #%1 cancelled.","Zahteva #%1 preklicana."
"Request #%1 denied.","Zahteva #%1 zavrnjena."
"Invalid request id.","Neveljaven ID zahteve."
"Unable to open temporary file for CSV export.","Začasne datoteke za izvoz CSV ni mogoče odpreti."
"Withdrawal Requests","Zahteve za odstop"
"%1 requests queued for acceptance.","%1 zahtev uvrščenih v čakalno vrsto za odobritev."
"%1 request(s) approved.","Odobrenih zahtev: %1."
"%1 request(s) failed. First errors: %2","Neuspešnih zahtev: %1. Prve napake: %2"
"Note added to %1 request(s).","Opomba dodana k %1 zahtevam."
"Underlying order #%1 not found.","Pripadajočega naročila #%1 ni mogoče najti."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Naročilo #%1 še nima računa — Magento zahteva račun, preden je mogoče izdati dobropis. Najprej izdajte račun (Prodaja → Naročila → #%1 → gumb Račun), nato se vrnite sem za izvedbo vračila."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","Pri tej zahtevi za odstop ni zabeleženih izdelkov — dobropis se bo odprl s privzetimi količinami z računa; ročno jih prilagodite."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Vnaprej izpolnjen dobropis za odstop #%1 — spodaj preverite količine in vračilo poštnine, nato kliknite Vračilo prek spleta ali Vračilo brez povezave."
"Some items are no longer eligible. Please reload and try again.","Nekateri izdelki ne izpolnjujejo več pogojev. Stran znova naložite in poskusite ponovno."
"We could not process your request. Please try again.","Vaše zahteve ni bilo mogoče obdelati. Poskusite ponovno."
"Item","Izdelek"
"We could not find a matching order for that email.","Za ta e-poštni naslov ni bilo mogoče najti ustreznega naročila."
"Withdraw from a contract","Odstop od pogodbe"
"Withdrawal not found.","Odstopa ni mogoče najti."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Tega odstopa prek spleta ni več mogoče preklicati. Če potrebujete pomoč, nas kontaktirajte."
"Withdrawal #%1 cancelled.","Odstop #%1 preklican."
"Please fill in all required fields.","Izpolnite vsa obvezna polja."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","Iz odstopa je bilo izključenih %1 izdelkov, ker je pečat poškodovan (Čl. 16(e)/(i) Direktiva 2011/83/EU)."
"Please select at least one item to withdraw.","Izberite vsaj en izdelek za odstop."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Eden ali več izdelkov ni več na voljo za odstop. Osvežite stran in poskusite ponovno."
"None of the selected items are eligible for withdrawal.","Nobeden od izbranih izdelkov ne izpolnjuje pogojev za odstop."
"Hash mismatch for quote item %1","Neujemanje zgoščene vrednosti pri postavki ponudbe %1"
"Requested qty %1 exceeds remaining %2 for order item %3","Zahtevana količina %1 presega preostalo količino %2 za postavko naročila %3"
"No delivery confirmation recorded for this order yet.","Za to naročilo še ni zabeležene potrditve dostave."
"No eligible items selected for withdrawal","Ni izbranih izdelkov, ki bi izpolnjevali pogoje za odstop"
"Physical goods","Fizično blago"
"Digital content (non-tangible)","Digitalna vsebina (neopredmetena)"
"Digital service (SaaS / subscription)","Digitalna storitev (SaaS / naročnina)"
"Financial services (not supported)","Finančne storitve (ni podprto)"
"Downloadable products","Izdelki za prenos"
"Virtual products","Virtualni izdelki"
"Bundles containing digital children","Sklopi, ki vsebujejo digitalne podizdelke"
"Custom attribute flag","Zastavica atributa po meri"
"locale_inheritance.xml missing at %1","locale_inheritance.xml manjka na %1"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml na %1 ni berljiv"
"locale_inheritance.xml failed XSD validation: %1","locale_inheritance.xml ni prestal XSD validacije: %1"
"Original payment method","Prvotni način plačila"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","To je vaše potrdilo o odstopu na trajnem nosilcu (Čl. 11a(4) Direktiva 2011/83/EU)."
"This email is a notification about your withdrawal request.","To e-poštno sporočilo je obvestilo o vaši zahtevi za odstop."
"5–7 business days","5–7 delovnih dni"
"This is a confirmation that your withdrawal request has been recorded.","To je potrditev, da je bila vaša zahteva za odstop zabeležena."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","MageMe EU Withdrawal je nameščen, vendar ni omogočen. Pred omogočanjem preverite kontrolni seznam skladnosti in nastavite modul: <a href=""%1"">Trgovine → Konfiguracija → Razširitve MageMe → EU pravica do odstopa</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","Status potrditve dostave ni nastavljen. Nastavite v Trgovine → Konfiguracija → Razširitve MageMe → EU pravica do odstopa → Obdobje za odstop → Statusi potrditve dostave."
"No Annex I source found for locale %1 along chain %2","Vira Priloge I za jezik %1 ni mogoče najti v verigi %2"
"Annex I source for locale %1 is malformed","Vir Priloge I za jezik %1 je nepravilno oblikovan"
"Missing merchant variables for Annex I rendering: %1","Manjkajo trgovske spremenljivke za izpis Priloge I: %1"
"Receipt hash mismatch for request %1","Neujemanje zgoščene vrednosti potrdila za zahtevo %1"
"Request %1 not found.","Zahteve %1 ni mogoče najti."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Za zavrnitev zahteve za odstop je potrebna pravna podlaga z najmanj 10 znaki."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Zahteva za odstop ne more preiti iz „%1“ v „%2“."
"Request %1 is not in pending_confirm state.","Zahteva %1 ni v stanju pending_confirm."
"Withdrawal request #%1 does not exist.","Zahteva za odstop #%1 ne obstaja."
"No digital items on order %1","Na naročilu %1 ni digitalnih izdelkov"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","To je vaša kopija odpovedi na trajnem nosilcu, ki ste jo podpisali ob zaključku nakupa (Čl. 11a(4) Direktiva 2011/83/EU)."
"Waived","Odpovedano"
"Waiver email render failed: %1","Izpis e-pošte z odpovedjo ni uspel: %1"
"Digital content waiver text has changed — please reload checkout.","Besedilo odpovedi pri digitalni vsebini se je spremenilo — znova naložite blagajno."
"Digital content waiver is incomplete for item %1.","Odpoved pri digitalni vsebini je nepopolna za izdelek %1."
"bad","slabo"
"smtp down","smtp down"
"smtp","smtp"
"down","izpad"
"No shipment found for order 42.","Za naročilo 42 ni mogoče najti pošiljke."
"View","Ogled"
"Withdrawal & Customer Information","Podatki o odstopu in stranki"
"Request # %1","Zahteva št. %1"
"Request Status","Stanje zahteve"
"Submitted At","Oddano"
"Confirmed At","Potrjeno"
"Related Order","Povezano naročilo"
"Jurisdiction","Pristojnost"
"Contract Type","Vrsta pogodbe"
"Receipt Status","Stanje potrdila"
"%1 attempt(s)","Št. poskusov: %1"
"Receipt Error","Napaka potrdila"
"Customer Information","Podatki o stranki"
"Customer Name","Ime stranke"
"Email","E-pošta"
"Locale","Jezik"
"Items Selected for Withdrawal","Izdelki, izbrani za odstop"
"Product","Izdelek"
"Price","Cena"
"Qty","Količina"
"Subtotal","Vmesna vsota"
"Refund","Vračilo"
"Reason","Razlog"
"Eligibility","Upravičenost"
"No items associated with this request.","Ni izdelkov, povezanih s to zahtevo."
"SKU","SKU"
"Ordered","Naročeno"
"Withdrawing","V odstopu"
"Refund Total","Skupno vračilo"
"Notes for this Request","Opombe za to zahtevo"
"Internal notes — visible to admin staff only. Not sent to the customer.","Notranje opombe — vidne samo skrbnikom. Niso poslane stranki."
"Comment","Komentar"
"Add internal note (max 2000 chars)","Dodaj notranjo opombo (največ 2000 znakov)"
"Submit Comment","Pošlji komentar"
"No comments added yet.","Še ni dodanih komentarjev."
" by %1"," od %1"
"Refund Totals","Skupni zneski vračila"
"Items Subtotal","Vmesna vsota izdelkov"
"Shipping Refund","Vračilo poštnine"
"Total Refund","Skupno vračilo"
"Changes have been made to this section that have not been saved.","V tem razdelku so bile narejene spremembe, ki niso bile shranjene."
"This tab contains invalid data. Please resolve this before saving.","Ta zavihek vsebuje neveljavne podatke. Pred shranjevanjem to odpravite."
"Contact us","Stik"
"Returns","Vračila"
"FAQs","Pogosta vprašanja"
"All rights reserved.","Vse pravice pridržane."
"Returned items","Vrnjeni artikli"
"No image","Brez slike"
"Item status","Stanje artikla"
"Withdrawal options for this order","Možnosti odstopa za to naročilo"
"You can return this order until %1.","To naročilo lahko vrnete do %1."
"(Art. 11a Directive 2011/83/EU)","(Čl. 11a Direktiva 2011/83/EU)"
"Submit a withdrawal request to start the refund process.","Oddajte zahtevo za odstop, da začnete postopek vračila."
"(Art. 9(2)(b) Directive 2011/83/EU)","(Čl. 9(2)(b) Direktiva 2011/83/EU)"
"Start withdrawal","Začni odstop"
"Your withdrawal requests","Vaše zahteve za odstop"
"Submitted %1","Oddano %1"
"Show items","Prikaži artikle"
"Cancel withdrawal","Prekliči odstop"
"Qty %1","Kol. %1"
"Receipt details","Podrobnosti potrdila"
"Receipt number","Številka potrdila"
"Order number","Številka naročila"
"Confirmed","Potrjeno"
"Consumer","Potrošnik"
"Refund total","Skupni znesek vračila"
"Merchant","Trgovec"
"Legal basis","Pravna podlaga"
"SKU %1","SKU %1"
"Shipping refund","Vračilo poštnine"
"Tax refund","Vračilo davka"
"Total refund","Skupno vračilo"
"Digital content — Art. 16(m) notice","Digitalna vsebina — obvestilo po Čl. 16(m)"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Z oddajo naročila ste se strinjali z začetkom izvajanja digitalne vsebine pred iztekom roka za odstop in potrdili, da po začetku izvedbe pravica do odstopa ne velja več. To obvestilo je prikazano za vašo evidenco."
"Existing withdrawals for this order","Obstoječi odstopi za to naročilo"
"You can cancel a withdrawal here until it is approved.","Tu lahko odstop prekličete, dokler ni odobren."
"Request #%1","Zahteva #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Predvideno vračilo: %1 %2"
"Cancel this withdrawal","Prekliči ta odstop"
"Are you sure? This cannot be undone.","Ste prepričani? Tega dejanja ni mogoče razveljaviti."
"Yes, cancel","Da, prekliči"
"Keep it","Ohrani"
"Select items to return","Izberite izdelke za vračilo"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Izberite vse izdelke ali le nekatere. Nastavite količino vračila za vsak izdelek, od katerega želite odstopiti."
"You have 14 days from the day you received your order to withdraw from the contract without giving a reason.","Po prejemu naročila imate 14 dni časa, da odstopite od pogodbe brez navedbe razloga."
"Back to order search","Nazaj na iskanje naročil"
"Cancel","Prekliči"
"Continue to review","Nadaljuj na pregled"
"Review and confirm","Preglej in potrdi"
"Order #%1","Naročilo #%1"
"Placed on %1","Oddano %1"
"Awaiting delivery","Čaka na dostavo"
"Delivered on %1","Dostavljeno %1"
"Total","Skupaj"
"Return shipping","Pošiljanje vračila"
"View return policy","Oglejte si politiko vračil"
"Refund method","Način vračila"
"Refund will be issued to your original payment method.","Povračilo bo izvedeno na vašo izvirno plačilno metodo."
"Return summary","Povzetek vračila"
"Shipping & Handling","Pošiljanje in manipulacija"
"Tax","Davek"
"Back to items","Nazaj na artikle"
"Submit return request","Pošlji zahtevo za vračilo"
"Your return request has been submitted!","Vaša zahteva za vračilo je bila poslana!"
"We've emailed you a notification with your return details and a prepaid return label (if applicable). You have 14 days from the delivery date to send your items back.","Po e-pošti smo vam poslali obvestilo s podrobnostmi vračila in predplačano nalepko za vračilo (če velja). Od datuma dostave imate 14 dni časa za vračilo izdelkov."
"Return request number","Številka zahteve za vračilo"
"Copy request number","Kopiraj številko zahteve"
"Copied!","Kopirano!"
"Confirmation email sent","Potrditveno e-sporočilo poslano"
"We've sent the details to","Podrobnosti smo poslali na"
"What happens next?","Kaj sledi?"
"Pack your items securely","Varno zapakirajte svoje izdelke"
"Send them back using the provided instructions","Pošljite jih nazaj po priloženih navodilih"
"We'll inspect your return","Pregledali bomo vaše vračilo"
"Your refund will be issued to your original payment method","Vračilo bo izvedeno na vaš prvotni način plačila"
"Need more help?","Potrebujete dodatno pomoč?"
"View my returns","Oglej si moja vračila"
"Contact support","Kontaktiraj podporo"
"Purchased","Kupljeno"
"Returned","Vrnjeno"
"Decrease quantity","Zmanjšaj količino"
"Increase quantity","Povečaj količino"
"Is the hygiene seal still intact?","Je higienski pečat še nedotaknjen?"
"Is the original software / media seal still intact?","Je izvirni pečat programske opreme / medija še nedotaknjen?"
"Yes — it's still sealed","Da — še vedno je zapečaten"
"Refund possible — return the unopened package.","Vračilo je mogoče — vrnite neodprto embalažo."
"No — I've opened it","Ne — odprl/a sem ga"
"This item cannot be returned (Art. 16(e) Directive 2011/83/EU).","Tega izdelka ni mogoče vrniti (Čl. 16(e) Direktiva 2011/83/EU)."
"This item cannot be returned (Art. 16(i) Directive 2011/83/EU).","Tega izdelka ni mogoče vrniti (Čl. 16(i) Direktiva 2011/83/EU)."
"Once you confirm the seal is broken, this item is excluded from the withdrawal request and the quantity will be reset to zero.","Ko potrdite, da je pečat poškodovan, je ta izdelek izključen iz zahteve za odstop in količina bo ponastavljena na nič."
"Reason for return (optional)","Razlog za vračilo (neobvezno)"
"Tell us more (optional, max 500 chars)","Povejte nam več (neobvezno, največ 500 znakov)"
"Already returned.","Že vrnjeno."
"awaiting admin review","čaka na pregled skrbnika"
"awaiting confirmation","čaka na potrditev"
"Request %1 %2 (%3 item%4).","Zahteva %1 %2 (%3 izdelek%4)."
"Return request awaiting review.","Zahteva za vračilo čaka na pregled."
"Cancel request","Prekliči zahtevo"
"Under EU consumer law, you may withdraw from most contracts within 14 days without giving a reason.","V skladu s pravom EU o varstvu potrošnikov lahko od večine pogodb odstopite v 14 dneh brez navedbe razlogov."
"Read your full pre-contract rights (Art. 6)","Preberite vse svoje predpogodbene pravice (Čl. 6)"
"Under Art. 6 of Directive 2011/83/EU (as amended by Directive (EU) 2023/2673), before you placed this order the seller informed you — or made available — the following information:","V skladu s Čl. 6 Direktive 2011/83/EU (kot je bila spremenjena z Direktivo (EU) 2023/2673) vas je prodajalec pred oddajo naročila obvestil — ali vam dal na voljo — naslednje informacije:"
"The main characteristics of the goods or services.","Glavne značilnosti blaga ali storitev."
"The identity and contact details of the trader.","Identiteto in kontaktne podatke trgovca."
"The total price including all taxes and any delivery costs.","Skupno ceno vključno z vsemi davki in morebitnimi stroški dostave."
"The arrangements for payment, delivery and performance, and complaint-handling.","Pogoje plačila, dostave in izvedbe ter postopek obravnave pritožb."
"Your right of withdrawal: under Art. 9 you have 14 days to withdraw from this distance contract without giving a reason. For physical goods, the 14-day period starts on the day you (or a third party nominated by you) take physical possession of the goods. For services and digital content, different starting dates apply (Art. 9(2)(a)/(c)).","Vašo pravico do odstopa: v skladu s Čl. 9 imate 14 dni časa za odstop od te pogodbe na daljavo brez navedbe razloga. Pri fizičnem blagu 14-dnevni rok začne teči na dan, ko vi (ali tretja oseba, ki ste jo določili) prevzamete blago v fizično posest. Za storitve in digitalno vsebino veljajo drugi začetni datumi (Čl. 9(2)(a)/(c))."
"Exceptions: the right does not apply to certain goods and services listed in Art. 16 (e.g., custom-made goods, sealed hygiene items once unsealed, digital content whose performance has begun with your prior express consent and acknowledgement that you lose the withdrawal right).","Izjeme: pravica ne velja za določeno blago in storitve, navedene v Čl. 16 (npr. blago, izdelano po naročilu, zapečateno higiensko blago po odstranitvi pečata, digitalna vsebina, katere izvajanje se je začelo z vašim predhodnim izrecnim soglasjem in priznanjem, da izgubite pravico do odstopa)."
"The legal guarantee of conformity for goods applies under Art. 5 of Directive 2019/771, in addition to the right of withdrawal.","Zakonsko jamstvo o skladnosti blaga velja v skladu s Čl. 5 Direktive 2019/771, poleg pravice do odstopa."
"Delivery: %1","Dostava: %1"
"Total paid","Skupaj plačano"
"Pick an order to withdraw from","Izberite naročilo za odstop"
"Select a recent order to start your withdrawal.","Izberite nedavno naročilo, da začnete odstop."
"Select","Izberi"
"Withdrawal progress","Napredek odstopa"
"title","naslov"
"subtitle","podnaslov"
"Items to return","Artikli za vrnitev"
"0 items","0 artiklov"
"Refund summary","Povzetek vračila"
"No items in this order are currently eligible for withdrawal.","Noben izdelek v tem naročilu trenutno ne izpolnjuje pogojev za odstop."
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Vsaka vrstica je že v obdelavi, čaka na potrditev ali je bila v celoti odstopljena. Preverite razdelek z obstoječimi zahtevami zgoraj za stanje ali preklic."
"No items selected yet. Use the + button next to an item to add it to your return.","Še ni izbranih izdelkov. Z gumbom + ob izdelku ga dodajte v svoje vračilo."
"Find your order","Poiščite svoje naročilo"
"Enter the details you used during checkout to start a return or withdrawal.","Vnesite podatke, uporabljene pri zaključku nakupa, za začetek vračila ali odstopa."
"We could not find an order matching that email. Double-check your order number and email address.","Naročila s tem e-poštnim naslovom ni bilo mogoče najti. Preverite številko naročila in e-poštni naslov."
"e.g. 12345","npr. 12345"
"You can find this in your order confirmation email.","To najdete v potrditvenem e-poštnem sporočilu naročila."
"Email address","E-poštni naslov"
"you@example.com","you@example.com"
"Must match the email used for the order.","Mora se ujemati z e-poštnim naslovom, uporabljenim za naročilo."
"Find my order","Poišči moje naročilo"
"You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason.","Pravico imate odstopiti od nakupa v 14 dneh od prejema naročila brez navedbe razlogov."
"Need help finding your order?","Potrebujete pomoč pri iskanju naročila?"
"Select an order","Izberite naročilo"
"Choose an order from your history to start a return or withdrawal.","Izberite naročilo iz svoje zgodovine za začetek vračila ali odstopa."
"You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order.","Nimate nobenih naročil, ki bi izpolnjevala pogoje za odstop. 14-dnevno obdobje za odstop teče od dneva prejema vašega naročila."
"View all my orders","Ogled vseh mojih naročil"
"items","artiklov"
"Select order","Izberi naročilo"
"No recent withdrawal","Ni nedavnega odstopa"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","V tej seji ni bilo mogoče najti nedavnega odstopa. Če ste ga pravkar oddali, preverite svoj e-poštni nabiralnik za potrditveno sporočilo."
"Start a new withdrawal","Začni nov odstop"
"Withdrawal #%1 submitted","Odstop #%1 oddan"
"Related order:","Povezano naročilo:"
"Items","Artikli"
"Items included in this withdrawal","Izdelki, vključeni v ta odstop"
"Line Total","Skupaj vrstica"
"What happens next","Kaj sledi"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","V nekaj minutah boste prejeli e-poštno sporočilo s potrdilom, ki vsebuje celotno izjavo o odstopu in zgoščeno vrednost integritete."
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","14-dnevni rok po Čl. 9 Direktive 2011/83/EU je zaklenjen na trenutek, ko ste potrdili odstop — za ohranitev pravice od vas ni potrebno nič več."
